Origin,Treatment,Coral ID,Colony,Calcification per day,CaCO3 Density (g/ml),initial magnitude_coral,recovery_coral,initial magnitude_sym,recovery_sym,Pnet,DR,LEDR,PR,Protein (mg/cm2),Million Zoox per cm2,pg Chl a per zoox,A334/A280
Flat,Stable,RF13B,13,0.454791884,1.521456146,-0.184401866,0.139120143,-0.126991952,0.032971029,1.823039105,-0.771861009,-0.717157082,2.36187485,3.919571749,2.394156088,5.351626471,0.533651317
Flat,Variable,RF13C,13,0.490719023,1.649491183,-0.092146025,0.123581876,-0.048357911,0.089342797,1.12975288,-0.79361365,-0.647805546,1.423555251,3.533197875,3.68,3.823607156,0.449950821
Flat,Stable,RF14B,14,0.339614921,1.978894202,0.047486204,0.051953356,-0.348406173,0.079550095,1.073742506,-0.859008339,-0.755550947,1.249979142,2.722714623,0.794320989,15.7389568,0.542839351
Flat,Variable,RF14D,14,0.428867353,1.872971657,-0.091455697,0.077856819,-0.102540181,0.138932193,1.571844221,-0.742242088,-0.70450681,2.117697508,2.189772798,1.618529453,2.5674627,0.51167094
Flat,Stable,RF15A,15,0.578569825,1.570996892,-0.233322478,0.102871542,-0.192037301,-0.023140855,2.263656899,-0.648991638,-0.69202031,3.487960036,1.898832757,2.541962379,5.488828926,0.512443054
Flat,Variable,RF15C,15,0.535000667,1.706411402,-0.005769349,0.022023969,-0.088590268,0.138456969,1.451516629,-0.560912094,-0.601921158,2.587779164,2.03785591,3.330288784,3.085973529,0.479661117
Flat,Stable,RF16A,16,0.483768502,1.892499603,-0.306893057,0.067856073,-0.200622199,0.08185393,1.332605034,-0.926588998,-0.843388308,1.438183528,2.720229872,2.316479905,4.252045802,0.446127632
Flat,Variable,RF16C,16,0.309427694,1.930546273,-0.558836898,0.114924935,-0.334241317,0.002590288,1.617733775,-0.773298614,-0.806602363,2.091991043,1.931867242,2.42291277,3.739307836,0.456777479
Flat,Stable,RF17B,17,0.456975206,1.71217834,-0.667731179,0.177796383,0.12701876,-0.003079097,1.372212446,-0.557878165,-0.568509936,2.459699145,2.184631711,1.594005439,4.352938562,0.600951149
Flat,Variable,RF17D,17,0.359336785,1.741238153,0.086559644,0.053878659,-0.156724877,-0.062611854,1.771420723,-0.633343175,-0.63958161,2.796936625,1.784709955,0.59842049,9.582873364,0.469674664
Flat,Stable,RF18B,18,0.510863965,1.756224001,0.133504844,0.337590655,-0.223285804,0.058959647,2.07808705,-0.602999397,-0.695038311,3.446250628,1.814759882,1.42573163,5.021609545,0.415297189
Flat,Variable,RF18C,18,0.313479729,2.024431331,-0.172185638,0.229571063,-0.033980607,0.019107784,0.894092107,-0.435917053,-0.43824972,2.051060174,2.990516851,1.359979294,6.387686997,0.387648277
Flat,Stable,RF19A,19,0.270358866,1.947065601,0.022086846,0.09857073,-0.0185086,0.147896186,1.75735268,-0.725701371,-0.715774481,2.421592064,2.033423261,1.676854874,3.910206125,0.524845814
Flat,Variable,RF19C,19,0.302578976,1.990729591,-0.378168428,0.069768146,0.050427,0.087332136,1.674147865,-0.758111465,-0.699603479,2.208313609,2.129984674,1.095972434,6.682493066,0.488277709
Flat,Stable,RF20A,20,0.490759399,1.808916081,-0.851296992,0.077959173,-0.372229233,0.059189043,1.3780389,-0.617404397,-0.607689165,2.231987507,2.233366385,2.033066096,3.047603883,0.424183939
Flat,Variable,RF20C,20,0.434225491,1.927315365,-0.832557748,-0.024010787,-0.291090398,0.105654545,0.944771472,-0.727706616,-0.756760401,1.298286219,2.763796669,3.322001684,2.722378121,0.523977882
Flat,Stable,RF22A,22,0.339159106,1.884456166,-0.040448407,0.228622216,0.12275811,0.150423343,1.307443347,-0.595704395,-0.593273357,2.194785462,2.51458472,2.019936365,3.921392916,0.535736205
Flat,Variable,RF22D,22,0.246434027,1.939343797,0.03106617,-0.004488085,-0.343140046,0.017528553,1.480395275,-0.651005224,-0.526394037,2.274014433,2.679226964,2.65665898,3.217681423,0.500815422
Flat,Stable,RF23A,23,0.768494211,1.458792376,0.300493953,0.025400889,-0.271075643,0.018361685,1.991100807,-0.496085171,-0.585643875,4.013626942,2.04182808,2.41584582,2.807171331,0.489360572
