GO_id,term,GOSlim_bin,aspect
GO:0000001,,cell organization and biogenesis,P
GO:0000002,,cell organization and biogenesis,P
GO:0000003,,other biological processes,P
GO:0000006,,transporter activity,F
GO:0000007,,transporter activity,F
GO:0000009,,other molecular function,F
GO:0000010,,other molecular function,F
GO:0000011,,cell organization and biogenesis,P
GO:0000012,,stress response,P
GO:0000012,,DNA metabolism,P
GO:0000014,,other molecular function,F
GO:0000015,,cytosol,C
GO:0000016,,other molecular function,F
GO:0000017,,transport,P
GO:0000018,,DNA metabolism,P
GO:0000019,,DNA metabolism,P
GO:0000022,,cell cycle and proliferation,P
GO:0000022,,cell organization and biogenesis,P
GO:0000023,,other metabolic processes,P
GO:0000024,,other metabolic processes,P
GO:0000025,,other metabolic processes,P
GO:0000026,,other molecular function,F
GO:0000027,,cell organization and biogenesis,P
GO:0000028,,cell organization and biogenesis,P
GO:0000030,,other molecular function,F
GO:0000031,,other molecular function,F
GO:0000032,,protein metabolism,P
GO:0000033,,other molecular function,F
GO:0000034,,other molecular function,F
GO:0000035,,other molecular function,F
GO:0000036,,other molecular function,F
GO:0000038,,other metabolic processes,P
GO:0000040,,transport,P
GO:0000041,,transport,P
GO:0000042,,transport,P
GO:0000045,,stress response,P
GO:0000045,,other metabolic processes,P
GO:0000045,,cell organization and biogenesis,P
GO:0000046,,stress response,P
GO:0000046,,other metabolic processes,P
GO:0000046,,cell organization and biogenesis,P
GO:0000048,,other molecular function,F
GO:0000049,,nucleic acid binding activity,F
GO:0000050,,other metabolic processes,P
GO:0000052,,other metabolic processes,P
GO:0000053,,other metabolic processes,P
GO:0000054,,transport,P
GO:0000055,,transport,P
GO:0000056,,transport,P
GO:0000059,,transport,P
GO:0000059,,cell organization and biogenesis,P
GO:0000060,,transport,P
GO:0000061,,transport,P
GO:0000061,,cell organization and biogenesis,P
GO:0000062,,other molecular function,F
GO:0000064,,transporter activity,F
GO:0000066,,transport,P
GO:0000070,,cell cycle and proliferation,P
GO:0000070,,cell organization and biogenesis,P
GO:0000072,,cell cycle and proliferation,P
GO:0000073,,cell cycle and proliferation,P
GO:0000073,,cell organization and biogenesis,P
GO:0000075,,cell cycle and proliferation,P
GO:0000076,,cell cycle and proliferation,P
GO:0000077,,cell cycle and proliferation,P
GO:0000077,,stress response,P
GO:0000078,,cell cycle and proliferation,P
GO:0000079,,cell cycle and proliferation,P
GO:0000079,,protein metabolism,P
GO:0000080,,cell cycle and proliferation,P
GO:0000082,,cell cycle and proliferation,P
GO:0000083,,cell cycle and proliferation,P
GO:0000083,,RNA metabolism,P
GO:0000084,,cell cycle and proliferation,P
GO:0000085,,cell cycle and proliferation,P
GO:0000086,,cell cycle and proliferation,P
GO:0000087,,cell cycle and proliferation,P
GO:0000088,,cell cycle and proliferation,P
GO:0000088,,cell organization and biogenesis,P
GO:0000089,,cell cycle and proliferation,P
GO:0000089,,cell organization and biogenesis,P
GO:0000090,,cell cycle and proliferation,P
GO:0000090,,cell organization and biogenesis,P
GO:0000091,,cell cycle and proliferation,P
GO:0000091,,cell organization and biogenesis,P
GO:0000092,,cell cycle and proliferation,P
GO:0000092,,cell organization and biogenesis,P
GO:0000093,,cell cycle and proliferation,P
GO:0000093,,cell organization and biogenesis,P
GO:0000095,,transporter activity,F
GO:0000096,,other metabolic processes,P
GO:0000097,,other metabolic processes,P
GO:0000098,,other metabolic processes,P
GO:0000099,,transporter activity,F
GO:0000100,,transporter activity,F
GO:0000101,,transport,P
GO:0000102,,transporter activity,F
GO:0000103,,other metabolic processes,P
GO:0000104,,other molecular function,F
GO:0000105,,other metabolic processes,P
GO:0000107,,other molecular function,F
GO:0000109,,nucleus,C
GO:0000110,,nucleus,C
GO:0000111,,nucleus,C
GO:0000112,,nucleus,C
GO:0000113,,nucleus,C
GO:0000114,,cell cycle and proliferation,P
GO:0000114,,RNA metabolism,P
GO:0000115,,cell cycle and proliferation,P
GO:0000115,,RNA metabolism,P
GO:0000116,,cell cycle and proliferation,P
GO:0000116,,RNA metabolism,P
GO:0000117,,cell cycle and proliferation,P
GO:0000117,,RNA metabolism,P
GO:0000118,,nucleus,C
