Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RF13B_S85_L001_R1_001	34.84869628027127	42.0	101.0	9.090909090909092	4084655.0
RF13B_S85_L002_R1_001	35.31820141113843	42.0	101.0	9.090909090909092	4093741.0
RF13D_S112_L001_R1_001	41.38198857881946	42.0	101.0	18.181818181818183	4550578.0
RF13D_S112_L002_R1_001	41.75790926335641	42.0	101.0	18.181818181818183	4553801.0
RF14B_S116_L001_R1_001	35.8622205644476	44.0	101.0	9.090909090909092	4293696.0
RF14B_S116_L002_R1_001	35.984159749961236	44.0	101.0	9.090909090909092	4294182.0
RF14C_S95_L001_R1_001	41.037207192821	45.0	101.0	9.090909090909092	4619727.0
RF14C_S95_L002_R1_001	41.53800336689315	45.0	101.0	9.090909090909092	4617871.0
RF15B_S122_L001_R1_001	36.95262408386617	44.0	101.0	9.090909090909092	4194895.0
RF15B_S122_L002_R1_001	37.488107024953784	44.0	101.0	9.090909090909092	4202147.0
RF15D_S84_L001_R1_001	35.672387555789314	43.0	101.0	9.090909090909092	4139944.0
RF15D_S84_L002_R1_001	36.25803089361469	43.0	101.0	9.090909090909092	4140161.0
RF16A_S118_L001_R1_001	72.53209460729019	45.0	101.0	18.181818181818183	3678611.0
RF16A_S118_L002_R1_001	72.6987143496948	45.0	101.0	18.181818181818183	3689898.0
RF16C_S97_L001_R1_001	62.586472434278164	46.0	101.0	18.181818181818183	3464967.0
RF16C_S97_L002_R1_001	62.74840742242987	46.0	101.0	18.181818181818183	3471138.0
RF17B_S80_L001_R1_001	37.86668501800185	43.0	101.0	18.181818181818183	3847520.0
RF17B_S80_L002_R1_001	38.27717018046616	43.0	101.0	9.090909090909092	3856032.0
RF17D_S99_L001_R1_001	38.893118247477155	43.0	101.0	18.181818181818183	4051241.0
RF17D_S99_L002_R1_001	39.106125837535835	43.0	101.0	18.181818181818183	4046336.0
RF18B_S90_L001_R1_001	39.13618545985915	43.0	101.0	18.181818181818183	4416995.0
RF18B_S90_L002_R1_001	39.63882937066526	43.0	101.0	18.181818181818183	4440152.0
RF18D_S113_L001_R1_001	43.74638297402546	41.0	101.0	18.181818181818183	5414925.0
RF18D_S113_L002_R1_001	44.29174490324843	41.0	101.0	18.181818181818183	5442220.0
RF19B_S103_L001_R1_001	38.523723700717674	43.0	101.0	18.181818181818183	6334902.0
RF19B_S103_L002_R1_001	38.798469065145966	43.0	101.0	18.181818181818183	6356192.0
RF19C_S83_L001_R1_001	37.38453289011837	44.0	101.0	9.090909090909092	3795315.0
RF19C_S83_L002_R1_001	37.480761208525045	44.0	101.0	9.090909090909092	3799731.0
RF20B_S88_L001_R1_001	42.19211214255311	42.0	101.0	18.181818181818183	4514378.0
RF20B_S88_L002_R1_001	42.63895639314138	42.0	101.0	18.181818181818183	4528823.0
RF20C_S115_L001_R1_001	34.510092840432364	41.0	101.0	9.090909090909092	4739343.0
RF20C_S115_L002_R1_001	34.88606968099042	41.0	101.0	9.090909090909092	4749261.0
