Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
clean.RF13B_S85_L001_R1_001	36.082426085691765	46.0	97.59403691563485	9.090909090909092	3581301.0
clean.RF13B_S85_L002_R1_001	36.527765072676345	46.0	97.59279287919335	9.090909090909092	3586897.0
clean.RF13D_S112_L001_R1_001	43.472161616171114	46.0	97.64479820894037	9.090909090909092	3941354.0
clean.RF13D_S112_L002_R1_001	43.775528632072934	46.0	97.64118281919265	9.090909090909092	3940653.0
clean.RF14B_S116_L001_R1_001	36.8153805968469	46.0	98.36136418969025	9.090909090909092	3934878.0
clean.RF14B_S116_L002_R1_001	37.03446815566752	46.0	98.36695021624055	9.090909090909092	3933351.0
clean.RF14C_S95_L001_R1_001	42.44211073034067	47.0	98.09107996299296	9.090909090909092	4172180.0
clean.RF14C_S95_L002_R1_001	42.93314567157003	47.0	98.09908217334976	9.090909090909092	4166582.0
clean.RF15B_S122_L001_R1_001	38.006245589634716	46.0	98.32865081486827	9.090909090909092	3852770.0
clean.RF15B_S122_L002_R1_001	38.558308105513625	46.0	98.32737805042498	9.090909090909092	3856184.0
clean.RF15D_S84_L001_R1_001	36.701576557169645	45.0	98.15053814436955	9.090909090909092	3795357.0
clean.RF15D_S84_L002_R1_001	37.31847354189573	45.0	98.15618715196801	9.090909090909092	3794371.0
clean.RF16A_S118_L001_R1_001	73.2931005631734	46.0	99.61584396533891	18.181818181818183	3615812.0
clean.RF16A_S118_L002_R1_001	73.46058974225838	46.0	99.62592001791833	18.181818181818183	3625337.0
clean.RF16C_S97_L001_R1_001	63.33999877219798	46.0	99.56752924578353	18.181818181818183	3396558.0
clean.RF16C_S97_L002_R1_001	63.489067612307224	46.0	99.57438577457894	18.181818181818183	3401235.0
clean.RF17B_S80_L001_R1_001	39.42355095572266	46.0	97.7888813399718	9.090909090909092	3389743.0
clean.RF17B_S80_L002_R1_001	39.832848070932734	46.0	97.78943680357756	9.090909090909092	3393594.0
clean.RF17D_S99_L001_R1_001	40.53776491145098	46.0	97.58226073986448	9.090909090909092	3499695.0
clean.RF17D_S99_L002_R1_001	40.90679527054333	46.0	97.59538088262224	9.090909090909092	3495040.0
clean.RF18B_S90_L001_R1_001	40.956354566210265	47.0	97.33680616580823	9.090909090909092	3789414.0
clean.RF18B_S90_L002_R1_001	41.42564314023647	47.0	97.34866236665384	9.090909090909092	3805415.0
clean.RF18D_S113_L001_R1_001	46.68115496677777	47.0	96.61605971789704	9.090909090909092	4367200.0
clean.RF18D_S113_L002_R1_001	47.20311706035939	47.0	96.6483416181379	9.090909090909092	4386746.0
clean.RF19B_S103_L001_R1_001	39.8162719410514	47.0	97.08033746340433	9.090909090909092	5323718.0
clean.RF19B_S103_L002_R1_001	40.080166165441234	47.0	97.07837902739696	9.090909090909092	5338622.0
clean.RF19C_S83_L001_R1_001	38.49216746081834	46.0	98.20009349974517	9.090909090909092	3460972.0
clean.RF19C_S83_L002_R1_001	38.599838168504576	46.0	98.19307921974982	9.090909090909092	3461864.0
clean.RF20B_S88_L001_R1_001	44.502848737701896	47.0	97.10521073006473	9.090909090909092	3839865.0
clean.RF20B_S88_L002_R1_001	44.93618784634427	47.0	97.11523669511719	9.090909090909092	3847967.0
clean.RF20C_S115_L001_R1_001	35.77391141913658	46.0	97.0571735844232	9.090909090909092	3989010.0
clean.RF20C_S115_L002_R1_001	36.24211044292211	46.0	97.07509750215732	9.090909090909092	3994527.0
clean.RF22B_S91_L001_R1_001	36.672796931153584	45.0	98.54102616379846	9.090909090909092	4075899.0
clean.RF22B_S91_L002_R1_001	37.00321846732929	45.0	98.55313235912892	9.090909090909092	4078268.0
clean.RF22C_S126_L001_R1_001	39.58639082308405	46.0	97.0701792900139	9.090909090909092	4081432.0
clean.RF22C_S126_L002_R1_001	40.13782611958751	46.0	97.07015259858815	9.090909090909092	4088701.0
clean.RF23A_S125_L001_R1_001	34.0073096868758	46.0	97.35214814598996	9.090909090909092	3775465.0
clean.RF23A_S125_L002_R1_001	34.438613818091184	46.0	97.35659171797607	9.090909090909092	3787480.0
clean.RF23C_S108_L001_R1_001	34.7818464460491	46.0	97.5782308677709	9.090909090909092	3811801.0
clean.RF23C_S108_L002_R1_001	34.92297102855623	46.0	97.58791886004839	9.090909090909092	3817355.0
clean.RF24B_S92_L001_R1_001	32.55255592210419	46.0	97.24708817847923	9.090909090909092	4119157.0
clean.RF24B_S92_L002_R1_001	33.25373948885391	46.0	97.24763416519569	9.090909090909092	4116306.0
clean.RF24D_S111_L001_R1_001	36.94957061608098	46.0	97.75829351073118	9.090909090909092	4145259.0
clean.RF24D_S111_L002_R1_001	37.45822110889816	46.0	97.76267606346501	9.090909090909092	4150066.0
clean.RF25A_S96_L001_R1_001	34.606202416036	46.0	98.6217634534865	9.090909090909092	3965106.0
clean.RF25A_S96_L002_R1_001	35.15328710618736	46.0	98.63291077424974	9.090909090909092	3972620.0
clean.RF25C_S110_L001_R1_001	36.594329665781665	46.0	97.76040075425774	9.090909090909092	3921206.0
clean.RF25C_S110_L002_R1_001	36.808669975506206	46.0	97.77153738839144	9.090909090909092	3923758.0
clean.RS11B_S86_L001_R1_001	37.90018587232436	46.0	98.38152365856172	9.090909090909092	3988387.0
clean.RS11B_S86_L002_R1_001	38.329609276678276	46.0	98.39026113858623	9.090909090909092	3984819.0
clean.RS11D_S87_L001_R1_001	38.05957815220275	46.0	97.6533416919245	9.090909090909092	3506173.0
clean.RS11D_S87_L002_R1_001	38.38423017894013	46.0	97.66431347279523	9.090909090909092	3507290.0
clean.RS12A_S105_L001_R1_001	31.54170063706303	47.0	97.23829558684784	18.181818181818183	4429419.0
clean.RS12A_S105_L002_R1_001	32.21241162253146	47.0	97.24919714591692	18.181818181818183	4451307.0
clean.RS12C_S106_L001_R1_001	41.476494526971486	46.0	99.14094633669615	9.090909090909092	3720494.0
clean.RS12C_S106_L002_R1_001	41.929882894353774	46.0	99.15105392513377	9.090909090909092	3726166.0
clean.RS13A_S121_L001_R1_001	36.812648123416544	46.0	96.99029292348618	9.090909090909092	4324474.0
clean.RS13A_S121_L002_R1_001	37.45796673883836	46.0	96.99915823962266	9.090909090909092	4325459.0
clean.RS13C_S119_L001_R1_001	40.694925179568386	46.0	97.58175902017013	9.090909090909092	4210037.0
clean.RS13C_S119_L002_R1_001	41.353774668729336	46.0	97.58776388665488	9.090909090909092	4215162.0
clean.RS14B_S107_L001_R1_001	34.52097923131929	46.0	98.62922778055088	9.090909090909092	4537635.0
clean.RS14B_S107_L002_R1_001	35.14400020858112	46.0	98.6317953547251	9.090909090909092	4540657.0
clean.RS14C_S109_L001_R1_001	47.8864018296707	46.0	99.19976775223907	9.090909090909092	4267856.0
clean.RS14C_S109_L002_R1_001	48.2751098450083	46.0	99.21052033130641	9.090909090909092	4265417.0
clean.RS15B_S104_L001_R1_001	38.266528629560305	46.0	98.56707171221919	9.090909090909092	3862940.0
clean.RS15B_S104_L002_R1_001	38.80873966761242	46.0	98.57151448740629	9.090909090909092	3867566.0
clean.RS15D_S82_L001_R1_001	40.70901537126529	47.0	99.22309750464422	9.090909090909092	2934291.0
clean.RS15D_S82_L002_R1_001	41.00858885781098	47.0	99.22936687239766	9.090909090909092	2931984.0
clean.RS1B_S102_L001_R1_001	36.11596119835694	47.0	97.9132837526097	9.090909090909092	3605299.0
clean.RS1B_S102_L002_R1_001	36.56431725874828	47.0	97.91931622888356	9.090909090909092	3604715.0
clean.RS1C_S127_L001_R1_001	41.725441734382606	47.0	98.2713382956535	9.090909090909092	4180840.0
clean.RS1C_S127_L002_R1_001	42.19162847397312	47.0	98.27714474423125	9.090909090909092	4206026.0
clean.RS2B_S123_L001_R1_001	40.29482981130411	46.0	98.08645699626238	9.090909090909092	4524816.0
clean.RS2B_S123_L002_R1_001	40.61565710651104	46.0	98.09195294063557	9.090909090909092	4523988.0
clean.RS2C_S89_L001_R1_001	37.85569650957028	46.0	97.60679807963918	9.090909090909092	3444561.0
clean.RS2C_S89_L002_R1_001	38.4130854914548	46.0	97.62567308244357	9.090909090909092	3448686.0
clean.RS3B_S100_L001_R1_001	40.79484002540551	46.0	97.77740417477594	9.090909090909092	3928115.0
clean.RS3B_S100_L002_R1_001	41.4866481138519	46.0	97.78074612235015	9.090909090909092	3931634.0
clean.RS3D_S117_L001_R1_001	37.570153242175785	46.0	97.9687223082442	9.090909090909092	3841396.0
clean.RS3D_S117_L002_R1_001	37.970861704492386	46.0	97.97460044788242	9.090909090909092	3853690.0
clean.RS6A_S81_L001_R1_001	41.00498155351976	46.0	97.51713818997379	9.090909090909092	2855815.0
clean.RS6A_S81_L002_R1_001	41.41127554370666	46.0	97.52789205607168	9.090909090909092	2868971.0
clean.RS6D_S124_L001_R1_001	43.78669699118512	46.0	98.03873738395107	9.090909090909092	4217941.0
clean.RS6D_S124_L002_R1_001	44.27096168336004	46.0	98.05362407599613	9.090909090909092	4230637.0
clean.RS7B_S120_L001_R1_001	35.78480962643842	47.0	98.4276292336221	9.090909090909092	3225902.0
clean.RS7B_S120_L002_R1_001	36.01308119259715	47.0	98.44095817867111	9.090909090909092	3222614.0
clean.RS7C_S101_L001_R1_001	48.620391566288134	47.0	99.31270479748623	9.090909090909092	4117177.0
clean.RS7C_S101_L002_R1_001	48.99701411678179	47.0	99.31209484365924	9.090909090909092	4136829.0
clean.RS8B_S94_L001_R1_001	38.60955342657163	47.0	97.76803087341429	9.090909090909092	4205301.0
