"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm","Factor"
"1",1,"GO:0010629",0.0772583596274676,1,2,2,"negative regulation of gene expression","BP",1,"negative regulation of biological process","Biomin"
"2",2,"GO:0000278",0.0973125443212498,1,2,2,"mitotic cell cycle","BP",1,"regulation of cell cycle G1/S phase transition","Biomin"
"3",3,"GO:0007049",0.0973125443212498,1,2,2,"cell cycle","BP",1,"regulation of cell cycle G1/S phase transition","Biomin"
"4",4,"GO:0022402",0.0973125443212498,1,2,2,"cell cycle process","BP",1,"regulation of cell cycle G1/S phase transition","Biomin"
"5",5,"GO:0030036",0.0973125443212498,1,2,2,"actin cytoskeleton organization","BP",1,"actin filament severing","Biomin"
"6",6,"GO:1903047",0.0973125443212498,1,2,2,"mitotic cell cycle process","BP",1,"regulation of cell cycle G1/S phase transition","Biomin"
"7",7,"GO:0060537",0.103005200005054,1,2,2,"muscle tissue development","BP",1,"muscle tissue development","Biomin"
"8",8,"GO:0006325",0.112080360735212,1,2,2,"chromatin organization","BP",1,"cellular component disassembly","Biomin"
"9",9,"GO:0016570",0.112080360735212,1,2,2,"histone modification","BP",1,"peptide cross-linking","Biomin"
"10",10,"GO:0051276",0.112080360735212,1,2,2,"chromosome organization","BP",1,"cellular component disassembly","Biomin"
"11",11,"GO:0009892",0.188317450547692,0.978635524686466,2,3,"negative regulation of metabolic process","BP",1,"negative regulation of biological process","Biomin"
"12",12,"GO:0010468",0.188317450547692,0.978635524686466,2,3,"regulation of gene expression","BP",1,"regulation of peptidyl-serine phosphorylation","Biomin"
"13",13,"GO:0010605",0.188317450547692,0.978635524686466,2,3,"negative regulation of macromolecule metabolic process","BP",1,"negative regulation of biological process","Biomin"
"14",14,"GO:0048519",0.204740685713419,0.949970912647536,3,6,"negative regulation of biological process","BP",1,"negative regulation of biological process","Biomin"
