"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginSlope","TreatmentVariable:OriginSlope","se_(Intercept)","se_TreatmentVariable","se_OriginSlope","se_TreatmentVariable:OriginSlope","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin","Stable_OriginFC","Variable_OriginFC","maxGroupFC","col","Gene"
"Pocillopora_acuta_HIv2___RNAseq.g13103.t1",0.683089710509575,414.183678718812,-201.091839359406,4.41956848919317,3.37116508138294,-0.301074317411917,0.0132342157152054,0.350708066767602,0.0557306030541871,0.0563759270058761,0.0563912725673762,0.057195286845641,25.865912434625,0.212142884006772,37.5985438854688,1,1,1,3.65975224281786e-07,0.645092993169128,8.69093349449766e-10,0.000235557339000227,0.580832459619588,4.1217895641536e-07,0.0184629218933949,0.505401545384992,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g13103.t1"
"Pocillopora_acuta_HIv2___RNAseq.g7761.t1",0.191412072037403,440.737242401138,-214.368621200569,5.60754225124731,4.02246270067217,-0.0472257447359392,-0.154089958161204,0.170497431429576,0.0331864675190076,0.0347109212242939,0.033765592743186,0.0354129133253084,0.000318391231083163,19.6177531096161,23.179943250877,1,1,1,0.985763685777547,9.45862277684697e-06,1.47528007772816e-06,0.999999698051713,0.000507499357196328,0.000511298030015708,-0.218082405202851,0.0232382456201874,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g7761.t1"
"Pocillopora_acuta_HIv2___RNAseq.g20828.t1",0.0526765700742901,385.22289113972,-186.61144556986,5.54884290427737,3.78920385237695,0.124657944292347,0.140919258737373,-0.27342926554433,0.0378908937868196,0.0405098284883459,0.042114931073337,0.0438964612127936,5.34662747926444,8.49919783150632,38.7999326089682,1,1,1,0.020762392908346,0.00355303088069838,4.6954406561532e-10,0.999999698051713,0.0323239471520033,2.35058976403314e-07,0.199104050516062,-0.187176127762432,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g20828.t1"
"Pocillopora_acuta_HIv2___RNAseq.g16163.t1",3.59930810336441,494.581692602498,-241.290846301249,4.75566308213409,1.85684487651955,-0.00298099727838151,3.58351760932088,-0.137781064780051,0.00997234557960603,0.00967732680055576,0.0100029940763868,0.00969036430111061,0.0972627908349111,128338.141127087,202.161692467577,1,1,1,0.755139451955726,0,7.04878996972763e-46,0.999999698051713,0,7.93958080215196e-43,4.96682106056635,4.76840490625399,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g16163.t1"
"Pocillopora_acuta_HIv2___RNAseq.g19199.t1",0.135539405989443,403.268638034187,-195.634319017094,5.31238189820478,3.70501650420714,0.0869514518358899,0.0846442986053742,-0.257351307938548,0.0589800349689942,0.0647964513118638,0.0642902050999467,0.0681092766954334,0.378332872235396,0.671826646798275,14.2771072912605,1,1,1,0.538496808042277,0.412415478874182,0.000157772076985186,0.999999698051713,0.484775737714918,0.0384238969111759,0.119301919519097,-0.243177915188439,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g19199.t1"
"Pocillopora_acuta_HIv2___RNAseq.g17950.t1",0.465156942213139,400.061871731238,-194.030935865619,4.43359247787849,3.2612524995913,0.00967338746498722,0.208587944294941,-0.433214535472484,0.0978476828359842,0.10192503964997,0.103073037779559,0.10918149514308,0.280609090795429,2.24819169467615,15.7437420390927,1,1,1,0.596302274737924,0.133770642787185,7.25274668783411e-05,0.999999698051713,0.284885157006754,0.0198043940618404,0.290864419321582,-0.310836384883404,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g17950.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21248.t1",0.0372710647098512,363.596954684636,-175.798477342318,5.38571778541311,3.59216210788646,0.162881713404313,0.222176291689172,-0.224756230938483,0.0430036715279055,0.0449960149315572,0.0477337349639862,0.0500533427518866,6.85041553822607,15.9729964296528,20.1631001790337,1,1,1,0.00886206584732999,6.42524689181275e-05,7.11115492396476e-06,0.999999698051713,0.00214044694090158,0.00221567561401464,0.312808891509521,-0.00363685536549152,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g21248.t1"
"Pocillopora_acuta_HIv2___RNAseq.g14176.t1",0.505809753774115,319.418153213951,-153.709076606976,3.38768411740621,2.45311509826609,0.382637983772017,-0.0037089675889863,-1.06247039194474,0.0191273557884457,0.0190958697617999,0.0191813894667989,0.0191283956778305,38.596800416859,0.116189603932938,3085.15209487518,1,1,1,5.2104269357876e-10,0.733204490384935,0,3.91259642653184e-07,0.609118895348125,0,-0.00492633351852456,-1.39342192557337,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g14176.t1"
"Pocillopora_acuta_HIv2___TS.g11871.t1",0.0520993555122862,393.801309722192,-190.900654861096,5.55187555369414,3.76876090408488,0.0970479667591819,0.174928729470352,-0.194948060621267,0.0303873803540314,0.0326782115635071,0.0335485365715965,0.0341501567666611,5.77414687668143,14.0553834851605,32.5876043537167,1,1,1,0.016263612914589,0.000177504981143848,1.13939115611936e-08,0.999999698051713,0.00429119821870163,5.13352685389577e-06,0.24713606745156,-0.028283397184766,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___TS.g11871.t1"
"Pocillopora_acuta_HIv2___RNAseq.g2896.t1",1.17589824394629,367.026217953953,-177.513108976976,3.42339625601506,2.77035673856976,0.00674092675301519,-0.39012010437192,-0.302847977734855,0.0547568711742146,0.0552238288892573,0.0551115728575779,0.0555740870277088,0.000433389932598705,51.0573078885453,29.6964600356379,1,1,1,0.98339082343475,8.97082936853554e-13,5.05270047299225e-08,0.999999698051713,2.71949731867367e-10,2.06954018009696e-05,-0.522805644498902,-0.917647543985201,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g2896.t1"
"Pocillopora_acuta_HIv2___RNAseq.g18759.t1",0.0839779482020164,398.331720671378,-193.165860335689,5.69249582746493,3.95087031174035,0.140154198747914,-0.0026675837474722,-0.236980234576283,0.0478707851651469,0.0540443188464278,0.0561723830816724,0.0582022510800541,4.08828886031978,0.148450211140558,16.5784790885587,1,1,1,0.0431813372356285,0.700020813144486,4.66777079909039e-05,0.999999698051713,0.600207009227082,0.0131441508345636,-0.00377577470352453,-0.339327381492161,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g18759.t1"
"Pocillopora_acuta_HIv2___RNAseq.g8737.t1",0.060832070832834,357.896327275098,-172.948163637549,5.11523569332743,3.41883005913144,0.0158418318186157,0.376222259385835,-0.280255444135749,0.0501992770300663,0.0565929218667522,0.0579566443748846,0.062421170203617,1.1117360226981,31.6005437935665,20.157854374026,1,1,1,0.291704886868717,1.8937654946068e-08,7.13068392036673e-06,0.999999698051713,3.18940545653661e-06,0.00221567561401464,0.528356973695793,0.134322212764236,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g8737.t1"
"Pocillopora_acuta_HIv2___RNAseq.g29216.t1",0.34186861960273,287.20076344418,-137.60038172209,3.14381048870476,1.89374910042452,-0.0266490792611979,0.559312791888586,-0.0884815331791556,0.0231694159351564,0.0233014199106401,0.023346116763767,0.0234066223984578,1.38659610897432,572.742537136542,14.289853637476,1,1,1,0.238980777417463,1.42148943779885e-126,0.000156707293691409,0.999999698051713,1.07730750296501e-123,0.0384238969111759,0.723712323643955,0.60485018919411,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g29216.t1"
"Pocillopora_acuta_HIv2___TS.g27082.t3b",0.127655694014369,429.740260821147,-208.870130410573,5.87197318906603,3.92096513640279,0.169805052961965,0.46908609214169,-0.571389323314012,0.0567618678023341,0.0621578977156631,0.0618622306320075,0.0649852708186377,1.01753248771361,42.4941660509742,77.3097690589883,1,1,1,0.313105025855496,7.08933621395466e-11,1.46141399510322e-18,0.999999698051713,1.71929974658948e-08,1.09740012582293e-15,0.666210423746976,-0.145038013111863,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___TS.g27082.t3b"
"Pocillopora_acuta_HIv2___RNAseq.g3603.t1",4.63287920857424,327.231951274002,-157.615975637001,2.7698450068697,3.91073202857064,-0.490663576421416,-3.30483488991765,-0.370174276787226,0.0539062279924994,0.0541664420510377,0.0542143605426087,0.0543295401089153,124.33563853552,3719.04476368751,46.4237710270394,1,1,1,7.11338084539726e-29,0,9.52529042213355e-12,9.15695354255352e-26,0,5.04896423493208e-09,-4.16832184434234,-4.15276275369262,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g3603.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11140.t1",0.627811788603917,485.351616083574,-236.675808041787,5.70901769847924,3.62851937106158,0.148115774023973,1.02499879088603,-0.465482820682388,0.0569807649047273,0.0551246875175824,0.0552922741908219,0.0556979461654342,5.45664363220349,333.943557692002,69.8439756968884,1,1,1,0.0194940570231807,1.3301188027168e-74,6.41858319039802e-17,0.999999698051713,8.96053535521347e-72,3.8558568752451e-14,1.45463003759861,0.79330413420527,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g11140.t1"
"Pocillopora_acuta_HIv2___RNAseq.26339_t",2.23477418829536,372.624190024409,-180.312095012205,3.18634952460443,2.81048231184734,0.190379013471534,-0.187476764672404,-0.794868944843535,0.030540012383064,0.0305349966104358,0.0306184319642938,0.0305848857722607,0.0859589549082038,37.6433937027461,675.425314347407,1,1,1,0.769378779719248,8.49338406327684e-10,6.60339511237303e-149,0.999999698051713,1.83911448967826e-07,1.19006386715187e-145,-0.253684386209617,-1.30730304565761,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.26339_t"
