"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginSlope","TreatmentVariable:OriginSlope","se_(Intercept)","se_TreatmentVariable","se_OriginSlope","se_TreatmentVariable:OriginSlope","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin","Stable_OriginFC","Variable_OriginFC","maxGroupFC","col","Gene"
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",0.683830250351721,428.1025610048,-208.0512805024,4.85012120693351,4.12125201514202,-0.142420340041768,-0.874842090079872,-0.0167422026306204,0.252272999020345,0.357083441645909,0.351952641615918,0.498523840450269,0.367280629967425,12.5544564737772,0.00112785514165375,1,1,1,0.544490301929826,0.000395262546595425,0.973209236374429,0.999999698051713,0.00751243998885747,0.999541060901492,-1.23027329149569,-1.24865526646062,"Variable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g7479.t3b"
"Pocillopora_acuta_HIv2___RNAseq.g30807.t1",0.623245555549613,342.209064873089,-165.104532436545,3.62718338417817,3.03582673075783,0.243031798712129,-0.81007768671106,-0.304500417956832,0.247033402913888,0.348006970758876,0.349229675204944,0.493509002632232,0.137853515517695,15.2169054974357,0.380702410922311,1,1,1,0.710424301944009,9.58415870110306e-05,0.537227557478971,0.999999698051713,0.00276707376113861,0.999541060901492,-1.08844156335042,-1.50451871678065,"Variable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g30807.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11044.t1",0.270337277568644,782.010731389958,-385.005365694979,11.1805127535022,8.24256493983795,-0.079297228848505,-0.714995111870965,0.0357682751014636,0.156835491132902,0.221807693672914,0.21719063575027,0.307160774157443,0.15621775682102,20.6030063035273,0.0135601498002967,1,1,1,0.692662881828507,5.65073099923202e-06,0.907297451053476,0.999999698051713,0.000335884912274703,0.999541060901492,-1.03112355649286,-0.979517656509378,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g11044.t1"
"Pocillopora_acuta_HIv2___RNAseq.g7072.t1",0.401752193807563,377.550574728935,-182.775287364468,4.42615146416278,3.55521351635474,-0.374329356973087,-0.455896359244474,0.122481119504774,0.0912087152281342,0.102578893613334,0.10653516541261,0.111931944355433,12.1210261027827,17.703635051415,1.19737503431754,1,1,1,0.000498564624565503,2.58132847400951e-05,0.273846956236453,0.17970263327839,0.00110886534764581,0.999541060901492,-0.634753445040714,-0.458419852660398,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g7072.t1"
"Pocillopora_acuta_HIv2___RNAseq.g15217.t1",0.137452747503765,398.488553150509,-193.244276575254,5.29275611859373,3.50459311628297,0.145518399932054,0.468503229759114,-0.442525298004878,0.0646270392031877,0.121318962999084,0.112027814563907,0.389415549284481,0.180263413315989,35.7012012007818,1.29136683548449,1,1,1,0.671146964985682,2.30022139253739e-09,0.255796213027974,0.999999698051713,4.64873101648156e-07,0.999541060901492,0.660072535226325,0.0365408316877804,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g15217.t1"
"Pocillopora_acuta_HIv2___RNAseq.g15715.t1",0.0948631136801322,343.117276962762,-165.558638481381,4.86401596449319,3.57845563649956,-0.079197041661186,-0.400401806151616,0.193888884747898,0.105650319276869,0.150110510045795,0.150131507347193,0.211924241127281,0.0291164570735123,8.18215014629269,0.837036799607931,1,1,1,0.864510420991757,0.00423045865714209,0.360245625088887,0.999999698051713,0.0360747964184553,0.999541060901492,-0.558490289359963,-0.288260382121973,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g15715.t1"
"Pocillopora_acuta_HIv2___RNAseq.g6227.t1",2.43564853326562,449.692858875065,-218.846429437533,4.4698647403053,2.51291966257171,0.95954080123801,1.80941794598133,-0.570847898322768,0.478290830150718,0.673032208990057,0.657879137601184,0.927736666657182,2.02441059073255,10.7701454031602,0.378609380625367,1,1,1,0.154788969882231,0.00103150405889596,0.538348413458018,0.999999698051713,0.0145104107238911,0.999541060901492,2.5170469754645,1.75569751853712,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g6227.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21909.t1",0.17254133165458,497.510301212963,-242.755150606482,6.87088149270206,4.47080401333697,0.184643528496898,0.64523491795528,-0.324228785922986,0.137372080196748,0.183417703918236,0.189483322480541,0.252571398218429,0.0116453761142725,11.7395506431637,1.64791498609898,1,1,1,0.914064114765772,0.000611857947374998,0.199242950348463,0.999999698051713,0.00987241178906337,0.999541060901492,0.923099098302226,0.459377480889029,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g21909.t1"
"Pocillopora_acuta_HIv2___RNAseq.g16986.t1",0.0270351720716178,455.117821960619,-221.55891098031,7.19204627159944,5.07168794874932,0.023129946579527,-0.187021865018033,0.0497497404172738,0.0554900677127649,0.0777714479843956,0.0770529838651439,0.108522757877655,0.80658587523243,8.87792767296466,0.210155129236823,1,1,1,0.369131566757965,0.00288638994095282,0.646645842483266,0.999999698051713,0.0291668673452476,0.999541060901492,-0.267967477216727,-0.196749384008741,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g16986.t1"
"Pocillopora_acuta_HIv2___RNAseq.g3142.t1c",0.304873176892974,299.525356221501,-143.762678110751,3.34519867243418,2.6060510331471,0.177837244346673,-0.493315763353447,-0.27428156832321,0.18554546718461,0.260309060452754,0.264402636295011,0.373823740153212,0.0576052334988516,11.3798200780244,0.538343521977812,1,1,1,0.810321804344496,0.000742463085879183,0.46312003651137,0.999999698051713,0.0113388861251601,0.999541060901492,-0.649797451099002,-1.01358103815932,"Variable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g3142.t1c"
