"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"19","GO:0000122",0,1,10,10,"negative regulation of transcription by RNA polymerase II","BP",0
"26","GO:0000166",0,1,10,10,"nucleotide binding","MF",0
"28","GO:0000184",0,1,10,10,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",0
"30","GO:0000226",0,1,9,9,"microtubule cytoskeleton organization","BP",0
"34","GO:0000278",0,1,12,12,"mitotic cell cycle","BP",0
"48","GO:0000375",0,1,12,12,"RNA splicing, via transesterification reactions","BP",0
"49","GO:0000377",0,1,12,12,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0
"53","GO:0000398",0,1,12,12,"mRNA splicing, via spliceosome","BP",0
"77","GO:0000785",0,1,9,9,"chromatin","CC",0
"88","GO:0000902",0,1,13,13,"cell morphogenesis","BP",0
"89","GO:0000904",0,1,11,11,"cell morphogenesis involved in differentiation","BP",0
"94","GO:0000956",0,1,14,14,"nuclear-transcribed mRNA catabolic process","BP",0
"100","GO:0000981",0,1,9,9,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0
"139","GO:0001666",0,1,10,10,"response to hypoxia","BP",0
"162","GO:0001775",0,1,10,10,"cell activation","BP",0
"188","GO:0001932",0,1,12,12,"regulation of protein phosphorylation","BP",0
"190","GO:0001934",0,1,9,9,"positive regulation of protein phosphorylation","BP",0
"204","GO:0002009",0,1,12,12,"morphogenesis of an epithelium","BP",0
"223","GO:0002164",0,1,12,12,"larval development","BP",0
"224","GO:0002165",0,1,10,10,"instar larval or pupal development","BP",0
"227","GO:0002181",0,1,17,17,"cytoplasmic translation","BP",0
"251","GO:0002376",0,1,26,26,"immune system process","BP",0
"262","GO:0002520",0,1,9,9,"immune system development","BP",0
"269","GO:0002682",0,1,16,16,"regulation of immune system process","BP",0
"271","GO:0002684",0,1,9,9,"positive regulation of immune system process","BP",0
"309","GO:0003002",0,1,11,11,"regionalization","BP",0
"310","GO:0003006",0,1,26,26,"developmental process involved in reproduction","BP",0
"312","GO:0003008",0,1,9,9,"system process","BP",0
"363","GO:0003677",0,1,14,14,"DNA binding","MF",0
"368","GO:0003700",0,1,9,9,"DNA-binding transcription factor activity","MF",0
"377","GO:0003729",0,1,12,12,"mRNA binding","MF",0
"379","GO:0003735",0,1,17,17,"structural constituent of ribosome","MF",0
"451","GO:0005102",0,1,12,12,"signaling receptor binding","MF",0
