"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"255","K17592",2.32527060874093e-06,1,5,5,0.000788266736363175
"179","K11789",0.000380051472908147,1,3,3,0.0644187246579309
"17","K01052",0.000747223023221561,1,3,3,0.0788558516116083
"117","K06711",0.000930452526390658,1,3,3,0.0788558516116083
"220","K14480",0.00248665561662513,1,3,3,0.14069457328965
"208","K13443",0.00305313021651633,1,3,3,0.14069457328965
"115","K06238",0.00469062270930456,1,2,2,0.14069457328965
"31","K01539",0.00526843724761857,1,2,2,0.14069457328965
"104","K05658",0.00533402405977796,1,2,2,0.14069457328965
"269","K18405",0.00535358988576546,1,2,2,0.14069457328965
"325","K24125",0.00551029534028434,1,2,2,0.14069457328965
"101","K05619",0.00560677308125475,1,2,2,0.14069457328965
"283","K19721",0.00562905832943686,1,2,2,0.14069457328965
"28","K01363",0.00679871372429694,1,2,2,0.14069457328965
"198","K12825",0.00708799096764384,1,2,2,0.14069457328965
"86","K03671",0.0089380795125938,1,2,2,0.14069457328965
"207","K13348",0.00952925833117271,1,2,2,0.14069457328965
"11","K00714",0.00972566575141155,1,2,2,0.14069457328965
"107","K05929",0.00991474533817848,1,2,2,0.14069457328965
"182","K12035",0.0100573620031926,1,2,2,0.14069457328965
"330","K24436",0.0101574174796398,1,2,2,0.14069457328965
"42","K02183",0.0123191477985759,1,2,2,0.14069457328965
"339","K25493",0.0124851142067801,1,2,2,0.14069457328965
"73","K03098",0.0162072114534647,1,2,2,0.14069457328965
"94","K04377",0.0178508928479701,1,2,2,0.14069457328965
"30","K01442",0.0185366056071939,1,2,2,0.14069457328965
"132","K08059",0.0200913112955962,1,2,2,0.14069457328965
"280","K19525",0.0681162503627846,1,1,1,0.14069457328965
"281","K19527",0.0684518469033571,1,1,1,0.14069457328965
"309","K22754",0.0686830369894243,1,1,1,0.14069457328965
"328","K24317",0.0698101121910296,1,1,1,0.14069457328965
"114","K06237",0.0706967237257716,1,1,1,0.14069457328965
"95","K04600",0.071818363112001,1,1,1,0.14069457328965
"262","K17964",0.071903419124476,1,1,1,0.14069457328965
"103","K05648",0.0721306117276936,1,1,1,0.14069457328965
"99","K04984",0.0722863850510948,1,1,1,0.14069457328965
"216","K14297",0.0723920127362184,1,1,1,0.14069457328965
"161","K10593",0.0728949232620962,1,1,1,0.14069457328965
"235","K14856",0.0729487274553815,1,1,1,0.14069457328965
"158","K10397",0.0729566551968973,1,1,1,0.14069457328965
"292","K20092",0.07300778116153,1,1,1,0.14069457328965
"221","K14550",0.0730416399418438,1,1,1,0.14069457328965
"294","K20478",0.0732353029176905,1,1,1,0.14069457328965
"98","K04911",0.0732397765543492,1,1,1,0.14069457328965
"118","K06816",0.0732425006467036,1,1,1,0.14069457328965
"142","K09370",0.0733753406893297,1,1,1,0.14069457328965
"185","K12385",0.0733794839321927,1,1,1,0.14069457328965
"244","K16476",0.0733915288793024,1,1,1,0.14069457328965
"100","K05122",0.0734049732508196,1,1,1,0.14069457328965
"227","K14716",0.0734364802614774,1,1,1,0.14069457328965
"307","K22182",0.0734400533567964,1,1,1,0.14069457328965
"290","K20051",0.0734639065810889,1,1,1,0.14069457328965
"190","K12605",0.0734730653528704,1,1,1,0.14069457328965
"112","K06068",0.0734798402390902,1,1,1,0.14069457328965
"212","K13912",0.0734844258342763,1,1,1,0.14069457328965
"170","K11267",0.0735273921206336,1,1,1,0.14069457328965
"79","K03255",0.0735957117209867,1,1,1,0.14069457328965
"148","K09637",0.0737890380402338,1,1,1,0.14069457328965
"285","K19754",0.0739011582065795,1,1,1,0.14069457328965
"188","K12571",0.073927760381049,1,1,1,0.14069457328965
"242","K16196",0.0739656988788014,1,1,1,0.14069457328965
"295","K20631",0.0739763539343429,1,1,1,0.14069457328965
"247","K16669",0.074042817814184,1,1,1,0.14069457328965
"43","K02184",0.0740617617038628,1,1,1,0.14069457328965
"276","K18669",0.0741285356264806,1,1,1,0.14069457328965
"159","K10399",0.0741348959721131,1,1,1,0.14069457328965
"336","K24931",0.0741671779070101,1,1,1,0.14069457328965
"332","K24512",0.0741974209011462,1,1,1,0.14069457328965
"41","K01969",0.0742557948390145,1,1,1,0.14069457328965
"136","K08867",0.0742922985448117,1,1,1,0.14069457328965
"265","K18246",0.0744237261471545,1,1,1,0.14069457328965
"293","K20196",0.0745039076325968,1,1,1,0.14069457328965
"288","K19983",0.0745078410759085,1,1,1,0.14069457328965
"272","K18533",0.0745320814335496,1,1,1,0.14069457328965
"106","K05853",0.0745747585452374,1,1,1,0.14069457328965
