"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"11429","GO:0051130",0.00010400864359966,0.999927726879914,217,580,"positive regulation of cellular component organization","BP"
"7222","GO:0032886",0.000163876253695343,0.999921326160736,56,121,"regulation of microtubule-based process","BP"
"9599","GO:0044294",0.000291809446341327,1,7,7,"dendritic growth cone","CC"
"13103","GO:0070507",0.000361573056651653,0.999835101060292,45,95,"regulation of microtubule cytoskeleton organization","BP"
"9846","GO:0045165",0.000490134370324591,0.999705355551223,91,226,"cell fate commitment","BP"
"10889","GO:0048557",0.000557597779800145,0.999868437914608,17,27,"embryonic digestive tract morphogenesis","BP"
"11825","GO:0051960",0.000791416514627858,0.99943900649402,177,481,"regulation of nervous system development","BP"
"4090","GO:0010638",0.000821040445199614,0.999469381607425,112,287,"positive regulation of organelle organization","BP"
"16784","GO:1905276",0.000937629565955896,0.999923217117152,8,10,"regulation of epithelial tube formation","BP"
"9948","GO:0045448",0.000949385700805595,0.999888004637261,10,13,"mitotic cell cycle, embryonic","BP"
"10053","GO:0045664",0.00100840899813418,0.999323285169538,128,336,"regulation of neuron differentiation","BP"
"11827","GO:0051962",0.00112002342933395,0.999276021371319,106,274,"positive regulation of nervous system development","BP"
"17234","GO:2000026",0.00119083390915555,0.999083047387835,288,824,"regulation of multicellular organismal development","BP"
"4134","GO:0010720",0.0012797832346658,0.99916630998368,107,278,"positive regulation of cell development","BP"
"7305","GO:0033043",0.00129384524663391,0.999042183051824,213,591,"regulation of organelle organization","BP"
"2794","GO:0006974",0.00149558965105247,0.998993112866947,121,320,"cellular response to DNA damage stimulus","BP"
"4972","GO:0016604",0.00151871455861241,0.998984382428936,117,308,"nuclear body","CC"
"10223","GO:0045992",0.00160720749705893,0.999620724445721,14,23,"negative regulation of embryonic development","BP"
"2091","GO:0005793",0.00162619953241257,0.999428259056414,22,43,"endoplasmic reticulum-Golgi intermediate compartment","CC"
"14204","GO:0090169",0.00180534875156593,0.999687680302022,11,16,"regulation of spindle assembly","BP"
"7897","GO:0035019",0.00185811642647567,0.999388816961322,20,37,"somatic stem cell population maintenance","BP"
"10782","GO:0048263",0.00193414745223536,1,5,5,"determination of dorsal identity","BP"
"10000","GO:0045597",0.00200806120000264,0.998595104928772,139,378,"positive regulation of cell differentiation","BP"
"10055","GO:0045666",0.00211089137314605,0.998691376634998,80,202,"positive regulation of neuron differentiation","BP"
"7950","GO:0035091",0.00215590713496279,0.998875407195301,47,105,"phosphatidylinositol binding","MF"
"13319","GO:0070993",0.00225863343341551,1,5,5,"translation preinitiation complex","CC"
"6053","GO:0030278",0.00229001673862792,0.998976076420028,32,68,"regulation of ossification","BP"
"9297","GO:0043325",0.00234960601309371,0.999771884763988,8,10,"phosphatidylinositol-3,4-bisphosphate binding","MF"
"12115","GO:0060231",0.00260062858093423,0.999862855838432,6,7,"mesenchymal to epithelial transition","BP"
"11291","GO:0050882",0.00291662993195314,1,5,5,"voluntary musculoskeletal movement","BP"
"3879","GO:0009891",0.00301593678605507,0.997667862111091,246,714,"positive regulation of biosynthetic process","BP"
"5932","GO:0030050",0.00314424816042136,1,5,5,"vesicle transport along actin filament","BP"
"14974","GO:0099515",0.00314424816042136,1,5,5,"actin filament-based transport","BP"
"961","GO:0002684",0.00314742487645684,0.997985942113665,84,216,"positive regulation of immune system process","BP"
"11427","GO:0051128",0.00323997854743681,0.99737925556755,368,1084,"regulation of cellular component organization","BP"
"10781","GO:0048262",0.00325881670029534,0.999690144561408,7,9,"determination of dorsal/ventral asymmetry","BP"
"3900","GO:0009953",0.00340366876300552,0.998139053113426,48,114,"dorsal/ventral pattern formation","BP"
"6326","GO:0030916",0.00342491763295939,0.999300809375392,11,17,"otic vesicle formation","BP"
"6528","GO:0031334",0.00343773129712499,0.998108271576661,49,116,"positive regulation of protein-containing complex assembly","BP"
"3996","GO:0010454",0.00344792646969391,0.998909400588808,17,31,"negative regulation of cell fate commitment","BP"
"11068","GO:0048863",0.00365450172536772,0.998141743038759,39,89,"stem cell differentiation","BP"
"17235","GO:2000027",0.00370268752475116,0.99790768466314,52,126,"regulation of animal organ morphogenesis","BP"
"13495","GO:0071397",0.00375425010150772,0.999632258959546,7,9,"cellular response to cholesterol","BP"
"11500","GO:0051247",0.00388101967257153,0.997035936220619,212,607,"positive regulation of protein metabolic process","BP"
"13193","GO:0070723",0.00403497919647325,0.999348366930195,9,13,"response to cholesterol","BP"
"13574","GO:0071542",0.00405897689936531,0.999460209642655,8,11,"dopaminergic neuron differentiation","BP"
"10895","GO:0048566",0.00411877351940555,0.998670038005812,17,31,"embryonic digestive tract development","BP"
"11213","GO:0050767",0.00418219779288394,0.996961976215021,149,412,"regulation of neurogenesis","BP"
"2347","GO:0006271",0.0042368201519609,0.999431868202071,8,11,"DNA strand elongation involved in DNA replication","BP"
"10470","GO:0046662",0.00436063346471518,0.998793485916482,14,24,"regulation of oviposition","BP"
"6874","GO:0032210",0.00436338907925526,0.998581491936913,17,31,"regulation of telomere maintenance via telomerase","BP"
"11215","GO:0050769",0.00446201362770407,0.997033337178228,92,243,"positive regulation of neurogenesis","BP"
"11624","GO:0051493",0.00449467188363753,0.997052312845214,87,225,"regulation of cytoskeleton organization","BP"
"412","GO:0001503",0.00453899791957304,0.997894446220824,30,66,"ossification","BP"
"499","GO:0001708",0.0045688847965492,0.997812152094896,32,72,"cell fate specification","BP"
"13303","GO:0070971",0.00458325526534954,0.999531571958206,7,9,"endoplasmic reticulum exit site","CC"
"9255","GO:0043254",0.00469826078677909,0.996970025762479,80,206,"regulation of protein-containing complex assembly","BP"
"2425","GO:0006397",0.00479341736387225,0.99677680227066,95,255,"mRNA processing","BP"
"6522","GO:0031328",0.00487031902459236,0.996193979520103,241,704,"positive regulation of cellular biosynthetic process","BP"
"4039","GO:0010557",0.00506219303716151,0.99606363852466,229,668,"positive regulation of macromolecule biosynthetic process","BP"
"11231","GO:0050793",0.00513045577250769,0.99582878417442,347,1031,"regulation of developmental process","BP"
"16659","GO:1904886",0.00519484422842292,0.999042361789954,9,14,"beta-catenin destruction complex disassembly","BP"
"11792","GO:0051897",0.00519567638606801,0.997834454859282,24,49,"positive regulation of protein kinase B signaling","BP"
"712","GO:0002065",0.00522421864719274,0.996653438191257,76,195,"columnar/cuboidal epithelial cell differentiation","BP"
"17408","GO:2000370",0.00528785217327076,0.999259560129876,8,11,"positive regulation of clathrin-dependent endocytosis","BP"
"5570","GO:0019900",0.0054427427345204,0.996217832877895,110,294,"kinase binding","MF"
"6560","GO:0031401",0.0054835059465289,0.995986558634814,147,408,"positive regulation of protein modification process","BP"
"5762","GO:0021885",0.00552137181000344,0.997953961433655,19,38,"forebrain cell migration","BP"
"5823","GO:0022029",0.00552137181000344,0.997953961433655,19,38,"telencephalon cell migration","BP"
"5633","GO:0021543",0.00560337017446308,0.996944444991419,43,102,"pallium development","BP"
"9998","GO:0045595",0.00567662833885292,0.995548191670445,240,699,"regulation of cell differentiation","BP"
"10224","GO:0045995",0.00572178758165395,0.996735708427116,49,119,"regulation of embryonic development","BP"
"6124","GO:0030431",0.00577555753932769,0.998001344689076,17,33,"sleep","BP"
"11233","GO:0050795",0.005864404776631,0.996901963045757,39,91,"regulation of behavior","BP"
"6901","GO:0032270",0.00594418043855449,0.995436286772133,200,575,NA,NA
"12149","GO:0060284",0.00601476836534086,0.995496039622095,167,470,"regulation of cell development","BP"
"9141","GO:0043049",0.00622683691143635,1,4,4,"otic placode formation","BP"
"15128","GO:0140030",0.00623984887542077,0.997226893557572,26,55,"modification-dependent protein binding","MF"
"11348","GO:0050999",0.00630690207390321,0.99864526916681,10,16,"regulation of nitric-oxide synthase activity","BP"
"9534","GO:0044087",0.00646649532086451,0.995148466370586,167,467,"regulation of cellular component biogenesis","BP"
"11748","GO:0051782",0.00648065177923781,0.998756973403953,9,14,"negative regulation of cell division","BP"
