# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0000022"	"mitotic spindle elongation"	0.001699678345020202	-1.875183339011319	0.9648352367681936	0.00534466	null
"GO:0000082"	"G1/S transition of mitotic cell cycle"	0.018799573397366303	-1.3793903953072537	0.9852197683470498	0.59684085	"mitotic spindle elongation"
"GO:0010324"	"membrane invagination"	0.006778756295794856	-1.484157034664431	0.9760918932981961	0.23952658	"mitotic spindle elongation"
"GO:0030952"	"establishment or maintenance of cytoskeleton polarity"	0.012556332196577813	-1.614028768597925	0.9686261682826843	0.47208516	"mitotic spindle elongation"
"GO:0030954"	"astral microtubule nucleation"	0.0001995708428595149	-1.5024692840343168	0.9663536008791156	0.58976791	"mitotic spindle elongation"
"GO:0032594"	"protein transport within lipid bilayer"	0.0007417382992945304	-1.4238484445414035	0.9435765121721567	0.48800988	"mitotic spindle elongation"
"GO:0034063"	"stress granule assembly"	0.0053185629622060715	-1.4946343937217055	0.9737774818006629	0.30941651	"mitotic spindle elongation"
"GO:0051231"	"spindle elongation"	0.0033727472443258015	-1.5664303875863237	0.964862837224284	0.6681271	"mitotic spindle elongation"
"GO:0099024"	"plasma membrane invagination"	0.005784228262211607	-1.3347144109113813	0.9762663181732827	0.53979086	"mitotic spindle elongation"
"GO:0106027"	"neuron projection organization"	0.004274142217907944	-1.531694003390131	0.9763797939869929	0.22378011	"mitotic spindle elongation"
"GO:0006271"	"DNA strand elongation involved in DNA replication"	0.04213273110835792	-2.372959986475125	0.9786723240133082	0.00648253	null
"GO:0000245"	"spliceosomal complex assembly"	0.04713198072198877	-2.065878892347018	0.9433328151536465	0.69990787	"DNA strand elongation involved in DNA replication"
"GO:0000380"	"alternative mRNA splicing, via spliceosome"	0.005451610190779082	-1.3040882085256058	0.9689939891041166	0.59499703	"DNA strand elongation involved in DNA replication"
"GO:0006354"	"DNA-templated transcription elongation"	0.10710634518198733	-1.302537779128225	0.9780265264795069	0.358382	"DNA strand elongation involved in DNA replication"
"GO:0006368"	"transcription elongation by RNA polymerase II"	0.1035207223719447	-1.302537779128225	0.9780750989862541	0.30219388	"DNA strand elongation involved in DNA replication"
"GO:0006397"	"mRNA processing"	1.0320905923901242	-2.319354788216358	0.9613821015945548	0.21719125	"DNA strand elongation involved in DNA replication"
"GO:0008380"	"RNA splicing"	0.7198287469292699	-1.6446126996678525	0.9661912514772208	0.64689361	"DNA strand elongation involved in DNA replication"
"GO:0009452"	"7-methylguanosine RNA capping"	0.043187130394799024	-1.9016878833691158	0.9701501395932158	0.49917661	"DNA strand elongation involved in DNA replication"
"GO:0022616"	"DNA strand elongation"	0.04290773121479571	-2.043128332319156	0.9811208155509281	0.34542037	"DNA strand elongation involved in DNA replication"
"GO:0036260"	"RNA capping"	0.07703434534377275	-1.9016878833691158	0.9711234624777519	0.52377817	"DNA strand elongation involved in DNA replication"
"GO:0006974"	"DNA damage response"	2.609069457039582	-2.8251874473419276	0.9491715576685009	0.00892438	null
"GO:0006972"	"hyperosmotic response"	0.0051921680950617125	-1.3415751609556459	0.9702625600305198	0.42431571	"DNA damage response"
"GO:0006984"	"ER-nucleus signaling pathway"	0.011269100260133941	-1.3810288840897442	0.8331027922499245	0.29272808	"DNA damage response"
"GO:0007167"	"enzyme-linked receptor protein signaling pathway"	0.23525078338208186	-1.337404180934462	0.7928193217724218	0.69937266	"DNA damage response"
"GO:0007169"	"transmembrane receptor protein tyrosine kinase signaling pathway"	0.156466866982574	-1.9372673736770318	0.7966429752200889	0.45165711	"DNA damage response"
"GO:0009755"	"hormone-mediated signaling pathway"	0.30407278854218556	-1.5975341087034627	0.7749560134197486	0.63288175	"DNA damage response"
"GO:0010040"	"response to iron(II) ion"	0.0003958155050047046	-1.4571019685570314	0.9664203175642575	0.27848936	"DNA damage response"
"GO:0010226"	"response to lithium ion"	0.002201931632883314	-1.3517338458059822	0.9592159908343713	0.59053706	"DNA damage response"
"GO:0034605"	"cellular response to heat"	0.05080741041131817	-1.3928109644014264	0.9600563869020552	0.5966924	"DNA damage response"
"GO:0035329"	"hippo signaling"	0.012007512378714147	-1.643359563308693	0.8307921786257784	0.38136752	"DNA damage response"
"GO:0035556"	"intracellular signal transduction"	3.7944870018179575	-1.8893614090727624	0.7545614936184969	0.53897046	"DNA damage response"
"GO:0038066"	"p38MAPK cascade"	0.002448069005743383	-2.084114111491326	0.8406415730543036	0.46982479	"DNA damage response"
"GO:0044335"	"canonical Wnt signaling pathway involved in neural crest cell differentiation"	1.663090357162624E-05	-1.667930038695498	0.6868083984800682	0.58208597	"DNA damage response"
"GO:0048015"	"phosphatidylinositol-mediated signaling"	0.05648852707138569	-2.0025795811816436	0.8133034238317314	0.33514309	"DNA damage response"
"GO:0048017"	"inositol lipid-mediated signaling"	0.0668961465265094	-2.0699735892669042	0.8132216014588682	0.4256609	"DNA damage response"
"GO:0050919"	"negative chemotaxis"	0.005052468505060052	-1.4805336183209281	0.9619809128226389	0.31295678	"DNA damage response"
"GO:0051103"	"DNA ligation involved in DNA repair"	0.01024131041940744	-1.4205880098202406	0.9505524628029144	0.52222077	"DNA damage response"
"GO:0070371"	"ERK1 and ERK2 cascade"	0.006269850646503093	-1.4448720551808607	0.8352821514130989	0.66961066	"DNA damage response"
"GO:0070669"	"response to interleukin-2"	0.002597747137888019	-1.4227216083687646	0.9584439334736351	0.58555597	"DNA damage response"
"GO:0070723"	"response to cholesterol"	0.002291738512170096	-2.3941587212164714	0.9528734337368203	0.22854263	"DNA damage response"
"GO:0071300"	"cellular response to retinoic acid"	0.0065425974650777634	-1.6609261515307012	0.9481177575250093	0.61376266	"DNA damage response"
"GO:0071352"	"cellular response to interleukin-2"	0.0023782192107425523	-1.4227216083687646	0.9531480809044932	0.41817097	"DNA damage response"
