"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"1159","K20478",0.00029310404979235,1,7,7
"235","K04988",0.000984952632266314,1,6,6
"299","K06238",0.0106109555242334,1,4,4
"1230","K22754",0.0106109555242334,1,4,4
"634","K11997",0.01497707370843,1,3,3
"107","K02183",0.0198760162105426,1,3,3
"1301","K23901",0.0208758663101889,1,3,3
"490","K10349",0.0230694517075674,1,3,3
"429","K09228",0.0235066583505929,1,3,3
"311","K06630",0.028881283683101,1,3,3
"654","K12373",0.029630170289292,1,3,3
"1308","K24032",0.029965472537176,1,3,3
"233","K04984",0.0301171467131447,1,3,3
"20","K00461",0.0311475627336251,1,3,3
"741","K13172",0.0322264441771584,1,3,3
"79","K01415",0.0324927418122431,1,3,3
"975","K17341",0.0330543561074129,1,3,3
"934","K16669",0.0330640228531171,1,3,3
"656","K12385",0.033068236506935,1,3,3
"1024","K17916",0.0330732499200196,1,3,3
"1205","K22017",0.0330732499200196,1,3,3
"994","K17566",0.0531378267277203,1,2,2
"431","K09267",0.05433866277518,1,2,2
"498","K10374",0.0547687241397517,1,2,2
"515","K10478",0.0569011592920847,1,2,2
"1038","K18171",0.0611979317340696,1,2,2
"140","K03098",0.0624736799729389,1,2,2
"713","K12896",0.0626519276120805,1,2,2
"630","K11971",0.0647215810195045,1,2,2
"39","K00799",0.0658304539464337,1,2,2
"19","K00432",0.0659579141801739,1,2,2
"227","K04739",0.0664785479914097,1,2,2
"90","K01672",0.072421401450528,1,2,2
"172","K03768",0.0724743239328432,1,2,2
"33","K00714",0.0767757431205409,1,2,2
"47","K01025",0.0772800990020349,1,2,2
"1061","K18669",0.07743258173674,1,2,2
"749","K13348",0.0787269407356983,1,2,2
"438","K09322",0.080771336315076,1,2,2
"906","K15837",0.0812924924019175,1,2,2
"67","K01275",0.0824211708009059,1,2,2
"1078","K19363",0.082620281268232,1,2,2
"376","K08493",0.0832526823072417,1,2,2
"1026","K17920",0.0836954591696839,1,2,2
"719","K13096",0.0842003787595321,1,2,2
"282","K06030",0.0854475963138476,1,2,2
"520","K10577",0.0856801480678337,1,2,2
"14","K00274",0.0857578220364003,1,2,2
"1227","K22614",0.0864746110080059,1,2,2
"1086","K19491",0.0869032795465949,1,2,2
"423","K09048",0.0870233278540309,1,2,2
"124","K02583",0.0874201472052066,1,2,2
"676","K12625",0.0879030690766734,1,2,2
"253","K05463",0.0885775071764239,1,2,2
"250","K05181",0.0896327936752254,1,2,2
"705","K12869",0.0897846876504402,1,2,2
"98","K01904",0.0906408245600023,1,2,2
"868","K15261",0.0906425276529158,1,2,2
"138","K03068",0.0912205159085111,1,2,2
"915","K16342",0.0918902525977391,1,2,2
"1329","K24348",0.0922364572545772,1,2,2
"502","K10397",0.0922693547756314,1,2,2
"354","K07984",0.0925240884043945,1,2,2
"32","K00710",0.0931438939406755,1,2,2
"45","K00972",0.0937113773213904,1,2,2
"303","K06265",0.0941664986013863,1,2,2
"701","K12862",0.0946603798060183,1,2,2
"65","K01265",0.0952987616742622,1,2,2
"476","K09848",0.0962189260092961,1,2,2
"784","K14354",0.0968787140611276,1,2,2
"1087","K19499",0.0981696847984689,1,2,2
"403","K08824",0.0997881292956697,1,2,2
"72","K01332",0.10020599476193,1,2,2
"182","K04362",0.100937895756746,1,2,2
"244","K05121",0.101083711380157,1,2,2
"591","K11423",0.101097393845261,1,2,2
"66","K01273",0.101231441076233,1,2,2
"607","K11592",0.101309009831068,1,2,2
"544","K10798",0.10137446750859,1,2,2
"274","K05850",0.10145314375978,1,2,2
"1317","K24135",0.10150580152206,1,2,2
"1232","K22804",0.101995836013903,1,2,2
"949","K16766",0.102098378126153,1,2,2
"1338","K24510",0.102188114654695,1,2,2
"472","K09657",0.102196550667687,1,2,2
"218","K04615",0.102470025768915,1,2,2
"249","K05127",0.102630615058924,1,2,2
"31","K00698",0.102745841949394,1,2,2
"385","K08621",0.102861673520953,1,2,2
"1158","K20465",0.102866432087738,1,2,2
"919","K16449",0.10290688168404,1,2,2
"408","K08844",0.103024689941583,1,2,2
"1228","K22656",0.103051414683124,1,2,2
"85","K01539",0.103060410514011,1,2,2
"221","K04659",0.103060410514011,1,2,2
"526","K10609",0.103060410514011,1,2,2
"663","K12489",0.103060410514011,1,2,2
"967","K17108",0.103060410514011,1,2,2
"1089","K19511",0.103060410514011,1,2,2
"298","K06237",0.103060410514011,1,2,2
"1091","K19525",0.103060410514011,1,2,2
"896","K15626",0.226817656429392,1,1,1
"310","K06625",0.228152781350979,1,1,1
"23","K00522",0.229162371080878,1,1,1
"871","K15294",0.229606061001646,1,1,1
"131","K02911",0.229847934277089,1,1,1
"754","K13485",0.230894889650197,1,1,1
"325","K07023",0.231498023172117,1,1,1
"422","K09037",0.231578391352801,1,1,1
"204","K04513",0.23165874775219,1,1,1
"1175","K20819",0.232301170835218,1,1,1
"203","K04507",0.232541881083259,1,1,1
"1279","K23543",0.232862657415678,1,1,1
"409","K08851",0.233063042726149,1,1,1
"914","K16336",0.233463580442334,1,1,1
"986","K17494",0.233503617013392,1,1,1
"379","K08509",0.233583680719861,1,1,1
"1262","K23313",0.233917143409002,1,1,1
"1241","K22904",0.234143771792041,1,1,1
"434","K09273",0.234223733711953,1,1,1
"473","K09659",0.235301946524226,1,1,1
"981","K17424",0.235301946524226,1,1,1
"1037","K18168",0.235740527387319,1,1,1
"1105","K19755",0.235979581641901,1,1,1
"1263","K23318",0.236536897773471,1,1,1
"179","K04265",0.23721272759911,1,1,1
"548","K10808",0.237292170442836,1,1,1
"946","K16753",0.237689172171948,1,1,1
"1010","K17682",0.237702399435163,1,1,1
"659","K12474",0.237847873100578,1,1,1
"432","K09270",0.238719695410781,1,1,1
"563","K11088",0.239352633149012,1,1,1
"738","K13164",0.239352633149012,1,1,1
"1216","K22414",0.239510718654465,1,1,1
"759","K13707",0.239708241016249,1,1,1
"1245","K23001",0.239905669002404,1,1,1
"272","K05752",0.239971457272893,1,1,1
"518","K10570",0.239984613660396,1,1,1
"372","K08439",0.240221356238837,1,1,1
"979","K17410",0.240221356238837,1,1,1
"1185","K21283",0.240615620646711,1,1,1
"352","K07937",0.24103574310057,1,1,1
"1248","K23049",0.241284980708961,1,1,1
"1209","K22193",0.241402985621561,1,1,1
"758","K13702",0.241586478202846,1,1,1
"1387","K25396",0.241782981597659,1,1,1
"585","K11315",0.241835365704623,1,1,1
"1048","K18435",0.241835365704623,1,1,1
"169","K03648",0.241874649131967,1,1,1
"441","K09345",0.241900835865741,1,1,1
"894","K15615",0.242201855388047,1,1,1
"1066","K18733",0.2423849689374,1,1,1
"711","K12890",0.242594133713636,1,1,1
"751","K13366",0.242894605382136,1,1,1
"175","K03966",0.243416590548988,1,1,1
"280","K05991",0.243442670533819,1,1,1
"436","K09304",0.243546972021127,1,1,1
"113","K02326",0.24383364837426,1,1,1
"22","K00512",0.244224207411424,1,1,1
"655","K12384",0.244380312890813,1,1,1
"462","K09550",0.244406323878121,1,1,1
"937","K16687",0.244770279078373,1,1,1
"640","K12181",0.244783270599684,1,1,1
"1110","K19873",0.244809252214743,1,1,1
"130","K02898",0.245263621175412,1,1,1
"167","K03540",0.245276594514726,1,1,1
"283","K06054",0.245445204078808,1,1,1
"121","K02375",0.245471136772825,1,1,1
"901","K15686",0.245561885966996,1,1,1
"122","K02432",0.245626692290687,1,1,1
"174","K03951",0.245626692290687,1,1,1
"119","K02354",0.245665570264657,1,1,1
"1152","K20359",0.245808085419493,1,1,1
"726","K13120",0.246468064373427,1,1,1
"618","K11802",0.246493919822583,1,1,1
"164","K03506",0.246623167366533,1,1,1
"37","K00746",0.24679111498997,1,1,1
"458","K09506",0.246984796127695,1,1,1
"263","K05692",0.247023518869517,1,1,1
"481","K10151",0.247062237107166,1,1,1
"1215","K22383",0.247835650107333,1,1,1
"447","K09408",0.248105913007096,1,1,1
"1273","K23498",0.248247389202882,1,1,1
"872","K15306",0.248684285333398,1,1,1
"1249","K23096",0.249364131540136,1,1,1
"675","K12623",0.24941538097782,1,1,1
"444","K09377",0.249748296543717,1,1,1
"1385","K25366",0.249927410459735,1,1,1
"753","K13443",0.250055285130198,1,1,1
"629","K11877",0.250131984329222,1,1,1
"470","K09627",0.250144765659407,1,1,1
"363","K08069",0.250221442409809,1,1,1
"55","K01149",0.250246997044929,1,1,1
"1211","K22210",0.250464124820134,1,1,1
"612","K11680",0.250668338344188,1,1,1
"88","K01598",0.251127312228979,1,1,1
"972","K17306",0.251305611593314,1,1,1
"866","K15203",0.251496527605023,1,1,1
"933","K16600",0.251674604393897,1,1,1
"1148","K20347",0.251801735980248,1,1,1
"187","K04377",0.251877988417859,1,1,1
"469","K09586",0.251903401471426,1,1,1
"671","K12593",0.252487288227664,1,1,1
"1295","K23800",0.253133255232458,1,1,1
"714","K12946",0.253259743070353,1,1,1
"141","K03104",0.253360892425886,1,1,1
"421","K09027",0.253550449183221,1,1,1
"166","K03511",0.253651493572313,1,1,1
"882","K15432",0.25394179182086,1,1,1
"1229","K22745",0.253954406587169,1,1,1
"1243","K22928",0.254382965115083,1,1,1
