"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"11465","GO:0051187",0.000107034666038741,0.999987799990376,8,19,NA,NA,1
"14098","GO:0086036",0.000498202341384112,0.99998342767642,4,6,"regulation of cardiac muscle cell membrane potential","BP",1
"10198","GO:0045939",0.00138302822038582,0.999874119442967,5,11,"negative regulation of steroid metabolic process","BP",1
"14353","GO:0090533",0.00185144389975602,0.999961254297551,3,4,"cation-transporting ATPase complex","CC",1
"3652","GO:0009151",0.00189189698430214,0.999960096649433,3,4,"purine deoxyribonucleotide metabolic process","BP",1
"3703","GO:0009215",0.00189189698430214,0.999960096649433,3,4,"purine deoxyribonucleoside triphosphate metabolic process","BP",1
"7264","GO:0032963",0.00190577090465125,0.999876448769228,4,8,"collagen metabolic process","BP",1
"12991","GO:0070268",0.00195658243254306,0.999872208527507,4,8,"cornification","BP",1
"2685","GO:0006787",0.00257434593365454,0.999939262054487,3,4,"porphyrin-containing compound catabolic process","BP",1
"7293","GO:0033015",0.00257434593365454,0.999939262054487,3,4,"tetrapyrrole catabolic process","BP",1
"8772","GO:0042167",0.00257434593365454,0.999939262054487,3,4,"heme catabolic process","BP",1
"10292","GO:0046149",0.00257434593365454,0.999939262054487,3,4,"pigment catabolic process","BP",1
"5864","GO:0022627",0.0026177600453667,0.99933146062897,10,34,"cytosolic small ribosomal subunit","CC",1
"5863","GO:0022626",0.00295039919719005,0.998798612448058,19,89,"cytosolic ribosome","CC",1
"10219","GO:0045988",0.00331731515258825,0.999874894089064,3,5,"negative regulation of striated muscle contraction","BP",1
"10607","GO:0047134",0.00334868340187546,0.999770757704016,4,7,"protein-disulfide reductase (NAD(P)) activity","MF",1
"13471","GO:0071361",0.00336552867591107,0.999743389459759,4,8,"cellular response to ethanol","BP",1
"6573","GO:0031424",0.0037011022589474,0.999688826285209,4,9,"keratinization","BP",1
"11985","GO:0055119",0.00412886681027325,0.999831302294661,3,5,"relaxation of cardiac muscle","BP",1
