"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"6750","GO:0031943",0.00148131242041461,0.999958291613345,3,5,"regulation of glucocorticoid metabolic process","BP",1
"6751","GO:0031944",0.00148131242041461,0.999958291613345,3,5,"negative regulation of glucocorticoid metabolic process","BP",1
"6752","GO:0031946",0.00148131242041461,0.999958291613345,3,5,"regulation of glucocorticoid biosynthetic process","BP",1
"6753","GO:0031947",0.00148131242041461,0.999958291613345,3,5,"negative regulation of glucocorticoid biosynthetic process","BP",1
"12932","GO:0070131",0.00167563294226758,0.999950696847826,3,5,"positive regulation of mitochondrial translation","BP",1
"17049","GO:1990244",0.00175350544643546,0.999937897409813,3,6,"histone H2AT120 kinase activity","MF",1
"17050","GO:1990245",0.00175350544643546,0.999937897409813,3,6,NA,NA,1
"11815","GO:0051941",0.00212042362220739,1,2,2,"regulation of amino acid uptake involved in synaptic transmission","BP",1
"11817","GO:0051946",0.00212042362220739,1,2,2,"regulation of glutamate uptake involved in transmission of nerve impulse","BP",1
"14099","GO:0086037",0.00212042362220739,1,2,2,"P-type sodium:potassium-exchanging transporter activity involved in regulation of cardiac muscle cell membrane potential","MF",1
"16045","GO:1903280",0.00212042362220739,1,2,2,"negative regulation of calcium:sodium antiporter activity","BP",1
"16112","GO:1903416",0.00212042362220739,1,2,2,"response to glycoside","BP",1
"17048","GO:1990239",0.00212042362220739,1,2,2,"steroid hormone binding","MF",1
"3504","GO:0008554",0.00212042362220775,1,2,2,"P-type sodium transporter activity","MF",1
"4482","GO:0015126",0.00212042362220775,1,2,2,"canalicular bile acid transmembrane transporter activity","MF",1
"8337","GO:0035860",0.00212138513482548,1,2,2,"glial cell-derived neurotrophic factor receptor signaling pathway","BP",1
"1416","GO:0004064",0.00212552538815323,1,2,2,"arylesterase activity","MF",1
"14129","GO:0090032",0.00263849488634895,0.999891833584535,3,6,"negative regulation of steroid hormone biosynthetic process","BP",1
"12188","GO:0060333",0.00289200693538,0.999877455001798,3,6,"type II interferon-mediated signaling pathway","BP",1
"5166","GO:0017062",0.00364088253838946,0.999832306480327,3,6,"respiratory chain complex III assembly","BP",1
"7764","GO:0034551",0.00364088253838946,0.999832306480327,3,6,"mitochondrial respiratory chain complex III assembly","BP",1
"12164","GO:0060300",0.00416273491321352,1,2,2,"regulation of cytokine activity","BP",1
"17033","GO:1990164",0.00461445225103101,0.99972822955813,3,8,NA,NA,1
