"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"5863","GO:0022626",3.47942042708255e-08,0.999999994127086,19,89,"cytosolic ribosome","CC",0.000617283977968716
"767","GO:0002181",8.89785505809876e-07,0.99999982902944,17,90,"cytoplasmic translation","BP",0.00789284232928651
"9672","GO:0044445",1.5703699687708e-06,0.999999611359313,21,147,NA,NA,0.00928664453865428
"5864","GO:0022627",3.13980086499621e-06,0.999999661772856,10,34,"cytosolic small ribosomal subunit","CC",0.0139258017864744
"2113","GO:0005840",6.79913185348379e-06,0.999998215274514,20,135,"ribosome","CC",0.0241246796425312
"9647","GO:0044391",8.28660032583503e-06,0.999997887979282,19,122,"ribosomal subunit","CC",0.0245020960634399
"4683","GO:0015935",1.73700086877842e-05,0.99999730392019,11,49,"small ribosomal subunit","CC",0.0440230463042828
"1310","GO:0003735",4.27377496616271e-05,0.999988617014766,17,113,"structural constituent of ribosome","MF",0.0947763020933659
"9438","GO:0043604",0.000184911906639465,0.99992954600123,24,268,"amide biosynthetic process","BP",0.364502459521193
"312","GO:0000956",0.000304907345088181,0.999914816464462,14,119,"nuclear-transcribed mRNA catabolic process","BP",0.540936120920942
"9587","GO:0044270",0.000353679038342312,0.999876005940296,19,202,"cellular nitrogen compound catabolic process","BP",0.546534058070647
"10493","GO:0046700",0.000390892623359578,0.999861791553897,19,203,"heterocycle catabolic process","BP",0.546534058070647
"2439","GO:0006413",0.000413309509677851,0.99989504300192,12,90,"translational initiation","BP",0.546534058070647
"1867","GO:0005198",0.000466364454986511,0.999818613873782,22,237,"structural molecule activity","MF",0.546534058070647
"13486","GO:0071385",0.000491748879890002,0.999956810432039,5,21,"cellular response to glucocorticoid stimulus","BP",0.546534058070647
"2575","GO:0006614",0.00049290033984163,0.999892926688885,10,59,"SRP-dependent cotranslational protein targeting to membrane","BP",0.546534058070647
"9135","GO:0043043",0.000589963769700208,0.999771750940561,21,231,"peptide biosynthetic process","BP",0.615679249308905
"2430","GO:0006402",0.000630287251093835,0.999809607100362,14,128,"mRNA catabolic process","BP",0.621218117869762
"2574","GO:0006613",0.000738081522127669,0.999829912969068,10,63,"cotranslational protein targeting to membrane","BP",0.689173909687735
