"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"245","GO:0001817",0,1,11,11,"regulation of cytokine production","BP",0
"582","GO:0004175",0,1,11,11,"endopeptidase activity","MF",0
"631","GO:0004674",0,1,11,11,"protein serine/threonine kinase activity","MF",0
"819","GO:0005938",0,1,11,11,"cell cortex","CC",0
"1027","GO:0006732",0,1,11,11,NA,NA,0
"1259","GO:0007424",0,1,11,11,"open tracheal system development","BP",0
"1317","GO:0007600",0,1,11,11,"sensory perception","BP",0
"1378","GO:0008150",0,1,299,299,"biological_process","BP",0
"1409","GO:0008270",0,1,11,11,"zinc ion binding","MF",0
"1416","GO:0008289",0,1,11,11,"lipid binding","MF",0
"1442","GO:0008406",0,1,11,11,"gonad development","BP",0
"1514","GO:0009141",0,1,11,11,"nucleoside triphosphate metabolic process","BP",0
"1571","GO:0009408",0,1,11,11,"response to heat","BP",0
"1840","GO:0010976",0,1,11,11,"positive regulation of neuron projection development","BP",0
"2093","GO:0016607",0,1,11,11,"nuclear speck","CC",0
"2148","GO:0016829",0,1,11,11,"lyase activity","MF",0
"2751","GO:0031346",0,1,11,11,"positive regulation of cell projection organization","BP",0
"3162","GO:0034284",0,1,11,11,"response to monosaccharide","BP",0
"3306","GO:0035220",0,1,11,11,"wing disc development","BP",0
"3430","GO:0036294",0,1,11,11,"cellular response to decreased oxygen levels","BP",0
"3454","GO:0038023",0,1,11,11,"signaling receptor activity","MF",0
"3701","GO:0043086",0,1,11,11,"negative regulation of catalytic activity","BP",0
"3750","GO:0043269",0,1,11,11,"regulation of ion transport","BP",0
"3848","GO:0043900",0,1,11,11,NA,NA,0
"3921","GO:0044403",0,1,11,11,"biological process involved in symbiotic interaction","BP",0
"3923","GO:0044419",0,1,11,11,"biological process involved in interspecies interaction between organisms","BP",0
"3935","GO:0044437",0,1,11,11,NA,NA,0
"4009","GO:0045137",0,1,11,11,"development of primary sexual characteristics","BP",0
"4029","GO:0045202",0,1,11,11,"synapse","CC",0
"4326","GO:0046883",0,1,11,11,"regulation of hormone secretion","BP",0
"4631","GO:0050804",0,1,11,11,"modulation of chemical synaptic transmission","BP",0
"4938","GO:0051961",0,1,11,11,"negative regulation of nervous system development","BP",0
"5510","GO:0071383",0,1,11,11,"cellular response to steroid hormone stimulus","BP",0
"5522","GO:0071417",0,1,11,11,"cellular response to organonitrogen compound","BP",0
"5530","GO:0071456",0,1,11,11,"cellular response to hypoxia","BP",0
"5925","GO:0098542",0,1,11,11,"defense response to other organism","BP",0
"5963","GO:0098791",0,1,11,11,"Golgi apparatus subcompartment","CC",0
"6004","GO:0099177",0,1,11,11,"regulation of trans-synaptic signaling","BP",0
"6180","GO:1901681",0,1,11,11,"sulfur compound binding","MF",0
"6287","GO:1902903",0,1,11,11,"regulation of supramolecular fiber organization","BP",0
"711","GO:0005575",3.4090529563046e-322,1,290,290,"cellular_component","CC",5.62641957484012e-320
"716","GO:0005623",7.53931778010329e-308,1,278,278,NA,NA,1.1864782190223e-305
"3955","GO:0044464",7.53931778010329e-308,1,278,278,NA,NA,1.1864782190223e-305
"715","GO:0005622",1.36813452228925e-299,1,271,271,"intracellular anatomical structure","CC",2.05737029162919e-297
"3926","GO:0044424",1.36813452228925e-299,1,271,271,NA,NA,2.05737029162919e-297
"1655","GO:0009987",2.57340160241376e-298,1,270,270,"cellular process","BP",3.78569753120302e-296
"530","GO:0003674",3.78762881564668e-292,1,265,265,"molecular_function","MF",5.4533796160598e-290
"3734","GO:0043226",1.45364857416074e-270,1,247,247,"organelle","CC",2.04934164611369e-268
"3737","GO:0043229",1.27128059897819e-264,1,242,242,"intracellular organelle","CC",1.7556644516909e-262
"740","GO:0005737",4.01849174330657e-255,1,233,233,"cytoplasm","CC",5.43862672539111e-253
"5287","GO:0065007",1.63528642645049e-247,1,226,226,"biological regulation","BP",2.16980063682165e-245
"3735","GO:0043227",4.16408689709662e-238,1,219,219,"membrane-bounded organelle","CC",5.41891846781785e-236
"3940","GO:0044444",9.64781504449863e-229,1,210,210,NA,NA,1.23182574351174e-226
"4622","GO:0050789",9.01340053443658e-227,1,208,208,"regulation of biological process","BP",1.12951261882467e-224
"3739","GO:0043231",2.00812840218677e-225,1,208,208,"intracellular membrane-bounded organelle","CC",2.47072816319961e-223
"3925","GO:0044422",3.15405399222136e-220,1,203,203,NA,NA,3.8113363152432e-218
"1379","GO:0008152",4.64863736980571e-220,1,203,203,"metabolic process","BP",5.51882966341671e-218
"3942","GO:0044446",3.9573749886437e-216,1,199,199,NA,NA,4.61716492209515e-214
"5577","GO:0071704",1.89007397001157e-210,1,194,194,"organic substance metabolic process","BP",2.16781873814717e-208
"693","GO:0005488",1.45922045523723e-205,1,190,190,"binding","MF",1.64575747009838e-203
"4626","GO:0050794",2.64657656478198e-204,1,188,188,"regulation of cellular process","BP",2.93596452686551e-202
"3884","GO:0044238",1.10329635791976e-203,1,188,188,"primary metabolic process","BP",1.20419458936178e-201
"3883","GO:0044237",1.23327077674434e-200,1,186,186,"cellular metabolic process","BP",1.32468942003634e-198
"1053","GO:0006807",1.2421580383378e-196,1,182,182,"nitrogen compound metabolic process","BP",1.31338803834874e-194
"2949","GO:0032501",1.17912048640409e-166,1,154,154,"multicellular organismal process","BP",1.22755512792253e-164
"5593","GO:0071840",3.46033263493605e-163,1,151,151,"cellular component organization or biogenesis","BP",3.5478895364564e-161
"3721","GO:0043170",3.7420912216323e-161,1,151,151,"macromolecule metabolic process","BP",3.77951213384862e-159
"2950","GO:0032502",2.09117086905548e-160,1,149,149,"developmental process","BP",2.08102253983801e-158
"4668","GO:0050896",7.12005687197307e-160,1,149,149,"response to stimulus","BP",6.98281519603503e-158
"1978","GO:0016043",4.67718327900579e-154,1,143,143,"cellular component organization","BP",4.52149989271888e-152
"4540","GO:0048856",1.15364814209876e-150,1,140,140,"anatomical structure development","BP",1.09954041937779e-148
"717","GO:0005634",5.65697649838118e-150,1,141,141,"nucleus","CC",5.31677221729798e-148
"2274","GO:0019222",5.69477598539264e-148,1,139,139,"regulation of metabolic process","BP",5.27897932782904e-146
"558","GO:0003824",2.48731040702516e-147,1,135,135,"catalytic activity","MF",2.27454453031611e-145
"1207","GO:0007275",1.85434862892217e-145,1,135,135,"multicellular organism development","BP",1.67311695625551e-143
"6152","GO:1901564",7.33854045994719e-144,1,135,135,"organonitrogen compound metabolic process","BP",6.53419780163982e-142
"700","GO:0005515",6.53230294861234e-142,1,132,132,"protein binding","MF",5.74079143548827e-140
"5034","GO:0060255",2.45635324806888e-135,1,128,128,"regulation of macromolecule metabolic process","BP",2.1310439012413e-133
"2837","GO:0031974",3.07947434948431e-134,1,126,126,"membrane-enclosed lumen","CC",2.57269171888399e-132
"3741","GO:0043233",3.07947434948431e-134,1,126,126,"organelle lumen","CC",2.57269171888399e-132
"5292","GO:0070013",3.07947434948431e-134,1,126,126,"intracellular organelle lumen","CC",2.57269171888399e-132
"3890","GO:0044260",1.34852621792659e-128,1,122,122,"cellular macromolecule metabolic process","BP",1.11286303862308e-126
"4510","GO:0048731",6.09685116066628e-128,1,119,119,"system development","BP",4.97077009689503e-126
"4439","GO:0048519",1.37026824593352e-126,1,119,119,"negative regulation of biological process","BP",1.10388157383716e-124
"783","GO:0005829",1.45216013638541e-125,1,118,118,"cytosol","CC",1.15609031093177e-123
"4438","GO:0048518",6.76399154491091e-125,1,117,117,"positive regulation of biological process","BP",5.32231753307118e-123
"3045","GO:0032991",1.3533912269721e-124,1,118,118,"protein-containing complex","CC",1.0526894750483e-122
"3218","GO:0034641",5.73604256396764e-124,1,117,117,"cellular nitrogen compound metabolic process","BP",4.41088636708739e-122
"5700","GO:0080090",1.59429083006069e-122,1,115,115,"regulation of primary metabolic process","BP",1.21219843224952e-120
"1973","GO:0016020",1.91403890681333e-122,1,113,113,"membrane","CC",1.43914458693398e-120
"2738","GO:0031323",2.15274504534197e-122,1,115,115,"regulation of cellular metabolic process","BP",1.60083799140979e-120
"4750","GO:0051179",1.46567768466052e-121,1,114,114,"localization","BP",1.07806966218454e-119
"4896","GO:0051716",7.43867591795717e-118,1,110,110,"cellular response to stimulus","BP",5.41263655234582e-116
"3929","GO:0044428",1.47571987990354e-116,1,109,109,NA,NA,1.06236132205396e-114
"4745","GO:0051171",3.01227845969295e-114,1,108,108,"regulation of nitrogen compound metabolic process","BP",2.14569350913076e-112
"3544","GO:0042221",1.10821029626531e-113,1,107,107,"response to chemical","BP",7.81172820294518e-112
"6141","GO:1901360",1.62192031084756e-112,1,106,106,"organic cyclic compound metabolic process","BP",1.13149842716551e-110
"1701","GO:0010468",5.63087811925698e-111,1,106,106,"regulation of gene expression","BP",3.88817879928693e-109
"3736","GO:0043228",1.50403078698489e-110,1,104,104,"non-membrane-bounded organelle","CC",1.01777763355268e-108
"3740","GO:0043232",1.50403078698489e-110,1,104,104,"intracellular non-membrane-bounded organelle","CC",1.01777763355268e-108
"2839","GO:0031981",3.68251107441257e-110,1,103,103,"nuclear lumen","CC",2.46728241985642e-108
"4442","GO:0048523",1.31175920966934e-107,1,101,101,"negative regulation of cellular process","BP",8.70262212924749e-106
"2297","GO:0019538",5.59246049444973e-104,1,99,99,"protein metabolic process","BP",3.67419224912051e-102
"4435","GO:0048513",1.35953723912156e-103,1,96,96,"animal organ development","BP",8.84614278570729e-102
"1026","GO:0006725",1.69889668757138e-103,1,98,98,"cellular aromatic compound metabolic process","BP",1.08456923441467e-101
"4244","GO:0046483",1.69889668757138e-103,1,98,98,"heterocycle metabolic process","BP",1.08456923441467e-101
"4441","GO:0048522",2.79530052669071e-103,1,98,98,"positive regulation of cellular process","BP",1.76783165085197e-101
"5288","GO:0065008",1.97026393800864e-102,1,96,96,"regulation of biological quality","BP",1.2345163026393e-100
"1111","GO:0006950",3.02292711234084e-101,1,95,95,"response to stress","BP",1.87671080451472e-99
"1125","GO:0006996",1.16576807805572e-97,1,92,92,"organelle organization","BP",7.17159325836641e-96
"4768","GO:0051234",1.92032632926386e-97,1,92,92,"establishment of localization","BP",1.17070705136293e-95
"863","GO:0006139",6.42923190545696e-97,1,92,92,"nucleobase-containing compound metabolic process","BP",3.88451895573457e-95
"1633","GO:0009889",4.58843438712827e-96,1,91,91,"regulation of biosynthetic process","BP",2.74778190245106e-94
"4547","GO:0048869",8.46789159441387e-96,1,90,90,"cellular developmental process","BP",5.02651073854374e-94
"1846","GO:0012505",1.10521648772023e-95,1,89,89,"endomembrane system","CC",6.50347823687202e-94
