"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"4879","GO:0016417",0.00157200882982807,0.999999470037274,1,7,"S-acyltransferase activity","MF"
"5503","GO:0019706",0.00157200882982807,0.999999470037274,1,7,"protein-cysteine S-palmitoyltransferase activity","MF"
"5504","GO:0019707",0.00157200882982807,0.999999470037274,1,7,"protein-cysteine S-acyltransferase activity","MF"
"5298","GO:0018345",0.00178535298330812,0.999999302114017,1,8,"protein palmitoylation","BP"
"4872","GO:0016409",0.00245118394824361,0.999998632799819,1,11,"palmitoyltransferase activity","MF"
"2492","GO:0006497",0.00601984209027636,0.99999124955313,1,27,"protein lipidation","BP"
"8767","GO:0042158",0.00601984209027636,0.99999124955313,1,27,"lipoprotein biosynthetic process","BP"
"8766","GO:0042157",0.00733243204534748,0.999986918158218,1,33,"lipoprotein metabolic process","BP"
"5034","GO:0016747",0.0139619716351622,0.999951701621935,1,63,"acyltransferase activity, transferring groups other than amino-acyl groups","MF"
"5033","GO:0016746",0.0157246966661,0.999938570182658,1,71,"acyltransferase activity","MF"
"9404","GO:0043543",0.0185415124470031,0.999914279714439,1,84,"protein acylation","BP"
"15493","GO:1901566",0.124713379242958,0.995855650040388,1,577,"organonitrogen compound biosynthetic process","BP"
"2082","GO:0005783",0.125840562436775,0.995777670043003,1,585,"endoplasmic reticulum","CC"
"15142","GO:0140096",0.156261718435806,0.993375261346555,1,738,"catalytic activity, acting on a protein","MF"
"7795","GO:0034645",0.162264506016005,0.992831778370413,1,760,"cellular macromolecule biosynthetic process","BP"
"5028","GO:0016740",0.163625981912117,0.992705174323621,1,772,"transferase activity","MF"
"3587","GO:0009059",0.164296001533375,0.992642512806109,1,770,"macromolecule biosynthetic process","BP"
"2471","GO:0006464",0.217122294185922,0.98674259093057,1,1040,NA,NA
"8471","GO:0036211",0.217122294185922,0.98674259093057,1,1040,"protein modification process","BP"
"9335","GO:0043412",0.232623261572984,0.984637848287351,1,1119,"macromolecule modification","BP"
"9578","GO:0044249",0.239576748812597,0.983636007958367,1,1149,"cellular biosynthetic process","BP"
"15500","GO:1901576",0.243261430280374,0.983090350482328,1,1168,"organic substance biosynthetic process","BP"
"3586","GO:0009058",0.244990480129746,0.982830747942694,1,1177,"biosynthetic process","BP"
"9586","GO:0044267",0.277678884918324,0.977485073216014,1,1353,NA,NA
"4321","GO:0012505",0.280226308927143,0.977032640708719,1,1370,"endomembrane system","CC"
"5477","GO:0019538",0.30360789765729,0.972628477175135,1,1492,"protein metabolic process","BP"
"15491","GO:1901564",0.373170233117178,0.956644984780699,1,1876,"organonitrogen compound metabolic process","BP"
"9582","GO:0044260",0.379103224873383,0.95506682076212,1,1911,"cellular macromolecule metabolic process","BP"
"1322","GO:0003824",0.380618106723434,0.95465808446759,1,1924,"catalytic activity","MF"
"9204","GO:0043170",0.449554041360432,0.933423585194801,1,2326,"macromolecule metabolic process","BP"
"2695","GO:0006807",0.50049071221087,0.914042685982158,1,2641,"nitrogen compound metabolic process","BP"
"9572","GO:0044238",0.516814320158346,0.907079339967165,1,2746,"primary metabolic process","BP"
