"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"5229","GO:0017188",0.00119383700966519,1,1,1,"aspartate N-acetyltransferase activity","MF"
"11660","GO:0051584",0.00119383700966519,1,1,1,"regulation of dopamine uptake involved in synaptic transmission","BP"
"11661","GO:0051586",0.00119383700966519,1,1,1,"positive regulation of dopamine uptake involved in synaptic transmission","BP"
"11814","GO:0051940",0.00119383700966519,1,1,1,"regulation of catecholamine uptake involved in synaptic transmission","BP"
"11816","GO:0051944",0.00119383700966519,1,1,1,"positive regulation of catecholamine uptake involved in synaptic transmission","BP"
"5453","GO:0019408",0.00125961955952559,1,1,1,"dolichol biosynthetic process","BP"
"1375","GO:0003986",0.00130770173270152,1,1,1,"acetyl-CoA hydrolase activity","MF"
"1726","GO:0004778",0.00130770173270152,1,1,1,"succinyl-CoA hydrolase activity","MF"
"4686","GO:0015938",0.00130770173270152,1,1,1,"coenzyme A catabolic process","BP"
"7542","GO:0033869",0.00130770173270152,1,1,1,"nucleoside bisphosphate catabolic process","BP"
"7552","GO:0034031",0.00130770173270152,1,1,1,"ribonucleoside bisphosphate catabolic process","BP"
"7555","GO:0034034",0.00130770173270152,1,1,1,"purine nucleoside bisphosphate catabolic process","BP"
"10336","GO:0046356",0.00130770173270152,1,1,1,"acetyl-CoA catabolic process","BP"
"10656","GO:0047994",0.00130770173270152,1,1,1,"hydroxymethylglutaryl-CoA hydrolase activity","MF"
"9596","GO:0044283",0.00187439090594586,0.999911638027561,3,214,"small molecule biosynthetic process","BP"
"6965","GO:0032377",0.0024170241966571,0.999998670665769,1,2,"regulation of intracellular lipid transport","BP"
"6966","GO:0032380",0.0024170241966571,0.999998670665769,1,2,"regulation of intracellular sterol transport","BP"
"6967","GO:0032383",0.0024170241966571,0.999998670665769,1,2,"regulation of intracellular cholesterol transport","BP"
"4750","GO:0016094",0.00247522571946101,0.999998605830353,1,2,"polyprenol biosynthetic process","BP"
"5431","GO:0019348",0.00255591738524882,0.999998513384073,1,2,"dolichol metabolic process","BP"
"7742","GO:0034473",0.00363520189123427,0.999995988919348,1,3,"U1 snRNA 3'-end processing","BP"
"7744","GO:0034475",0.00363520189123427,0.999995988919348,1,3,"U4 snRNA 3'-end processing","BP"
"7745","GO:0034476",0.00363520189123427,0.999995988919348,1,3,"U5 snRNA 3'-end processing","BP"
"13343","GO:0071038",0.00363520189123427,0.999995988919348,1,3,"nuclear polyadenylation-dependent tRNA catabolic process","BP"
"13344","GO:0071042",0.00363520189123427,0.999995988919348,1,3,"nuclear polyadenylation-dependent mRNA catabolic process","BP"
"13349","GO:0071047",0.00363520189123427,0.999995988919348,1,3,"polyadenylation-dependent mRNA catabolic process","BP"
"3616","GO:0009109",0.00368806234746873,0.999995871312686,1,3,NA,NA
"11332","GO:0050957",0.00373023455895224,0.999995776264912,1,3,"equilibrioception","BP"
"4749","GO:0016093",0.00377008903577918,0.999995685444917,1,3,"polyprenol metabolic process","BP"
"11658","GO:0051582",0.00478380352982779,0.999992182227404,1,4,"positive regulation of neurotransmitter uptake","BP"
"6883","GO:0032226",0.00478798685270016,0.999992168533568,1,4,"positive regulation of synaptic transmission, dopaminergic","BP"
"7717","GO:0034427",0.00481533850785185,0.999992078703754,1,4,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'","BP"
"13342","GO:0071035",0.00482272659011647,0.999992054351342,1,4,"nuclear polyadenylation-dependent rRNA catabolic process","BP"
"79","GO:0000177",0.00483801496487816,0.999992003839225,1,4,"cytoplasmic exosome (RNase complex)","CC"
"4744","GO:0016078",0.0048833581829649,0.999991853083866,1,4,"tRNA catabolic process","BP"
"9456","GO:0043633",0.00600098634415871,0.999986871833525,1,5,"polyadenylation-dependent RNA catabolic process","BP"
"9457","GO:0043634",0.00600098634415871,0.999986871833525,1,5,"polyadenylation-dependent ncRNA catabolic process","BP"
"13338","GO:0071029",0.00600098634415871,0.999986871833525,1,5,"nuclear ncRNA surveillance","BP"
"13348","GO:0071046",0.00600098634415871,0.999986871833525,1,5,"nuclear polyadenylation-dependent ncRNA catabolic process","BP"
"2121","GO:0005851",0.00601848078487013,0.99998679507665,1,5,"eukaryotic translation initiation factor 2B complex","CC"
"194","GO:0000459",0.00606553384096888,0.999986587518247,1,5,"exonucleolytic trimming involved in rRNA processing","BP"
"200","GO:0000467",0.00606553384096888,0.999986587518247,1,5,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"4823","GO:0016289",0.00608098422939793,0.999986519010234,1,5,"CoA hydrolase activity","MF"
"11285","GO:0050873",0.00608378305792138,0.999986506581329,1,5,"brown fat cell differentiation","BP"
"8616","GO:0038084",0.00715310669031708,0.999980561687,1,6,"vascular endothelial growth factor signaling pathway","BP"
"6882","GO:0032225",0.00716254106515083,0.999980510299623,1,6,"regulation of synaptic transmission, dopaminergic","BP"
"3386","GO:0008299",0.00726243862815725,0.999979962000368,1,6,"isoprenoid biosynthetic process","BP"
"11657","GO:0051580",0.00831014234775843,0.999973003743461,1,7,"regulation of neurotransmitter uptake","BP"
"78","GO:0000176",0.00850555704471129,0.999971716859913,1,7,"nuclear exosome (RNase complex)","CC"
"4684","GO:0015936",0.00855709408570159,0.999971372457123,1,7,"coenzyme A metabolic process","BP"
"6433","GO:0031125",0.0085690221194133,0.999971292448451,1,7,"rRNA 3'-end processing","BP"
"11349","GO:0051000",0.00862804473796831,0.99997089489836,1,7,"positive regulation of nitric-oxide synthase activity","BP"
"4743","GO:0016075",0.00952144764959914,0.999963805675101,1,8,"rRNA catabolic process","BP"
"7167","GO:0032770",0.00984738185719338,0.999961280086676,1,8,"positive regulation of monooxygenase activity","BP"
"1660","GO:0004659",0.00987274288384928,0.999961079984085,1,8,"prenyltransferase activity","MF"
"13337","GO:0071028",0.0106866701123434,0.999953661315521,1,9,"nuclear mRNA surveillance","BP"
"2310","GO:0006195",0.0108969912388298,0.999951815286095,1,9,"purine nucleotide catabolic process","BP"
"3655","GO:0009154",0.0108969912388298,0.999951815286095,1,9,"purine ribonucleotide catabolic process","BP"
"80","GO:0000178",0.010944267409126,0.999951395348566,1,9,"exosome (RNase complex)","CC"
"16814","GO:1905354",0.010944267409126,0.999951395348566,1,9,"exoribonuclease complex","CC"
"5179","GO:0017091",0.0109980119326107,0.999950915732064,1,9,NA,NA
"6148","GO:0030507",0.0117874472831607,0.999942895891326,1,10,"spectrin binding","MF"
"2254","GO:0006084",0.0119743120014141,0.999941066571906,1,10,"acetyl-CoA metabolic process","BP"
"3727","GO:0009261",0.0120797653932793,0.999940021439441,1,10,"ribonucleotide catabolic process","BP"
"8081","GO:0035268",0.012379180652213,0.999937003661984,1,10,"protein mannosylation","BP"
"13336","GO:0071027",0.0130381913717972,0.999929396261515,1,11,"nuclear RNA surveillance","BP"
