"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1","GO:0009151",0.00189190607103078,0.99996009638836,3,4,"purine deoxyribonucleotide metabolic process","BP","purine deoxyribonucleotide metabolic process"
"2","GO:0009215",0.00189190607103078,0.99996009638836,3,4,"purine deoxyribonucleoside triphosphate metabolic process","BP","purine deoxyribonucleotide metabolic process"
"3","GO:0032963",0.00190577686515445,0.999876448273725,4,8,"collagen metabolic process","BP","collagen metabolic process"
"4","GO:0045988",0.00331727047962091,0.999874896388201,3,5,"negative regulation of striated muscle contraction","BP","negative regulation of striated muscle contraction"
"5","GO:0010225",0.00440090481911067,0.999611010123365,4,9,"response to UV-C","BP","response to UV-C"
"6","GO:0009200",0.00462703924343249,0.999613045843753,4,8,"deoxyribonucleoside triphosphate metabolic process","BP","purine deoxyribonucleotide metabolic process"
"7","GO:0002181",0.00649743440721415,0.997197653923633,18,90,"cytoplasmic translation","BP","cytoplasmic translation"
"8","GO:0070286",0.0069989439043422,0.998629259337608,6,23,"axonemal dynein complex assembly","BP","axonemal dynein complex assembly"
"9","GO:1903115",0.00731342806667161,0.999563967558524,3,6,"regulation of actin filament-based movement","BP","regulation of actin filament-based movement"
"10","GO:0070131",0.00931415377913583,0.999484379466646,3,5,"positive regulation of mitochondrial translation","BP","cytoplasmic translation"
"11","GO:0046033",0.00995943724857844,0.999333303642844,3,6,"AMP metabolic process","BP","purine deoxyribonucleotide metabolic process"
"12","GO:0032070",0.0102143862309596,0.999309675295694,3,6,"regulation of deoxyribonuclease activity","BP","regulation of deoxyribonuclease activity"
"13","GO:0071456",0.0117235757506834,0.995795665656581,11,57,"cellular response to hypoxia","BP","response to UV-C"
"14","GO:0008202",0.01181509318998,0.995292614704579,13,77,"steroid metabolic process","BP","steroid metabolic process"
"15","GO:0051580",0.0129907087575309,0.998943071637398,3,7,"regulation of neurotransmitter uptake","BP","regulation of neurotransmitter uptake"
"16","GO:0009650",0.0149710731280917,0.997865946945497,4,12,"UV protection","BP","response to UV-C"
"17","GO:0042537",0.0153750127079245,0.99866600002031,3,7,"benzene-containing compound metabolic process","BP","benzene-containing compound metabolic process"
"18","GO:0071482",0.0154620388697445,0.993881723144233,12,70,"cellular response to light stimulus","BP","response to UV-C"
"19","GO:0045229",0.0164977262321269,0.999559864101041,2,3,"external encapsulating structure organization","BP","external encapsulating structure organization"
"20","GO:0032364",0.0175690880477944,0.999515021906423,2,3,"intracellular oxygen homeostasis","BP","intracellular oxygen homeostasis"
"21","GO:0016125",0.0179130484236726,0.994953630253879,7,33,"sterol metabolic process","BP","steroid metabolic process"
"22","GO:0030007",0.0187586678220476,0.99946341331189,2,3,"intracellular potassium ion homeostasis","BP","intracellular oxygen homeostasis"
"23","GO:0036376",0.0187586678220476,0.99946341331189,2,3,"sodium ion export across plasma membrane","BP","sodium ion export across plasma membrane"
"24","GO:0017062",0.0203886003384286,0.998201959383273,3,6,"respiratory chain complex III assembly","BP","axonemal dynein complex assembly"
"25","GO:0034551",0.0203886003384286,0.998201959383273,3,6,"mitochondrial respiratory chain complex III assembly","BP","axonemal dynein complex assembly"
"26","GO:0032350",0.0205774685263963,0.99566184447322,5,19,"regulation of hormone metabolic process","BP","regulation of neurotransmitter uptake"
"27","GO:0071453",0.0205949601946672,0.991527523159861,12,68,"cellular response to oxygen levels","BP","response to UV-C"
"28","GO:0008210",0.0213543542184582,0.996528102755291,4,13,"estrogen metabolic process","BP","steroid metabolic process"
"29","GO:0006189",0.0223505693214311,0.999296417763463,2,3,"'de novo' IMP biosynthetic process","BP","purine deoxyribonucleotide metabolic process"
"30","GO:0036294",0.0225671353621078,0.991007005707706,11,62,"cellular response to decreased oxygen levels","BP","response to UV-C"
"31","GO:0045989",0.0230559894184106,0.997659228739317,3,7,"positive regulation of striated muscle contraction","BP","negative regulation of striated muscle contraction"
