"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"17","GO:0000122",0,1,13,13,"negative regulation of transcription by RNA polymerase II","BP",0
"26","GO:0000166",0,1,11,11,"nucleotide binding","MF",0
"35","GO:0000278",0,1,13,13,"mitotic cell cycle","BP",0
"45","GO:0000323",0,1,12,12,"lytic vacuole","CC",0
"100","GO:0000902",0,1,17,17,"cell morphogenesis","BP",0
"101","GO:0000904",0,1,16,16,"cell morphogenesis involved in differentiation","BP",0
"112","GO:0000981",0,1,10,10,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0
"153","GO:0001655",0,1,10,10,"urogenital system development","BP",0
"187","GO:0001775",0,1,12,12,"cell activation","BP",0
"210","GO:0001932",0,1,11,11,"regulation of protein phosphorylation","BP",0
"212","GO:0001934",0,1,9,9,"positive regulation of protein phosphorylation","BP",0
"227","GO:0002009",0,1,13,13,"morphogenesis of an epithelium","BP",0
"263","GO:0002252",0,1,9,9,"immune effector process","BP",0
"288","GO:0002520",0,1,13,13,"immune system development","BP",0
"298","GO:0002682",0,1,10,10,"regulation of immune system process","BP",0
"339","GO:0003002",0,1,13,13,"regionalization","BP",0
"340","GO:0003006",0,1,11,11,"developmental process involved in reproduction","BP",0
"342","GO:0003008",0,1,17,17,"system process","BP",0
"397","GO:0003677",0,1,15,15,"DNA binding","MF",0
"399","GO:0003682",0,1,9,9,"chromatin binding","MF",0
"404","GO:0003700",0,1,10,10,"DNA-binding transcription factor activity","MF",0
"409","GO:0003723",0,1,14,14,"RNA binding","MF",0
"464","GO:0004672",0,1,9,9,"protein kinase activity","MF",0
"487","GO:0005102",0,1,17,17,"signaling receptor binding","MF",0
"493","GO:0005215",0,1,11,11,"transporter activity","MF",0
"516","GO:0005615",0,1,17,17,"extracellular space","CC",0
"537","GO:0005730",0,1,14,14,"nucleolus","CC",0
"540","GO:0005740",0,1,13,13,"mitochondrial envelope","CC",0
"550","GO:0005764",0,1,12,12,"lysosome","CC",0
"555","GO:0005773",0,1,13,13,"vacuole","CC",0
"565","GO:0005794",0,1,17,17,"Golgi apparatus","CC",0
"578","GO:0005856",0,1,17,17,"cytoskeleton","CC",0
"588","GO:0005911",0,1,9,9,"cell-cell junction","CC",0
"593","GO:0005929",0,1,13,13,"cilium","CC",0
"618","GO:0006082",0,1,15,15,"organic acid metabolic process","BP",0
"638","GO:0006259",0,1,16,16,"DNA metabolic process","BP",0
"661","GO:0006325",0,1,11,11,"chromatin organization","BP",0
"679","GO:0006396",0,1,11,11,"RNA processing","BP",0
"696","GO:0006468",0,1,13,13,"protein phosphorylation","BP",0
"704","GO:0006508",0,1,16,16,"proteolysis","BP",0
