"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"19","GO:0000122",0,1,10,10,"negative regulation of transcription by RNA polymerase II","BP",0
"26","GO:0000166",0,1,9,9,"nucleotide binding","MF",0
"28","GO:0000184",0,1,10,10,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",0
"30","GO:0000226",0,1,9,9,"microtubule cytoskeleton organization","BP",0
"34","GO:0000278",0,1,12,12,"mitotic cell cycle","BP",0
"48","GO:0000375",0,1,12,12,"RNA splicing, via transesterification reactions","BP",0
"49","GO:0000377",0,1,12,12,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0
"53","GO:0000398",0,1,12,12,"mRNA splicing, via spliceosome","BP",0
"77","GO:0000785",0,1,9,9,"chromatin","CC",0
"88","GO:0000902",0,1,12,12,"cell morphogenesis","BP",0
"89","GO:0000904",0,1,10,10,"cell morphogenesis involved in differentiation","BP",0
"94","GO:0000956",0,1,14,14,"nuclear-transcribed mRNA catabolic process","BP",0
"100","GO:0000981",0,1,9,9,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0
"139","GO:0001666",0,1,10,10,"response to hypoxia","BP",0
"160","GO:0001775",0,1,10,10,"cell activation","BP",0
"186","GO:0001932",0,1,11,11,"regulation of protein phosphorylation","BP",0
"202","GO:0002009",0,1,11,11,"morphogenesis of an epithelium","BP",0
"221","GO:0002164",0,1,11,11,"larval development","BP",0
"222","GO:0002165",0,1,10,10,"instar larval or pupal development","BP",0
"225","GO:0002181",0,1,17,17,"cytoplasmic translation","BP",0
"249","GO:0002376",0,1,25,25,"immune system process","BP",0
"260","GO:0002520",0,1,9,9,"immune system development","BP",0
"267","GO:0002682",0,1,15,15,"regulation of immune system process","BP",0
"307","GO:0003002",0,1,10,10,"regionalization","BP",0
"308","GO:0003006",0,1,25,25,"developmental process involved in reproduction","BP",0
"310","GO:0003008",0,1,9,9,"system process","BP",0
"361","GO:0003677",0,1,14,14,"DNA binding","MF",0
"365","GO:0003700",0,1,9,9,"DNA-binding transcription factor activity","MF",0
"371","GO:0003723",0,1,27,27,"RNA binding","MF",0
"374","GO:0003729",0,1,12,12,"mRNA binding","MF",0
"376","GO:0003735",0,1,17,17,"structural constituent of ribosome","MF",0
"444","GO:0005102",0,1,12,12,"signaling receptor binding","MF",0
"446","GO:0005198",0,1,22,22,"structural molecule activity","MF",0
"480","GO:0005576",0,1,16,16,"extracellular region","CC",0
"492","GO:0005694",0,1,14,14,"chromosome","CC",0
"498","GO:0005730",0,1,13,13,"nucleolus","CC",0
"500","GO:0005739",0,1,19,19,"mitochondrion","CC",0
"501","GO:0005740",0,1,9,9,"mitochondrial envelope","CC",0
"519","GO:0005783",0,1,17,17,"endoplasmic reticulum","CC",0
"521","GO:0005789",0,1,12,12,"endoplasmic reticulum membrane","CC",0
"524","GO:0005794",0,1,10,10,"Golgi apparatus","CC",0
"538","GO:0005840",0,1,20,20,"ribosome","CC",0
"544","GO:0005856",0,1,16,16,"cytoskeleton","CC",0
"552","GO:0005887",0,1,8,8,NA,NA,0
"563","GO:0005929",0,1,9,9,"cilium","CC",0
"578","GO:0006082",0,1,13,13,"organic acid metabolic process","BP",0
"593","GO:0006163",0,1,11,11,"purine nucleotide metabolic process","BP",0
"623","GO:0006355",0,1,24,24,"regulation of DNA-templated transcription","BP",0
"625","GO:0006357",0,1,19,19,"regulation of transcription by RNA polymerase II","BP",0
"632","GO:0006396",0,1,20,20,"RNA processing","BP",0
"633","GO:0006397",0,1,13,13,"mRNA processing","BP",0
"635","GO:0006401",0,1,14,14,"RNA catabolic process","BP",0
"636","GO:0006402",0,1,14,14,"mRNA catabolic process","BP",0
"639","GO:0006412",0,1,20,20,"translation","BP",0
"640","GO:0006413",0,1,12,12,"translational initiation","BP",0
"642","GO:0006417",0,1,12,12,"regulation of translation","BP",0
"648","GO:0006464",0,1,26,26,NA,NA,0
"660","GO:0006508",0,1,13,13,"proteolysis","BP",0
"662","GO:0006518",0,1,22,22,"peptide metabolic process","BP",0
"676","GO:0006605",0,1,14,14,"protein targeting","BP",0
"680","GO:0006612",0,1,10,10,"protein targeting to membrane","BP",0
"681","GO:0006613",0,1,10,10,"cotranslational protein targeting to membrane","BP",0
