"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"253","K17592",2.84782694408622e-05,1,4,4,0.00959717680157055
"178","K11789",0.000364890360552431,1,3,3,0.0614840257530847
"17","K01052",0.000742033379390397,1,3,3,0.0775742080175025
"116","K06711",0.000920762112967389,1,3,3,0.0775742080175025
"219","K14480",0.00236977403299102,1,3,3,0.14107990656659
"207","K13443",0.00283500584310831,1,3,3,0.14107990656659
"114","K06238",0.00498549973879409,1,2,2,0.14107990656659
"30","K01539",0.00511558113233151,1,2,2,0.14107990656659
"103","K05658",0.0051300031960243,1,2,2,0.14107990656659
"268","K18405",0.00513429357074857,1,2,2,0.14107990656659
"323","K24125",0.00516871132067278,1,2,2,0.14107990656659
"100","K05619",0.00522224098101261,1,2,2,0.14107990656659
"283","K19721",0.00562694718398035,1,2,2,0.14107990656659
"27","K01363",0.00667807188931502,1,2,2,0.14107990656659
"197","K12825",0.00706143462711465,1,2,2,0.14107990656659
"91","K04097",0.00844990635795887,1,2,2,0.14107990656659
"85","K03671",0.0091097821317768,1,2,2,0.14107990656659
"206","K13348",0.00979215399741537,1,2,2,0.14107990656659
"26","K01345",0.00991242308678842,1,2,2,0.14107990656659
"181","K12035",0.00991674100978217,1,2,2,0.14107990656659
"11","K00714",0.00995283174452207,1,2,2,0.14107990656659
"106","K05929",0.0101871055434075,1,2,2,0.14107990656659
"328","K24436",0.0104311353291656,1,2,2,0.14107990656659
"41","K02183",0.0125039150581624,1,2,2,0.14107990656659
"337","K25493",0.0126508964184896,1,2,2,0.14107990656659
"72","K03098",0.0159502293877301,1,2,2,0.14107990656659
"93","K04377",0.0173513459715163,1,2,2,0.14107990656659
"131","K08059",0.0192372282904779,1,2,2,0.14107990656659
"280","K19525",0.0705570540629439,1,1,1,0.14107990656659
"281","K19527",0.0706319010924348,1,1,1,0.14107990656659
"309","K22754",0.0706834670480781,1,1,1,0.14107990656659
