"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"5229","GO:0017188",0.0014910948730283,1,1,1,"aspartate N-acetyltransferase activity","MF"
"11660","GO:0051584",0.0014910948730283,1,1,1,"regulation of dopamine uptake involved in synaptic transmission","BP"
"11661","GO:0051586",0.0014910948730283,1,1,1,"positive regulation of dopamine uptake involved in synaptic transmission","BP"
"11814","GO:0051940",0.0014910948730283,1,1,1,"regulation of catecholamine uptake involved in synaptic transmission","BP"
"11816","GO:0051944",0.0014910948730283,1,1,1,"positive regulation of catecholamine uptake involved in synaptic transmission","BP"
"8835","GO:0042356",0.00178626396087444,1,1,1,"GDP-4-dehydro-D-rhamnose reductase activity","MF"
"10654","GO:0047918",0.00178626396087444,1,1,1,"GDP-mannose 3,5-epimerase activity","MF"
"11147","GO:0050577",0.00178626396087444,1,1,1,"GDP-L-fucose synthase activity","MF"
"2436","GO:0006408",0.00219496813142533,1,1,1,"snRNA export from nucleus","BP"
"8831","GO:0042350",0.00317556070571431,0.999997615277931,1,2,"GDP-L-fucose biosynthetic process","BP"
"8832","GO:0042351",0.00317556070571431,0.999997615277931,1,2,"'de novo' GDP-L-fucose biosynthetic process","BP"
"7871","GO:0034930",0.00424925939472082,0.999995727616558,1,2,"1-hydroxypyrene sulfotransferase activity","MF"
"11372","GO:0051030",0.00453447198967205,0.999995134104505,1,2,"snRNA transport","BP"
"10342","GO:0046368",0.00513612626084695,0.999991676102276,1,3,"GDP-L-fucose metabolic process","BP"
"11658","GO:0051582",0.00616842681255336,0.999986488948864,1,4,"positive regulation of neurotransmitter uptake","BP"
"6883","GO:0032226",0.00621079236735464,0.99998630246386,1,4,"positive regulation of synaptic transmission, dopaminergic","BP"
"5537","GO:0019835",0.00622105931109446,0.999990833022059,1,2,"cytolysis","BP"
"13333","GO:0071020",0.00692692456783266,0.999982956185832,1,4,"post-spliceosomal complex","CC"
"5092","GO:0016857",0.00724222762643581,0.999981366658202,1,4,"racemase and epimerase activity, acting on carbohydrates and derivatives","MF"
"5495","GO:0019673",0.00744995428817656,0.999980280608283,1,4,"GDP-mannose metabolic process","BP"
"4577","GO:0015643",0.00814138797450858,0.999974876374585,1,5,"toxic substance binding","MF"
"154","GO:0000350",0.00837347284421309,0.999973420950342,1,5,"generation of catalytic spliceosome for second transesterification step","BP"
"6882","GO:0032225",0.00912480368404551,0.999967115138975,1,6,"regulation of synaptic transmission, dopaminergic","BP"
"165","GO:0000393",0.0097361325568431,0.999962551741587,1,6,"spliceosomal conformational changes to generate catalytic conformation","BP"
"5091","GO:0016854",0.00977442314540206,0.999963761596978,1,5,"racemase and epimerase activity","MF"
"11657","GO:0051580",0.010083978143109,0.999958677887572,1,7,"regulation of neurotransmitter uptake","BP"
"11156","GO:0050657",0.0103540619261844,0.999534287107494,2,94,"nucleic acid transport","BP"
"11157","GO:0050658",0.0103540619261844,0.999534287107494,2,94,"RNA transport","BP"
"14447","GO:0097064",0.0105037886817195,0.999956399802025,1,6,"ncRNA export from nucleus","BP"
"11493","GO:0051236",0.0107507236124574,0.999506630847472,2,97,"establishment of RNA localization","BP"
"4680","GO:0015931",0.0116589397224186,0.999441465594795,2,101,"nucleobase-containing compound transport","BP"
"1415","GO:0004062",0.0133135546844079,0.99992787672188,1,7,"aryl sulfotransferase activity","MF"
"11804","GO:0051923",0.014079056443192,0.999917645814227,1,8,"sulfation","BP"
"163","GO:0000389",0.0162892781962628,0.999886525551308,1,10,"mRNA 3'-splice site recognition","BP"
"2896","GO:0007159",0.0191412983968546,0.99984156156169,1,11,"leukocyte cell-cell adhesion","BP"
"7389","GO:0033227",0.0193092162785791,0.999836294074675,1,13,"dsRNA transport","BP"
"3712","GO:0009226",0.020436985968997,0.999817799017864,1,12,"nucleotide-sugar biosynthetic process","BP"
"2431","GO:0006403",0.0215611009089999,0.998566531204478,2,136,"RNA localization","BP"
"13330","GO:0071012",0.0234980959339538,0.999757171231021,1,13,"catalytic step 1 spliceosome","CC"
"13332","GO:0071014",0.0253166872798408,0.999716267626455,1,14,"post-mRNA release spliceosomal complex","CC"
"3295","GO:0008146",0.027151352737722,0.999671764559129,1,15,"sulfotransferase activity","MF"
"2414","GO:0006376",0.0323132515914505,0.999527246558109,1,19,"mRNA splice site selection","BP"
"11820","GO:0051954",0.032797347829002,0.999516034838238,1,17,"positive regulation of amine transport","BP"
"3711","GO:0009225",0.0336138443961554,0.999488172284825,1,19,"nucleotide-sugar metabolic process","BP"
"17639","GO:2001025",0.0340630149153148,0.999474312599379,1,19,"positive regulation of response to drug","BP"
"11664","GO:0051590",0.0362988897088386,0.999400890070446,1,20,"positive regulation of neurotransmitter transport","BP"
"3261","GO:0008080",0.0364911594496703,0.999388188272661,1,25,"N-acetyltransferase activity","MF"
"319","GO:0000974",0.040598310930692,0.999245796318766,1,22,"Prp19 complex","CC"
"4873","GO:0016410",0.0410476942321217,0.999221119083919,1,28,"N-acyltransferase activity","MF"
"4870","GO:0016407",0.0462486131938719,0.999004793319105,1,32,"acetyltransferase activity","MF"
"5052","GO:0016782",0.0529828295250453,0.998696486070805,1,28,"transferase activity, transferring sulphur-containing groups","MF"
"6294","GO:0030867",0.0555813954435354,0.998572769712493,1,24,"rough endoplasmic reticulum membrane","CC"
"3741","GO:0009301",0.0559868588711012,0.998534808542378,1,33,"snRNA transcription","BP"
"9052","GO:0042795",0.0559868588711012,0.998534808542378,1,33,"snRNA transcription by RNA polymerase II","BP"
"3545","GO:0008652",0.0593129971491533,0.998349280995722,1,36,"amino acid biosynthetic process","BP"
"11818","GO:0051952",0.0620525945180812,0.998192845507144,1,35,"regulation of amine transport","BP"
"4741","GO:0016073",0.0696937209029885,0.997702836328504,1,42,"snRNA metabolic process","BP"
"106","GO:0000245",0.0704242617517658,0.997655137927822,1,41,"spliceosomal complex assembly","BP"
"14812","GO:0098781",0.0717430133949832,0.997561236010862,1,44,"ncRNA transcription","BP"
"4977","GO:0016616",0.0720841422429738,0.997543251276595,1,40,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"11662","GO:0051588",0.0728171565539366,0.997481895823301,1,48,"regulation of neurotransmitter transport","BP"
"17637","GO:2001023",0.0778358446419584,0.997119948777729,1,46,"regulation of response to drug","BP"
"4975","GO:0016614",0.0785494809279156,0.99707052180601,1,43,"oxidoreductase activity, acting on CH-OH group of donors","MF"
"3583","GO:0009055",0.0799573065101672,0.996968213984851,1,40,"electron transfer activity","MF"
"11241","GO:0050806",0.0878513337769811,0.996301756141859,1,57,"positive regulation of synaptic transmission","BP"
"2357","GO:0006283",0.0887272747949958,0.996238614437219,1,48,"transcription-coupled nucleotide-excision repair","BP"
"5034","GO:0016747",0.0936212836885823,0.995783833411787,1,63,"acyltransferase activity, transferring groups other than amino-acyl groups","MF"
"5033","GO:0016746",0.10443317965987,0.994722783085163,1,71,"acyltransferase activity","MF"
"2363","GO:0006289",0.110757554209749,0.994060142845847,1,63,"nucleotide-excision repair","BP"
"2433","GO:0006405",0.112101784529234,0.993902501907173,1,70,"RNA export from nucleus","BP"
"2090","GO:0005791",0.112910066958211,0.9938357777246,1,55,"rough endoplasmic reticulum","CC"
"14759","GO:0098609",0.117182374026658,0.993315740732779,1,77,"cell-cell adhesion","BP"
"11449","GO:0051168",0.13084848136516,0.991613676957776,1,83,"nuclear export","BP"
"13331","GO:0071013",0.131284470465224,0.991568176106604,1,74,"catalytic step 2 spliceosome","CC"
"5090","GO:0016853",0.140397392790988,0.990314397829156,1,79,"isomerase activity","MF"
"9266","GO:0043270",0.14619683352332,0.98946185684043,1,87,"positive regulation of monoatomic ion transport","BP"
"5888","GO:0022900",0.157088822857884,0.987801760017617,1,75,"electron transport chain","BP"
"2507","GO:0006520",0.183765956065987,0.983048651845821,1,118,"amino acid metabolic process","BP"
"4727","GO:0016053",0.19622256769786,0.980566628632235,1,124,"organic acid biosynthetic process","BP"
"10347","GO:0046394",0.19622256769786,0.980566628632235,1,124,"carboxylic acid biosynthetic process","BP"
"2016","GO:0005681",0.20881885931275,0.97787687279105,1,124,"spliceosomal complex","CC"
"1303","GO:0003723",0.219688929332176,0.944842982235296,2,473,"RNA binding","MF"
"11239","GO:0050804",0.221581021075775,0.974919960567642,1,155,"modulation of chemical synaptic transmission","BP"
"14961","GO:0099177",0.221581021075775,0.974919960567642,1,155,"regulation of trans-synaptic signaling","BP"
"2688","GO:0006790",0.230058082123868,0.972890272411344,1,136,"sulfur compound metabolic process","BP"
"414","GO:0001505",0.231617417907282,0.97246993468643,1,166,"regulation of neurotransmitter levels","BP"
"7801","GO:0034654",0.235932032500965,0.937984014775142,2,496,"nucleobase-containing compound biosynthetic process","BP"
"2761","GO:0006913",0.236462350857279,0.971265377944979,1,149,"nucleocytoplasmic transport","BP"
"2892","GO:0007155",0.243020185897082,0.96954772973848,1,164,"cell adhesion","BP"
"5852","GO:0022610",0.243884760387811,0.969318334466155,1,165,NA,NA
"11450","GO:0051169",0.243913938298606,0.969323889710837,1,153,"nuclear transport","BP"
"5859","GO:0022618",0.24703878102418,0.968492062786186,1,152,"ribonucleoprotein complex assembly","BP"
"9265","GO:0043269",0.251651016979449,0.967226681099161,1,163,"regulation of monoatomic ion transport","BP"
"13693","GO:0071826",0.256974996998163,0.965749288653171,1,161,"ribonucleoprotein complex subunit organization","BP"
"5256","GO:0018130",0.260408301864778,0.926992396964925,2,531,"heterocycle biosynthetic process","BP"
"5460","GO:0019438",0.262852384507602,0.925851377223874,2,535,"aromatic compound biosynthetic process","BP"
"13651","GO:0071705",0.282785667133615,0.916247644788588,2,581,"nitrogen compound transport","BP"
"15448","GO:1901362",0.286574587194474,0.914368647424161,2,569,"organic cyclic compound biosynthetic process","BP"
"2259","GO:0006091",0.290955405113984,0.9554225172758,1,169,"generation of precursor metabolites and energy","BP"
"2062","GO:0005759",0.292419795392846,0.954944743543401,1,168,"mitochondrial matrix","CC"
"2355","GO:0006281",0.297807346025758,0.953112229248491,1,205,"DNA repair","BP"
"2100","GO:0005813",0.299326513485457,0.952585669982279,1,221,"centrosome","CC"
"13649","GO:0071702",0.32406884570889,0.894690090418148,2,645,"organic substance transport","BP"
"9596","GO:0044283",0.327241707383147,0.942615659890747,1,214,"small molecule biosynthetic process","BP"
"157","GO:0000377",0.331882926039351,0.940847958208723,1,216,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP"
"168","GO:0000398",0.331882926039351,0.940847958208723,1,216,"mRNA splicing, via spliceosome","BP"
"156","GO:0000375",0.335662837894509,0.939382709300242,1,220,"RNA splicing, via transesterification reactions","BP"
"15386","GO:1901137",0.344295203375061,0.935973062147697,1,216,"carbohydrate derivative biosynthetic process","BP"
"3435","GO:0008380",0.35178750105589,0.932902728737546,1,232,"RNA splicing","BP"
"9594","GO:0044281",0.355724841368863,0.876615072637514,2,666,"small molecule metabolic process","BP"
"9123","GO:0043025",0.367999193794385,0.925970022851551,1,272,"neuronal cell body","CC"
"9578","GO:0044249",0.371369373232771,0.836795490129919,3,1149,"cellular biosynthetic process","BP"
"2425","GO:0006397",0.377450303146419,0.921780997781849,1,255,"mRNA processing","BP"
"15500","GO:1901576",0.380772436415428,0.830304584082788,3,1168,"organic substance biosynthetic process","BP"
"7805","GO:0034660",0.381323017802364,0.920006326173187,1,267,"ncRNA metabolic process","BP"
"2102","GO:0005815",0.382075129527547,0.919637953810027,1,294,"microtubule organizing center","CC"
"3586","GO:0009058",0.385121987410288,0.827264568261137,3,1177,"biosynthetic process","BP"
"2409","GO:0006366",0.386014576631508,0.917864602388858,1,243,"transcription by RNA polymerase II","BP"
"5028","GO:0016740",0.391336753883784,0.854611757748051,2,772,"transferase activity","MF"
"9601","GO:0044297",0.406362734505174,0.907998989056374,1,304,"cell body","CC"
"4913","GO:0016491",0.407876065217841,0.907290125816518,1,256,"oxidoreductase activity","MF"
"5855","GO:0022613",0.408674277354141,0.906862143137882,1,282,"ribonucleoprotein complex biogenesis","BP"
"6761","GO:0031966",0.411931844555664,0.905268900325576,1,238,"mitochondrial membrane","CC"
"11963","GO:0055086",0.42590488965508,0.897959025477461,1,286,"nucleobase-containing small molecule metabolic process","BP"
"5517","GO:0019752",0.427871181149779,0.896888116759352,1,311,"carboxylic acid metabolic process","BP"
"2794","GO:0006974",0.428835302055593,0.896364480900067,1,320,"cellular response to DNA damage stimulus","BP"
"2046","GO:0005740",0.434758278883351,0.893226096086204,1,257,"mitochondrial envelope","CC"
"2337","GO:0006259",0.439071342622011,0.890779336655892,1,330,"DNA metabolic process","BP"
"9588","GO:0044271",0.442360554700827,0.819984866076064,2,768,"cellular nitrogen compound biosynthetic process","BP"
"2397","GO:0006351",0.449917325733169,0.884694311267072,1,305,"DNA-templated transcription","BP"
"14677","GO:0097659",0.449917325733169,0.884694311267072,1,305,"nucleic acid-templated transcription","BP"
"2088","GO:0005789",0.450398427015491,0.884419624082093,1,304,"endoplasmic reticulum membrane","CC"
"7168","GO:0032774",0.450860564821126,0.884152412624861,1,306,"RNA biosynthetic process","BP"
"14838","GO:0098827",0.452720454970387,0.883080219682951,1,307,"endoplasmic reticulum subcompartment","CC"
"9346","GO:0043436",0.459523565231465,0.879078745715371,1,340,"oxoacid metabolic process","BP"
"8776","GO:0042175",0.460348283223528,0.878615211640834,1,314,"nuclear outer membrane-endoplasmic reticulum membrane network","CC"
"2252","GO:0006082",0.464665774388221,0.876017005982021,1,345,"organic acid metabolic process","BP"
"12196","GO:0060341",0.466798478306991,0.874702120875184,1,389,"regulation of cellular localization","BP"
"8560","GO:0036477",0.468683224649957,0.873571377893525,1,375,"somatodendritic compartment","CC"
"11385","GO:0051050",0.472954637972778,0.870956530319411,1,384,"positive regulation of transport","BP"
"1283","GO:0003676",0.474292703036268,0.796330553360603,2,847,"nucleic acid binding","MF"
"2286","GO:0006139",0.47465423415977,0.759286549308133,3,1366,"nucleobase-containing compound metabolic process","BP"
"4738","GO:0016070",0.474960479291418,0.795821248484507,2,841,"RNA metabolic process","BP"
"7303","GO:0033036",0.486546881618257,0.786825038373742,2,927,"macromolecule localization","BP"
"11980","GO:0055114",0.499640833656197,0.85391623603437,1,343,NA,NA
"10381","GO:0046483",0.505657310669856,0.733254434153205,3,1427,"heterocycle metabolic process","BP"
"2648","GO:0006725",0.523215157394754,0.717912950422686,3,1465,"cellular aromatic compound metabolic process","BP"
"4739","GO:0016071",0.525400172343245,0.836071446073622,1,388,"mRNA metabolic process","BP"
"9664","GO:0044432",0.528264667949334,0.834011129607106,1,384,NA,NA
"9661","GO:0044429",0.529573180527424,0.833094703907446,1,350,NA,NA
"7784","GO:0034622",0.54184862715221,0.823967415584701,1,411,NA,NA
"15446","GO:1901360",0.54917345402983,0.694411436231239,3,1524,"organic cyclic compound metabolic process","BP"
"4574","GO:0015630",0.550510518576572,0.817326921801553,1,473,"microtubule cytoskeleton","CC"
"15384","GO:1901135",0.563958776538892,0.80679803958659,1,413,"carbohydrate derivative metabolic process","BP"
"4006","GO:0010467",0.572613151894524,0.713252006204716,2,983,"gene expression","BP"
"2424","GO:0006396",0.573077267364086,0.799365690721476,1,455,"RNA processing","BP"
"6762","GO:0031967",0.591929545793821,0.78346337604074,1,436,"organelle envelope","CC"
"6766","GO:0031975",0.591929545793821,0.78346337604074,1,436,"envelope","CC"
"6770","GO:0031984",0.596446710690428,0.77948993775094,1,480,"organelle subcompartment","CC"
"7792","GO:0034641",0.600584946077525,0.644837435965985,3,1615,"cellular nitrogen compound metabolic process","BP"
"14286","GO:0090304",0.615689286318405,0.671468778720006,2,1099,"nucleic acid metabolic process","BP"
"9571","GO:0044237",0.629615962538252,0.575528601141183,5,2828,"cellular metabolic process","BP"
"9662","GO:0044430",0.633094917669046,0.745541288331225,1,584,NA,NA
"15449","GO:1901363",0.643754013260916,0.642285256500882,2,1165,"heterocyclic compound binding","MF"
"17208","GO:1990904",0.646396925089004,0.732401248976836,1,508,"ribonucleoprotein complex","CC"
"14746","GO:0098588",0.648303640965386,0.730435435026169,1,564,"bounding membrane of organelle","CC"
"11384","GO:0051049",0.650277191698792,0.728399524959622,1,615,"regulation of transport","BP"
"14484","GO:0097159",0.651161004663363,0.634308770443431,2,1183,"organic cyclic compound binding","MF"
"4097","GO:0010647",0.652594454353352,0.726032419352961,1,602,"positive regulation of cell communication","BP"
"2108","GO:0005829",0.653045027566374,0.58975021826224,3,1829,"cytosol","CC"
"5898","GO:0023056",0.654247049115886,0.724328768080175,1,605,"positive regulation of signaling","BP"
"14607","GO:0097458",0.663144708218751,0.715014510920849,1,631,NA,NA
"3297","GO:0008152",0.673890475374573,0.527251427491617,5,2960,"metabolic process","BP"
"2082","GO:0005783",0.674558471070755,0.702760151702284,1,585,"endoplasmic reticulum","CC"
"1322","GO:0003824",0.684982138915615,0.553774911922123,3,1924,"catalytic activity","MF"
"15493","GO:1901566",0.687074931076572,0.688837614440621,1,577,"organonitrogen compound biosynthetic process","BP"
"10904","GO:0048584",0.69499160219355,0.679715136855832,1,683,"positive regulation of response to stimulus","BP"
"2125","GO:0005856",0.696716026544895,0.677706428081821,1,697,"cytoskeleton","CC"
"2045","GO:0005739",0.697794183734864,0.676517441285485,1,565,"mitochondrion","CC"
"12867","GO:0065003",0.704048064595844,0.669105510176204,1,641,"protein-containing complex assembly","BP"
"15769","GO:1902494",0.707492182028207,0.664989304948325,1,643,"catalytic complex","CC"
