"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"2220","K12870",0.00165798431648291,1,1,1
"430","K02377",0.00178626396087444,1,1,1
"2435","K14291",0.00219496813142533,1,1,1
"205","K01179",0.00459913031851595,0.999994994175335,1,2
"3448","K20103",0.00571546663506469,0.999987630796328,1,5
"178","K01025",0.0114832938239504,0.999947867872032,1,6
"1","K00002",1,0.998259449841428,0,1
"2","K00006",1,0.998439538076309,0,1
"3","K00008",1,0.998691113227101,0,1
"4","K00010",1,0.996820378827006,0,1
"5","K00016",1,0.998302519794411,0,1
"6","K00021",1,0.996110907569128,0,2
"7","K00025",1,0.998240088166792,0,1
"8","K00026",1,0.99853377557607,0,1
"9","K00029",1,0.998310843544899,0,1
"10","K00030",1,0.996706897919742,0,2
"11","K00031",1,0.997046476018764,0,2
"12","K00033",1,0.998698950838201,0,1
"13","K00036",1,0.998711790928456,0,1
"14","K00069",1,0.998314013712113,0,1
"15","K00078",1,0.998206372584874,0,1
"16","K00079",1,0.998553774874994,0,1
"17","K00088",1,0.997082750628532,0,2
"18","K00102",1,0.998283136994272,0,1
"19","K00106",1,0.998910456456754,0,1
"20","K00111",1,0.998294429788259,0,1
"21","K00121",1,0.998901917313767,0,1
"22","K00128",1,0.997043442467874,0,2
"23","K00134",1,0.998260982821313,0,1
"24","K00139",1,0.998427708657417,0,1
"25","K00140",1,0.998638082322423,0,1
"26","K00162",1,0.998313405713662,0,1
"27","K00164",1,0.998839619367886,0,1
"28","K00166",1,0.998298865651146,0,1
"29","K00182",1,0.997734384785774,0,1
"30","K00207",1,0.99885556041212,0,1
"31","K00232",1,0.992540511789087,0,5
"32","K00234",1,0.998495530659667,0,1
"33","K00235",1,0.998215961498842,0,1
"34","K00248",1,0.998115060739413,0,1
"35","K00249",1,0.99864630694654,0,1
"36","K00252",1,0.998237046681436,0,1
"37","K00253",1,0.9982957787648,0,1
"38","K00262",1,0.996099215483972,0,1
"39","K00273",1,0.998246069622102,0,1
"40","K00274",1,0.996436825818202,0,2
"41","K00275",1,0.998183648468531,0,1
"42","K00280",1,0.995384839438391,0,3
"43","K00281",1,0.998798947091624,0,1
"44","K00286",1,0.993383719015308,0,2
"45","K00288",1,0.998894181710527,0,1
"46","K00289",1,0.998737942382037,0,1
"47","K00306",1,0.998095206474867,0,1
"48","K00311",1,0.998423808037135,0,1
"49","K00315",1,0.99870919905159,0,1
"50","K00318",1,0.998312120187161,0,1
"51","K00323",1,0.998798742314825,0,1
"52","K00326",1,0.998753605043315,0,1
"53","K00327",1,0.998741336830159,0,1
"54","K00344",1,0.994510200016338,0,3
"55","K00357",1,0.998236394604457,0,1
"56","K00382",1,0.998543060378621,0,1
"57","K00383",1,0.998320748289785,0,1
"58","K00411",1,0.99745689381438,0,1
"59","K00413",1,0.998228323217554,0,1
"60","K00415",1,0.998622848425601,0,1
"61","K00416",1,0.997254019298987,0,1
"62","K00417",1,0.997768263808407,0,1
"63","K00418",1,0.994799850859676,0,1
"64","K00419",1,0.996062466863761,0,1
"65","K00432",1,0.994257986084655,0,2
"66","K00444",1,0.998542887392931,0,1
"67","K00451",1,0.998577597868045,0,1
"68","K00461",1,0.992864583636066,0,5
"69","K00471",1,0.99823716010526,0,1
"70","K00472",1,0.998316079922011,0,1
"71","K00476",1,0.998509278078911,0,1
"72","K00485",1,0.998203397551866,0,1
"73","K00505",1,0.991976246002666,0,3
"74","K00512",1,0.99629634852289,0,1
"75","K00522",1,0.991433350054347,0,3
"76","K00542",1,0.996712984441962,0,1
"77","K00544",1,0.998540195037243,0,1
"78","K00547",1,0.998591266470735,0,1
"79","K00548",1,0.998805375840649,0,1
"80","K00551",1,0.998150499556259,0,1
"81","K00555",1,0.998214265131227,0,1
"82","K00558",1,0.998845375552222,0,1
"83","K00565",1,0.99864760174304,0,1
"84","K00569",1,0.987907293357751,0,3
"85","K00572",1,0.993041869773873,0,4
"86","K00573",1,0.997046020283584,0,1
"87","K00586",1,0.998292367343156,0,1
"88","K00592",1,0.998103614288927,0,1
"89","K00597",1,0.997044232357668,0,1
"90","K00600",1,0.997852755965506,0,1
"91","K00602",1,0.998647440479804,0,1
"92","K00613",1,0.998643133318592,0,1
"93","K00615",1,0.998561925942106,0,1
"94","K00616",1,0.998327454724234,0,1
"95","K00621",1,0.998142612925374,0,1
"96","K00624",1,0.998574677591526,0,1
"97","K00629",1,0.99874230721096,0,1
"98","K00635",1,0.99776405097184,0,1
"99","K00639",1,0.998371572548073,0,1
"100","K00643",1,0.998281877327157,0,1
"101","K00653",1,0.998269730067308,0,1
"102","K00654",1,0.997071165157344,0,2
"103","K00665",1,0.998664919120346,0,1
"104","K00670",1,0.998147126594319,0,1
"105","K00671",1,0.998669918643532,0,1
"106","K00683",1,0.998399836367789,0,1
"107","K00688",1,0.998799329192529,0,1
"108","K00693",1,0.998688497916891,0,1
"109","K00698",1,0.99493377534934,0,4
"110","K00699",1,0.996798422368908,0,2
"111","K00700",1,0.998557014458894,0,1
"112","K00710",1,0.990449141982696,0,5
"113","K00714",1,0.992064057156876,0,4
"114","K00717",1,0.998033535989325,0,1
"115","K00728",1,0.99885128671364,0,1
"116","K00729",1,0.998251934732019,0,1
"117","K00733",1,0.998249489283659,0,1
"118","K00736",1,0.994984115652382,0,2
"119","K00738",1,0.998637911277599,0,1
"120","K00744",1,0.998764883727722,0,1
"121","K00746",1,0.994037489661215,0,2
"122","K00747",1,0.998267085299697,0,1
"123","K00750",1,0.998227056493669,0,1
"124","K00753",1,0.991832977350756,0,2
"125","K00759",1,0.997431318286726,0,1
"126","K00760",1,0.998227537484339,0,1
"127","K00772",1,0.998236780121518,0,1
"128","K00777",1,0.998247633709082,0,1
"129","K00787",1,0.998308538759422,0,1
"130","K00789",1,0.9964468783715,0,2
"131","K00791",1,0.996228015236396,0,1
"132","K00798",1,0.998253658927266,0,1
"133","K00799",1,0.979688648988584,0,8
"134","K00802",1,0.998324556801136,0,1
"135","K00804",1,0.998391172787603,0,1
"136","K00810",1,0.993094119145242,0,2
"137","K00814",1,0.998322565180444,0,1
"138","K00819",1,0.998253307038048,0,1
"139","K00820",1,0.998776746325504,0,1
"140","K00830",1,0.998275682497637,0,1
"141","K00831",1,0.998260328715915,0,1
"142","K00844",1,0.997201219664353,0,2
"143","K00849",1,0.997864993556556,0,1
"144","K00850",1,0.998766621785127,0,1
"145","K00856",1,0.99852108661132,0,1
"146","K00857",1,0.998254276185164,0,1
"147","K00873",1,0.998354441395665,0,1
"148","K00876",1,0.998278034357302,0,1
"149","K00889",1,0.998696577162113,0,1
"150","K00898",1,0.998440419060026,0,1
"151","K00901",1,0.99479457188442,0,4
"152","K00902",1,0.998243392710291,0,1
"153","K00910",1,0.998701059388372,0,1
"154","K00911",1,0.998743623826925,0,1
"155","K00914",1,0.998761064127017,0,1
"156","K00915",1,0.998111464642258,0,1
"157","K00920",1,0.998553858407661,0,1
"158","K00921",1,0.999001375750011,0,1
"159","K00922",1,0.998699924853026,0,1
"160","K00927",1,0.998110822697906,0,1
"161","K00933",1,0.98996535314489,0,3
"162","K00934",1,0.998344929777438,0,1
"163","K00939",1,0.994104021250539,0,4
"164","K00940",1,0.992809255814607,0,3
"165","K00943",1,0.997510857122707,0,1
"166","K00948",1,0.998162856532136,0,1
"167","K00962",1,0.998736893089745,0,1
"168","K00963",1,0.996091657385592,0,2
"169","K00965",1,0.998525898382319,0,1
"170","K00966",1,0.99834665602177,0,1
"171","K00967",1,0.997228537122511,0,1
"172","K00972",1,0.996740246091708,0,2
"173","K00995",1,0.997999743809126,0,1
"174","K01011",1,0.996595317112945,0,2
"175","K01017",1,0.997926185260339,0,1
"176","K01019",1,0.997144203454985,0,1
"177","K01022",1,0.995937598734744,0,1
"179","K01047",1,0.991689776945084,0,3
"180","K01052",1,0.99307274386828,0,4
"181","K01056",1,0.997307993695252,0,1
"182","K01061",1,0.992995607845732,0,2
"183","K01069",1,0.99836636604484,0,1
"184","K01070",1,0.998232469988838,0,1
"185","K01074",1,0.998256000076529,0,1
"186","K01077",1,0.998800692254082,0,1
"187","K01079",1,0.997192668445446,0,1
"188","K01080",1,0.998216821426917,0,1
"189","K01081",1,0.998795814757996,0,1
"190","K01082",1,0.997683727389028,0,1
"191","K01102",1,0.997080644565492,0,1
"192","K01103",1,0.998760877091198,0,1
"193","K01107",1,0.996580157531537,0,1
"194","K01115",1,0.998758835775361,0,1
"195","K01116",1,0.998893694962833,0,1
"196","K01121",1,0.998185457975103,0,1
"197","K01127",1,0.998325037349662,0,1
"198","K01128",1,0.998301033017229,0,1
"199","K01131",1,0.998101150970898,0,1
