,Gene,Dispersion,AIC,logLik,meanExp,X.Intercept.,TreatmentVariable,OriginFlat,TreatmentVariable.OriginFlat,se_.Intercept.,se_TreatmentVariable,se_OriginFlat,se_TreatmentVariable.OriginFlat,Chisq_Treatment,Chisq_Origin,Chisq_Treatment.Origin,Df_Treatment,Df_Origin,Df_Treatment.Origin,P_Treatment,P_Origin,P_Treatment.Origin,Treatment,Origin,Treatment.Origin,Stable_OriginFC,Variable_OriginFC,maxGroupFC,col,RF13B,RF13D,RF14B,RF14C,RF15B,RF15D,RF17B,RF17D,RF18B,RF18D,RF19B,RF19C,RF20B,RF20C,RF22B,RF22C,RF23A,RF23C,RF24B,RF24D,RF25A,RF25C,RS11B,RS11D,RS12A,RS12C,RS13A,RS13C,RS14B,RS14C,RS15B,RS15D,RS1B,RS1C,RS2B,RS2C,RS3B,RS3D,RS6A,RS6D,RS7B,RS7C,RS8B,RS8C,RS9A,RS9C,y_Stable_Slope,y_Variable_Slope,y_Stable_Flat,y_Variable_Flat,xall_1,xall_2,xall_3,yall
827,Pocillopora_acuta_HIv2___RNAseq.g3509.t1,3.989543249,289.5882492,-138.7941246,2.429945694,-2.079441337,3.032546067,5.341028288,-3.1745752,0.999549217,1.167764675,1.168442493,1.447936672,1.964347808,22.50555265,4.806977653,1,1,1,0.161049091,2.10E-06,0.028344716,1,0.000172611,0.99942793,-4.589811879,-2.717446387,Stable,q_Origin < 0.05,13.35518734,11.77314532,28.24710744,16.00610992,13.1090228,21.29134281,25.87584728,31.53833596,19.96073197,35.67462697,25.70031799,11.52530249,23.12964692,41.06936834,9.282764604,13.13826258,30.34953518,22.5287467,43.98944526,61.41800072,9.168697272,13.63878704,0,0,18.36875109,0,0,0,0,0,0,0,0,0,7.036817106,0,0,0,0,0,0,0,0,0,4.604367803,0,0.125000026,2.593750065,26.09090931,22.63636805,0.041811862,8.72727421,8.72727421,208.7272318
2035,Pocillopora_acuta_HIv2___RNAseq.986_t,13.19312585,238.9428208,-113.4714104,1.381268343,-2.079441542,2.11E-15,4.809223584,-2.10E-10,1.329055554,1.879574721,1.723872885,2.437932098,1.08E-20,15.56691058,7.40E-21,1,1,1,1,7.96E-05,1,1,0.002586426,1,-3.859487727,-3.859487727,Stable,q_Origin < 0.05,0,0,22.59768595,22.40855389,0,0,28.12592096,26.86598989,36.39898182,50.16744417,31.15190059,21.89807472,31.22502335,29.20488415,0,0,0,0,0,0,16.04522023,25.45906915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,15.32954547,15.32954546,1,122.6363637,122.6363637,122.6363637
1920,Pocillopora_acuta_HIv2___RNAseq.g25284.t1,9.980655559,361.4741708,-174.7370854,2.908176645,0.108480409,2.38506914,4.575647857,-2.358643099,0.951843108,1.320676688,1.346645484,1.886551732,1.69870221,12.79411005,1.563100934,1,1,1,0.192457787,0.000347712,0.211211761,1,0.006923915,0.99942793,-5.690665798,-3.096865765,Stable,q_Origin < 0.05,0,0,136.527686,138.7196193,350.9184566,81.61681409,312.760241,86.43840226,125.6351953,74.69375021,92.67690427,371.1147401,71.70190546,379.663494,51.82876904,0,65.59415668,13.71315017,28.34875361,64.87816978,0,0,100.3782512,13.01361138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.19476998,0,1.114583072,12.10416428,108.2158957,111.1137339,0.094548429,9.179793942,9.179793942,97.09091977
1247,Pocillopora_acuta_HIv2___RNAseq.g9969.t1,6.450409038,275.2163454,-131.6081727,1.992933135,-1.268511325,2.309965488,4.288936213,-2.074481544,0.913125391,1.183522587,1.193560988,1.606663247,2.189224488,15.48407681,1.667129869,1,1,1,0.138979275,8.32E-05,0.196643406,1,0.00265961,0.99942793,-4.068712752,-2.813248567,Stable,q_Origin < 0.05,0,13.73533621,20.71454545,0,73.61220498,31.04987492,24.75081044,0,14.08992845,0,31.93069811,24.20313522,18.50371754,29.20488415,0,0,30.34953518,25.46727888,0,64.01312752,51.95595121,20.9128068,0,0,0,0,0,0,12.39527351,0,6.020820832,0,3.411737895,0,0,0,0,0,0,0,0,0,0,1.869010299,6.906551704,0,0.28125,2.83333415,20.50000004,25.94318182,0.12562154,9.156414476,9.156414476,72.88888901
62,Pocillopora_acuta_HIv2___RNAseq.g1644.t1,3.057079944,365.1702294,-176.5851147,3.317284262,0.748857788,-0.213339551,3.825853191,-0.218236701,0.542355841,0.773090225,0.756952847,1.075095032,0.368615162,47.83189812,0.041206134,1,1,1,0.543760093,4.64E-12,0.839140551,1,1.48E-09,0.99942793,-4.975670671,-4.562594688,Stable,q_Origin < 0.05,76.02183562,110.8637851,197.7297521,193.1403931,103.8637961,141.9422854,156.3801205,198.5747079,102.1519812,220.7367544,15.5759503,114.1004946,19.66019988,82.13873668,9.282764604,11.11699142,6.853120847,25.46727888,5.865259369,8.650422637,13.75304591,8.183272226,0,2.16893523,5.102430859,1.751052958,0.978665488,2.859479858,3.64566868,0,1.720234524,1.314654756,0,2.879867686,1.759204277,8.076047669,0,0,1.543611448,0,0,2.730136199,1.799040142,1.869010299,2.302183901,1.555357296,2.114583333,1.708333333,97,63,0.803935127,36.87804878,36.87804878,45.87192118
2626,Pocillopora_acuta_HIv2___RNAseq.g5628.t1,3.945761832,370.3289081,-179.164454,3.278875895,0.597505478,0.167544398,3.279155142,-0.180230772,1.42145652,0.87917467,1.562221396,1.229332946,0.015032181,5.468238232,0.021494079,1,1,1,0.902419266,0.019365137,0.883440971,1,0.093319895,0.99942793,-4.127969941,-3.949557071,Stable,Not Significant,36.9835957,33.35724508,65.90991736,58.68906972,28.23481835,33.71129277,75.37746816,52.56389327,73.97212434,57.97126882,26.47911551,97.96507113,42.78984681,59.32242093,59.56440621,73.77639758,18.60132801,37.2214076,32.25892653,20.76101433,59.59653227,31.82383643,0,0,0,0,33.27462661,54.3301173,0,0,0,0,0,0,8.796021383,0,50.56038444,42.21491941,0,0,0,0,0,0,0,0,1.81757915,2.149101561,48.26277795,47.65436572,0.835077476,22.17408734,22.17408734,26.55332944
2345,Pocillopora_acuta_HIv2___RNAseq.g14118.t1,9.320990846,285.214884,-136.607442,1.962337994,0.571450246,-2.84E-15,3.186573584,-0.702201836,0.907610984,1.283569376,1.293503338,1.82990696,0.142611646,9.605488322,0.147253594,1,1,1,0.705698364,0.001939967,0.701173861,1,0.022466355,0.99942793,-3.984633579,-3.004676487,Stable,q_Origin < 0.05,0,10.79204988,30.13024793,51.21955176,0,0,31.50103147,71.25327754,63.40467801,55.74160463,49.84304095,57.62651243,26.59909396,88.52730508,0,0,0,0,0,0,24.44985939,140.0248803,0,0,7.143403203,6.128685353,0,0,0,0,0,0,0,0,0,0,0,0,20.06694882,0,0,0,0,12.14856694,0,0,1.770833333,1.770833333,42.86363636,21.23863636,0.495493107,11.99358289,11.99358289,24.20534759
2040,Pocillopora_acuta_HIv2___RNAseq.g11876.t1,6.825093151,236.6546338,-112.3273169,1.508921364,-0.486810748,0.433322068,2.99696418,-0.731213046,0.839253485,1.166625009,1.154209906,1.618421739,0.004357148,10.52652595,0.204128881,1,1,1,0.947370903,0.001176732,0.651408572,1,0.01602412,0.99942793,-3.042931837,-2.379536318,Stable,q_Origin < 0.05,0,10.79204988,0,0,14.11740917,23.06562137,15.75051574,4.672346068,0,0,4.672785089,12.67783273,0,11.86448419,10.05632832,30.3190675,15.66427622,26.44678961,7.820345825,11.24554943,22.15768507,0,0,0,0,0,0,0,0,0,0,0,0,0,8.796021383,0,0,5.75657992,0,0,0,0,0,0,0,0,0.614583333,0.947916672,12.30681818,9.136363636,0.481324767,9.638361587,9.638361587,20.02465331
1454,Pocillopora_acuta_HIv2___RNAseq.g13824.t1,2.352370528,452.5560615,-220.2780308,4.663709167,2.363209807,-0.064800069,2.648636875,-0.069769566,0.45152756,0.638977429,0.646791025,0.915054143,0.046682844,32.63868783,0.00581351,1,1,1,0.828939318,1.11E-08,0.939223084,1,2.25E-06,0.99942793,-3.700981903,-3.593415309,Stable,q_Origin < 0.05,142.7977723,160.8996527,159.1253719,265.7014247,175.4592283,205.8163138,261.0085465,238.2896495,286.4952117,376.8132473,59.96740864,165.9643558,188.5066224,86.70199982,37.90462213,91.96783808,57.76201857,86.19694391,79.18100148,21.62605659,43.55131204,20.00355433,13.64364579,0,0,0,9.786654885,14.29739929,0,0,0,5.258619022,0,23.99889739,19.35124704,20.76697972,18.47398662,6.716009907,13.89250303,24.48496365,17.59245326,0,11.69376092,12.14856694,18.41747121,17.10893026,10.62500098,9.958333495,150.1818183,131.2727273,0.9326087,13.18219834,13.18219834,14.13475807
1650,Pocillopora_acuta_HIv2___RNAseq.g7172.t1,2.765847913,295.6153454,-141.8076727,2.423560775,0.472604429,1.09861227,2.323151352,-1.071232052,0.531444328,0.72817186,0.734454023,1.021791994,1.178601811,12.01178327,1.099112447,1,1,1,0.277640823,0.000528653,0.294460968,1,0.009252781,0.99942793,-2.738119273,-1.617039207,Stable,q_Origin < 0.05,20.54644206,13.73533621,30.13024793,32.01221985,11.09225007,8.871392835,23.6257736,17.52129776,28.17985689,18.95214558,18.69114036,44.9486797,17.34723519,13.68978945,0,0,3.916069056,8.815596536,7.820345825,12.97563396,19.86551076,14.54803951,0,0,9.184375547,0,0,0,8.749604832,0,0,0,0,0,12.31442994,0,0,0,4.630834343,0,0,0,11.69376092,8.410546346,6.906551704,6.999107834,1.604166696,4.8125,16.375,16.82954545,0.342586173,3.497048406,3.497048406,10.20779202
