"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginFlat","TreatmentVariable:OriginFlat","se_(Intercept)","se_TreatmentVariable","se_OriginFlat","se_TreatmentVariable:OriginFlat","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin"
"Pocillopora_acuta_HIv2___RNAseq.g27841.t1",0.0619286506148784,391.790865237012,-189.895432618506,5.68604350120977,3.85672441364126,0.0990618523383374,0.153912010246322,-0.0747118139764737,0.0852124101765639,0.117039298782174,0.121141602998741,0.16827158163837,0.560268041849059,1.8013240636605,0.197131945714062,1,1,1,0.454152264600706,0.179552504428794,0.657045884843992,0.999999999916938,0.332568806229377,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g14011.t1",0.259022277310572,290.451726677889,-139.225863338945,3.17516667037439,2.53237318702692,-0.220456766602958,-0.53427728480104,0.347611942088499,0.167951447015492,0.240933214879302,0.253143840508876,0.358225114479437,0.125692494304465,4.05524740483268,0.941623559085522,1,1,1,0.722940696767621,0.0440342659960898,0.331860653293086,0.999999999916938,0.151441273765835,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3a",0.0364534346065689,328.670806833108,-158.335403416554,4.94616651491777,3.37587957370636,-0.0647284727197958,0.134308091752499,0.0782239541237063,0.0767254887366005,0.109380606902534,0.109170300716267,0.154888348665339,0.1102793536604,5.00012518734646,0.25505980966905,1,1,1,0.739826319553569,0.0253454853798149,0.613534630034592,0.999999999916938,0.108175067184441,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",0.683830250351721,428.1025610048,-208.0512805024,4.85012120693351,3.24640992506213,-0.15916254267237,0.87484209007989,0.0167422026306039,0.245417095430795,0.34787809768523,0.351955169288049,0.498529157580788,0.367278745268428,12.5544338765933,0.00112783108319507,1,1,1,0.544491334453075,0.000395267326315835,0.973209522007581,0.999999999916938,0.00759557816734582,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g3340.t1",6.16133985052902,257.238132206252,-122.619066103126,1.6897470094003,0.571450395523531,1.05451686708614,1.61178801818961,-0.819409222861999,0.748666039138818,1.04419507075745,1.06341985321967,1.49296050286471,0.76718074269874,2.56780555220603,0.301234742349205,1,1,1,0.38109062761962,0.109058924771222,0.583109381739042,0.999999999916938,0.254115358733662,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g682.t1",0.143287773400575,392.344398220396,-190.172199110198,5.08321394748165,3.68596443762907,-0.168360511120065,-0.198284584513886,0.227083636213965,0.137408487208443,0.170068813648046,0.196126811678047,0.247401574831967,0.24344173718221,0.306309032105003,0.842493890220633,1,1,1,0.62173128731196,0.579953992192508,0.358684489739465,0.999999999916938,0.55794220449436,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g4805.t1",0.085576975070874,342.177229264539,-165.088614632269,4.58620418752667,3.15878631926952,-0.0169188365540007,0.0830249532234363,-0.0168762714309418,0.115194182321233,0.146547609328684,0.164503284240226,0.210357063705234,0.056928498157553,0.345673129330508,0.00643633741879311,1,1,1,0.811418140769205,0.556572745930503,0.936056885548569,0.999999999916938,0.546761616160154,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g11061.t1",3.40014378801899,265.937780062178,-126.968890031089,1.90520754057108,2.39410020182982,-0.911076214251017,-1.03662627924186,1.20966352018149,0.539398275696929,0.770200147534899,0.789587007967194,1.11900177532772,0.365962840370485,0.602650252344647,1.16860466742974,1,1,1,0.545213132254527,0.437568617652599,0.279688129350774,0.999999999916938,0.498599298598577,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g30807.t1",0.623245555549613,342.209064873089,-165.104532436544,3.62718338417817,2.22574904404677,-0.0614686192446948,0.810077686711066,0.304500417956816,0.246851691902722,0.349917068286641,0.349228741008461,0.493507445543363,0.137853419343154,15.216919932623,0.380704813270714,1,1,1,0.710424398399474,9.58408544250494e-05,0.537226273423399,0.999999999916938,0.00281197718316566,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g16217.t1",0.444179441635337,291.32133842679,-139.660669213395,2.85835732699748,2.05532981635359,0.0330985372540053,0.0318984179617958,-0.126299162583503,0.228445840024529,0.31316401110705,0.332807368054008,0.44735886793962,0.0148788519422772,0.0161413023643696,0.0797056009524623,1,1,1,0.902915729167134,0.898902071231146,0.777696768220561,0.999999999916938,0.650314057033831,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g24017.t1",0.0427996877940264,323.578715695782,-155.789357847891,4.60777944600593,3.23374605857076,-0.0131471927781573,-0.0655734490556277,-0.0356297112813548,0.090996547719342,0.112529712365628,0.125168811005431,0.15941799775928,0.115176335466423,0.674456323090234,0.0499516577576066,1,1,1,0.73432620083856,0.411502230950076,0.82314741419338,0.999999999916938,0.485146342215784,0.999427929836143
"Pocillopora_acuta_HIv2___TS.g24370.t1",3.81320847364553,269.309928674689,-128.654964337345,1.9254759631652,1.7028523574398,-0.406414325001152,0.211727941474601,0.85183002629414,0.577018266200599,0.820678238545232,0.832468741740425,1.17847549419066,0.000128921306156347,1.16790713479253,0.522474112596756,1,1,1,0.990940732608984,0.279831685589872,0.469788199951648,0.999999999916938,0.412656379164299,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g22946.t1",0.110710931358892,427.527108288108,-207.763554144054,5.97044528052167,3.98805952328325,0.202012975301785,0.189446638170918,-0.0705545437575576,0.373554725633433,0.304347415751519,0.425666089632153,0.372469080424559,1.44516623911634,0.398691211154076,0.0358814117696122,1,1,1,0.229305156811224,0.527765945047671,0.849760598442165,0.999999999916938,0.537332721423812,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g6933.t1",0.19172499706335,295.566522738427,-141.783261369214,3.21801389018218,2.18707683370621,0.226491539667676,0.0954173594423548,-0.367086595014253,0.174605634083397,0.221623830913004,0.243094532874591,0.322839681970057,0.109583121615186,0.246592070514758,1.29289492135685,1,1,1,0.740619245879615,0.619484994016991,0.255515138192881,0.999999999916938,0.572398674734411,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g16902.t1",0.765472720049418,345.270825450945,-166.635412725472,3.42107894539149,2.65162681118364,-0.498170291320562,0.274097487271918,0.350700452800939,0.263945956758628,0.378325558748565,0.379646351160874,0.541139898728176,1.45916909575829,2.72646928657656,0.420004110872628,1,1,1,0.227062372573246,0.0986972581237313,0.516934993026312,0.999999999916938,0.242095049353792,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g5622.t1",4.26538554364312,267.933799105403,-127.966899552701,1.89813378694424,1.24978234035919,0.0029806285654805,0.973611954710418,0.2847014438863,0.6158943094744,0.870963948971334,0.881432958248738,1.24551467602356,0.0521610145683023,3.21245306140803,0.0522494400998033,1,1,1,0.81934472644537,0.0730798421117308,0.819194310260767,0.999999999916938,0.205387635218695,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g11044.t1",0.270337277568644,782.010731389898,-385.005365694949,11.1805127535022,7.52756979260275,-0.0435289173666672,0.714995092807171,-0.0357687721552049,0.150183493773168,0.212392814574223,0.217082225172841,0.307002065449476,0.15622736990863,20.609920092789,0.0135745508851867,1,1,1,0.692653907999544,5.63036113735487e-06,0.907248460577479,0.999999999916938,0.000352529916935818,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g20607.t1",1.99250457727239,330.906455796542,-159.453227898271,2.82434737302257,2.49526943682438,0.180314963028295,-0.431576252112684,0.34512200791876,0.41583040603347,0.587107869744642,0.604643861304292,0.851666054225577,0.655422261621555,0.366030382165727,0.16421265924921,1,1,1,0.418180724220546,0.545176041217168,0.685307270438559,0.999999999916938,0.542976211177014,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g28116.t1",0.0811479112967055,447.753276743633,-217.876638371817,6.36239013300658,4.60996575942532,-0.224872356712798,-0.2241217206991,0.237252316012799,0.0905934563234826,0.124450333731982,0.132050840833272,0.180462592382074,1.54558496209447,1.19934483783213,1.72840907391261,1,1,1,0.21378840539111,0.273452663421664,0.188614201087903,0.999999999916938,0.407255715057228,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.10518_t",1.6333330250316,379.715242960062,-183.857621480031,3.53624611362709,3.17892150936116,-0.388267779723744,-0.241685442488553,0.551328730975656,0.373605204098146,0.529913975411927,0.541188551399439,0.765959579444631,0.105677188475475,0.0076724375524617,0.518095173170672,1,1,1,0.745120313362291,0.930200601982846,0.471655359830467,0.999999999916938,0.657695804339509,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g438.t1",0.0355300831237617,484.356390163368,-236.178195081684,7.21523092737594,5.07956414681886,-0.123396914853089,-0.119269371481083,0.211204508176162,0.0818228154071281,0.0843310308392689,0.118456891255171,0.121935284241326,0.134899708041059,0.0182167379359408,3.00018184060159,1,1,1,0.713404982835917,0.892636071105487,0.0832551718153414,0.999999999916938,0.649295930015527,0.999427929836143
"Pocillopora_acuta_HIv2___TS.g25171.t1",0.0853223544254884,363.963685125794,-175.981842562897,4.81206588707487,3.24559889500895,0.250908666457525,0.16464832217312,-0.244920624612902,0.101762552177657,0.141389699418251,0.145310639247652,0.203696444904536,1.70511646428489,0.154368326689502,1.44571876454795,1,1,1,0.191620212218581,0.694395299801325,0.229216157205624,0.999999999916938,0.599138556037956,0.999427929836143
