"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.444278179498682 2 18 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 4 5 "GO:0000012" "single strand break repair" 1
0 0.946573415414276 4 28 "GO:0000018" "regulation of DNA recombination" 1
0 1 2 8 "GO:0000022" "mitotic spindle elongation" 1
0 0.00726949587587173 3 21 "GO:0000027" "ribosomal large subunit assembly" 0.341
0 0.000526760493748875 2 17 "GO:0000028" "ribosomal small subunit assembly" 0.0517241379310345
0 0.33999196353478 4 7 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.606504510010156 3 49 "GO:0000041" "transition metal ion transport" 1
0 0.970582402358469 2 26 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.489961467729238 4 12 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 1
0 0.913018994803785 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 0.321359137534125 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.782426935549301 4 113 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 1
0 0.869708987545341 5 93 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 1
0 0.25726330200714 7 9 "GO:0000076;GO:0033314" "DNA replication checkpoint signaling" 1
0 0.982957760955184 2 81 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 1
0 0.338261181505526 2 29 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.182536226445077 5 59 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.938659745350618 -1 8 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.954201637816169 4 46 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.504346631534154 2 19 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.522012407999431 2 9 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
0 0.245108567571442 3 6 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.97973085327639 2 317 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.942146116582423 2 32 "GO:0000132" "establishment of mitotic spindle orientation" 1
0 0.961343832180173 2 15 "GO:0000154" "rRNA modification" 1
0 0.991055451475276 2 122 "GO:0000165" "MAPK cascade" 1
0 5.40528960269541e-10 3 71 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0
0 0.33999196353478 -1 7 "GO:0000185" "obsolete activation of MAPKKK activity" 1
0 0.969648775669385 -1 21 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.86205968579754 -1 51 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.460077983307802 -1 5 "GO:0000188" "obsolete inactivation of MAPK activity" 1
0 0.554233358629082 9 106 "GO:0000209" "protein polyubiquitination" 1
0 0.61063286187245 2 28 "GO:0000212" "meiotic spindle organization" 1
0 0.992140017318746 2 286 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.938659745350618 4 8 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.977432979608238 2 41 "GO:0000245" "spliceosomal complex assembly" 1
0 0.733656947688875 2 12 "GO:0000266" "mitochondrial fission" 1
0 0.68190750090171 3 26 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.931164665366634 4 13 "GO:0000272;GO:0005980;GO:0009251;GO:0044247" "polysaccharide catabolic process" 1
0 0.832032837908379 3 411 "GO:0000278;GO:1903047" "mitotic cell cycle" 1
0 0.967306893627268 2 189 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.57895954311732 2 107 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.07869127951613 4 36 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.261511128758846 3 15 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.245108567571442 5 6 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 1
0 0.107441987780724 -1 23 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 0.673428842342617 2 97 "GO:0000302" "response to reactive oxygen species" 1
0 0.931164665366634 3 13 "GO:0000305;GO:0000303" "response to oxygen radical" 1
0 0.0917625061922527 8 9 "GO:0000338" "protein deneddylation" 1
0 0.931188798264383 2 269 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 1
0 0.969502684997968 6 10 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 0.820609366806588 2 49 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.636756973525015 2 25 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.602092194555744 2 10 "GO:0000389" "mRNA 3'-splice site recognition" 1
0 0.567562691175983 5 6 "GO:0000393;GO:0000350" "spliceosomal conformational changes to generate catalytic conformation" 1
0 0.876672135865024 3 6 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 0.654895801155555 3 29 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 1 -1 5 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 1
0 0.994693428942802 2 15 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 0.658590982232464 3 7 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.460077983307802 3 5 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.68190750090171 2 26 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.246364051303943 3 30 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.183707392756079 2 8 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.59164948653581 2 17 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.370094176355486 -1 20 "GO:0000469" "obsolete cleavage involved in rRNA processing" 1
0 0.0947327715243932 2 17 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.627541780300373 2 14 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 1
0 0.183707392756079 2 8 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 1
0 0.845165458136895 4 95 "GO:0000578;GO:0009948;GO:0007351;GO:0008595" "anterior/posterior axis specification" 1
0 0.33515957270137 2 10 "GO:0000712" "resolution of meiotic recombination intermediates" 1
0 0.530228129916242 4 16 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 1
0 0.328520279990317 3 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.360015707857631 2 49 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.589478266624343 5 52 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.587149834381587 -1 31 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 1
0 0.841937460786903 5 10 "GO:0000729" "DNA double-strand break processing" 1
0 0.358583800544701 5 23 "GO:0000731;GO:0006301;GO:0019985" "postreplication repair" 1
0 0.028292411519319 -1 19 "GO:0000737;GO:0006308;GO:0006309;GO:0006921;GO:0030262" "cellular component disassembly involved in execution phase of apoptosis" 0.694554455445545
0 0.118280227385779 3 35 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.999887754873303 -1 477 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0032990;GO:0048667" "neuron projection development" 1
0 0.97849911001712 2 11 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 1
0 0.33999196353478 5 7 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 0.931164665366634 3 13 "GO:0000920;GO:0039702;GO:0046755" "viral budding" 1
0 0.0431061164187132 2 10 "GO:0000959" "mitochondrial RNA metabolic process" 0.874
0 0.899987724387773 2 25 "GO:0000966" "RNA 5'-end processing" 1
0 0.972208352787831 3 141 "GO:0001101" "response to acid chemical" 1
0 0.825153895083518 6 5 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 1
0 0.545670739849892 4 157 "GO:0001501" "skeletal system development" 1
0 0.658590982232464 3 7 "GO:0001502;GO:0098743" "cell aggregation" 1
0 0.97406081310856 2 66 "GO:0001503" "ossification" 1
0 0.522012407999431 2 9 "GO:0001504" "neurotransmitter uptake" 1
0 0.950058686536074 -1 166 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.996207561133917 4 34 "GO:0001508" "action potential" 1
0 0.968953716577827 5 35 "GO:0001510" "RNA methylation" 1
0 0.321359137534125 4 16 "GO:0001516;GO:0046457;GO:0006636;GO:0019371" "unsaturated fatty acid biosynthetic process" 1
0 0.118597372953658 2 7 "GO:0001522" "pseudouridine synthesis" 1
0 0.464956569796831 4 15 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.997645890409134 2 88 "GO:0001525" "angiogenesis" 1
0 0.989763250859032 3 40 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium or flagellum-dependent cell motility" 1
0 0.636756973525015 2 25 "GO:0001541" "ovarian follicle development" 1
0 0.876672135865024 2 6 "GO:0001553" "luteinization" 1
0 0.602092194555744 3 10 "GO:0001556" "oocyte maturation" 1
0 0.983831995104551 4 188 "GO:0001558" "regulation of cell growth" 1
0 0.999944833206797 2 174 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 0.908714732229958 2 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.911509858451085 3 34 "GO:0001570" "vasculogenesis" 1
0 0.99569013532051 3 76 "GO:0001578;GO:0035082" "microtubule bundle formation" 1
0 0.87799115022433 3 24 "GO:0001649" "osteoblast differentiation" 1
0 0.948502419886589 3 403 "GO:0001654;GO:0007423" "sensory organ development" 1
0 0.828675897954679 2 170 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.68190750090171 5 26 "GO:0001656" "metanephros development" 1
0 0.922223995490623 5 47 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 1
0 0.940123955005139 2 23 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 1 2 6 "GO:0001659" "temperature homeostasis" 1
0 0.938659745350618 3 8 "GO:0001662;GO:0002209;GO:0042596" "behavioral defense response" 1
0 0.792220057498678 2 153 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.897923183976042 4 173 "GO:0001667" "ameboidal-type cell migration" 1
0 1 4 8 "GO:0001675" "acrosome assembly" 1
0 0.78304972018376 4 40 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.567562691175983 2 6 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 1
0 0.917806906644676 2 101 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.996075131931858 2 156 "GO:0001701" "in utero embryonic development" 1
0 0.828248732617662 5 14 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.723319657098728 5 27 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 1
0 0.999994588381566 2 69 "GO:0001704;GO:0001707;GO:0048332" "formation of primary germ layer" 1
0 0.996670040970136 2 29 "GO:0001706;GO:0035987" "endoderm formation" 1
0 0.980907931364533 2 72 "GO:0001708" "cell fate specification" 1
0 0.879488642239882 2 90 "GO:0001709" "cell fate determination" 1
0 0.999990405206304 2 33 "GO:0001710;GO:0060795;GO:0048333" "cell fate commitment involved in formation of primary germ layer" 1
0 0.998692337867872 2 19 "GO:0001711" "endodermal cell fate commitment" 1
0 0.25726330200714 3 9 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.785240099978243 4 13 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 1
0 0.963510323248889 2 68 "GO:0001738;GO:0001736;GO:0007164" "morphogenesis of a polarized epithelium" 1
0 1 3 7 "GO:0001742;GO:0007438" "oenocyte differentiation" 1
0 0.894736985530046 2 158 "GO:0001745;GO:0048749" "compound eye development" 1
0 0.825153895083518 6 5 "GO:0001746;GO:0055034" "Bolwig's organ development" 1
0 0.310410826792379 2 67 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.960559807507781 5 20 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 1
0 0.21019614892598 6 20 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.648033775619524 2 36 "GO:0001756" "somitogenesis" 1
0 0.567562691175983 2 6 "GO:0001757" "somite specification" 1
0 0.984130911924774 6 18 "GO:0001759;GO:0003347;GO:0060979;GO:1904847;GO:2000544" "regulation of endothelial cell chemotaxis to fibroblast growth factor" 1
0 0.999553808185207 2 101 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 1
0 0.442837736061126 4 58 "GO:0001764" "neuron migration" 1
0 0.938659745350618 2 8 "GO:0001773;GO:0097028;GO:0043011" "myeloid dendritic cell activation" 1
0 0.817285439030229 2 318 "GO:0001775;GO:0045321" "cell activation" 1
0 0.102003132917166 2 20 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.328520279990317 2 13 "GO:0001782" "B cell homeostasis" 1
0 0.0659085951492711 7 6 "GO:0001783;GO:0044346" "B cell apoptotic process" 0.996531791907515
0 0.970025600776418 2 44 "GO:0001816" "cytokine production" 1
0 0.985452203365499 5 158 "GO:0001817" "regulation of cytokine production" 1
0 0.981516448989443 2 68 "GO:0001818" "negative regulation of cytokine production" 1
0 0.865889524553688 2 89 "GO:0001819" "positive regulation of cytokine production" 1
0 0.817796411047609 2 126 "GO:0001822" "kidney development" 1
0 0.731817386713709 3 42 "GO:0001824" "blastocyst development" 1
0 0.530228129916242 2 16 "GO:0001825" "blastocyst formation" 1
0 0.522012407999431 3 9 "GO:0001829" "trophectodermal cell differentiation" 1
0 0.733656947688875 2 12 "GO:0001832" "blastocyst growth" 1
0 0.658590982232464 2 7 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.658590982232464 2 7 "GO:0001836" "release of cytochrome c from mitochondria" 1
0 0.699078148259396 2 41 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.420004877984442 2 74 "GO:0001838" "embryonic epithelial tube formation" 1
0 1 3 6 "GO:0001840" "neural plate development" 1
0 0.464291768192919 6 62 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 1
0 0.793968407540671 3 9 "GO:0001845" "phagolysosome assembly" 1
0 0.913018994803785 4 7 "GO:0001881" "receptor recycling" 1
0 0.530228129916242 5 16 "GO:0001885" "endothelial cell development" 1
0 0.106225282081749 2 92 "GO:0001889;GO:0061008" "hepaticobiliary system development" 1
0 0.998218918270403 2 62 "GO:0001890" "placenta development" 1
0 0.994875990696507 2 38 "GO:0001892;GO:0060711" "embryonic placenta development" 1
0 0.931164665366634 3 13 "GO:0001893" "maternal placenta development" 1
0 0.775273820750542 4 91 "GO:0001894" "tissue homeostasis" 1
0 0.696063249745938 2 30 "GO:0001895;GO:0045494" "retina homeostasis" 1
0 0.197684939124585 2 11 "GO:0001906" "cell killing" 1
0 0.913018994803785 3 7 "GO:0001909" "leukocyte mediated cytotoxicity" 1
0 0.25726330200714 2 9 "GO:0001910" "regulation of leukocyte mediated cytotoxicity" 1
0 0.245108567571442 6 6 "GO:0001912" "positive regulation of leukocyte mediated cytotoxicity" 1
0 1 3 5 "GO:0001913" "T cell mediated cytotoxicity" 1
0 0.948317320824796 4 14 "GO:0001919" "regulation of receptor recycling" 1
0 1 5 8 "GO:0001921" "positive regulation of receptor recycling" 1
0 0.460077983307802 3 5 "GO:0001922" "B-1 B cell homeostasis" 1
0 0.558022551149405 5 185 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.999284014416858 2 346 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 1
0 0.908714732229958 2 12 "GO:0001935" "endothelial cell proliferation" 1
0 0.659159503297633 6 47 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.489961467729238 4 12 "GO:0001937" "negative regulation of endothelial cell proliferation" 1
0 0.938659745350618 3 8 "GO:0001941" "postsynaptic membrane organization" 1
0 0.934962638694748 2 44 "GO:0001942;GO:0022405;GO:0042633;GO:0098773" "hair cycle" 1
0 0.984843144361408 3 12 "GO:0001945" "lymph vessel development" 1
0 1 2 6 "GO:0001946;GO:0036303" "lymphangiogenesis" 1
0 0.954201637816169 4 46 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.996865341253051 2 45 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.733656947688875 2 12 "GO:0001953" "negative regulation of cell-matrix adhesion" 1
0 0.991347792571734 3 20 "GO:0001954" "positive regulation of cell-matrix adhesion" 1
0 0.397141422784169 2 14 "GO:0001956" "positive regulation of neurotransmitter secretion" 1
0 0.760881922174154 4 28 "GO:0001958;GO:0036075;GO:0060350" "endochondral bone morphogenesis" 1
0 0.460440489967445 5 35 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.956746162576861 3 9 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.0346726507396538 3 12 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.745614035087719
0 0.956746162576861 4 9 "GO:0001964" "startle response" 1
0 0.658590982232464 2 7 "GO:0001967" "suckling behavior" 1
0 0.33515957270137 3 10 "GO:0001974" "blood vessel remodeling" 1
0 0.956746162576861 2 9 "GO:0001975" "response to amphetamine" 1
0 0.822876635654754 5 18 "GO:0001990;GO:0003044;GO:0003081" "regulation of systemic arterial blood pressure by hormone" 1
0 0.561713106724314 3 13 "GO:0001991;GO:0002002;GO:0002003" "regulation of systemic arterial blood pressure by circulatory renin-angiotensin" 1
0 0.850752460020493 2 27 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 0.863644997014844 2 15 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.899987724387773 5 25 "GO:0002027" "regulation of heart rate" 1
0 0.946573415414276 2 28 "GO:0002028;GO:1902305" "regulation of sodium ion transport" 1
0 0.155508581360357 4 5 "GO:0002029;GO:0022401" "desensitization of G protein-coupled receptor signaling pathway" 1
0 0.876672135865024 6 6 "GO:0002036;GO:0010958;GO:1903789" "regulation of amino acid transmembrane transport" 1
0 0.87799115022433 2 24 "GO:0002040" "sprouting angiogenesis" 1
0 1 8 5 "GO:0002042" "cell migration involved in sprouting angiogenesis" 1
0 0.931164665366634 3 13 "GO:0002052" "positive regulation of neuroblast proliferation" 1
0 0.630391637423715 2 32 "GO:0002053;GO:0010464" "regulation of mesenchymal cell proliferation" 1
0 0.929397769120608 3 31 "GO:0002062" "chondrocyte differentiation" 1
0 0.956746162576861 4 9 "GO:0002063" "chondrocyte development" 1
0 0.940376910606391 2 249 "GO:0002064;GO:0002065;GO:0002066" "epithelial cell development" 1
0 0.824595679027614 2 30 "GO:0002067" "glandular epithelial cell differentiation" 1
0 0.261511128758846 2 15 "GO:0002068;GO:0003309;GO:0003323" "type B pancreatic cell differentiation" 1
0 0.245108567571442 3 6 "GO:0002070" "epithelial cell maturation" 1
0 0.245108567571442 2 6 "GO:0002072;GO:0003408" "optic cup morphogenesis involved in camera-type eye development" 1
0 0.307014105001774 8 22 "GO:0002082;GO:1903715" "regulation of aerobic respiration" 1
0 0.894219462068633 2 33 "GO:0002088" "lens development in camera-type eye" 1
0 0.561883398039298 2 20 "GO:0002089;GO:0055062;GO:0072505;GO:0072506" "lens morphogenesis in camera-type eye" 1
0 0.9525505159613 3 24 "GO:0002090" "regulation of receptor internalization" 1
0 0.948317320824796 5 14 "GO:0002092" "positive regulation of receptor internalization" 1
0 0.97849911001712 2 11 "GO:0002093;GO:0060088" "auditory receptor cell morphogenesis" 1
0 0.658590982232464 3 7 "GO:0002097;GO:0002098" "tRNA wobble base modification" 1
0 0.183707392756079 3 8 "GO:0002118;GO:0002121" "aggressive behavior" 1
0 0.664172885091856 2 163 "GO:0002119" "nematode larval development" 1
0 0.591142181476725 3 228 "GO:0002164" "larval development" 1
0 0.957160002613135 2 253 "GO:0002165;GO:0007560;GO:0007552;GO:0009886;GO:0048563;GO:0048707" "instar larval or pupal development" 1
0 0.568287748665462 2 41 "GO:0002168" "instar larval development" 1
0 6.14202383642383e-19 4 90 "GO:0002181" "cytoplasmic translation" 0
0 0.561713106724314 2 13 "GO:0002183" "cytoplasmic translational initiation" 1
0 0.711950532609367 2 23 "GO:0002200;GO:0002562;GO:0016444" "somatic diversification of immune receptors" 1
0 0.433762706002001 2 8 "GO:0002204;GO:0002208;GO:0002381;GO:0045190" "immunoglobulin production involved in immunoglobulin-mediated immune response" 1
0 0.838456091745701 4 46 "GO:0002218;GO:0002758" "activation of innate immune response" 1
0 0.822876635654754 3 18 "GO:0002220" "innate immune response activating cell surface receptor signaling pathway" 1
0 0.541685317532003 6 30 "GO:0002221" "pattern recognition receptor signaling pathway" 1
0 0.863644997014844 3 15 "GO:0002223;GO:1990858;GO:1990840" "cellular response to lectin" 1
0 0.821553115764875 2 22 "GO:0002224" "toll-like receptor signaling pathway" 1
0 0.567562691175983 2 6 "GO:0002227;GO:1902732" "innate immune response in mucosa" 1
0 0.25726330200714 4 9 "GO:0002230" "positive regulation of defense response to virus by host" 1
0 0.11838176293623 3 96 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 1
0 0.403546864800469 3 37 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 0.894219462068633 3 33 "GO:0002250;GO:0002460" "adaptive immune response" 1
0 0.785240099978243 4 13 "GO:0002251;GO:0002385" "mucosal immune response" 1
0 0.588021824805619 2 293 "GO:0002252" "immune effector process" 1
0 0.839834161892133 3 102 "GO:0002253;GO:0002757;GO:0002764" "activation of immune response" 1
0 0.268755128993818 2 40 "GO:0002262;GO:0034101;GO:0030218" "myeloid cell homeostasis" 1
0 0.633529266877384 2 234 "GO:0002263;GO:0002274;GO:0002275;GO:0002366;GO:0002283;GO:0042119;GO:0036230;GO:0002443;GO:0002444;GO:0002446;GO:0043299;GO:0043312" "cell activation involved in immune response" 1
0 0.476643004385037 2 32 "GO:0002285" "lymphocyte activation involved in immune response" 1
0 0.464956569796831 4 15 "GO:0002286" "T cell activation involved in immune response" 1
0 0.672733077698966 6 11 "GO:0002287;GO:0002292;GO:0002293;GO:0002294;GO:0043367;GO:0035710;GO:0042093" "CD4-positive, alpha-beta T cell activation" 1
0 0.822876635654754 5 18 "GO:0002312" "B cell activation involved in immune response" 1
0 1 2 10 "GO:0002313;GO:0002335" "mature B cell differentiation" 1
0 1 4 7 "GO:0002315" "marginal zone B cell differentiation" 1
0 0.460077983307802 4 5 "GO:0002320" "lymphoid progenitor cell differentiation" 1
0 0.155508581360357 2 5 "GO:0002327" "immature B cell differentiation" 1
0 0.567562691175983 2 6 "GO:0002360" "T cell lineage commitment" 1
0 0.307014105001774 2 22 "GO:0002377;GO:0002440" "production of molecular mediator of immune response" 1
0 0.86550682614934 2 74 "GO:0002429;GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 1
0 0.852303384537797 3 35 "GO:0002431;GO:0002433;GO:0038094;GO:0038096" "immune response-regulating cell surface receptor signaling pathway involved in phagocytosis" 1
0 0.460077983307802 3 5 "GO:0002437" "inflammatory response to antigenic stimulus" 1
0 0.87799115022433 2 24 "GO:0002449" "lymphocyte mediated immunity" 1
