"","GOterm","ParentTerm","Factor","term","bh_adjust_Up","bh_adjust_Down","bh_adjust_Biomin"
"1","GO:0000003","reproduction","Down, Up, Biomin","reproduction",1.82810160859898e-160,1.8113603676584e-152,1.28678866434746e-09
"2","GO:0000028","ribosome biogenesis","Down","ribosomal small subunit assembly",NA,4.85598849569905e-06,NA
"3","GO:0000041","monoatomic ion transport","Down, Up","transition metal ion transport",6.53671393612769e-08,5.69380054421509e-07,NA
"4","GO:0000070","mitochondrion organization","Down, Up","mitotic sister chromatid segregation",1.13594251131392e-14,1.10359651720899e-09,NA
"5","GO:0000075","cell cycle","Down, Up","cell cycle checkpoint signaling",2.29826014226917e-16,8.30496497684822e-12,NA
"6","GO:0000077","intracellular signal transduction","Down, Up","DNA damage checkpoint signaling",8.10021603121624e-11,1.71878172439623e-07,NA
"7","GO:0000082","cell cycle","Down, Up","G1/S transition of mitotic cell cycle",1.11015970220706e-09,1.16184879329095e-10,NA
"8","GO:0000086","cell cycle","Up","G2/M transition of mitotic cell cycle",6.69675443991223e-09,NA,NA
"9","GO:0000122","negative regulation of transcription by RNA polymerase II","Down, Up","negative regulation of transcription by RNA polymerase II",5.49159397301864e-52,6.23170741072085e-44,NA
"10","GO:0000165","intracellular signal transduction","Down, Up","MAPK cascade",6.52003427312903e-21,3.42733772080991e-15,NA
"11","GO:0000184","ubiquitin-dependent protein catabolic process","Down, Up","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",8.72257423804937e-06,9.7789056849273e-21,NA
"12","GO:0000209","protein ubiquitination","Down, Up","protein polyubiquitination",2.10932420041795e-17,1.67999645657692e-16,NA
"13","GO:0000226","microtubule cytoskeleton organization","Down, Up, Biomin","microtubule cytoskeleton organization",3.8672053202787e-45,4.836900133354e-38,9.96617622960544e-06
"14","GO:0000245","protein homooligomerization","Up","spliceosomal complex assembly",9.99717978867908e-07,NA,NA
"15","GO:0000278","cell cycle","Down, Up","mitotic cell cycle",6.59652589010847e-70,1.89721803566494e-60,NA
"16","GO:0000280","mitochondrion organization","Down, Up","nuclear division",2.50022414152607e-33,3.06527915438234e-22,NA
"17","GO:0000281","cell division","Down, Up","mitotic cytokinesis",1.01604302132631e-14,4.87584969904706e-10,NA
"18","GO:0000288","mRNA processing","Down, Up","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",5.02123585780755e-06,1.58381953041913e-07,NA
"19","GO:0000302","IRE1-mediated unfolded protein response","Down, Up","response to reactive oxygen species",9.04425180770226e-16,1.32848333888235e-15,NA
"20","GO:0000375","mRNA processing","Down, Up","RNA splicing, via transesterification reactions",1.64119115713875e-28,1.50174750158164e-32,NA
"21","GO:0000377","mRNA processing","Down, Up","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",3.51481720578337e-28,1.82610461505392e-31,NA
"22","GO:0000381","mRNA processing","Down, Up","regulation of alternative mRNA splicing, via spliceosome",1.24196254560372e-06,2.54638889079704e-08,NA
"23","GO:0000398","mRNA processing","Down, Up","mRNA splicing, via spliceosome",3.51481720578337e-28,1.82610461505392e-31,NA
"24","GO:0000462","ribosome biogenesis","Down","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",NA,5.31221261613133e-06,NA
"25","GO:0000578","anterior/posterior pattern specification","Down, Up","embryonic axis specification",7.48960338683555e-13,2.25693551478313e-11,NA
"26","GO:0000723","mitochondrion organization","Down, Up","telomere maintenance",1.40294661965459e-07,1.80349681373714e-08,NA
"27","GO:0000724","DNA replication","Down, Up","double-strand break repair via homologous recombination",1.59525991136564e-08,2.3660778676188e-08,NA
"28","GO:0000725","DNA replication","Down, Up","recombinational repair",1.59525991136564e-08,2.3660778676188e-08,NA
"29","GO:0000768","anatomical structure morphogenesis","Down","syncytium formation by plasma membrane fusion",NA,4.82951492249608e-07,NA
"30","GO:0000819","cell cycle","Down, Up","sister chromatid segregation",6.00022668414235e-17,3.26408271558916e-11,NA
"31","GO:0000902","anatomical structure morphogenesis","Down, Up, Biomin","cell morphogenesis",4.39381195349161e-74,9.57021532843577e-61,1.50452017632537e-07
"32","GO:0000904","anatomical structure morphogenesis","Down, Up, Biomin","cell morphogenesis involved in differentiation",4.23749946102689e-60,4.75088484555989e-51,1.50452017632537e-07
"33","GO:0000910","cell division","Down, Up","cytokinesis",1.18799122262581e-17,4.09864474515645e-16,NA
"34","GO:0000956","ubiquitin-dependent protein catabolic process","Down, Up","nuclear-transcribed mRNA catabolic process",1.27602634141385e-12,7.41875361675334e-31,NA
"35","GO:0001101","cellular oxidant detoxification","Down, Up","response to acid chemical",2.27103266168706e-27,3.14815178444662e-17,NA
"36","GO:0001505","regulation of membrane potential","Down, Up","regulation of neurotransmitter levels",8.99948749224751e-26,1.05451243901635e-26,NA
"37","GO:0001508","regulation of membrane potential","Up","action potential",5.68791948808247e-06,NA,NA
"38","GO:0001510","protein ubiquitination","Up","RNA methylation",2.53643091288313e-07,NA,NA
"39","GO:0001525","nervous system development","Down, Up","angiogenesis",1.93993216031487e-17,4.75741647951708e-08,NA
"40","GO:0001558","positive regulation of multicellular organism growth","Down, Up","regulation of cell growth",1.5051460046815e-30,6.59077924377044e-26,NA
"41","GO:0001568","nervous system development","Down, Up","blood vessel development",3.4428894703465e-30,7.41364078414385e-17,NA
"42","GO:0001578","microtubule cytoskeleton organization","Down, Up","microtubule bundle formation",3.50438851174707e-11,2.42554399906995e-10,NA
"43","GO:0001654","vulval development","Down, Up, Biomin","eye development",7.40224201750804e-51,1.87356932069325e-44,1.44433162527052e-07
"44","GO:0001666","response to heat","Down, Up","response to hypoxia",8.85201327824807e-21,2.61778554157082e-21,NA
"45","GO:0001667","regulation of cell migration","Down, Up","ameboidal-type cell migration",3.40501283380232e-30,6.23361839515204e-23,NA
"46","GO:0001676","lipid metabolic process","Up","long-chain fatty acid metabolic process",1.08309681021714e-07,NA,NA
"47","GO:0001678","intracellular calcium ion homeostasis","Down","intracellular glucose homeostasis",NA,3.6865781177372e-06,NA
"48","GO:0001704","embryo development ending in birth or egg hatching","Up","formation of primary germ layer",3.02056908318348e-13,NA,NA
"49","GO:0001706","morphogenesis of an epithelium","Up","endoderm formation",5.07433498891452e-06,NA,NA
"50","GO:0001707","morphogenesis of an epithelium","Up","mesoderm formation",6.62023926812591e-10,NA,NA
"51","GO:0001708","cell fate specification","Down, Up","cell fate specification",3.44421834686475e-13,1.04616270260778e-06,NA
"52","GO:0001709","cell fate specification","Down, Up","cell fate determination",1.01738613266159e-14,9.41879724179926e-14,NA
"53","GO:0001736","anatomical structure morphogenesis","Down, Up","establishment of planar polarity",5.13628668023579e-09,4.89494326851362e-06,NA
"54","GO:0001738","morphogenesis of an epithelium","Down, Up","morphogenesis of a polarized epithelium",2.85906095489352e-12,5.26113093787975e-08,NA
"55","GO:0001763","anatomical structure morphogenesis","Down, Up","morphogenesis of a branching structure",7.8721156075655e-19,2.76987858834098e-09,NA
"56","GO:0001764","regulation of cell migration","Down, Up","neuron migration",1.70603909621941e-08,7.25352718843416e-09,NA
"57","GO:0001775","cell activation","Down, Up","cell activation",8.18211128001762e-53,7.02362843679938e-50,NA
