"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"1","",0,1,291,291,0
"2","K07271",4.27305504909214e-05,1,2,2,0.00474932516393881
"3","K08621",5.52247112085908e-05,1,3,3,0.00474932516393881
"4","K10408",0.000118135523487739,1,3,3,0.00761974126495919
"5","K20876",0.000209605853642302,1,2,2,0.00881415369344349
"6","K00505",0.000221188169090335,1,2,2,0.00881415369344349
"7","K16866",0.00023914370486087,1,2,2,0.00881415369344349
"8","K08187",0.000374649136505743,1,2,2,0.0120824346523102
"9","K10862",0.000479981091671264,1,2,2,0.0137594579612429
"10","K20795",0.000571878767251399,1,2,2,0.0147544721950861
"11","K04984",0.000709427827236875,1,2,2,0.0166393072206467
"12","K01415",0.000907798002242753,1,2,2,0.0195176570482192
"13","K04988",0.00125474400918082,1,2,2,0.0249018426437424
"14","K16669",0.00136929164660101,1,2,2,0.0252340889159329
"15","K17566",0.00421209930387392,1,1,1,0.0401355244305241
"16","K04513",0.00452993325290358,1,1,1,0.0401355244305241
"17","K09267",0.00540573432370296,1,1,1,0.0401355244305241
"18","K20198",0.00551005465104697,1,1,1,0.0401355244305241
"19","K21247",0.00626931061420472,1,1,1,0.0401355244305241
"20","K25186",0.00652565337805224,1,1,1,0.0401355244305241
"21","K20364",0.00808743488347312,1,1,1,0.0401355244305241
"22","K05330",0.00822923378138373,1,1,1,0.0401355244305241
"23","K10442",0.00850562751132007,1,1,1,0.0401355244305241
"24","K25396",0.00883840271554833,1,1,1,0.0401355244305241
"25","K23896",0.0091516427256063,1,1,1,0.0401355244305241
"26","K09396",0.00927281555183927,1,1,1,0.0401355244305241
"27","K24835",0.0097107226056526,1,1,1,0.0401355244305241
"28","K13127",0.0101562680921081,1,1,1,0.0401355244305241
"29","K00432",0.0103733389997939,1,1,1,0.0401355244305241
"30","K02187",0.0104835704872861,1,1,1,0.0401355244305241
"31","K01855",0.0106329661513173,1,1,1,0.0401355244305241
"32","K03098",0.0110843118099008,1,1,1,0.0401355244305241
"33","K01047",0.0111762131557087,1,1,1,0.0401355244305241
"34","K22383",0.0112099559688594,1,1,1,0.0401355244305241
"35","K01183",0.011745838648211,1,1,1,0.0401355244305241
"36","K02270",0.0119958806291502,1,1,1,0.0401355244305241
"37","K13122",0.0127647830139629,1,1,1,0.0401355244305241
"38","K23800",0.0130905458285195,1,1,1,0.0401355244305241
"39","K00597",0.0133372572278829,1,1,1,0.0401355244305241
"40","K01312",0.0135743725078607,1,1,1,0.0401355244305241
"41","K01019",0.0137980941424719,1,1,1,0.0401355244305241
"42","K02152",0.0138414268635575,1,1,1,0.0401355244305241
"43","K00967",0.0141844751086049,1,1,1,0.0401355244305241
"44","K06974",0.0146995617690507,1,1,1,0.0401355244305241
"45","K03022",0.015217177209638,1,1,1,0.0401355244305241
"46","K11098",0.0155678652028236,1,1,1,0.0401355244305241
"47","K19328",0.0156070597902384,1,1,1,0.0401355244305241
"48","K17805",0.0156904413416852,1,1,1,0.0401355244305241
"49","K20630",0.0159741853311015,1,1,1,0.0401355244305241
"50","K17284",0.0160377054946039,1,1,1,0.0401355244305241
"51","K15365",0.0160813740491672,1,1,1,0.0401355244305241
"52","K04097",0.0162986486531613,1,1,1,0.0401355244305241
"53","K01179",0.0163372396518785,1,1,1,0.0401355244305241
"54","K13504",0.0167301845596562,1,1,1,0.0401355244305241
"55","K13985",0.0167394715954506,1,1,1,0.0401355244305241
"56","K13353",0.0167648968717634,1,1,1,0.0401355244305241
"57","K03236",0.0168266021944378,1,1,1,0.0401355244305241
"58","K00274",0.0168559606849379,1,1,1,0.0401355244305241
"59","K03174",0.0169360910178686,1,1,1,0.0401355244305241
"60","K25470",0.0170231530526274,1,1,1,0.0401355244305241
"61","K01534",0.0170574103979185,1,1,1,0.0401355244305241
"62","K02890",0.0171665705239599,1,1,1,0.0401355244305241
"63","K13128",0.0175483729214624,1,1,1,0.0401355244305241
"64","K09402",0.0176090304241374,1,1,1,0.0401355244305241
"65","K23570",0.0177831070730185,1,1,1,0.0401355244305241
"66","K08805",0.0177848388066231,1,1,1,0.0401355244305241
"67","K17924",0.017870340405858,1,1,1,0.0401355244305241
"68","K19269",0.0178955866073102,1,1,1,0.0401355244305241
"69","K14998",0.0179173203964836,1,1,1,0.0401355244305241
"70","K14295",0.0180272632803634,1,1,1,0.0401355244305241
"71","K06670",0.018048209822869,1,1,1,0.0401355244305241
"72","K14970",0.0181511834821915,1,1,1,0.0401355244305241
"73","K09210",0.0181667762313926,1,1,1,0.0401355244305241
"74","K06210",0.0182039408273495,1,1,1,0.0401355244305241
"75","K11188",0.0183566304265338,1,1,1,0.0401355244305241
"76","K15050",0.0183595977268312,1,1,1,0.0401355244305241
"77","K15414",0.0185669356491897,1,1,1,0.0401355244305241
"78","K14613",0.0185711941448664,1,1,1,0.0401355244305241
"79","K24934",0.0187308077517175,1,1,1,0.0401355244305241
"80","K17969",0.0189671677514087,1,1,1,0.0401355244305241
"81","K23964",0.0191563385062776,1,1,1,0.0401355244305241
"82","K07877",0.0191860899937553,1,1,1,0.0401355244305241
"83","K01310",0.0193561235774936,1,1,1,0.0401355244305241
"84","K15456",0.0194539499351278,1,1,1,0.0401355244305241
"85","K09519",0.0194719970363116,1,1,1,0.0401355244305241
"86","K13344",0.0195587547634458,1,1,1,0.0401355244305241
"87","K02729",0.0196353754914257,1,1,1,0.0401355244305241
"88","K14152",0.0198622099601359,1,1,1,0.0401355244305241
"89","K12625",0.0199090319549586,1,1,1,0.0401355244305241
"90","K23915",0.0199764457405327,1,1,1,0.0401355244305241
"91","K04345",0.0201650073814847,1,1,1,0.0401355244305241
"92","K02583",0.0201993149110183,1,1,1,0.0401355244305241
"93","K24032",0.0203075254529982,1,1,1,0.0401355244305241
"94","K00344",0.0203893489902236,1,1,1,0.0401355244305241
"95","K01135",0.0204273816770447,1,1,1,0.0401355244305241
"96","K01283",0.0204447778077779,1,1,1,0.0401355244305241
"97","K13025",0.0204674933423655,1,1,1,0.0401355244305241
"98","K04824",0.0204709980822751,1,1,1,0.0401355244305241
"99","K10687",0.0205773677360732,1,1,1,0.0401355244305241
"100","K01052",0.0206223778084443,1,1,1,0.0401355244305241
"101","K06537",0.0206897190872176,1,1,1,0.0401355244305241
"102","K16342",0.0208231795504973,1,1,1,0.0401355244305241
"103","K01166",0.0209005610243394,1,1,1,0.0401355244305241
"104","K13151",0.0211128927562834,1,1,1,0.0401355244305241
"105","K01074",0.0211227019830658,1,1,1,0.0401355244305241
"106","K08507",0.0211660203987045,1,1,1,0.0401355244305241
"107","K17886",0.0212614099745877,1,1,1,0.0401355244305241
"108","K22470",0.021263409820791,1,1,1,0.0401355244305241
"109","K15264",0.0214392931616608,1,1,1,0.0401355244305241
"110","K05609",0.0214802415836441,1,1,1,0.0401355244305241
"111","K25440",0.0214863999845678,1,1,1,0.0401355244305241
"112","K07426",0.0215771980501582,1,1,1,0.0401355244305241
"113","K14808",0.021679332643658,1,1,1,0.0401355244305241
"114","K08202",0.0217698110020372,1,1,1,0.0401355244305241
"115","K08830",0.0219723663151429,1,1,1,0.0401355244305241
"116","K08272",0.0221238096537818,1,1,1,0.0401355244305241
"117","K10485",0.022182688654934,1,1,1,0.0401355244305241
"118","K00102",0.022303384863696,1,1,1,0.0401355244305241
"119","K12504",0.0223519367006595,1,1,1,0.0401355244305241
"120","K04450",0.0224428171546793,1,1,1,0.0401355244305241
"121","K11319",0.0225923830168106,1,1,1,0.0401355244305241
"122","K10482",0.0227047928143778,1,1,1,0.0401355244305241
"123","K01672",0.0230341474198675,1,1,1,0.0401355244305241
"124","K05291",0.0230478722256845,1,1,1,0.0401355244305241
"125","K21456",0.0231005475674576,1,1,1,0.0401355244305241
"126","K01324",0.0231165987349588,1,1,1,0.0401355244305241
"127","K08036",0.0231280693052248,1,1,1,0.0401355244305241
