"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module","ParentTerm","N_in_Parent"
"1","GO:0019722",0.000347002361226095,0.999950857865522,7,50,"calcium-mediated signaling","BP",1,"Magenta","calcium-mediated signaling",3
"2","GO:0007267",0.000843373022690257,0.999672723937605,20,340,"cell-cell signaling","BP",1,"Magenta","cell-cell signaling",7
"3","GO:0017158",0.00139194636322715,0.999838010262563,5,30,"regulation of calcium ion-dependent exocytosis","BP",1,"Magenta","regulation of calcium ion-dependent exocytosis",6
"4","GO:0008584",0.00166885906237118,0.999737150100808,6,48,"male gonad development","BP",1,"Magenta","development of primary male sexual characteristics",5
"5","GO:0046546",0.00166885906237118,0.999737150100808,6,48,"development of primary male sexual characteristics","BP",1,"Magenta","development of primary male sexual characteristics",5
"6","GO:0017157",0.00258144664720045,0.999471071085362,7,69,"regulation of exocytosis","BP",1,"Magenta","regulation of calcium ion-dependent exocytosis",6
"7","GO:0007268",0.00387493855777199,0.998687295376919,12,179,"chemical synaptic transmission","BP",1,"Magenta","cell-cell signaling",7
"8","GO:0098916",0.00387493855777199,0.998687295376919,12,179,"anterograde trans-synaptic signaling","BP",1,"Magenta","cell-cell signaling",7
"9","GO:0099537",0.00407456741483571,0.998610699983767,12,180,"trans-synaptic signaling","BP",1,"Magenta","cell-cell signaling",7
"10","GO:0099536",0.00421439280117675,0.998556678549347,12,181,"synaptic signaling","BP",1,"Magenta","cell-cell signaling",7
"11","GO:1903305",0.00511223332829067,0.999172828964379,5,40,"regulation of regulated secretory pathway","BP",1,"Magenta","regulation of calcium ion-dependent exocytosis",6
"12","GO:0019932",0.00575918621910204,0.998623743782994,7,80,"second-messenger-mediated signaling","BP",1,"Magenta","calcium-mediated signaling",3
"13","GO:0045838",0.00620506926996791,0.999516549195027,3,16,"positive regulation of membrane potential","BP",1,"Magenta","positive regulation of membrane potential",6
"14","GO:1903530",0.0094508558807207,0.996092138717196,14,251,"regulation of secretion by cell","BP",1,"Magenta","regulation of secretion by cell",13
"15","GO:0006376",0.0108243459857685,0.998942193239062,3,19,"mRNA splice site selection","BP",1,"Magenta","mRNA splice site selection",3
"16","GO:0051560",0.0109308803285639,0.998935022914926,3,18,"mitochondrial calcium ion homeostasis","BP",1,"Magenta","mitochondrial calcium ion homeostasis",6
"17","GO:1901018",0.0118355719139683,0.999511259038222,2,7,"positive regulation of potassium ion transmembrane transporter activity","BP",1,"Magenta","regulation of secretion by cell",13
"18","GO:0030001",0.0126893103870415,0.995458515444355,10,158,"metal ion transport","BP",1,"Magenta","metal ion transport",4
"19","GO:0006816",0.0127329311865696,0.996887587203921,6,66,"calcium ion transport","BP",1,"Magenta","metal ion transport",4
"20","GO:0055074",0.0128997565652102,0.995993381860918,8,123,"calcium ion homeostasis","BP",1,"Magenta","mitochondrial calcium ion homeostasis",6
"21","GO:0046883",0.0144065779931623,0.995445080072302,8,115,"regulation of hormone secretion","BP",1,"Magenta","positive regulation of membrane potential",6
"22","GO:1905954",0.014966219875724,0.997501795026593,4,36,"positive regulation of lipid localization","BP",1,"Magenta","regulation of secretion by cell",13
"23","GO:1903115",0.0150553620037816,0.999330489933084,2,6,"regulation of actin filament-based movement","BP",1,"Magenta","regulation of actin filament-based movement",1
"24","GO:0051561",0.0155228265681269,0.999211157501282,2,9,"positive regulation of mitochondrial calcium ion concentration","BP",1,"Magenta","mitochondrial calcium ion homeostasis",6
"25","GO:0051046",0.0163119539959783,0.99277565076219,14,269,"regulation of secretion","BP",1,"Magenta","regulation of secretion by cell",13
"26","GO:0033563",0.0168367328439777,0.999162355864338,2,7,"dorsal/ventral axon guidance","BP",1,"Magenta","dorsal/ventral axon guidance",2
"27","GO:0048581",0.0175261448483039,0.996939265491424,4,35,"negative regulation of post-embryonic development","BP",1,"Magenta","negative regulation of post-embryonic development",3
"28","GO:0010960",0.0190630641786438,0.998948744880563,2,8,"magnesium ion homeostasis","BP",1,"Magenta","mitochondrial calcium ion homeostasis",6
"29","GO:0050906",0.0191513519575287,0.996535179116821,4,40,"detection of stimulus involved in sensory perception","BP",1,"Magenta","detection of stimulus involved in sensory perception",2
"30","GO:0010817",0.0198951880709261,0.991940624018971,11,201,"regulation of hormone levels","BP",1,"Magenta","positive regulation of membrane potential",6
"31","GO:1903799",0.0204720378276061,1,1,1,"negative regulation of miRNA maturation","BP",1,"Magenta","negative regulation of miRNA maturation",1
"32","GO:0014059",0.0211051366707225,0.99871065470816,2,10,"regulation of dopamine secretion","BP",1,"Magenta","regulation of calcium ion-dependent exocytosis",6
"33","GO:0010862",0.0211583784388553,0.99870566353803,2,10,"positive regulation of pathway-restricted SMAD protein phosphorylation","BP",1,"Magenta","cell-cell signaling",7
"34","GO:1901381",0.0221665141204296,0.998638596650317,2,9,"positive regulation of potassium ion transmembrane transport","BP",1,"Magenta","regulation of secretion by cell",13
"35","GO:1903859",0.0224116311578976,0.99865245719889,2,8,"regulation of dendrite extension","BP",1,"Magenta","regulation of dendrite extension",3
"36","GO:1903861",0.0224116311578976,0.99865245719889,2,8,"positive regulation of dendrite extension","BP",1,"Magenta","regulation of dendrite extension",3
"37","GO:0048791",0.023171673651664,0.998542667679807,2,9,"calcium ion-regulated exocytosis of neurotransmitter","BP",1,"Magenta","regulation of calcium ion-dependent exocytosis",6
"38","GO:0032026",0.0232417792324787,0.998505036640215,2,10,"response to magnesium ion","BP",1,"Magenta","response to magnesium ion",1
"39","GO:1903532",0.023613283169992,0.991194871018803,9,152,"positive regulation of secretion by cell","BP",1,"Magenta","regulation of secretion by cell",13
"40","GO:0008406",0.0241885941498102,0.990941415745697,9,153,"gonad development","BP",1,"Magenta","development of primary male sexual characteristics",5
"41","GO:0045137",0.0241885941498102,0.990941415745697,9,153,"development of primary sexual characteristics","BP",1,"Magenta","development of primary male sexual characteristics",5
"42","GO:0000389",0.0244103930256847,0.998388050616379,2,10,"mRNA 3'-splice site recognition","BP",1,"Magenta","mRNA splice site selection",3
"43","GO:0061067",0.0246358406847333,0.998398806025097,2,9,"negative regulation of dauer larval development","BP",1,"Magenta","negative regulation of post-embryonic development",3
"44","GO:0032370",0.0247696125043476,0.996617517974029,3,24,"positive regulation of lipid transport","BP",1,"Magenta","regulation of secretion by cell",13
"45","GO:0019228",0.0259654567009739,0.998264013052592,2,9,"neuronal action potential","BP",1,"Magenta","positive regulation of membrane potential",6
"46","GO:0006874",0.0287888751787659,0.990452460886116,7,117,"intracellular calcium ion homeostasis","BP",1,"Magenta","mitochondrial calcium ion homeostasis",6
"47","GO:0009584",0.0288659394607835,0.99580505461032,3,25,"detection of visible light","BP",1,"Magenta","detection of stimulus involved in sensory perception",2
"48","GO:0042713",0.0297345522117586,1,1,1,"sperm ejaculation","BP",1,"Magenta","sperm ejaculation",2
"49","GO:0051047",0.0300187572171225,0.988316306517621,9,159,"positive regulation of secretion","BP",1,"Magenta","regulation of secretion by cell",13
"50","GO:1903306",0.0312414530036837,0.997643535866337,2,10,"negative regulation of regulated secretory pathway","BP",1,"Magenta","regulation of calcium ion-dependent exocytosis",6
"51","GO:0090472",0.0313524827652474,1,1,1,"dibasic protein processing","BP",1,"Magenta","dibasic protein processing",1
"52","GO:0006812",0.0315069304636313,0.986289328842006,11,218,"monoatomic cation transport","BP",1,"Magenta","metal ion transport",4
"53","GO:0030845",0.0315897573642693,1,1,1,"phospholipase C-inhibiting G protein-coupled receptor signaling pathway","BP",1,"Magenta","phospholipase C-inhibiting G protein-coupled receptor signaling pathway",1
"54","GO:0018401",0.0316529676406571,1,1,1,"peptidyl-proline hydroxylation to 4-hydroxy-L-proline","BP",1,"Magenta","peptidyl-proline hydroxylation to 4-hydroxy-L-proline",5
