"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1",1,"GO:0015701",1.10981111016283e-08,0.999999999920139,5,11,"bicarbonate transport","BP","bicarbonate transport"
"2",3,"GO:0051453",0.00080104760658179,0.999968392968225,3,29,"regulation of intracellular pH","BP","regulation of intracellular pH"
"3",4,"GO:0030641",0.00087961096021687,0.999964057532149,3,30,"regulation of cellular pH","BP","regulation of intracellular pH"
"4",5,"GO:0006885",0.00102521256918936,0.999955616950833,3,32,"regulation of pH","BP","regulation of intracellular pH"
"5",6,"GO:1902476",0.00114346108886983,0.999949389876082,3,26,"chloride transmembrane transport","BP","chloride transmembrane transport"
"6",7,"GO:0006821",0.00120304447464504,0.999945629056284,3,27,"chloride transport","BP","chloride transmembrane transport"
"7",8,"GO:0098661",0.00164270760665248,0.999916539670513,3,30,"inorganic anion transmembrane transport","BP","inorganic anion transmembrane transport"
"8",9,"GO:0015711",0.00190719327614757,0.999751422881027,5,100,"organic anion transport","BP","bicarbonate transport"
"9",10,"GO:0030003",0.0021308397140106,0.999641915832521,6,185,"intracellular monoatomic cation homeostasis","BP","regulation of intracellular pH"
"10",11,"GO:0006873",0.00255317043834928,0.999554674473412,6,197,"intracellular monoatomic ion homeostasis","BP","regulation of intracellular pH"
"11",12,"GO:0055080",0.00328563776060718,0.999396731465003,6,202,"monoatomic cation homeostasis","BP","regulation of intracellular pH"
"12",16,"GO:0035725",0.00381173811074834,0.999738621520223,3,31,"sodium ion transmembrane transport","BP","chloride transmembrane transport"
"13",18,"GO:0006820",0.00421207145436879,0.999336470495898,5,125,"monoatomic anion transport","BP","chloride transmembrane transport"
"14",19,"GO:0098771",0.00479499663144139,0.999047331439379,6,225,"inorganic ion homeostasis","BP","regulation of intracellular pH"
"15",20,"GO:0015698",0.00483122066854886,0.999632577140576,3,43,"inorganic anion transport","BP","inorganic anion transmembrane transport"
"16",21,"GO:0055082",0.00526147028232022,0.998934253460116,6,227,"intracellular chemical homeostasis","BP","regulation of intracellular pH"
"17",22,"GO:0006814",0.0056546271176962,0.999547778538927,3,38,"sodium ion transport","BP","chloride transmembrane transport"
"18",24,"GO:0043949",0.00673353914885492,0.999762274728987,2,16,"regulation of cAMP-mediated signaling","BP","regulation of cAMP-mediated signaling"
"19",27,"GO:0098662",0.00725033711869545,0.998696893041809,5,141,"inorganic cation transmembrane transport","BP","chloride transmembrane transport"
"20",28,"GO:0019725",0.00773494793315794,0.99805740107229,7,316,"cellular homeostasis","BP","regulation of intracellular pH"
"21",32,"GO:0007156",0.00890224638190697,0.999649702149496,2,12,"homophilic cell adhesion via plasma membrane adhesion molecules","BP","homophilic cell adhesion via plasma membrane adhesion molecules"
"22",34,"GO:0050801",0.009119219716871,0.997923917986034,6,250,"monoatomic ion homeostasis","BP","regulation of intracellular pH"
"23",40,"GO:0098660",0.011570702033715,0.997664065105636,5,160,"inorganic ion transmembrane transport","BP","chloride transmembrane transport"
"24",42,"GO:0007413",0.0119032072962125,0.999420726057822,2,21,"axonal fasciculation","BP","neuron projection fasciculation"
"25",43,"GO:0106030",0.0119032072962125,0.999420726057822,2,21,"neuron projection fasciculation","BP","neuron projection fasciculation"
"26",44,"GO:0098655",0.0120592148940084,0.997540176237486,5,161,"monoatomic cation transmembrane transport","BP","chloride transmembrane transport"
"27",50,"GO:0031269",0.0128406567131387,1,1,1,"pseudopodium assembly","BP","pseudopodium assembly"
"28",51,"GO:0046688",0.0129588750752697,0.999334339314147,2,24,"response to copper ion","BP","response to copper ion"
"29",52,"GO:0030001",0.0135302470906002,0.997160908988617,5,158,"metal ion transport","BP","chloride transmembrane transport"
"30",53,"GO:0006811",0.0135889644209357,0.996196295273841,7,304,"monoatomic ion transport","BP","chloride transmembrane transport"
"31",67,"GO:0098742",0.0214317322289202,0.998573137812876,2,22,"cell-cell adhesion via plasma-membrane adhesion molecules","BP","homophilic cell adhesion via plasma membrane adhesion molecules"
