"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm"
"1",3,"GO:0006811",0,1,7,7,"monoatomic ion transport","BP",0,"monoatomic ion transport"
"2",53,"GO:0010646",1.66568738833461e-13,1,6,6,"regulation of cell communication","BP",2.72550386948378e-12,"regulation of cell communication"
"3",68,"GO:0006820",7.01408349468336e-11,1,5,5,"monoatomic anion transport","BP",8.85082230812163e-10,"monoatomic ion transport"
"4",69,"GO:0015701",7.01408349468336e-11,1,5,5,"bicarbonate transport","BP",8.85082230812163e-10,"bicarbonate transport"
"5",70,"GO:0015711",7.01408349468336e-11,1,5,5,"organic anion transport","BP",8.85082230812163e-10,"bicarbonate transport"
"6",71,"GO:0071702",7.01408349468336e-11,1,5,5,"organic substance transport","BP",8.85082230812163e-10,"bicarbonate transport"
"7",73,"GO:0006812",7.54977712128005e-11,1,5,5,"monoatomic cation transport","BP",8.85166782172125e-10,"monoatomic ion transport"
"8",74,"GO:0030001",7.54977712128005e-11,1,5,5,"metal ion transport","BP",8.85166782172125e-10,"monoatomic ion transport"
"9",75,"GO:0034220",7.54977712128005e-11,1,5,5,"monoatomic ion transmembrane transport","BP",8.85166782172125e-10,"monoatomic cation transmembrane transport"
"10",76,"GO:0055085",7.54977712128005e-11,1,5,5,"transmembrane transport","BP",8.85166782172125e-10,"monoatomic cation transmembrane transport"
"11",77,"GO:0098655",7.54977712128005e-11,1,5,5,"monoatomic cation transmembrane transport","BP",8.85166782172125e-10,"monoatomic cation transmembrane transport"
"12",78,"GO:0098660",7.54977712128005e-11,1,5,5,"inorganic ion transmembrane transport","BP",8.85166782172125e-10,"monoatomic cation transmembrane transport"
"13",79,"GO:0098662",7.54977712128005e-11,1,5,5,"inorganic cation transmembrane transport","BP",8.85166782172125e-10,"monoatomic cation transmembrane transport"
"14",103,"GO:1902531",9.90328899822636e-09,1,4,4,"regulation of intracellular signal transduction","BP",8.67411606962297e-08,"regulation of cell communication"
"15",134,"GO:0010647",6.70695317886287e-07,1,3,3,"positive regulation of cell communication","BP",4.54290705847293e-06,"regulation of cell communication"
"16",144,"GO:0006814",8.00083173997064e-07,1,3,3,"sodium ion transport","BP",4.70878990546098e-06,"monoatomic ion transport"
"17",145,"GO:0006821",8.00083173997064e-07,1,3,3,"chloride transport","BP",4.70878990546098e-06,"monoatomic ion transport"
"18",149,"GO:0035725",8.00083173997064e-07,1,3,3,"sodium ion transmembrane transport","BP",4.70878990546098e-06,"monoatomic ion transport"
