"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1","GO:0006139",0,1,348,348,"nucleobase-containing compound metabolic process","BP",0
"2","GO:0006725",0,1,369,369,"cellular aromatic compound metabolic process","BP",0
"3","GO:0006807",0,1,665,665,"nitrogen compound metabolic process","BP",0
"4","GO:0006810",0,1,392,392,"transport","BP",0
"5","GO:0006950",0,1,331,331,"response to stress","BP",0
"6","GO:0006996",0,1,398,398,"organelle organization","BP",0
"7","GO:0007154",0,1,379,379,"cell communication","BP",0
"8","GO:0007165",0,1,333,333,"signal transduction","BP",0
"9","GO:0007275",0,1,562,562,"multicellular organism development","BP",0
"10","GO:0008150",0,1,1147,1147,"biological_process","BP",0
"11","GO:0008152",0,1,748,748,"metabolic process","BP",0
"12","GO:0009889",0,1,379,379,"regulation of biosynthetic process","BP",0
"13","GO:0009893",0,1,360,360,"positive regulation of metabolic process","BP",0
"14","GO:0009987",0,1,1074,1074,"cellular process","BP",0
"15","GO:0010468",0,1,398,398,"regulation of gene expression","BP",0
"16","GO:0010556",0,1,362,362,"regulation of macromolecule biosynthetic process","BP",0
"17","GO:0010604",0,1,342,342,"positive regulation of macromolecule metabolic process","BP",0
"18","GO:0010646",0,1,356,356,"regulation of cell communication","BP",0
"19","GO:0016043",0,1,595,595,"cellular component organization","BP",0
"20","GO:0019219",0,1,351,351,"regulation of nucleobase-containing compound metabolic process","BP",0
"21","GO:0019222",0,1,584,584,"regulation of metabolic process","BP",0
"22","GO:0019538",0,1,374,374,"protein metabolic process","BP",0
"23","GO:0023051",0,1,361,361,"regulation of signaling","BP",0
"24","GO:0023052",0,1,366,366,"signaling","BP",0
"25","GO:0030154",0,1,433,433,"cell differentiation","BP",0
"26","GO:0031323",0,1,539,539,"regulation of cellular metabolic process","BP",0
"27","GO:0031325",0,1,337,337,"positive regulation of cellular metabolic process","BP",0
"28","GO:0031326",0,1,373,373,"regulation of cellular biosynthetic process","BP",0
"29","GO:0032501",0,1,665,665,"multicellular organismal process","BP",0
"30","GO:0032502",0,1,632,632,"developmental process","BP",0
"31","GO:0034641",0,1,388,388,"cellular nitrogen compound metabolic process","BP",0
"32","GO:0042221",0,1,380,380,"response to chemical","BP",0
"33","GO:0043170",0,1,629,629,"macromolecule metabolic process","BP",0
"34","GO:0044085",0,1,332,332,"cellular component biogenesis","BP",0
"35","GO:0044237",0,1,719,719,"cellular metabolic process","BP",0
"36","GO:0044238",0,1,695,695,"primary metabolic process","BP",0
"37","GO:0044260",0,1,515,515,"cellular macromolecule metabolic process","BP",0
"38","GO:0046483",0,1,358,358,"heterocycle metabolic process","BP",0
