"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0050794",8.43691753390647e-08,1,1395,2785,"regulation of cellular process","BP"
"2","GO:0065007",1.55349266616649e-06,0.999998896258848,1574,3184,"biological regulation","BP"
"3","GO:0050789",1.58488187809467e-06,0.99999887628903,1479,2981,"regulation of biological process","BP"
"4","GO:0048523",1.58132572824578e-05,0.999987825154385,800,1569,"negative regulation of cellular process","BP"
"5","GO:0048518",3.04336911550706e-05,0.999975761176625,950,1888,"positive regulation of biological process","BP"
"6","GO:0051336",3.40356345998234e-05,0.999978317766543,232,415,"regulation of hydrolase activity","BP"
"7","GO:0080090",6.84952764032271e-05,0.9999450589828,878,1746,"regulation of primary metabolic process","BP"
"8","GO:0010976",7.0246224731731e-05,0.999963306007817,102,167,"positive regulation of neuron projection development","BP"
"9","GO:0031346",7.03640122978717e-05,0.999960835253017,129,218,"positive regulation of cell projection organization","BP"
"10","GO:0050896",7.69636587451606e-05,0.999937025945887,1104,2222,"response to stimulus","BP"
"11","GO:0045666",9.05977256213101e-05,0.999950176923262,120,202,"positive regulation of neuron differentiation","BP"
"12","GO:0051130",0.00012007311490593,0.999914881443963,312,580,"positive regulation of cellular component organization","BP"
"13","GO:0048522",0.000123017883494289,0.999900617491806,856,1705,"positive regulation of cellular process","BP"
"14","GO:0065009",0.00015255762686233,0.999882988277718,509,985,"regulation of molecular function","BP"
"15","GO:2000026",0.0002005286112751,0.999848676377583,430,824,"regulation of multicellular organismal development","BP"
"16","GO:0051247",0.000204761661185516,0.999852038383933,323,607,"positive regulation of protein metabolic process","BP"
"17","GO:0051345",0.000204887224794441,0.999872439864686,157,276,"positive regulation of hydrolase activity","BP"
"18","GO:0043087",0.000216522974855765,0.999883398824992,97,160,"regulation of GTPase activity","BP"
"19","GO:0051171",0.000226891806992774,0.999815214560123,847,1693,"regulation of nitrogen compound metabolic process","BP"
"20","GO:0031295",0.000229552875163996,1,11,11,"T cell costimulation","BP"
"21","GO:0043085",0.000229649957042755,0.999838993576654,265,491,"positive regulation of catalytic activity","BP"
"22","GO:0008150",0.000244885991234433,0.99979123573066,2099,4373,"biological_process","BP"
"23","GO:0051716",0.000253203579270442,0.999793258412368,856,1712,"cellular response to stimulus","BP"
"24","GO:1903034",0.000253966985372196,0.999898033119677,50,75,"regulation of response to wounding","BP"
"25","GO:0051246",0.000255083474354845,0.999803038446143,494,958,"regulation of protein metabolic process","BP"
"26","GO:0050790",0.000262327398351755,0.999803563372889,390,745,"regulation of catalytic activity","BP"
"27","GO:0051179",0.00026574945316491,0.999781986318583,900,1804,"localization","BP"
"28","GO:0009987",0.000272189436508723,0.999767853403744,1938,4026,"cellular process","BP"
"29","GO:0048519",0.000312976345784868,0.99974320108175,875,1755,"negative regulation of biological process","BP"
"30","GO:0019058",0.000354472499454488,0.999885798914491,35,49,"viral life cycle","BP"
"31","GO:0007052",0.000361134426894149,0.999870457243104,40,58,"mitotic spindle organization","BP"
"32","GO:0031323",0.000391102614226023,0.999677319296537,900,1810,"regulation of cellular metabolic process","BP"
"33","GO:0045664",0.000407526317746985,0.999729387458657,186,336,"regulation of neuron differentiation","BP"
"34","GO:0044093",0.000420420212940791,0.99969101073881,319,604,"positive regulation of molecular function","BP"
"35","GO:0048583",0.000425008348859158,0.999658696435465,650,1284,"regulation of response to stimulus","BP"
"36","GO:0010975",0.000660405763097042,0.999573388937676,153,273,"regulation of neuron projection development","BP"
"37","GO:0051962",0.000686149128916213,0.999555819035364,153,274,"positive regulation of nervous system development","BP"
"38","GO:1903036",0.000686497826736806,0.999786643566058,30,42,"positive regulation of response to wounding","BP"
"39","GO:0050769",0.000727713538533502,0.999540533527621,137,243,"positive regulation of neurogenesis","BP"
"40","GO:0009966",0.00081584376247948,0.999351525491716,523,1027,"regulation of signal transduction","BP"
"41","GO:0018107",0.000829622033454838,0.999718684136869,33,47,"peptidyl-threonine phosphorylation","BP"
"42","GO:0006304",0.000844071455793245,0.999813082933091,21,27,"DNA modification","BP"
"43","GO:0080134",0.000958709783578171,0.999308440153429,249,466,"regulation of response to stress","BP"
"44","GO:0048308",0.00097076589326373,1,9,9,"organelle inheritance","BP"
"45","GO:0009628",0.00105181187946718,0.999215730801539,301,573,"response to abiotic stimulus","BP"
"46","GO:0032879",0.00106968817813342,0.999156246179327,464,906,"regulation of localization","BP"
"47","GO:0016043",0.00110602521213073,0.99906407491519,1049,2137,"cellular component organization","BP"
"48","GO:0048731",0.00110716860084198,0.999075891219702,852,1720,"system development","BP"
"49","GO:0051960",0.0013012831902905,0.999048745339387,255,481,"regulation of nervous system development","BP"
"50","GO:0016032",0.00132452063907766,0.999320299992996,65,106,"viral process","BP"
"51","GO:0019222",0.00145674200997825,0.998767236965166,982,2000,"regulation of metabolic process","BP"
"52","GO:0031294",0.00150203265647006,0.999898828238713,11,12,"lymphocyte costimulation","BP"
"53","GO:0035222",0.00151609768321371,0.999589179795811,23,31,"wing disc pattern formation","BP"
"54","GO:0043547",0.00152276424080816,0.999143097901212,82,138,"positive regulation of GTPase activity","BP"
"55","GO:0009266",0.00153090895143146,0.999132411677702,83,141,"response to temperature stimulus","BP"
"56","GO:0051128",0.00154641641216582,0.998749525796749,548,1084,"regulation of cellular component organization","BP"
"57","GO:0051239",0.00157228415995132,0.998728225115676,547,1084,"regulation of multicellular organismal process","BP"
"58","GO:0019882",0.00162101535996364,0.999292704961549,44,68,"antigen processing and presentation","BP"
"59","GO:0071840",0.00185227995494773,0.998416648462161,1099,2250,"cellular component organization or biogenesis","BP"
"60","GO:0032502",0.0019110730118478,0.998365903019266,1096,2243,"developmental process","BP"
"61","GO:0070887",0.00193206609449531,0.998465788066464,438,861,"cellular response to chemical stimulus","BP"
"62","GO:0120035",0.00198137060738845,0.998608168923931,188,348,"regulation of plasma membrane bounded cell projection organization","BP"
"63","GO:0051172",0.00198258546835926,0.998431315993303,422,828,"negative regulation of nitrogen compound metabolic process","BP"
"64","GO:0009408",0.00205166790268151,0.998926151159254,63,104,"response to heat","BP"
"65","GO:0051129",0.00209799000201232,0.998521890559153,189,350,"negative regulation of cellular component organization","BP"
"66","GO:0048679",0.00213937287212088,0.999442177934248,21,28,"regulation of axon regeneration","BP"
"67","GO:0051641",0.0022035644841565,0.99820596592855,546,1085,"cellular localization","BP"
"68","GO:0000022",0.00222006333609158,1,8,8,"mitotic spindle elongation","BP"
