"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0002181",8.29529419115557e-15,1,67,90,"cytoplasmic translation","BP"
"2","GO:0006614",2.4636487380289e-13,1,48,59,"SRP-dependent cotranslational protein targeting to membrane","BP"
"3","GO:0006412",3.09610859768351e-13,1,123,219,"translation","BP"
"4","GO:0043043",1.59831316659548e-12,1,126,231,"peptide biosynthetic process","BP"
"5","GO:0006613",2.27302572746092e-12,1,49,63,"cotranslational protein targeting to membrane","BP"
"6","GO:0006518",7.54393720806737e-12,1,146,285,"peptide metabolic process","BP"
"7","GO:0043604",2.61888528993342e-11,1,137,268,"amide biosynthetic process","BP"
"8","GO:0045047",5.7100330790013e-11,1,50,68,"protein targeting to ER","BP"
"9","GO:0006612",6.68314167168897e-11,1,53,75,"protein targeting to membrane","BP"
"10","GO:0043603",8.28709983967572e-11,1,171,359,"amide metabolic process","BP"
"11","GO:0034645",1.62945546378051e-10,1,318,760,"cellular macromolecule biosynthetic process","BP"
"12","GO:1901361",1.66244853912679e-10,1,117,227,"organic cyclic compound catabolic process","BP"
"13","GO:1901566",2.71692858157515e-10,1,251,577,"organonitrogen compound biosynthetic process","BP"
"14","GO:0072599",3.12582566810795e-10,0.999999999946846,50,70,"establishment of protein localization to endoplasmic reticulum","BP"
"15","GO:0019439",3.9301332416284e-10,1,112,217,"aromatic compound catabolic process","BP"
"16","GO:0044271",4.27903857008238e-10,1,318,768,"cellular nitrogen compound biosynthetic process","BP"
"17","GO:0009059",5.3471370043904e-10,1,319,770,"macromolecule biosynthetic process","BP"
"18","GO:0046700",5.79173375912853e-10,1,106,203,"heterocycle catabolic process","BP"
"19","GO:0044270",8.93958589928733e-10,1,105,202,"cellular nitrogen compound catabolic process","BP"
"20","GO:0070972",1.06269402826375e-09,0.999999999756349,54,80,"protein localization to endoplasmic reticulum","BP"
"21","GO:0034655",3.00271814419649e-09,0.999999998788586,100,191,"nucleobase-containing compound catabolic process","BP"
"22","GO:1901564",9.56493766422178e-09,1,678,1876,"organonitrogen compound metabolic process","BP"
"23","GO:0006413",1.06354871155608e-08,0.999999996986483,56,90,"translational initiation","BP"
"24","GO:0009058",1.82788121915075e-08,1,448,1177,"biosynthetic process","BP"
"25","GO:0044249",2.39728797093724e-08,1,438,1149,"cellular biosynthetic process","BP"
"26","GO:1901576",2.68240671770072e-08,1,444,1168,"organic substance biosynthetic process","BP"
"27","GO:0000184",5.88494547791729e-08,0.999999984780518,46,71,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"28","GO:0000956",1.18551466595736e-07,0.999999956902812,66,119,"nuclear-transcribed mRNA catabolic process","BP"
"29","GO:0006402",2.64787409445974e-07,0.999999897550232,69,128,"mRNA catabolic process","BP"
"30","GO:0090150",4.88086284826764e-07,0.999999818163528,63,113,"establishment of protein localization to membrane","BP"
"31","GO:0034641",6.78499852551281e-07,0.999999707033574,582,1615,"cellular nitrogen compound metabolic process","BP"
"32","GO:0006401",8.02949692068064e-07,0.999999663645258,73,141,"RNA catabolic process","BP"
"33","GO:0006807",8.08160120643894e-07,0.999999526031085,910,2641,"nitrogen compound metabolic process","BP"
"34","GO:0010467",1.00261798871378e-06,0.999999581088635,373,983,"gene expression","BP"
"35","GO:0044238",6.79808537913582e-06,0.999994708061148,936,2746,"primary metabolic process","BP"
