"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module"
"1","GO:0000014",0.0413901576216025,0.997092056727761,3,4,"single-stranded DNA endodeoxyribonuclease activity","MF",1,"Turquoise"
"2","GO:0000027",0.00610980603275295,0.998389212322804,12,21,"ribosomal large subunit assembly","BP",0.435317545490241,"Turquoise"
"3","GO:0000028",0.0011187339607421,0.99981096676047,12,17,"ribosomal small subunit assembly","BP",0.121021092667839,"Turquoise"
"4","GO:0000049",0.0160995808364006,0.994631523532964,12,25,"tRNA binding","MF",0.849856636160849,"Turquoise"
"5","GO:0000123",0.00459382026403315,0.998061424769593,24,53,"histone acetyltransferase complex","CC",0.362217623574276,"Turquoise"
"6","GO:0000184",3.2051044945581e-09,0.999999999270081,46,71,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",1.21250692611877e-06,"Turquoise"
"7","GO:0000288",0.0404030262164439,0.98182279809862,15,36,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP",1,"Turquoise"
"8","GO:0000307",0.0437380982723386,0.990438382664572,6,10,"cyclin-dependent protein kinase holoenzyme complex","CC",1,"Turquoise"
"9","GO:0000375",0.0202635016533268,0.99527132250854,5,220,"RNA splicing, via transesterification reactions","BP",1,"Lightcyan"
"10","GO:0000377",0.018516865177693,0.995777831486047,5,216,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",1,"Lightcyan"
"11","GO:0000389",0.0244103930256847,0.998388050616379,2,10,"mRNA 3'-splice site recognition","BP",1,"Magenta"
"12","GO:0000398",0.018516865177693,0.995777831486047,5,216,"mRNA splicing, via spliceosome","BP",1,"Lightcyan"
"13","GO:0000414",0.0369417409847703,0.999454348181138,1,5,"regulation of histone H3-K36 methylation","BP",1,"Lightcyan"
"14","GO:0000428",0.00200221240483847,0.99910514160285,31,72,"DNA-directed RNA polymerase complex","CC",0.192006758239132,"Turquoise"
"15","GO:0000502",0.0251502890217292,0.988607754719769,18,42,"proteasome complex","CC",1,"Turquoise"
"16","GO:0000792",0.0378425333856954,0.99647291265649,2,40,"heterochromatin","CC",1,"Lightcyan"
"17","GO:0000900",0.0417477894354725,0.994660484874518,4,6,"mRNA regulatory element binding translation repressor activity","MF",1,"Turquoise"
"18","GO:0000956",1.73017188685762e-09,0.999999999461797,66,119,"nuclear-transcribed mRNA catabolic process","BP",7.13836731273049e-07,"Turquoise"
"19","GO:0000959",0.043113632383956,0.990611985805996,6,10,"mitochondrial RNA metabolic process","BP",1,"Turquoise"
"20","GO:0000976",0.00815372311537026,0.998487058513845,5,174,"transcription cis-regulatory region binding","MF",1,"Lightcyan"
"21","GO:0000977",0.00538769851605293,0.999096244084229,5,159,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",1,"Lightcyan"
"22","GO:0000978",0.00161086758077618,0.999796930793622,5,123,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",1,"Lightcyan"
"23","GO:0000981",0.0222050577993739,0.990833251057415,11,230,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1,"Magenta;Lightcyan"
"24","GO:0000982",0.0353517813209169,0.994220327135859,3,108,NA,NA,1,"Lightcyan"
"25","GO:0000983",0.0493709220090492,0.993293715285596,4,6,NA,NA,1,"Turquoise"
"26","GO:0000987",0.00181625198743097,0.999764557624549,5,126,"cis-regulatory region sequence-specific DNA binding","MF",1,"Lightcyan"
"27","GO:0001012",0.00572541122150718,0.99902538625058,5,161,NA,NA,1,"Lightcyan"
"28","GO:0001013",0.0357266064522325,0.999489912777546,1,5,NA,NA,1,"Lightcyan"
"29","GO:0001067",0.019137587596749,0.995600741479132,5,211,"transcription regulatory region nucleic acid binding","MF",1,"Lightcyan"
"30","GO:0001094",0.0405884832599537,0.990666941320001,6,11,"TFIID-class transcription factor complex binding","MF",1,"Turquoise"
"31","GO:0001163",0.0357266064522325,0.999489912777546,1,5,"RNA polymerase I transcription regulatory region sequence-specific DNA binding","MF",1,"Lightcyan"
"32","GO:0001164",0.0306620767983515,0.999648318849284,1,4,"RNA polymerase I core promoter sequence-specific DNA binding","MF",1,"Lightcyan"
"33","GO:0001188",0.0361053812132528,0.999478957281182,1,5,"RNA polymerase I preinitiation complex assembly","BP",1,"Lightcyan"
"34","GO:0001222",0.0384619697547927,0.995221274167992,4,6,"transcription corepressor binding","MF",1,"Turquoise"
"35","GO:0001226",0.0109872017705677,1,3,3,NA,NA,0.665269442360554,"Turquoise"
"36","GO:0001227",0.0271365146640033,0.997891881756944,2,37,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF",1,"Lightcyan"
"37","GO:0001520",0.0417981078821775,0.999250656890523,1,7,"outer dense fiber","CC",1,"Lightcyan"
"38","GO:0001530",0.00781562330617079,0.999185330782401,6,8,"lipopolysaccharide binding","MF",0.523233860659532,"Turquoise"
"39","GO:0001666",0.0458863514949622,0.983174624485622,7,126,"response to hypoxia","BP",1,"Magenta"
"40","GO:0001765",0.0169369400530018,0.999905134786814,1,3,"membrane raft assembly","BP",1,"Lightcyan"
"41","GO:0001803",0.0416776396245155,1,1,1,"regulation of type III hypersensitivity","BP",1,"Magenta"
"42","GO:0001805",0.0416776396245155,1,1,1,"positive regulation of type III hypersensitivity","BP",1,"Magenta"
"43","GO:0001810",0.0416776396245155,1,1,1,"regulation of type I hypersensitivity","BP",1,"Magenta"
"44","GO:0001812",0.0416776396245155,1,1,1,"positive regulation of type I hypersensitivity","BP",1,"Magenta"
"45","GO:0001835",0.0256876605611297,0.999780907131284,1,3,"blastocyst hatching","BP",1,"Lightcyan"
"46","GO:0001889",0.0429211417975299,0.974046567350922,32,90,"liver development","BP",1,"Turquoise"
"47","GO:0001911",0.0492048258467132,0.999382187858522,1,2,"negative regulation of leukocyte mediated cytotoxicity","BP",1,"Magenta"
"48","GO:0001915",0.0204720378276061,1,1,1,"negative regulation of T cell mediated cytotoxicity","BP",1,"Magenta"
"49","GO:0001931",0.0423931319768093,0.999279786670533,1,5,"uropod","CC",1,"Lightcyan"
"50","GO:0001961",0.0247950738083555,0.995336721129601,6,10,"positive regulation of cytokine-mediated signaling pathway","BP",1,"Turquoise"
"51","GO:0002027",0.00404436049439308,0.999552118091545,4,25,"regulation of heart rate","BP",1,"Magenta"
"52","GO:0002159",0.0315897573642693,1,1,1,"desmosome assembly","BP",1,"Magenta"
"53","GO:0002165",0.0440637108827305,0.987375716706575,5,240,"instar larval or pupal development","BP",1,"Lightcyan"
"54","GO:0002168",0.0179381324030616,0.996813192070725,4,41,"instar larval development","BP",1,"Magenta"
"55","GO:0002181",1.56122826559313e-16,1,67,90,"cytoplasmic translation","BP",6.92443766497193e-13,"Turquoise"
"56","GO:0002237",0.0379456864152117,0.976941767722598,34,96,"response to molecule of bacterial origin","BP",1,"Turquoise"
"57","GO:0002262",0.0331065491393122,0.997129539808465,2,40,"myeloid cell homeostasis","BP",1,"Lightcyan"
"58","GO:0002329",0.0370161147798234,1,2,2,"pre-B cell differentiation","BP",1,"Turquoise"
"59","GO:0002343",0.0416776396245155,1,1,1,"peripheral B cell selection","BP",1,"Magenta"
"60","GO:0002344",0.0416776396245155,1,1,1,"B cell affinity maturation","BP",1,"Magenta"
"61","GO:0002381",0.0214506327895921,0.998740154571029,2,8,"immunoglobulin production involved in immunoglobulin-mediated immune response","BP",1,"Magenta"
"62","GO:0002526",0.0259680109409989,0.993161906606043,8,15,"acute inflammatory response","BP",1,"Turquoise"
"63","GO:0002709",0.0439198239304244,0.995774535873823,2,15,"regulation of T cell mediated immunity","BP",1,"Magenta"
