"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1",1,"GO:0002181",8.29529419115557e-15,1,67,90,"cytoplasmic translation","BP","cytoplasmic translation"
"2",2,"GO:0006614",2.4636487380289e-13,1,48,59,"SRP-dependent cotranslational protein targeting to membrane","BP","SRP-dependent cotranslational protein targeting to membrane"
"3",3,"GO:0006412",3.09610859768351e-13,1,123,219,"translation","BP","cytoplasmic translation"
"4",4,"GO:0043043",1.59831316659548e-12,1,126,231,"peptide biosynthetic process","BP","cytoplasmic translation"
"5",5,"GO:0006613",2.27302572746092e-12,1,49,63,"cotranslational protein targeting to membrane","BP","SRP-dependent cotranslational protein targeting to membrane"
"6",6,"GO:0006518",7.54393720806737e-12,1,146,285,"peptide metabolic process","BP","cytoplasmic translation"
"7",7,"GO:0043604",2.61888528993342e-11,1,137,268,"amide biosynthetic process","BP","cytoplasmic translation"
"8",8,"GO:0045047",5.7100330790013e-11,1,50,68,"protein targeting to ER","BP","SRP-dependent cotranslational protein targeting to membrane"
"9",9,"GO:0006612",6.68314167168897e-11,1,53,75,"protein targeting to membrane","BP","SRP-dependent cotranslational protein targeting to membrane"
"10",10,"GO:0043603",8.28709983967572e-11,1,171,359,"amide metabolic process","BP","cytoplasmic translation"
"11",11,"GO:0034645",1.62945546378051e-10,1,318,760,"cellular macromolecule biosynthetic process","BP","cellular macromolecule biosynthetic process"
"12",12,"GO:1901361",1.66244853912679e-10,1,117,227,"organic cyclic compound catabolic process","BP","organic cyclic compound catabolic process"
"13",13,"GO:1901566",2.71692858157515e-10,1,251,577,"organonitrogen compound biosynthetic process","BP","organonitrogen compound biosynthetic process"
"14",14,"GO:0072599",3.12582566810795e-10,0.999999999946846,50,70,"establishment of protein localization to endoplasmic reticulum","BP","SRP-dependent cotranslational protein targeting to membrane"
"15",15,"GO:0019439",3.9301332416284e-10,1,112,217,"aromatic compound catabolic process","BP","organic cyclic compound catabolic process"
"16",16,"GO:0044271",4.27903857008238e-10,1,318,768,"cellular nitrogen compound biosynthetic process","BP","cellular nitrogen compound biosynthetic process"
"17",17,"GO:0009059",5.3471370043904e-10,1,319,770,"macromolecule biosynthetic process","BP","cellular nitrogen compound biosynthetic process"
"18",18,"GO:0046700",5.79173375912853e-10,1,106,203,"heterocycle catabolic process","BP","organic cyclic compound catabolic process"
"19",19,"GO:0044270",8.93958589928733e-10,1,105,202,"cellular nitrogen compound catabolic process","BP","organic cyclic compound catabolic process"
"20",20,"GO:0070972",1.06269402826375e-09,0.999999999756349,54,80,"protein localization to endoplasmic reticulum","BP","SRP-dependent cotranslational protein targeting to membrane"
"21",21,"GO:0034655",3.00271814419649e-09,0.999999998788586,100,191,"nucleobase-containing compound catabolic process","BP","organic cyclic compound catabolic process"
"22",22,"GO:1901564",9.56493766422178e-09,1,678,1876,"organonitrogen compound metabolic process","BP","organonitrogen compound biosynthetic process"
"23",23,"GO:0006413",1.06354871155608e-08,0.999999996986483,56,90,"translational initiation","BP","cytoplasmic translation"
"24",24,"GO:0009058",1.82788121915075e-08,1,448,1177,"biosynthetic process","BP","cellular nitrogen compound biosynthetic process"
"25",25,"GO:0044249",2.39728797093724e-08,1,438,1149,"cellular biosynthetic process","BP","cellular nitrogen compound biosynthetic process"
"26",26,"GO:1901576",2.68240671770072e-08,1,444,1168,"organic substance biosynthetic process","BP","cellular nitrogen compound biosynthetic process"
"27",27,"GO:0000184",5.88494547791729e-08,0.999999984780518,46,71,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","organic cyclic compound catabolic process"
"28",28,"GO:0000956",1.18551466595736e-07,0.999999956902812,66,119,"nuclear-transcribed mRNA catabolic process","BP","organic cyclic compound catabolic process"
"29",29,"GO:0006402",2.64787409445974e-07,0.999999897550232,69,128,"mRNA catabolic process","BP","organic cyclic compound catabolic process"
"30",30,"GO:0090150",4.88086284826764e-07,0.999999818163528,63,113,"establishment of protein localization to membrane","BP","SRP-dependent cotranslational protein targeting to membrane"
"31",31,"GO:0034641",6.78499852551281e-07,0.999999707033574,582,1615,"cellular nitrogen compound metabolic process","BP","cellular nitrogen compound metabolic process"
"32",32,"GO:0006401",8.02949692068064e-07,0.999999663645258,73,141,"RNA catabolic process","BP","organic cyclic compound catabolic process"
"33",33,"GO:0006807",8.08160120643894e-07,0.999999526031085,910,2641,"nitrogen compound metabolic process","BP","cellular nitrogen compound metabolic process"
"34",34,"GO:0010467",1.00261798871378e-06,0.999999581088635,373,983,"gene expression","BP","cellular macromolecule biosynthetic process"
"35",35,"GO:0044238",6.79808537913582e-06,0.999994708061148,936,2746,"primary metabolic process","BP","cellular nitrogen compound metabolic process"
"36",36,"GO:0019538",1.30365145168003e-05,0.999990208395429,530,1492,"protein metabolic process","BP","organonitrogen compound biosynthetic process"
"37",37,"GO:0071704",1.53809998449078e-05,0.999987734633527,967,2857,"organic substance metabolic process","BP","cellular nitrogen compound metabolic process"
"38",38,"GO:0044265",2.56652927635636e-05,0.99998436634524,159,391,"cellular macromolecule catabolic process","BP","organic cyclic compound catabolic process"
"39",39,"GO:0008152",2.61458540922628e-05,0.999978861039052,998,2960,"metabolic process","BP","cellular nitrogen compound metabolic process"
"40",40,"GO:0006605",3.21665111504381e-05,0.999983762396207,79,166,"protein targeting","BP","SRP-dependent cotranslational protein targeting to membrane"
"41",41,"GO:0009057",3.51185258001552e-05,0.999977596846479,179,451,"macromolecule catabolic process","BP","organic cyclic compound catabolic process"
"42",42,"GO:0006119",3.85881222525334e-05,0.999987956487842,34,56,"oxidative phosphorylation","BP","oxidative phosphorylation"
"43",43,"GO:1901575",4.9663149712385e-05,0.99996557668969,243,639,"organic substance catabolic process","BP","organic cyclic compound catabolic process"
"44",44,"GO:0044237",5.07532427729021e-05,0.999958668635103,954,2828,"cellular metabolic process","BP","cellular nitrogen compound metabolic process"
"45",45,"GO:0006139",5.47623052681485e-05,0.999957890426677,485,1366,"nucleobase-containing compound metabolic process","BP","cellular nitrogen compound metabolic process"
"46",46,"GO:0044260",8.53616152989887e-05,0.999931756469599,658,1911,"cellular macromolecule metabolic process","BP","cellular macromolecule biosynthetic process"
