"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1",1,"GO:0050794",8.43691753390647e-08,1,1395,2785,"regulation of cellular process","BP","regulation of cellular process"
"2",2,"GO:0065007",1.55349266616649e-06,0.999998896258848,1574,3184,"biological regulation","BP","regulation of cellular process"
"3",3,"GO:0050789",1.58488187809467e-06,0.99999887628903,1479,2981,"regulation of biological process","BP","regulation of cellular process"
"4",4,"GO:0048523",1.58132572824578e-05,0.999987825154385,800,1569,"negative regulation of cellular process","BP","negative regulation of cellular process"
"5",5,"GO:0048518",3.04336911550706e-05,0.999975761176625,950,1888,"positive regulation of biological process","BP","positive regulation of biological process"
"6",6,"GO:0051336",3.40356345998234e-05,0.999978317766543,232,415,"regulation of hydrolase activity","BP","regulation of hydrolase activity"
"7",7,"GO:0080090",6.84952764032271e-05,0.9999450589828,878,1746,"regulation of primary metabolic process","BP","regulation of primary metabolic process"
"8",8,"GO:0010976",7.0246224731731e-05,0.999963306007817,102,167,"positive regulation of neuron projection development","BP","positive regulation of neuron projection development"
"9",9,"GO:0031346",7.03640122978717e-05,0.999960835253017,129,218,"positive regulation of cell projection organization","BP","positive regulation of neuron projection development"
"10",10,"GO:0050896",7.69636587451606e-05,0.999937025945887,1104,2222,"response to stimulus","BP","response to stimulus"
"11",11,"GO:0045666",9.05977256213101e-05,0.999950176923262,120,202,"positive regulation of neuron differentiation","BP","positive regulation of neuron differentiation"
"12",12,"GO:0051130",0.00012007311490593,0.999914881443963,312,580,"positive regulation of cellular component organization","BP","positive regulation of cellular component organization"
"13",13,"GO:0048522",0.000123017883494289,0.999900617491806,856,1705,"positive regulation of cellular process","BP","positive regulation of biological process"
"14",14,"GO:0065009",0.00015255762686233,0.999882988277718,509,985,"regulation of molecular function","BP","regulation of hydrolase activity"
"15",15,"GO:2000026",0.0002005286112751,0.999848676377583,430,824,"regulation of multicellular organismal development","BP","regulation of multicellular organismal development"
"16",16,"GO:0051247",0.000204761661185516,0.999852038383933,323,607,"positive regulation of protein metabolic process","BP","regulation of primary metabolic process"
"17",17,"GO:0051345",0.000204887224794441,0.999872439864686,157,276,"positive regulation of hydrolase activity","BP","regulation of hydrolase activity"
"18",18,"GO:0043087",0.000216522974855765,0.999883398824992,97,160,"regulation of GTPase activity","BP","regulation of hydrolase activity"
"19",19,"GO:0051171",0.000226891806992774,0.999815214560123,847,1693,"regulation of nitrogen compound metabolic process","BP","regulation of primary metabolic process"
"20",21,"GO:0043085",0.000229649957042755,0.999838993576654,265,491,"positive regulation of catalytic activity","BP","regulation of hydrolase activity"
"21",23,"GO:0051716",0.000253203579270442,0.999793258412368,856,1712,"cellular response to stimulus","BP","response to stimulus"
"22",24,"GO:1903034",0.000253966985372196,0.999898033119677,50,75,"regulation of response to wounding","BP","regulation of response to wounding"
"23",25,"GO:0051246",0.000255083474354845,0.999803038446143,494,958,"regulation of protein metabolic process","BP","regulation of primary metabolic process"
"24",26,"GO:0050790",0.000262327398351755,0.999803563372889,390,745,"regulation of catalytic activity","BP","regulation of hydrolase activity"
"25",27,"GO:0051179",0.00026574945316491,0.999781986318583,900,1804,"localization","BP","localization"
"26",28,"GO:0009987",0.000272189436508723,0.999767853403744,1938,4026,"cellular process","BP","cellular process"
"27",29,"GO:0048519",0.000312976345784868,0.99974320108175,875,1755,"negative regulation of biological process","BP","negative regulation of cellular process"
"28",30,"GO:0019058",0.000354472499454488,0.999885798914491,35,49,"viral life cycle","BP","viral life cycle"
"29",31,"GO:0007052",0.000361134426894149,0.999870457243104,40,58,"mitotic spindle organization","BP","mitotic spindle organization"
