"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module"
"1","GO:0019722",0.000347002361226095,0.999950857865522,7,50,"calcium-mediated signaling","BP",1,"Magenta"
"2","GO:0007267",0.000843373022690257,0.999672723937605,20,340,"cell-cell signaling","BP",1,"Magenta"
"3","GO:0033292",0.00122953792295326,1,2,2,"T-tubule organization","BP",1,"Magenta"
"4","GO:0070296",0.00122953792295326,1,2,2,"sarcoplasmic reticulum calcium ion transport","BP",1,"Magenta"
"5","GO:0017158",0.00139194636322715,0.999838010262563,5,30,"regulation of calcium ion-dependent exocytosis","BP",1,"Magenta"
"6","GO:0008584",0.00166885906237118,0.999737150100808,6,48,"male gonad development","BP",1,"Magenta"
"7","GO:0046546",0.00166885906237118,0.999737150100808,6,48,"development of primary male sexual characteristics","BP",1,"Magenta"
"8","GO:0017157",0.00258144664720045,0.999471071085362,7,69,"regulation of exocytosis","BP",1,"Magenta"
"9","GO:0014733",0.00285475317396961,0.99996991273457,2,3,"regulation of skeletal muscle adaptation","BP",1,"Magenta"
"10","GO:0014883",0.00285475317396961,0.99996991273457,2,3,"transition between fast and slow fiber","BP",1,"Magenta"
"11","GO:0086015",0.00348049338817757,0.999942760783834,2,4,"SA node cell action potential","BP",1,"Magenta"
"12","GO:0086018",0.00348049338817757,0.999942760783834,2,4,"SA node cell to atrial cardiac muscle cell signaling","BP",1,"Magenta"
"13","GO:0086070",0.00348049338817757,0.999942760783834,2,4,"SA node cell to atrial cardiac muscle cell communication","BP",1,"Magenta"
"14","GO:0007268",0.00387493855777199,0.998687295376919,12,179,"chemical synaptic transmission","BP",1,"Magenta"
"15","GO:0098916",0.00387493855777199,0.998687295376919,12,179,"anterograde trans-synaptic signaling","BP",1,"Magenta"
"16","GO:0002027",0.00404436049439308,0.999552118091545,4,25,"regulation of heart rate","BP",1,"Magenta"
"17","GO:0099537",0.00407456741483571,0.998610699983767,12,180,"trans-synaptic signaling","BP",1,"Magenta"
"18","GO:0099536",0.00421439280117675,0.998556678549347,12,181,"synaptic signaling","BP",1,"Magenta"
"19","GO:0071286",0.00504679879182241,0.999883428475574,2,5,"cellular response to magnesium ion","BP",1,"Magenta"
"20","GO:1903305",0.00511223332829067,0.999172828964379,5,40,"regulation of regulated secretory pathway","BP",1,"Magenta"
"21","GO:2000833",0.00517551237181492,0.999878885661092,2,5,"positive regulation of steroid hormone secretion","BP",1,"Magenta"
"22","GO:0019932",0.00575918621910204,0.998623743782994,7,80,"second-messenger-mediated signaling","BP",1,"Magenta"
"23","GO:0045838",0.00620506926996791,0.999516549195027,3,16,"positive regulation of membrane potential","BP",1,"Magenta"
