"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module"
"1","GO:0035725",0.000248541641879886,0.999968263672578,7,31,"sodium ion transmembrane transport","BP",1,"Red"
"2","GO:0060075",0.000889200076307302,0.999979118713866,3,5,"regulation of resting membrane potential","BP",1,"Red"
"3","GO:0031943",0.000953073148782083,0.999977064042936,3,5,"regulation of glucocorticoid metabolic process","BP",1,"Red"
"4","GO:0031944",0.000953073148782083,0.999977064042936,3,5,"negative regulation of glucocorticoid metabolic process","BP",1,"Red"
"5","GO:0031946",0.000953073148782083,0.999977064042936,3,5,"regulation of glucocorticoid biosynthetic process","BP",1,"Red"
"6","GO:0031947",0.000953073148782083,0.999977064042936,3,5,"negative regulation of glucocorticoid biosynthetic process","BP",1,"Red"
"7","GO:0006814",0.00100362113259389,0.999832849074129,7,38,"sodium ion transport","BP",1,"Red"
"8","GO:0051941",0.00151831612141396,1,2,2,"regulation of amino acid uptake involved in synaptic transmission","BP",1,"Red"
"9","GO:0051946",0.00151831612141396,1,2,2,"regulation of glutamate uptake involved in transmission of nerve impulse","BP",1,"Red"
"10","GO:1903280",0.00151831612141396,1,2,2,"negative regulation of calcium:sodium antiporter activity","BP",1,"Red"
"11","GO:1903416",0.00151831612141396,1,2,2,"response to glycoside","BP",1,"Red"
"12","GO:0090032",0.00169534218955134,0.999940704828594,3,6,"negative regulation of steroid hormone biosynthetic process","BP",1,"Red"
"13","GO:0060439",0.00188872839175976,0.999849051944871,4,13,"trachea morphogenesis","BP",1,"Red"
"14","GO:0046719",0.00216129946063991,1,2,2,"regulation by virus of viral protein levels in host cell","BP",1,"Red"
"15","GO:0046726",0.00216129946063991,1,2,2,"positive regulation by virus of viral protein levels in host cell","BP",1,"Red"
"16","GO:0000707",0.00268500309054561,1,2,2,"meiotic DNA recombinase assembly","BP",1,"Red"
"17","GO:0000730",0.00268500309054561,1,2,2,"DNA recombinase assembly","BP",1,"Red"
"18","GO:0042148",0.00268500309054561,1,2,2,"strand invasion","BP",1,"Red"
"19","GO:0090735",0.00268500309054561,1,2,2,"DNA repair complex assembly","BP",1,"Red"
"20","GO:0010894",0.0041414681014212,0.999765585117642,3,8,"negative regulation of steroid biosynthetic process","BP",1,"Red"
"21","GO:0086012",0.00443703015726179,0.999941040524956,2,3,"membrane depolarization during cardiac muscle cell action potential","BP",1,"Red"
"22","GO:0032351",0.00453594495163356,0.999734647022389,3,8,"negative regulation of hormone metabolic process","BP",1,"Red"
"23","GO:0032353",0.00453594495163356,0.999734647022389,3,8,"negative regulation of hormone biosynthetic process","BP",1,"Red"
"24","GO:0070212",0.00470551386409984,0.999935530709527,2,3,"protein poly-ADP-ribosylation","BP",1,"Red"
"25","GO:0090030",0.00492690774072508,0.999702981470377,3,8,"regulation of steroid hormone biosynthetic process","BP",1,"Red"
"26","GO:0002087",0.00504491961282061,0.999928324568415,2,3,"regulation of respiratory gaseous exchange by nervous system process","BP",1,"Red"
"27","GO:0030007",0.00552345422872241,0.999917722146733,2,3,"intracellular potassium ion homeostasis","BP",1,"Red"
"28","GO:0036376",0.00552345422872241,0.999917722146733,2,3,"sodium ion export across plasma membrane","BP",1,"Red"
"29","GO:1903279",0.00552345422872241,0.999917722146733,2,3,"regulation of calcium:sodium antiporter activity","BP",1,"Red"
"30","GO:0007630",0.00553188766533907,0.999917530761416,2,3,"jump response","BP",1,"Red"
"31","GO:1902808",0.0055577605844726,0.999120683564698,5,25,"positive regulation of cell cycle G1/S phase transition","BP",1,"Red"
"32","GO:0032287",0.00566479224278076,0.999914494279019,2,3,"peripheral nervous system myelin maintenance","BP",1,"Red"
"33","GO:0046466",0.00587752632525211,0.999319762882288,4,16,"membrane lipid catabolic process","BP",1,"Red"
"34","GO:0002028",0.00632253781546319,0.998953237064752,5,28,"regulation of sodium ion transport","BP",1,"Red"
"35","GO:0086010",0.00633455087771159,0.999547661340259,3,10,"membrane depolarization during action potential","BP",1,"Red"
"36","GO:0045823",0.0069122919892283,0.999506949013333,3,9,"positive regulation of heart contraction","BP",1,"Red"
"37","GO:0000724",0.00831520242886887,0.997906706472614,7,52,"double-strand break repair via homologous recombination","BP",1,"Red"
"38","GO:0000725",0.00831520242886887,0.997906706472614,7,52,"recombinational repair","BP",1,"Red"
"39","GO:1901992",0.00912686006947217,0.997981389298055,6,39,"positive regulation of mitotic cell cycle phase transition","BP",1,"Red"
"40","GO:0035158",0.00914302996225157,0.999233554080396,3,11,"regulation of tube diameter, open tracheal system","BP",1,"Red"
"41","GO:0044065",0.00965305637660844,0.999729034526945,2,4,"regulation of respiratory system process","BP",1,"Red"
"42","GO:0140115",0.0106619475812899,0.99968458968198,2,4,"export across plasma membrane","BP",1,"Red"
"43","GO:1990573",0.0106619475812899,0.99968458968198,2,4,"potassium ion import across plasma membrane","BP",1,"Red"
"44","GO:0015701",0.010802549992257,0.999036675983101,3,11,"bicarbonate transport","BP",1,"Red"
"45","GO:0045939",0.0110227039395638,0.999009635771047,3,11,"negative regulation of steroid metabolic process","BP",1,"Red"
"46","GO:0051890",0.0112474396681769,0.999657723859832,2,4,"regulation of cardioblast differentiation","BP",1,"Red"
"47","GO:0086064",0.0117612647635019,0.999633514786637,2,4,"cell communication by electrical coupling involved in cardiac conduction","BP",1,"Red"
"48","GO:0051055",0.0123486192212224,0.998143616988163,4,21,"negative regulation of lipid biosynthetic process","BP",1,"Red"
"49","GO:0098655",0.0132134007784649,0.994310091432974,14,161,"monoatomic cation transmembrane transport","BP",1,"Red"
"50","GO:1900087",0.0133620471368579,0.997957457814727,4,20,"positive regulation of G1/S transition of mitotic cell cycle","BP",1,"Red"
"51","GO:2000617",0.0133979065810726,0.999552592463188,2,4,"positive regulation of histone H3-K9 acetylation","BP",1,"Red"
"52","GO:0019377",0.0139435947447237,0.998632010326715,3,11,"glycolipid catabolic process","BP",1,"Red"
"53","GO:0007143",0.0141206214187247,0.997101286978505,5,33,"female meiotic nuclear division","BP",1,"Red"
"54","GO:0045988",0.0141231421370771,0.999438962911961,2,5,"negative regulation of striated muscle contraction","BP",1,"Red"
"55","GO:1903053",0.0142619714302226,0.997073286527179,5,32,"regulation of extracellular matrix organization","BP",1,"Red"
"56","GO:0055119",0.0160032624179641,0.999320563574367,2,5,"relaxation of cardiac muscle","BP",1,"Red"
"57","GO:1901989",0.0160034323132202,0.995959115156663,6,44,"positive regulation of cell cycle phase transition","BP",1,"Red"
"58","GO:0043217",0.0162490200538866,0.999304499457164,2,5,"myelin maintenance","BP",1,"Red"
"59","GO:0030509",0.0164870958563138,0.997281734965803,4,22,"BMP signaling pathway","BP",1,"Red"
"60","GO:0032042",0.0166199336975284,0.99822260064375,3,12,"mitochondrial DNA metabolic process","BP",1,"Red"
"61","GO:0071805",0.0177676683011241,0.996987657044632,4,23,"potassium ion transmembrane transport","BP",1,"Red"
"62","GO:0045003",0.0179845004159782,0.999187315299354,2,5,"double-strand break repair via synthesis-dependent strand annealing","BP",1,"Red"
"63","GO:2001137",0.0180736790153243,0.999181119456146,2,5,"positive regulation of endocytic recycling","BP",1,"Red"
"64","GO:0010248",0.0180852010795711,0.999180317714779,2,5,"establishment or maintenance of transmembrane electrochemical gradient","BP",1,"Red"
"65","GO:0002036",0.018668359597502,0.99913937532941,2,5,"regulation of L-glutamate import across plasma membrane","BP",1,"Red"
"66","GO:0010958",0.018668359597502,0.99913937532941,2,5,"regulation of amino acid import across plasma membrane","BP",1,"Red"
"67","GO:0002807",0.0187926982839631,0.99913055380924,2,5,"positive regulation of antimicrobial peptide biosynthetic process","BP",1,"Red"
"68","GO:1904357",0.0192499019357365,0.99775771172685,3,14,"negative regulation of telomere maintenance via telomere lengthening","BP",1,"Red"
"69","GO:0046498",0.0214467165509401,0.998934726331684,2,5,"S-adenosylhomocysteine metabolic process","BP",1,"Red"
"70","GO:0035562",0.0216241817977016,0.998921128618979,2,5,"negative regulation of chromatin binding","BP",1,"Red"
"71","GO:2000615",0.0222303122073796,0.998874220100063,2,5,"regulation of histone H3-K9 acetylation","BP",1,"Red"
"72","GO:0086004",0.0228273040137374,0.998728019850516,2,6,"regulation of cardiac muscle cell contraction","BP",1,"Red"
"73","GO:1903115",0.0228273040137374,0.998728019850516,2,6,"regulation of actin filament-based movement","BP",1,"Red"
"74","GO:0090075",0.0228643703471913,0.998724840804258,2,6,"relaxation of muscle","BP",1,"Red"
"75","GO:0086036",0.0232786870349612,0.998689112840941,2,6,"regulation of cardiac muscle cell membrane potential","BP",1,"Red"
"76","GO:0006883",0.0232828978415767,0.998688747909666,2,6,"intracellular sodium ion homeostasis","BP",1,"Red"
"77","GO:0098662",0.0233100448135685,0.989932804144358,12,141,"inorganic cation transmembrane transport","BP",1,"Red"
"78","GO:0030720",0.0233262034029673,0.998684992697331,2,6,"oocyte localization involved in germarium-derived egg chamber formation","BP",1,"Red"
"79","GO:0046128",0.0234311575954763,0.994484258409033,5,36,"purine ribonucleoside metabolic process","BP",1,"Red"
"80","GO:0060438",0.0234962630261513,0.995622683467975,4,25,"trachea development","BP",1,"Red"
"81","GO:0030206",0.0244664310318534,0.998695042318203,2,5,"chondroitin sulfate biosynthetic process","BP",1,"Red"
"82","GO:1904646",0.0245398558938404,0.996827678681648,3,15,"cellular response to amyloid-beta","BP",1,"Red"
"83","GO:1902600",0.0246766601986998,0.994112160499583,5,36,"proton transmembrane transport","BP",1,"Red"
"84","GO:0071772",0.0253747781061849,0.995159546405519,4,25,"response to BMP","BP",1,"Red"
"85","GO:0071773",0.0253747781061849,0.995159546405519,4,25,"cellular response to BMP stimulus","BP",1,"Red"
"86","GO:0007400",0.0255009803469878,0.99849150246488,2,6,"neuroblast fate determination","BP",1,"Red"
"87","GO:1903055",0.0259082543601717,0.996618179889165,3,14,"positive regulation of extracellular matrix organization","BP",1,"Red"
"88","GO:1903789",0.0260086850821694,0.998444966575145,2,6,"regulation of amino acid transmembrane transport","BP",1,"Red"
"89","GO:0006813",0.0267867048010784,0.994783462398435,4,26,"potassium ion transport","BP",1,"Red"
"90","GO:0098660",0.0270756415189751,0.987593551156705,13,160,"inorganic ion transmembrane transport","BP",1,"Red"
"91","GO:0035203",0.0281191598009226,0.99824611325051,2,6,"regulation of lamellocyte differentiation","BP",1,"Red"
"92","GO:0035204",0.0281191598009226,0.99824611325051,2,6,"negative regulation of lamellocyte differentiation","BP",1,"Red"
"93","GO:0045611",0.0281191598009226,0.99824611325051,2,6,"negative regulation of hemocyte differentiation","BP",1,"Red"
"94","GO:0045613",0.0281191598009226,0.99824611325051,2,6,"regulation of plasmatocyte differentiation","BP",1,"Red"
"95","GO:0045614",0.0281191598009226,0.99824611325051,2,6,"negative regulation of plasmatocyte differentiation","BP",1,"Red"
"96","GO:0046885",0.0282812044757818,0.9961379925722,3,15,"regulation of hormone biosynthetic process","BP",1,"Red"
"97","GO:0060081",0.028471383041348,0.99821208878391,2,6,"membrane hyperpolarization","BP",1,"Red"
"98","GO:1902476",0.0287367726930626,0.994280423014032,4,26,"chloride transmembrane transport","BP",1,"Red"
"99","GO:0042278",0.0290335094341767,0.992740796719668,5,38,"purine nucleoside metabolic process","BP",1,"Red"
"100","GO:0006023",0.0295699027401227,0.994085258284809,4,25,"aminoglycan biosynthetic process","BP",1,"Red"
"101","GO:0045143",0.0296668096493516,0.995833178952418,3,16,"homologous chromosome segregation","BP",1,"Red"
"102","GO:0051899",0.029813819352966,0.995804477204354,3,16,"membrane depolarization","BP",1,"Red"
"103","GO:0030510",0.0300079064590756,0.992417283201735,5,39,"regulation of BMP signaling pathway","BP",1,"Red"
"104","GO:1901879",0.0302344609527317,0.993844062228875,4,28,"regulation of protein depolymerization","BP",1,"Red"
"105","GO:0045623",0.0309146690019733,0.997969618762214,2,6,"negative regulation of T-helper cell differentiation","BP",1,"Red"
"106","GO:0035172",0.0309793391985876,0.997854436408742,2,7,"hemocyte proliferation","BP",1,"Red"
"107","GO:0006821",0.0331677587932092,0.993071291299445,4,27,"chloride transport","BP",1,"Red"
"108","GO:1904645",0.0337552317234691,0.994972836973002,3,17,"response to amyloid-beta","BP",1,"Red"
"109","GO:0035066",0.0340152446606225,0.994960418065247,3,16,"positive regulation of histone acetylation","BP",1,"Red"
"110","GO:0000038",0.0346038444498652,0.997454271503706,2,7,"very long-chain fatty acid metabolic process","BP",1,"Red"
"111","GO:1901657",0.0349695517514299,0.98808112630932,7,67,"glycosyl compound metabolic process","BP",1,"Red"
"112","GO:0060391",0.0353641174838035,0.997367204347574,2,7,"positive regulation of SMAD protein signal transduction","BP",1,"Red"
"113","GO:0051580",0.0355571929053273,0.997344923240876,2,7,"regulation of neurotransmitter uptake","BP",1,"Red"
"114","GO:0043696",0.0358123130510311,0.997315376982435,2,7,"dedifferentiation","BP",1,"Red"
"115","GO:0043697",0.0358123130510311,0.997315376982435,2,7,"cell dedifferentiation","BP",1,"Red"
"116","GO:0006302",0.0362928242315696,0.986415156670738,8,85,"double-strand break repair","BP",1,"Red"
"117","GO:1990535",0.0364110084329993,0.997245571906624,2,7,"neuron projection maintenance","BP",1,"Red"
"118","GO:0055075",0.0371102913606008,0.997163211573183,2,7,"potassium ion homeostasis","BP",1,"Red"
"119","GO:0048857",0.0371247193651668,0.99426055546579,3,17,"neural nucleus development","BP",1,"Red"
"120","GO:0060413",0.0389178012903465,0.996946238056919,2,7,"atrial septum morphogenesis","BP",1,"Red"
"121","GO:0007604",0.0390100819090383,1,1,1,"phototransduction, UV","BP",1,"Red"
"122","GO:1990146",0.0390100819090383,1,1,1,"protein localization to rhabdomere","BP",1,"Red"
"123","GO:1904762",0.0390100819094147,1,1,1,"positive regulation of myofibroblast differentiation","BP",1,"Red"
"124","GO:0002213",0.0390100819094182,1,1,1,"defense response to insect","BP",1,"Red"
"125","GO:0009608",0.0390100819094182,1,1,1,"response to symbiont","BP",1,"Red"
"126","GO:0035163",0.0390100819094182,1,1,1,"embryonic hemocyte differentiation","BP",1,"Red"
"127","GO:0035165",0.0390100819094182,1,1,1,"embryonic crystal cell differentiation","BP",1,"Red"
"128","GO:0035622",0.0390100819094182,1,1,1,"intrahepatic bile duct development","BP",1,"Red"
"129","GO:0042480",0.0390100819094182,1,1,1,"negative regulation of eye photoreceptor cell development","BP",1,"Red"
"130","GO:0045316",0.0390100819094182,1,1,1,"negative regulation of compound eye photoreceptor development","BP",1,"Red"
"131","GO:0045967",0.0390100819094182,1,1,1,"negative regulation of growth rate","BP",1,"Red"
"132","GO:0061073",0.0390100819094182,1,1,1,"ciliary body morphogenesis","BP",1,"Red"
"133","GO:0061331",0.0390100819094182,1,1,1,"epithelial cell proliferation involved in Malpighian tubule morphogenesis","BP",1,"Red"
"134","GO:0072574",0.0390100819094182,1,1,1,"hepatocyte proliferation","BP",1,"Red"
"135","GO:0072575",0.0390100819094182,1,1,1,"epithelial cell proliferation involved in liver morphogenesis","BP",1,"Red"
