"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Module"
"1","GO:0018107",4.26818707434879e-05,0.999990576053163,15,47,"peptidyl-threonine phosphorylation","BP","Brown"
"2","GO:0006082",4.36816560489148e-05,0.999977508255549,60,345,"organic acid metabolic process","BP","Brown"
"3","GO:0043436",5.39336399389108e-05,0.999972158469648,59,340,"oxoacid metabolic process","BP","Brown"
"4","GO:0018210",7.44824752416918e-05,0.999982523898425,15,49,"peptidyl-threonine modification","BP","Brown"
"5","GO:0032787",8.10113591913604e-05,0.999966532583815,33,159,"monocarboxylic acid metabolic process","BP","Brown"
"6","GO:0019752",0.00020183573651578,0.999893214581832,53,311,"carboxylic acid metabolic process","BP","Brown"
"7","GO:0044272",0.000408423305284905,0.999878449558514,16,61,"sulfur compound biosynthetic process","BP","Brown"
"8","GO:0006631",0.000437693479710902,0.999832821209884,23,105,"fatty acid metabolic process","BP","Brown"
"9","GO:0033151",0.000465268552861598,0.999958281337305,6,12,"V(D)J recombination","BP","Brown"
"10","GO:0044242",0.000705231619106849,0.999777217793908,16,64,"cellular lipid catabolic process","BP","Brown"
"11","GO:0016042",0.000941747822063598,0.999667693910341,18,78,"lipid catabolic process","BP","Brown"
"12","GO:0035212",0.000953276040736982,0.999896746174743,6,13,"cell competition in a multicellular organism","BP","Brown"
"13","GO:0006121",0.00120244419295686,1,3,3,"mitochondrial electron transport, succinate to ubiquinone","BP","Brown"
"14","GO:0035215",0.00136278483373429,0.999752750036426,8,23,"genital disc development","BP","Brown"
"15","GO:0044282",0.00150460101878285,0.999362413851002,23,114,"small molecule catabolic process","BP","Brown"
"16","GO:0046939",0.00160205545254047,0.999701500425813,8,23,"nucleotide phosphorylation","BP","Brown"
"17","GO:0006090",0.00164081712202023,0.999693068180637,8,23,"pyruvate metabolic process","BP","Brown"
"18","GO:0006790",0.00179006535378652,0.999183949328457,26,136,"sulfur compound metabolic process","BP","Brown"
"19","GO:0006084",0.00187862903966991,0.999826065788679,5,10,"acetyl-CoA metabolic process","BP","Brown"
"20","GO:0048147",0.00188151686980057,0.999757435008128,6,14,"negative regulation of fibroblast proliferation","BP","Brown"
"21","GO:0005996",0.00232023293872076,0.999163045654407,16,71,"monosaccharide metabolic process","BP","Brown"
"22","GO:0035384",0.00263639069391985,0.999625018381053,6,15,"thioester biosynthetic process","BP","Brown"
"23","GO:0071616",0.00263639069391985,0.999625018381053,6,15,"acyl-CoA biosynthetic process","BP","Brown"
"24","GO:0046503",0.00276105036168868,0.999603477886762,6,15,"glycerolipid catabolic process","BP","Brown"
"25","GO:0016054",0.0031483975728384,0.998823901251109,16,73,"organic acid catabolic process","BP","Brown"
"26","GO:0046395",0.0031483975728384,0.998823901251109,16,73,"carboxylic acid catabolic process","BP","Brown"
"27","GO:0009062",0.00376039125282632,0.99897212986229,10,37,"fatty acid catabolic process","BP","Brown"
"28","GO:0006629",0.00453041268495722,0.99722314451756,51,340,"lipid metabolic process","BP","Brown"
"29","GO:0072329",0.00467323907373711,0.99857134146449,11,44,"monocarboxylic acid catabolic process","BP","Brown"
"30","GO:0006165",0.00555325698495071,0.998841578519988,7,22,"nucleoside diphosphate phosphorylation","BP","Brown"
"31","GO:0046461",0.00568226472757501,0.999495103278687,4,8,"neutral lipid catabolic process","BP","Brown"
"32","GO:0046464",0.00568226472757501,0.999495103278687,4,8,"acylglycerol catabolic process","BP","Brown"
"33","GO:0006310",0.0056996779683227,0.997637232691003,17,86,"DNA recombination","BP","Brown"
"34","GO:0005975",0.00570217351437847,0.997094794380336,27,156,"carbohydrate metabolic process","BP","Brown"
"35","GO:0002200",0.00581783112188857,0.998763045315301,7,23,"somatic diversification of immune receptors","BP","Brown"
"36","GO:0006089",0.00590141754480008,0.999469735042861,4,8,"lactate metabolic process","BP","Brown"
"37","GO:0009068",0.00612727451932269,0.999443286457351,4,8,"aspartate family amino acid catabolic process","BP","Brown"
"38","GO:0016052",0.00662017077885728,0.998008184276163,10,40,"carbohydrate catabolic process","BP","Brown"
"39","GO:0007484",0.00688924033471525,0.998725710466619,6,18,"imaginal disc-derived genitalia development","BP","Brown"
"40","GO:0007485",0.00688924033471525,0.998725710466619,6,18,"imaginal disc-derived male genitalia development","BP","Brown"
"41","GO:0006672",0.00729558055747442,0.998379321091559,7,23,"ceramide metabolic process","BP","Brown"
"42","GO:0048145",0.00763439984302697,0.997832204085169,9,35,"regulation of fibroblast proliferation","BP","Brown"
"43","GO:0006096",0.00774325467762396,0.998849488248853,5,13,"glycolytic process","BP","Brown"
"44","GO:0002562",0.00827741492770548,0.998384326231625,6,19,"somatic diversification of immune receptors via germline recombination within a single locus","BP","Brown"
"45","GO:0090522",0.00858279108210202,0.999539275279444,3,5,"vesicle tethering involved in exocytosis","BP","Brown"
"46","GO:0099022",0.00858279108210202,0.999539275279444,3,5,"vesicle tethering","BP","Brown"
"47","GO:0016053",0.00895779733408346,0.995614538403498,22,124,"organic acid biosynthetic process","BP","Brown"
"48","GO:0046394",0.00895779733408346,0.995614538403498,22,124,"carboxylic acid biosynthetic process","BP","Brown"
"49","GO:0000973",0.00910478451918841,1,2,2,"post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery","BP","Brown"
"50","GO:1905098",0.00951506194929535,0.999468846306024,3,5,"negative regulation of guanyl-nucleotide exchange factor activity","BP","Brown"
"51","GO:0019240",0.00955675839716166,1,2,2,"citrulline biosynthetic process","BP","Brown"
"52","GO:0019318",0.0100666064552811,0.996324404381679,12,55,"hexose metabolic process","BP","Brown"
"53","GO:0030539",0.0101064777053306,0.997565728166853,7,25,"male genitalia development","BP","Brown"
"54","GO:0051316",0.0101457897657524,1,2,2,"attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation","BP","Brown"
"55","GO:0033866",0.0101492122983541,0.997927861623057,6,19,"nucleoside bisphosphate biosynthetic process","BP","Brown"
"56","GO:0034030",0.0101492122983541,0.997927861623057,6,19,"ribonucleoside bisphosphate biosynthetic process","BP","Brown"
"57","GO:0034033",0.0101492122983541,0.997927861623057,6,19,"purine nucleoside bisphosphate biosynthetic process","BP","Brown"
"58","GO:0030709",0.0103352940040686,1,2,2,"border follicle cell delamination","BP","Brown"
"59","GO:0072224",0.0104321983669592,1,2,2,"metanephric glomerulus development","BP","Brown"
"60","GO:0001887",0.010490429895195,1,2,2,"selenium compound metabolic process","BP","Brown"
"61","GO:1900673",0.0107957224221472,1,2,2,"olefin metabolic process","BP","Brown"
"62","GO:0072524",0.0108157099376963,0.996222880785981,11,49,"pyridine-containing compound metabolic process","BP","Brown"
"63","GO:0098719",0.010885629306392,1,2,2,"sodium ion import across plasma membrane","BP","Brown"
"64","GO:0032308",0.0109002709807788,1,2,2,"positive regulation of prostaglandin secretion","BP","Brown"
"65","GO:0006757",0.0109333064456457,0.998182400649424,5,14,"ATP generation from ADP","BP","Brown"
"66","GO:0016444",0.0109562216196957,0.997697800664416,6,20,"somatic cell DNA recombination","BP","Brown"
"67","GO:1901483",0.0109974760858636,1,2,2,"regulation of transcription factor catabolic process","BP","Brown"
"68","GO:1901485",0.0109974760858636,1,2,2,"positive regulation of transcription factor catabolic process","BP","Brown"
"69","GO:0042350",0.0110138315825541,1,2,2,"GDP-L-fucose biosynthetic process","BP","Brown"
"70","GO:0042351",0.0110138315825541,1,2,2,"'de novo' GDP-L-fucose biosynthetic process","BP","Brown"
"71","GO:0042866",0.0110633216081475,0.998155227420942,5,14,"pyruvate biosynthetic process","BP","Brown"
"72","GO:0009106",0.0111221972251477,1,2,2,"lipoate metabolic process","BP","Brown"
"73","GO:0006556",0.0112657265005701,1,2,2,"S-adenosylmethionine biosynthetic process","BP","Brown"
"74","GO:0000719",0.0113067706869267,1,2,2,"photoreactive repair","BP","Brown"
"75","GO:0046338",0.0114380011354649,1,2,2,"phosphatidylethanolamine catabolic process","BP","Brown"
"76","GO:0019626",0.0114479056433673,1,2,2,"short-chain fatty acid catabolic process","BP","Brown"
"77","GO:1901568",0.012390747264392,0.995575480227783,11,50,"fatty acid derivative metabolic process","BP","Brown"
"78","GO:0007483",0.0140097389893768,0.997466965307004,5,15,"genital disc morphogenesis","BP","Brown"
"79","GO:0035126",0.0140097389893768,0.997466965307004,5,15,"post-embryonic genitalia morphogenesis","BP","Brown"
"80","GO:0048803",0.0140097389893768,0.997466965307004,5,15,"imaginal disc-derived male genitalia morphogenesis","BP","Brown"
