"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1","GO:0000165",0,1,12,12,"MAPK cascade","BP",0
"2","GO:0000226",0,1,17,17,"microtubule cytoskeleton organization","BP",0
"3","GO:0000278",0,1,16,16,"mitotic cell cycle","BP",0
"4","GO:0000302",0,1,8,8,"response to reactive oxygen species","BP",0
"5","GO:0000375",0,1,10,10,"RNA splicing, via transesterification reactions","BP",0
"6","GO:0000377",0,1,10,10,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0
"7","GO:0000398",0,1,10,10,"mRNA splicing, via spliceosome","BP",0
"8","GO:0000578",0,1,9,9,"embryonic axis specification","BP",0
"9","GO:0001501",0,1,13,13,"skeletal system development","BP",0
"10","GO:0001505",0,1,8,8,"regulation of neurotransmitter levels","BP",0
"11","GO:0001525",0,1,10,10,"angiogenesis","BP",0
"12","GO:0001558",0,1,10,10,"regulation of cell growth","BP",0
"13","GO:0001568",0,1,16,16,"blood vessel development","BP",0
"14","GO:0001654",0,1,16,16,"eye development","BP",0
"15","GO:0001655",0,1,16,16,"urogenital system development","BP",0
"16","GO:0001666",0,1,10,10,"response to hypoxia","BP",0
"17","GO:0001667",0,1,12,12,"ameboidal-type cell migration","BP",0
"18","GO:0001701",0,1,11,11,"in utero embryonic development","BP",0
"19","GO:0001763",0,1,8,8,"morphogenesis of a branching structure","BP",0
"20","GO:0001817",0,1,14,14,"regulation of cytokine production","BP",0
"21","GO:0001818",0,1,8,8,"negative regulation of cytokine production","BP",0
"22","GO:0001822",0,1,13,13,"kidney development","BP",0
"23","GO:0001890",0,1,11,11,"placenta development","BP",0
"24","GO:0001894",0,1,9,9,"tissue homeostasis","BP",0
"25","GO:0001944",0,1,17,17,"vasculature development","BP",0
"26","GO:0002064",0,1,14,14,"epithelial cell development","BP",0
"27","GO:0002065",0,1,11,11,"columnar/cuboidal epithelial cell differentiation","BP",0
"28","GO:0002066",0,1,8,8,"columnar/cuboidal epithelial cell development","BP",0
