"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module","ParentTerm","N_in_Parent"
"1","GO:0035725",0.000248541641879886,0.999968263672578,7,31,"sodium ion transmembrane transport","BP",1,"Red","sodium ion transmembrane transport",9
"2","GO:0006814",0.00100362113259389,0.999832849074129,7,38,"sodium ion transport","BP",1,"Red","sodium ion transmembrane transport",9
"3","GO:0000707",0.00268500309054561,1,2,2,"meiotic DNA recombinase assembly","BP",1,"Red","meiotic DNA recombinase assembly",3
"4","GO:0000730",0.00268500309054561,1,2,2,"DNA recombinase assembly","BP",1,"Red","meiotic DNA recombinase assembly",3
"5","GO:0042148",0.00268500309054561,1,2,2,"strand invasion","BP",1,"Red","strand invasion",7
"6","GO:0090735",0.00268500309054561,1,2,2,"DNA repair complex assembly","BP",1,"Red","meiotic DNA recombinase assembly",3
"7","GO:0070212",0.00470551386409984,0.999935530709527,2,3,"protein poly-ADP-ribosylation","BP",1,"Red","protein poly-ADP-ribosylation",1
"8","GO:0030007",0.00552345422872241,0.999917722146733,2,3,"intracellular potassium ion homeostasis","BP",1,"Red","intracellular potassium ion homeostasis",3
"9","GO:0036376",0.00552345422872241,0.999917722146733,2,3,"sodium ion export across plasma membrane","BP",1,"Red","sodium ion export across plasma membrane",2
"10","GO:1902808",0.0055577605844726,0.999120683564698,5,25,"positive regulation of cell cycle G1/S phase transition","BP",1,"Red","positive regulation of cell cycle G1/S phase transition",8
"11","GO:0046466",0.00587752632525211,0.999319762882288,4,16,"membrane lipid catabolic process","BP",1,"Red","membrane lipid catabolic process",6
"12","GO:0002028",0.00632253781546319,0.998953237064752,5,28,"regulation of sodium ion transport","BP",1,"Red","sodium ion transmembrane transport",9
"13","GO:0086010",0.00633455087771159,0.999547661340259,3,10,"membrane depolarization during action potential","BP",1,"Red","membrane depolarization during action potential",4
"14","GO:0000724",0.00831520242886887,0.997906706472614,7,52,"double-strand break repair via homologous recombination","BP",1,"Red","strand invasion",7
