Factor,,X,GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm
Biomin,110,158,GO:0030048,1,0.941795499,0,1,actin filament-based movement,BP,1,actin-mediated cell contraction
Biomin,135,192,GO:0070252,1,0.941795499,0,1,actin-mediated cell contraction,BP,1,actin-mediated cell contraction
Biomin,397,563,GO:0006928,1,0.819439423,0,4,movement of cell or subcellular component,BP,1,actin-mediated cell contraction
Biomin,449,627,GO:0030334,1,0.949413007,0,1,regulation of cell migration,BP,1,actin-mediated cell contraction
Biomin,450,628,GO:0030335,1,0.949413007,0,1,positive regulation of cell migration,BP,1,actin-mediated cell contraction
Biomin,451,629,GO:0030336,1,0.949413007,0,1,negative regulation of cell migration,BP,1,actin-mediated cell contraction
Biomin,465,644,GO:0051271,1,0.949413007,0,1,negative regulation of cellular component movement,BP,1,actin-mediated cell contraction
Biomin,466,645,GO:0051272,1,0.949413007,0,1,positive regulation of cellular component movement,BP,1,actin-mediated cell contraction
Biomin,479,659,GO:2000145,1,0.949413007,0,1,regulation of cell motility,BP,1,actin-mediated cell contraction
Biomin,480,660,GO:2000146,1,0.949413007,0,1,negative regulation of cell motility,BP,1,actin-mediated cell contraction
Biomin,481,661,GO:2000147,1,0.949413007,0,1,positive regulation of cell motility,BP,1,actin-mediated cell contraction
Biomin,482,662,GO:2001222,1,0.949413007,0,1,regulation of neuron migration,BP,1,actin-mediated cell contraction
Biomin,483,663,GO:2001223,1,0.949413007,0,1,negative regulation of neuron migration,BP,1,actin-mediated cell contraction
Biomin,484,664,GO:2001224,1,0.949413007,0,1,positive regulation of neuron migration,BP,1,actin-mediated cell contraction
Biomin,623,840,GO:0051270,1,0.894148367,0,2,regulation of cellular component movement,BP,1,actin-mediated cell contraction
Biomin,462,641,GO:0051014,1,0.949413007,0,1,actin filament severing,BP,1,actomyosin structure organization
Biomin,501,681,GO:0030029,1,0.885397978,0,3,actin filament-based process,BP,1,actomyosin structure organization
Biomin,598,815,GO:0030036,1,0.932579608,0,2,actin cytoskeleton organization,BP,1,actomyosin structure organization
Biomin,730,1034,GO:0031032,1,0.990215516,0,1,actomyosin structure organization,BP,1,actomyosin structure organization
Biomin,543,742,GO:0007275,1,0.578036545,0,13,multicellular organism development,BP,1,aging
Biomin,550,750,GO:0032502,1,0.578036545,0,13,developmental process,BP,1,aging
Biomin,557,757,GO:0048856,1,0.578036545,0,13,anatomical structure development,BP,1,aging
Biomin,576,779,GO:0007568,1,0.910686025,0,2,aging,BP,1,aging
Biomin,197,294,GO:0042428,1,0.95409834,0,1,serotonin metabolic process,BP,1,ammonium ion metabolic process
Biomin,259,382,GO:0097164,1,0.95409834,0,1,ammonium ion metabolic process,BP,1,ammonium ion metabolic process
Biomin,681,940,GO:0021700,1,0.960555294,0,1,developmental maturation,BP,1,anatomical structure maturation
Biomin,691,977,GO:0071695,1,0.960555294,0,1,anatomical structure maturation,BP,1,anatomical structure maturation
Biomin,48,57,GO:0010941,1,0.947950792,0,1,regulation of cell death,BP,1,apoptotic process
Biomin,49,58,GO:0010942,1,0.947950792,0,1,positive regulation of cell death,BP,1,apoptotic process
Biomin,86,110,GO:0006915,1,0.955443239,0,1,apoptotic process,BP,1,apoptotic process
Biomin,800,1115,GO:0008219,1,0.908781652,0,2,cell death,BP,1,apoptotic process
Biomin,801,1116,GO:0012501,1,0.908781652,0,2,programmed cell death,BP,1,apoptotic process
Biomin,588,799,GO:0030198,1,0.989625492,0,1,extracellular matrix organization,BP,1,basement membrane organization
Biomin,590,801,GO:0034769,1,0.989625492,0,1,basement membrane disassembly,BP,1,basement membrane organization
Biomin,592,806,GO:0043062,1,0.989625492,0,1,extracellular structure organization,BP,1,basement membrane organization
Biomin,593,809,GO:0071711,1,0.989625492,0,1,basement membrane organization,BP,1,basement membrane organization
Biomin,60,73,GO:0042537,1,0.947950792,0,1,benzene-containing compound metabolic process,BP,1,benzene-containing compound metabolic process
Biomin,270,401,GO:1901135,1,0.95409834,0,1,carbohydrate derivative metabolic process,BP,1,carbohydrate derivative metabolic process
Biomin,82,99,GO:0048666,1,0.803006333,0,5,neuron development,BP,1,cell development
Biomin,122,178,GO:0048814,1,0.941795499,0,1,regulation of dendrite morphogenesis,BP,1,cell development
Biomin,311,455,GO:0048468,1,0.763770679,0,7,cell development,BP,1,cell development
Biomin,441,607,GO:0031175,1,0.844245389,0,4,neuron projection development,BP,1,cell development
Biomin,446,614,GO:0016358,1,0.949413007,0,1,dendrite development,BP,1,cell development
Biomin,473,652,GO:0060996,1,0.949413007,0,1,dendritic spine development,BP,1,cell development
Biomin,474,653,GO:0060998,1,0.949413007,0,1,regulation of dendritic spine development,BP,1,cell development
Biomin,487,667,GO:0007413,1,0.932023874,0,2,axonal fasciculation,BP,1,cell development
Biomin,493,673,GO:0061564,1,0.932023874,0,2,axon development,BP,1,cell development
Biomin,494,674,GO:0106030,1,0.932023874,0,2,neuron projection fasciculation,BP,1,cell development
Biomin,620,837,GO:0050773,1,0.894148367,0,2,regulation of dendrite development,BP,1,cell development
Biomin,655,884,GO:0042490,1,0.907502332,0,2,mechanoreceptor differentiation,BP,1,cell development
