"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm","Factor"
"1",2,"GO:0000226",0,1,11,11,"microtubule cytoskeleton organization","BP",0,"microtubule-based process","Down"
"2",3,"GO:0000278",0,1,21,21,"mitotic cell cycle","BP",0,"negative regulation of cell cycle","Down"
"3",4,"GO:0000280",0,1,11,11,"nuclear division","BP",0,"endomembrane system organization","Down"
"4",5,"GO:0000902",0,1,16,16,"cell morphogenesis","BP",0,"regionalization","Down"
"5",6,"GO:0000904",0,1,12,12,"cell morphogenesis involved in differentiation","BP",0,"regionalization","Down"
"6",7,"GO:0001101",0,1,13,13,"response to acid chemical","BP",0,"response to acid chemical","Down"
"7",10,"GO:0001654",0,1,13,13,"eye development","BP",0,"eye development","Down"
"8",13,"GO:0001775",0,1,18,18,"cell activation","BP",0,"leukocyte activation","Down"
"9",15,"GO:0001932",0,1,16,16,"regulation of protein phosphorylation","BP",0,"regulation of endopeptidase activity","Down"
"10",16,"GO:0001934",0,1,12,12,"positive regulation of protein phosphorylation","BP",0,"regulation of endopeptidase activity","Down"
"11",17,"GO:0001944",0,1,11,11,"vasculature development","BP",0,"vasculature development","Down"
"12",18,"GO:0002064",0,1,11,11,"epithelial cell development","BP",0,"epithelial cell development","Down"
"13",21,"GO:0002119",0,1,13,13,"nematode larval development","BP",0,"regionalization","Down"
"14",22,"GO:0002164",0,1,15,15,"larval development","BP",0,"regionalization","Down"
"15",23,"GO:0002252",0,1,11,11,"immune effector process","BP",0,"immune effector process","Down"
"16",33,"GO:0002682",0,1,20,20,"regulation of immune system process","BP",0,"immune effector process","Down"
"17",35,"GO:0003002",0,1,16,16,"regionalization","BP",0,"regionalization","Down"
"18",36,"GO:0003006",0,1,23,23,"developmental process involved in reproduction","BP",0,"development of primary sexual characteristics","Down"
"19",38,"GO:0003008",0,1,22,22,"system process","BP",0,"behavior","Down"
"20",39,"GO:0006082",0,1,18,18,"organic acid metabolic process","BP",0,"small molecule biosynthetic process","Down"
"21",42,"GO:0006357",0,1,21,21,"regulation of transcription by RNA polymerase II","BP",0,"regulation of endopeptidase activity","Down"
"22",43,"GO:0006468",0,1,13,13,"protein phosphorylation","BP",0,"organophosphate metabolic process","Down"
"23",44,"GO:0006508",0,1,23,23,"proteolysis","BP",0,"proteolysis","Down"
"24",47,"GO:0006629",0,1,13,13,"lipid metabolic process","BP",0,"cellular lipid metabolic process","Down"
"25",48,"GO:0006753",0,1,14,14,"nucleoside phosphate metabolic process","BP",0,"small molecule biosynthetic process","Down"
"26",49,"GO:0006811",0,1,15,15,"monoatomic ion transport","BP",0,"organelle localization","Down"
"27",50,"GO:0006812",0,1,12,12,"monoatomic cation transport","BP",0,"organelle localization","Down"
"28",53,"GO:0006887",0,1,13,13,"exocytosis","BP",0,"Golgi vesicle transport","Down"
"29",57,"GO:0006955",0,1,16,16,"immune response","BP",0,"immune effector process","Down"
"30",59,"GO:0006979",0,1,11,11,"response to oxidative stress","BP",0,"response to wounding","Down"
"31",61,"GO:0007010",0,1,15,15,"cytoskeleton organization","BP",0,"endomembrane system organization","Down"
"32",62,"GO:0007017",0,1,18,18,"microtubule-based process","BP",0,"microtubule-based process","Down"
"33",66,"GO:0007166",0,1,23,23,"cell surface receptor signaling pathway","BP",0,"cell surface receptor signaling pathway","Down"
"34",67,"GO:0007267",0,1,16,16,"cell-cell signaling","BP",0,"cell-cell signaling","Down"
"35",68,"GO:0007276",0,1,23,23,"gamete generation","BP",0,"development of primary sexual characteristics","Down"
"36",69,"GO:0007281",0,1,13,13,"germ cell development","BP",0,"development of primary sexual characteristics","Down"
"37",71,"GO:0007292",0,1,14,14,"female gamete generation","BP",0,"development of primary sexual characteristics","Down"
"38",72,"GO:0007346",0,1,16,16,"regulation of mitotic cell cycle","BP",0,"negative regulation of cell cycle","Down"
"39",73,"GO:0007389",0,1,18,18,"pattern specification process","BP",0,"regionalization","Down"
"40",75,"GO:0007417",0,1,17,17,"central nervous system development","BP",0,"vasculature development","Down"
"41",76,"GO:0007420",0,1,16,16,"brain development","BP",0,"head development","Down"
"42",77,"GO:0007423",0,1,14,14,"sensory organ development","BP",0,"eye development","Down"
"43",79,"GO:0007507",0,1,12,12,"heart development","BP",0,"vasculature development","Down"
"44",80,"GO:0007548",0,1,11,11,"sex differentiation","BP",0,"development of primary sexual characteristics","Down"
"45",82,"GO:0007600",0,1,11,11,"sensory perception","BP",0,"behavior","Down"
"46",83,"GO:0007610",0,1,13,13,"behavior","BP",0,"behavior","Down"
"47",84,"GO:0008219",0,1,12,12,"cell death","BP",0,"regulation of apoptotic signaling pathway","Down"
"48",85,"GO:0008283",0,1,19,19,"cell population proliferation","BP",0,"regulation of epithelial cell proliferation","Down"
"49",86,"GO:0008284",0,1,15,15,"positive regulation of cell population proliferation","BP",0,"regulation of epithelial cell proliferation","Down"
"50",87,"GO:0008285",0,1,17,17,"negative regulation of cell population proliferation","BP",0,"regulation of epithelial cell proliferation","Down"
"51",88,"GO:0008406",0,1,11,11,"gonad development","BP",0,"development of primary sexual characteristics","Down"
"52",89,"GO:0009057",0,1,19,19,"macromolecule catabolic process","BP",0,"regulation of cellular catabolic process","Down"
"53",90,"GO:0009117",0,1,13,13,"nucleotide metabolic process","BP",0,"small molecule biosynthetic process","Down"
"54",94,"GO:0009314",0,1,14,14,"response to radiation","BP",0,"response to radiation","Down"
"55",97,"GO:0009611",0,1,12,12,"response to wounding","BP",0,"response to wounding","Down"
"56",98,"GO:0009725",0,1,16,16,"response to hormone","BP",0,"response to hormone","Down"
"57",99,"GO:0009791",0,1,19,19,"post-embryonic development","BP",0,"regionalization","Down"
"58",100,"GO:0009792",0,1,23,23,"embryo development ending in birth or egg hatching","BP",0,"regionalization","Down"
"59",101,"GO:0009891",0,1,20,20,"positive regulation of biosynthetic process","BP",0,"positive regulation of gene expression","Down"
"60",102,"GO:0009894",0,1,16,16,"regulation of catabolic process","BP",0,"regulation of cellular catabolic process","Down"
"61",105,"GO:0010243",0,1,16,16,"response to organonitrogen compound","BP",0,"response to acid chemical","Down"
"62",106,"GO:0010256",0,1,15,15,"endomembrane system organization","BP",0,"endomembrane system organization","Down"
"63",107,"GO:0010557",0,1,19,19,"positive regulation of macromolecule biosynthetic process","BP",0,"positive regulation of gene expression","Down"
"64",108,"GO:0010558",0,1,22,22,"negative regulation of macromolecule biosynthetic process","BP",0,"negative regulation of protein metabolic process","Down"
"65",109,"GO:0010562",0,1,13,13,"positive regulation of phosphorus metabolic process","BP",0,"organophosphate metabolic process","Down"
"66",110,"GO:0010564",0,1,16,16,"regulation of cell cycle process","BP",0,"negative regulation of cell cycle","Down"
"67",111,"GO:0010628",0,1,18,18,"positive regulation of gene expression","BP",0,"positive regulation of gene expression","Down"
"68",112,"GO:0010638",0,1,16,16,"positive regulation of organelle organization","BP",0,"endomembrane system organization","Down"
"69",113,"GO:0010639",0,1,13,13,"negative regulation of organelle organization","BP",0,"endomembrane system organization","Down"
"70",114,"GO:0010720",0,1,11,11,"positive regulation of cell development","BP",0,"regulation of anatomical structure morphogenesis","Down"
"71",116,"GO:0010942",0,1,15,15,"positive regulation of cell death","BP",0,"regulation of apoptotic signaling pathway","Down"
"72",117,"GO:0010975",0,1,12,12,"regulation of neuron projection development","BP",0,"endomembrane system organization","Down"
"73",118,"GO:0012501",0,1,12,12,"programmed cell death","BP",0,"regulation of apoptotic signaling pathway","Down"
"74",119,"GO:0014070",0,1,16,16,"response to organic cyclic compound","BP",0,"response to acid chemical","Down"
"75",120,"GO:0015031",0,1,17,17,"protein transport","BP",0,"organelle localization","Down"
"76",121,"GO:0015833",0,1,18,18,"peptide transport","BP",0,"nitrogen compound transport","Down"
"77",122,"GO:0016050",0,1,13,13,"vesicle organization","BP",0,"endomembrane system organization","Down"
"78",124,"GO:0016070",0,1,16,16,"RNA metabolic process","BP",0,"aromatic compound biosynthetic process","Down"
"79",127,"GO:0016310",0,1,18,18,"phosphorylation","BP",0,"organophosphate metabolic process","Down"
"80",128,"GO:0016477",0,1,23,23,"cell migration","BP",0,"cell migration","Down"
"81",130,"GO:0018130",0,1,16,16,"heterocycle biosynthetic process","BP",0,"organic cyclic compound biosynthetic process","Down"
"82",131,"GO:0018193",0,1,13,13,"peptidyl-amino acid modification","BP",0,"proteolysis","Down"
"83",132,"GO:0019220",0,1,19,19,"regulation of phosphate metabolic process","BP",0,"organophosphate metabolic process","Down"
"84",133,"GO:0019438",0,1,15,15,"aromatic compound biosynthetic process","BP",0,"aromatic compound biosynthetic process","Down"
"85",134,"GO:0019637",0,1,18,18,"organophosphate metabolic process","BP",0,"organophosphate metabolic process","Down"
"86",136,"GO:0019725",0,1,16,16,"cellular homeostasis","BP",0,"inorganic ion homeostasis","Down"
"87",137,"GO:0019752",0,1,16,16,"carboxylic acid metabolic process","BP",0,"small molecule biosynthetic process","Down"
"88",140,"GO:0022411",0,1,12,12,"cellular component disassembly","BP",0,"endomembrane system organization","Down"
"89",141,"GO:0022412",0,1,18,18,"cellular process involved in reproduction in multicellular organism","BP",0,"development of primary sexual characteristics","Down"
"90",142,"GO:0022603",0,1,17,17,"regulation of anatomical structure morphogenesis","BP",0,"regulation of anatomical structure morphogenesis","Down"
"91",145,"GO:0030031",0,1,11,11,"cell projection assembly","BP",0,"endomembrane system organization","Down"
