"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm","Factor"
"1",1,"GO:0000375",0,1,13,13,"RNA splicing, via transesterification reactions","BP",0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","Up"
"2",2,"GO:0000377",0,1,13,13,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","Up"
"3",3,"GO:0000398",0,1,13,13,"mRNA splicing, via spliceosome","BP",0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","Up"
"4",4,"GO:0001505",0,1,16,16,"regulation of neurotransmitter levels","BP",0,"regulation of hormone secretion","Up"
"5",5,"GO:0001568",0,1,11,11,"blood vessel development","BP",0,"gliogenesis","Up"
"6",9,"GO:0001775",0,1,16,16,"cell activation","BP",0,"leukocyte activation","Up"
"7",10,"GO:0001817",0,1,12,12,"regulation of cytokine production","BP",0,"regulation of cytokine production","Up"
"8",11,"GO:0001944",0,1,12,12,"vasculature development","BP",0,"gliogenesis","Up"
"9",12,"GO:0002164",0,1,17,17,"larval development","BP",0,"gastrulation","Up"
"10",13,"GO:0002252",0,1,17,17,"immune effector process","BP",0,"immune effector process","Up"
"11",14,"GO:0002253",0,1,11,11,"activation of immune response","BP",0,"immune effector process","Up"
"12",24,"GO:0002757",0,1,11,11,"immune response-activating signaling pathway","BP",0,"immune effector process","Up"
"13",25,"GO:0002764",0,1,11,11,"immune response-regulating signaling pathway","BP",0,"immune effector process","Up"
"14",27,"GO:0005975",0,1,13,13,"carbohydrate metabolic process","BP",0,"carbohydrate metabolic process","Up"
"15",28,"GO:0006082",0,1,16,16,"organic acid metabolic process","BP",0,"nucleobase-containing small molecule metabolic process","Up"
"16",29,"GO:0006281",0,1,13,13,"DNA repair","BP",0,"wound healing","Up"
"17",30,"GO:0006325",0,1,16,16,"chromatin organization","BP",0,"epigenetic regulation of gene expression","Up"
"18",31,"GO:0006351",0,1,14,14,"DNA-templated transcription","BP",0,"transcription by RNA polymerase II","Up"
"19",32,"GO:0006366",0,1,13,13,"transcription by RNA polymerase II","BP",0,"transcription by RNA polymerase II","Up"
"20",33,"GO:0006397",0,1,14,14,"mRNA processing","BP",0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","Up"
"21",34,"GO:0006403",0,1,17,17,"RNA localization","BP",0,"establishment of RNA localization","Up"
