"","MEcyan","MEblack","MEsalmon","MEpink","MEred","MEgreen","MEmidnightblue","MEblue","MEbrown","MEpurple","MEturquoise","MEtan","MEmagenta","MElightcyan","MEyellow"
"RF13B",0.0230457124575402,0.0357388895049154,-0.0296622147326519,-0.0647255585153229,-0.0412048930332551,0.0622980709085683,-0.0245491734223172,0.00585773341422556,0.086214000310969,0.0151669066821678,-0.0499874455925631,0.00422300397673802,0.0405331777455885,0.00453911927038885,0.0639286019814477
"RF13D",0.0108599932737242,0.0167152319369553,0.0494506633960456,0.0567711234835241,0.0182869907536004,0.0400166829779183,-0.0183763055242976,0.0442194197612846,0.0777958186986261,0.00454362110067247,-0.0191371466493129,-0.0662351312444634,0.00474984893224639,-0.0489216221680978,-0.0279955930012827
"RF14B",0.00897381528829722,-0.146566530224818,0.103027496449248,-0.0227504438240231,0.0275893620663297,0.0900937733033319,-0.0228806750522406,-0.0830318590069261,0.243945678123842,0.293751817628419,-0.0931856514302706,0.244085251378021,-0.0559365396498318,0.00771193762383371,0.0876369664708911
"RF14C",0.055555248297805,-0.144417844149942,0.00100651498903262,-0.0264419838483115,0.0597864506213277,0.123964500373573,0.00632737547155976,0.0358983471967966,0.231391380069171,0.250251478761891,-0.147709678819811,0.166964022446012,-0.0159870950194831,-0.0694728280518821,0.028957143266707
"RF15B",0.0669848895330392,0.361363330875619,0.307372343430435,0.297757350891773,0.26842429143935,0.0714634907351006,0.151329332924563,0.0335634975133903,0.195194428654837,-0.158817258672338,0.0352327562271,-0.248831158647845,-0.362117042636735,-0.344930465909981,-0.382862197527462
"RF15D",0.061369555100119,0.34069143566495,0.345022730351055,0.267575146868622,0.240097216118638,0.121771612849284,0.25939297506181,-0.0590287652751593,0.13060026484736,-0.131872933702262,0.0787867491492924,-0.142520987989375,-0.295093407004289,-0.167570877048201,-0.140150322759387
"RF17B",-0.0330477835691815,-0.166389167187632,0.081061124614187,0.0201348419809166,0.0331804376413164,0.0610658858488126,0.0522009454344804,0.00333955753457513,0.198989473808078,0.243385618134724,-0.103854472048965,0.135198540364425,-0.10557622573864,-0.0613509553441644,0.0712801848877683
"RF17D",0.0109581640925622,-0.174336507018785,-0.0969190854158484,-0.0450480509172613,0.0755925194108247,0.215154575845738,0.0889135020171802,0.040491020079392,0.24276145435839,0.305943316355251,-0.215289310483581,0.250243405515988,-0.0713167083559795,-0.00387097474704161,0.13331298630001
"RF18B",0.0428568437220402,-0.163062969234382,-0.0209432177443391,0.121952307041873,0.178109178715697,0.141747550915958,0.0770626673718682,0.0970571363441469,0.213165173285161,0.239583098055715,-0.192378712896747,0.0915572104922694,-0.157907923694222,-0.12085139645912,0.00702030346068005
"RF18D",0.015632791026028,-0.198796034588725,-0.127858562043449,0.016374292900629,0.0723252141169308,0.279464633890475,0.182286147245216,0.156907485036803,0.221598881199342,0.274401405630768,-0.265041143042564,0.0597369007317394,-0.139895716764013,-0.0456731767465835,0.169001767919319
