"","MElightsteelblue1","MEplum1","MEdarkturquoise","MEskyblue","MElightyellow","MEviolet","MEsteelblue","MEpaleturquoise","MEsalmon","MEdarkgrey","MEgreen","MEgreenyellow","MEsienna3","MEblack","MElightgreen","MEcyan","MEpink","MElightcyan1","MEdarkolivegreen","MEdarkorange","MEmagenta","MEskyblue3","MEyellowgreen","MEblue","MEmediumpurple3","MEmidnightblue","MEred","MEbrown","MEyellow","MEturquoise","MEorange","MEsaddlebrown","MEdarkmagenta","MEroyalblue","MEdarkgreen","MEdarkred","MEtan","MEwhite","MEorangered4","MEgrey60","MEpurple","MEgrey"
"RF13B",-0.0379448735438325,-0.00998396734429024,-0.0222702299967892,-0.0103531289043943,-0.0192587970595247,-0.0245854668400379,-0.00686472511431296,-0.0373688905000633,-0.0181107684533068,-0.0155202060477168,-0.0257456117690244,-0.0307238279710225,-0.0357646670651149,-0.0064267297148378,-0.0124707307554011,-0.0254965754290867,-0.0313717100021854,-0.0315756398180749,-0.0036213267506262,-0.0279270416900133,-0.0224555435965806,-0.0280439279488231,-0.0352585255287256,0.975807925763971,0.019095194501199,-0.00329913186386029,-0.0108745850475382,0.00349772432070771,-0.0063004631462137,-0.00940196469151314,0.00434455650759476,-0.0285511406384216,-0.0346126609215138,-0.0203978679284556,-0.0295971983512155,-0.013399523247515,-0.0351392721776846,-0.0251767324241404,-0.0221902696263401,-0.00963451212387869,-0.0138446140131672,1.75122926637508e-05
"RF13D",-0.0225304817540031,-0.0236088181976456,-0.0274822564901179,-0.0221277595447693,-0.0212283878873967,-0.0210011293700365,-0.0228692289281859,-0.023164449562825,-0.0227772249377336,-0.0221677339785215,-0.0238330431432457,-0.0187023199689242,-0.0377711598174305,-0.0281097835354264,-0.0350682235166457,-0.0280372562300925,-0.0252353432401574,-0.0118835698163259,-0.0302373593246652,-0.0356722508707434,-0.0271271474340985,-0.0177058425401241,-0.0128066021836515,0.111286110850143,0.986217647541977,-0.00354448132159091,-0.0269964202082107,2.56171898756763e-05,-0.0142821073717604,-0.0227369245074814,-0.0126798217917554,-0.0156704714562242,-0.0101334037447923,-0.00635909824556813,-0.0360329506210653,-0.00875981812494142,-0.0233519806946405,-0.0347357678181017,-0.0303478651207844,-0.0203945483150005,-0.0193369493481383,2.08613589355776e-05
"RF14B",-0.0226471164923226,-0.00315156182136977,0.0211920039725187,0.00387263106549729,0.00693009536741851,0.00340662757476062,-0.027931788989644,-0.034345404457346,-0.0216234684896766,-0.0273173627069225,-0.0259487597521862,-0.0390873233447403,-0.029764659241559,-0.024840606950402,-0.0398737240258575,-0.0238164640747497,-0.0245893317326996,-0.00673744008647326,-0.0372010452338785,-0.0441732360795635,-0.0349451016230733,-0.0216615971222077,-0.00333534537945207,-0.00380641504934811,-0.0206244833211968,-0.0102673266114305,-0.0214844828570034,-0.0342381127366816,-0.00834742668905031,-0.0267373448931535,-0.0213499973125447,-0.0282960023537808,-0.030602851034471,-0.0320858986502213,-0.0238210165840493,-0.0302250886876871,-0.0188856137560217,-0.0253777270571954,-0.0136091377459874,-0.0315989658746716,-0.021634313227259,-8.89472991321402e-06
"RF14C",0.00738926653134898,-0.0128577664457842,-0.00254733750665317,0.0271773151414851,0.0204458669434091,0.00986914642904647,-0.0319069140160394,-0.0508051563007524,-0.0312596944730907,-0.0176435173339693,-0.0206577053386752,-0.0407297063142657,-0.0211405374740104,-0.0315191488467552,-0.0445862487415876,-0.0429344335962525,-0.0543105521937863,-0.0105219234802893,-0.0192268454739678,-0.023435626559611,-0.0237662567425677,-0.0225501717034292,-0.0056838316956522,-0.0103874237779489,-0.0168330081984244,-0.0267580955098889,-0.0285951615084124,-0.0326020302756709,-0.0171921957683911,-0.0260619415820011,-0.0306474302619738,-0.0266718471826413,-0.0260695062704568,-0.000270379387625336,-0.0259095524751469,-0.0266894571360556,-0.0306223473985817,-0.0235391247691221,-0.00909987721878617,-0.0370035414917786,-0.025059723566163,1.80153761349032e-05
"RF15B",-0.0242118228631686,-0.0339763632856244,-0.0245584008656621,-0.0300168207094856,-0.0267372816068282,-0.0313711970140701,-0.0580978849312895,-0.0328108325989368,-0.0258195328083667,-0.0391218024924025,-0.0375586998424195,-0.00626753855525493,-0.030285580604342,-0.0316002589769428,-0.0389903785149956,0.000448581231485074,-0.0550911828042161,-0.0128434887251761,-0.00658444071650146,0.312181987203969,0.984252657614124,0.0161194948403396,0.00402541027134394,-0.0292593923564781,-0.018147095432335,-0.0334147239705946,-0.0336603571999075,-0.0243887561365725,-0.0229819380368267,-0.0284834602926033,-0.0380520716989995,-0.019840409585501,-0.024592043754452,-0.0178017257034228,-0.0281783610930936,-0.0032853255835495,-0.0253534666062376,-0.0261190380044702,-0.029796491593842,-0.0215476331438467,-0.0260898610122405,1.97909547605121e-05
"RF15D",0.00117005472717028,-0.0182716844109817,-0.022090172780779,-0.0228702946579559,-0.0260223291737375,-0.0229933177595306,-0.0439080972033014,-0.00796496615465719,-0.0339347249013874,-0.0459242266685918,-0.00860425923473566,-0.0151181434949084,-0.00844993662666403,-0.0234534156146817,-0.0173873794104302,-0.0236473352616153,-0.0461865553367724,0.0142358899827811,0.00255781570011132,-0.0174572295335949,0.0171496583477615,0.985363280653562,0.0209523968490541,-0.00662998705194286,-0.0271499475285745,-0.0201936920538069,-0.0237363386542168,-0.00749380611623125,0.00964735636244128,-0.0280041477316291,-0.0411332637936861,-0.0155791112264958,-0.0126305217259057,-0.0149180283827428,-0.0192211048417518,-0.0259809614427333,-0.0145029618816189,-0.00135967614141158,-0.00399998654122825,-0.00948198555549693,-0.0253088369169096,1.17235002713617e-06
"RF16A",-0.0450830366406944,-0.046253300313666,-0.0573123351782247,-0.0493201649942431,-0.0490091007937512,-0.0476009299057167,-0.0514961143756328,-0.0493262385252124,-0.0506471007751888,-0.0480647997980202,-0.0547416910415318,-0.0723557767471801,-0.0666246139227885,-0.0675304097610673,-0.0581909281798659,-0.0462706492419842,-0.0630512643832056,-0.0368669221036247,-0.0458967358621878,-0.0653254515436606,-0.0558862836851495,-0.0450322420144481,-0.0460128075776662,-0.056230234157357,-0.0376911062695966,-0.0569958560407075,-0.0594668012508974,-0.0561803218569213,-0.0827571338512314,-0.0502427988542365,-0.0639371067527946,-0.0466506693971302,-0.0605916019296893,-0.0494148440148599,-0.0562407345375365,-0.0581517857488413,-0.050882475779444,-0.0501710573222379,-0.051099438930922,-0.06458439566393,-0.0449040627346959,-0.000318580064994689
"RF16C",-0.0389124640789723,-0.0370862723929841,-0.0587097546356158,-0.0493865933374954,-0.0515197157505016,-0.0416526220265473,-0.0525074181592351,-0.0591266026873688,-0.0544491584026335,-0.0504516584181109,-0.059549091629512,-0.051631993266955,-0.0544062059688389,-0.0617146997094636,-0.0493218767942255,-0.0473293795838401,-0.0656743647251617,-0.0395007975924414,-0.0386592193130001,-0.0599675947795069,-0.0538570723154589,-0.0431471948669785,-0.0444553734039503,-0.0641041716487246,-0.0264861491506502,-0.040319985408566,-0.0581454615611557,-0.0478441936517845,-0.0687844156435821,-0.0421076567077769,-0.0512658865570925,-0.041452039296091,-0.0413301530233411,-0.0472409786989014,-0.0440092965966746,-0.0492330137192963,-0.0432352866118969,-0.0526796592283124,-0.0548415694398528,-0.0507227751989873,-0.0482680976020717,-0.000248824136610278
"RF17B",-0.0120046086742331,-0.0134474779688604,-0.00228775231305828,-0.00252594924333143,0.00437208444759,-0.00650491630161078,-0.0432753467356011,-0.0455389824485652,-0.0309844090148695,-0.0356370096785596,-0.0411888674062223,-0.0529087926320302,-0.0194065577686998,-0.0307995082536307,-0.0308950990346658,-0.026924291787798,-0.0366061271248936,-0.0162078998383056,-0.0283112104956365,-0.0387133849002712,-0.0228763387754745,-0.0102658275567336,0.010584259673782,-0.0212738359261401,-0.0230306309305807,-0.021633943936718,-0.0324842647825751,-0.0278847018721951,-0.0122972157336965,-0.023634872887009,-0.0394412859382056,-0.0288153409974413,-0.044573932816175,-0.0146527362011306,-0.0201481542451306,-0.0360682656553734,-0.015429415536594,-0.0344252854801973,-0.0106973016639877,-0.0373888522433764,-0.0231044657534234,6.31561101741329e-06
"RF17D",-0.0162755389953444,0.984472591084686,0.00294644085832791,-0.000273057335879397,-0.0177625433053423,-0.0289929638634451,-0.0293177139652834,-0.035647652411773,-0.0310039863969551,-0.0328829774756934,-0.0258636705586,-0.0361955710113849,-0.0251969616964957,-0.040597502639332,-0.0377911863511851,-0.0407517887217096,-0.0403112855116389,-0.0302134155945156,-0.0456646209132117,-0.0350050402747071,-0.0199190622383363,-0.015284086627106,-0.0281303714916373,-0.0232651649864422,-0.0198053809086338,-0.0270852477314965,-0.0385542514200143,-0.0323305054245606,-0.00952740848568077,-0.0329222590827566,-0.0387042301941044,-0.0402420187548584,-0.0413948520233555,-0.0430808905040049,-0.0441178639448233,-0.0279040672106494,-0.0310710134953848,-0.0237566712995571,-0.0319390655039236,-0.0375482239884659,-0.00734526357535623,1.61853587174835e-05
