"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1","GO:0000375",0,1,13,13,"RNA splicing, via transesterification reactions","BP",0
"2","GO:0000377",0,1,13,13,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0
"3","GO:0000398",0,1,13,13,"mRNA splicing, via spliceosome","BP",0
"4","GO:0001505",0,1,16,16,"regulation of neurotransmitter levels","BP",0
"5","GO:0001568",0,1,11,11,"blood vessel development","BP",0
"6","GO:0001655",0,1,14,14,"urogenital system development","BP",0
"7","GO:0001700",0,1,12,12,"embryonic development via the syncytial blastoderm","BP",0
"8","GO:0001701",0,1,13,13,"in utero embryonic development","BP",0
"9","GO:0001775",0,1,16,16,"cell activation","BP",0
"10","GO:0001817",0,1,12,12,"regulation of cytokine production","BP",0
"11","GO:0001944",0,1,12,12,"vasculature development","BP",0
"12","GO:0002164",0,1,17,17,"larval development","BP",0
"13","GO:0002252",0,1,17,17,"immune effector process","BP",0
"14","GO:0002253",0,1,11,11,"activation of immune response","BP",0
"15","GO:0002263",0,1,13,13,"cell activation involved in immune response","BP",0
"16","GO:0002274",0,1,11,11,"myeloid leukocyte activation","BP",0
"17","GO:0002275",0,1,11,11,"myeloid cell activation involved in immune response","BP",0
"18","GO:0002283",0,1,10,10,"neutrophil activation involved in immune response","BP",0
"19","GO:0002366",0,1,13,13,"leukocyte activation involved in immune response","BP",0
"20","GO:0002443",0,1,11,11,"leukocyte mediated immunity","BP",0
"21","GO:0002444",0,1,11,11,"myeloid leukocyte mediated immunity","BP",0
"22","GO:0002446",0,1,10,10,"neutrophil mediated immunity","BP",0
"23","GO:0002521",0,1,10,10,"leukocyte differentiation","BP",0
"24","GO:0002757",0,1,11,11,"immune response-activating signaling pathway","BP",0
"25","GO:0002764",0,1,11,11,"immune response-regulating signaling pathway","BP",0
"26","GO:0003013",0,1,10,10,"circulatory system process","BP",0
"27","GO:0005975",0,1,13,13,"carbohydrate metabolic process","BP",0
"28","GO:0006082",0,1,16,16,"organic acid metabolic process","BP",0
"29","GO:0006281",0,1,13,13,"DNA repair","BP",0
"30","GO:0006325",0,1,16,16,"chromatin organization","BP",0
