"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1","GO:0000122",0,1,16,16,"negative regulation of transcription by RNA polymerase II","BP",0
"2","GO:0000165",0,1,11,11,"MAPK cascade","BP",0
"3","GO:0000375",0,1,11,11,"RNA splicing, via transesterification reactions","BP",0
"4","GO:0000377",0,1,10,10,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0
"5","GO:0000398",0,1,10,10,"mRNA splicing, via spliceosome","BP",0
"6","GO:0001101",0,1,8,8,"response to acid chemical","BP",0
"7","GO:0001505",0,1,15,15,"regulation of neurotransmitter levels","BP",0
"8","GO:0001578",0,1,10,10,"microtubule bundle formation","BP",0
"9","GO:0001655",0,1,9,9,"urogenital system development","BP",0
"10","GO:0001666",0,1,14,14,"response to hypoxia","BP",0
"11","GO:0001667",0,1,9,9,"ameboidal-type cell migration","BP",0
"12","GO:0001709",0,1,9,9,"cell fate determination","BP",0
"13","GO:0001745",0,1,8,8,"compound eye morphogenesis","BP",0
"14","GO:0001817",0,1,10,10,"regulation of cytokine production","BP",0
"15","GO:0001822",0,1,8,8,"kidney development","BP",0
"16","GO:0001933",0,1,15,15,"negative regulation of protein phosphorylation","BP",0
"17","GO:0001944",0,1,9,9,"vasculature development","BP",0
"18","GO:0002065",0,1,16,16,"columnar/cuboidal epithelial cell differentiation","BP",0
"19","GO:0002066",0,1,14,14,"columnar/cuboidal epithelial cell development","BP",0
"20","GO:0002119",0,1,12,12,"nematode larval development","BP",0
"21","GO:0002164",0,1,16,16,"larval development","BP",0
"22","GO:0002263",0,1,13,13,"cell activation involved in immune response","BP",0
"23","GO:0002274",0,1,14,14,"myeloid leukocyte activation","BP",0
"24","GO:0002275",0,1,12,12,"myeloid cell activation involved in immune response","BP",0
"25","GO:0002283",0,1,11,11,"neutrophil activation involved in immune response","BP",0
"26","GO:0002366",0,1,13,13,"leukocyte activation involved in immune response","BP",0
"27","GO:0002443",0,1,12,12,"leukocyte mediated immunity","BP",0
"28","GO:0002444",0,1,11,11,"myeloid leukocyte mediated immunity","BP",0
"29","GO:0002446",0,1,11,11,"neutrophil mediated immunity","BP",0
"30","GO:0002520",0,1,15,15,"immune system development","BP",0
"31","GO:0002521",0,1,11,11,"leukocyte differentiation","BP",0
"32","GO:0002683",0,1,10,10,"negative regulation of immune system process","BP",0
"33","GO:0002694",0,1,11,11,"regulation of leukocyte activation","BP",0
"34","GO:0002697",0,1,12,12,"regulation of immune effector process","BP",0
"35","GO:0002791",0,1,13,13,"regulation of peptide secretion","BP",0
"36","GO:0002793",0,1,11,11,"positive regulation of peptide secretion","BP",0
"37","GO:0003002",0,1,15,15,"regionalization","BP",0
"38","GO:0005975",0,1,14,14,"carbohydrate metabolic process","BP",0
"39","GO:0006082",0,1,15,15,"organic acid metabolic process","BP",0
"40","GO:0006163",0,1,12,12,"purine nucleotide metabolic process","BP",0
"41","GO:0006260",0,1,9,9,"DNA replication","BP",0
"42","GO:0006281",0,1,11,11,"DNA repair","BP",0
"43","GO:0006364",0,1,9,9,"rRNA processing","BP",0
"44","GO:0006366",0,1,15,15,"transcription by RNA polymerase II","BP",0
"45","GO:0006397",0,1,11,11,"mRNA processing","BP",0
"46","GO:0006605",0,1,10,10,"protein targeting","BP",0
"47","GO:0006629",0,1,15,15,"lipid metabolic process","BP",0
"48","GO:0006753",0,1,13,13,"nucleoside phosphate metabolic process","BP",0
"49","GO:0006812",0,1,15,15,"cation transport","BP",0
"50","GO:0006820",0,1,9,9,"anion transport","BP",0
"51","GO:0006873",0,1,13,13,"cellular ion homeostasis","BP",0
"52","GO:0006874",0,1,9,9,"cellular calcium ion homeostasis","BP",0
"53","GO:0006875",0,1,11,11,"cellular metal ion homeostasis","BP",0
"54","GO:0006887",0,1,16,16,"exocytosis","BP",0
"55","GO:0006913",0,1,9,9,"nucleocytoplasmic transport","BP",0
"56","GO:0006914",0,1,9,9,"autophagy","BP",0
"57","GO:0006952",0,1,16,16,"defense response","BP",0
"58","GO:0006979",0,1,11,11,"response to oxidative stress","BP",0
"59","GO:0007005",0,1,10,10,"mitochondrion organization","BP",0
"60","GO:0007015",0,1,10,10,"actin filament organization","BP",0
"61","GO:0007018",0,1,13,13,"microtubule-based movement","BP",0
"62","GO:0007155",0,1,10,10,"cell adhesion","BP",0
"63","GO:0007163",0,1,13,13,"establishment or maintenance of cell polarity","BP",0
"64","GO:0007169",0,1,14,14,"transmembrane receptor protein tyrosine kinase signaling pathway","BP",0
