"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm","Factor"
"1",1,"GO:0000122",0,1,12,12,"negative regulation of transcription by RNA polymerase II","BP",0,"negative regulation of transcription by RNA polymerase II","Down"
"2",3,"GO:0000226",0,1,14,14,"microtubule cytoskeleton organization","BP",0,"microtubule cytoskeleton organization","Down"
"3",6,"GO:0001558",0,1,15,15,"regulation of cell growth","BP",0,"negative regulation of growth","Down"
"4",8,"GO:0001666",0,1,13,13,"response to hypoxia","BP",0,"response to light stimulus","Down"
"5",9,"GO:0001817",0,1,13,13,"regulation of cytokine production","BP",0,"regulation of cytokine production","Down"
"6",10,"GO:0002164",0,1,16,16,"larval development","BP",0,"post-embryonic animal morphogenesis","Down"
"7",12,"GO:0002252",0,1,16,16,"immune effector process","BP",0,"immune effector process","Down"
"8",16,"GO:0002521",0,1,14,14,"leukocyte differentiation","BP",0,"cell fate commitment","Down"
"9",17,"GO:0002683",0,1,14,14,"negative regulation of immune system process","BP",0,"immune effector process","Down"
"10",18,"GO:0002684",0,1,12,12,"positive regulation of immune system process","BP",0,"immune effector process","Down"
"11",19,"GO:0002694",0,1,11,11,"regulation of leukocyte activation","BP",0,"regulation of cell activation","Down"
"12",20,"GO:0005975",0,1,13,13,"carbohydrate metabolic process","BP",0,"carbohydrate metabolic process","Down"
"13",21,"GO:0006082",0,1,16,16,"organic acid metabolic process","BP",0,"nucleotide metabolic process","Down"
"14",22,"GO:0006163",0,1,11,11,"purine nucleotide metabolic process","BP",0,"rRNA metabolic process","Down"
"15",23,"GO:0006259",0,1,16,16,"DNA metabolic process","BP",0,"DNA metabolic process","Down"
"16",25,"GO:0006629",0,1,16,16,"lipid metabolic process","BP",0,"cellular lipid metabolic process","Down"
"17",26,"GO:0006753",0,1,14,14,"nucleoside phosphate metabolic process","BP",0,"nucleotide metabolic process","Down"
"18",29,"GO:0006887",0,1,13,13,"exocytosis","BP",0,"regulated exocytosis","Down"
"19",31,"GO:0006935",0,1,14,14,"chemotaxis","BP",0,"cellular response to external stimulus","Down"
"20",33,"GO:0007005",0,1,12,12,"mitochondrion organization","BP",0,"epigenetic regulation of gene expression","Down"
"21",34,"GO:0007155",0,1,11,11,"cell adhesion","BP",0,"cell adhesion","Down"
"22",35,"GO:0007167",0,1,16,16,"enzyme-linked receptor protein signaling pathway","BP",0,"enzyme-linked receptor protein signaling pathway","Down"
"23",36,"GO:0007268",0,1,13,13,"chemical synaptic transmission","BP",0,"trans-synaptic signaling","Down"
"24",37,"GO:0007283",0,1,12,12,"spermatogenesis","BP",0,"sex differentiation","Down"
"25",38,"GO:0007292",0,1,16,16,"female gamete generation","BP",0,"sex differentiation","Down"
"26",39,"GO:0007389",0,1,12,12,"pattern specification process","BP",0,"pattern specification process","Down"
"27",40,"GO:0007411",0,1,13,13,"axon guidance","BP",0,"cellular response to external stimulus","Down"
"28",43,"GO:0007548",0,1,13,13,"sex differentiation","BP",0,"sex differentiation","Down"
"29",45,"GO:0007600",0,1,11,11,"sensory perception","BP",0,"learning or memory","Down"
"30",46,"GO:0007611",0,1,14,14,"learning or memory","BP",0,"learning or memory","Down"
"31",47,"GO:0007626",0,1,12,12,"locomotory behavior","BP",0,"locomotory behavior","Down"
"32",48,"GO:0008285",0,1,16,16,"negative regulation of cell population proliferation","BP",0,"negative regulation of cell population proliferation","Down"
"33",49,"GO:0008340",0,1,15,15,"determination of adult lifespan","BP",0,"determination of adult lifespan","Down"
"34",50,"GO:0008361",0,1,11,11,"regulation of cell size","BP",0,"regulation of hormone levels","Down"
"35",53,"GO:0009057",0,1,16,16,"macromolecule catabolic process","BP",0,"positive regulation of catabolic process","Down"
"36",54,"GO:0009117",0,1,14,14,"nucleotide metabolic process","BP",0,"nucleotide metabolic process","Down"
