"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm","Factor"
"1",3,"GO:0001505",0,1,13,13,"regulation of neurotransmitter levels","BP",0,"regulation of hormone levels","Up"
"2",4,"GO:0001568",0,1,11,11,"blood vessel development","BP",0,"vasculature development","Up"
"3",6,"GO:0001933",0,1,13,13,"negative regulation of protein phosphorylation","BP",0,"purine ribonucleotide metabolic process","Up"
"4",7,"GO:0001944",0,1,11,11,"vasculature development","BP",0,"vasculature development","Up"
"5",8,"GO:0002064",0,1,14,14,"epithelial cell development","BP",0,"epithelial cell development","Up"
"6",11,"GO:0002119",0,1,13,13,"nematode larval development","BP",0,"nematode larval development","Up"
"7",19,"GO:0002521",0,1,11,11,"leukocyte differentiation","BP",0,"cell fate commitment","Up"
"8",22,"GO:0006091",0,1,12,12,"generation of precursor metabolites and energy","BP",0,"generation of precursor metabolites and energy","Up"
"9",23,"GO:0006163",0,1,13,13,"purine nucleotide metabolic process","BP",0,"nucleic acid phosphodiester bond hydrolysis","Up"
"10",24,"GO:0006260",0,1,11,11,"DNA replication","BP",0,"regulation of DNA metabolic process","Up"
"11",25,"GO:0006302",0,1,11,11,"double-strand break repair","BP",0,"double-strand break repair","Up"
"12",26,"GO:0006310",0,1,12,12,"DNA recombination","BP",0,"regulation of DNA metabolic process","Up"
"13",27,"GO:0006364",0,1,11,11,"rRNA processing","BP",0,"nucleic acid phosphodiester bond hydrolysis","Up"
"14",28,"GO:0006397",0,1,12,12,"mRNA processing","BP",0,"nucleic acid phosphodiester bond hydrolysis","Up"
"15",29,"GO:0006412",0,1,13,13,"translation","BP",0,"regulation of amide metabolic process","Up"
"16",31,"GO:0006457",0,1,16,16,"protein folding","BP",0,"protein folding","Up"
"17",32,"GO:0006469",0,1,11,11,"negative regulation of protein kinase activity","BP",0,"regulation of protein binding","Up"
"18",33,"GO:0006511",0,1,13,13,"ubiquitin-dependent protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"19",34,"GO:0006631",0,1,16,16,"fatty acid metabolic process","BP",0,"regulation of small molecule metabolic process","Up"
"20",36,"GO:0006839",0,1,11,11,"mitochondrial transport","BP",0,"mitochondrial transport","Up"
"21",37,"GO:0006873",0,1,16,16,"intracellular monoatomic ion homeostasis","BP",0,"calcium ion homeostasis","Up"
"22",39,"GO:0006913",0,1,11,11,"nucleocytoplasmic transport","BP",0,"mitochondrial transport","Up"
"23",40,"GO:0007018",0,1,14,14,"microtubule-based movement","BP",0,"microtubule-based movement","Up"
"24",41,"GO:0007051",0,1,12,12,"spindle organization","BP",0,"microtubule-based movement","Up"
"25",42,"GO:0007088",0,1,11,11,"regulation of mitotic nuclear division","BP",0,"positive regulation of chromosome organization","Up"
"26",46,"GO:0007167",0,1,14,14,"enzyme-linked receptor protein signaling pathway","BP",0,"transmembrane receptor protein tyrosine kinase signaling pathway","Up"
"27",47,"GO:0007169",0,1,12,12,"transmembrane receptor protein tyrosine kinase signaling pathway","BP",0,"transmembrane receptor protein tyrosine kinase signaling pathway","Up"
"28",50,"GO:0007411",0,1,16,16,"axon guidance","BP",0,"response to nutrient","Up"
"29",51,"GO:0007507",0,1,13,13,"heart development","BP",0,"vasculature development","Up"
"30",52,"GO:0007517",0,1,11,11,"muscle organ development","BP",0,"muscle organ development","Up"
