"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"7222","GO:0032886",3.37725420748105e-05,0.999985059366009,53,121,"regulation of microtubule-based process","BP",0.599158668949213
"13103","GO:0070507",0.000364164537578898,0.999836333296877,41,95,"regulation of microtubule cytoskeleton organization","BP",1
"10889","GO:0048557",0.000422562144011524,0.999903154539395,16,27,"embryonic digestive tract morphogenesis","BP",1
"14204","GO:0090169",0.000537513563200386,0.999921891299325,11,16,"regulation of spindle assembly","BP",1
"15910","GO:1902936",0.000580081427768547,0.999809032507776,23,45,"phosphatidylinositol bisphosphate binding","MF",1
"9","GO:0000022",0.000672673611076188,0.99997002608944,7,8,"mitotic spindle elongation","BP",1
"7950","GO:0035091",0.000841572713574213,0.999588969784782,44,105,"phosphatidylinositol binding","MF",1
"1273","GO:0003406",0.000858627032965355,1,5,5,"retinal pigment epithelium development","BP",1
"9297","GO:0043325",0.000915220571817692,0.999925388155939,8,10,"phosphatidylinositol-3,4-bisphosphate binding","MF",1
"10158","GO:0045872",0.000915586270315906,1,5,5,NA,NA,1
"4972","GO:0016604",0.000923534830678297,0.999400061763155,106,308,"nuclear body","CC",1
"11071","GO:0048866",0.00125800220020677,1,5,5,"stem cell fate specification","BP",1
"9846","GO:0045165",0.00130080359038527,0.999199885665163,80,226,"cell fate commitment","BP",1
"15542","GO:1901673",0.00158394553474101,0.999782227333043,9,13,"regulation of mitotic spindle assembly","BP",1
"11827","GO:0051962",0.00184857188830176,0.998798560627896,94,274,"positive regulation of nervous system development","BP",1
"11624","GO:0051493",0.00187548206752056,0.998828827910843,80,225,"regulation of cytoskeleton organization","BP",1
"5569","GO:0019899",0.00192544930571334,0.998498871991375,278,907,"enzyme binding","MF",1
"4974","GO:0016607",0.0019611857213189,0.99883917405542,65,178,"nuclear speck","CC",1
"11792","GO:0051897",0.00196184904155195,0.99925832564474,23,49,"positive regulation of protein kinase B signaling","BP",1
"10983","GO:0048709",0.00198795148615802,0.999450282346035,15,28,"oligodendrocyte differentiation","BP",1
"2091","GO:0005793",0.00199966589731562,0.99929587629257,20,43,"endoplasmic reticulum-Golgi intermediate compartment","CC",1
"13303","GO:0070971",0.00200711188510388,0.99982728386444,7,9,"endoplasmic reticulum exit site","CC",1
"11791","GO:0051896",0.00224979446451587,0.999052542364055,27,61,"regulation of protein kinase B signaling","BP",1
"9599","GO:0044294",0.0022876685937756,0.99988289108013,6,7,"dendritic growth cone","CC",1
"9770","GO:0044877",0.00247393417673424,0.998240894651303,139,429,"protein-containing complex binding","MF",1
"11748","GO:0051782",0.00247730752482387,0.999598294640858,9,14,"negative regulation of cell division","BP",1
"11449","GO:0051168",0.00262168973733776,0.998745314611845,34,83,"nuclear export","BP",1
"14241","GO:0090224",0.00275272351703679,0.999208585756441,15,28,"regulation of spindle organization","BP",1
"5633","GO:0021543",0.00276498055570412,0.998578000831774,40,102,"pallium development","BP",1
"10895","GO:0048566",0.00280926095081005,0.999139646159692,16,31,"embryonic digestive tract development","BP",1
"8614","GO:0038066",0.00287707618978244,0.999456594208958,10,16,"p38MAPK cascade","BP",1
"7897","GO:0035019",0.00288530049634692,0.999023250720267,18,37,"somatic stem cell population maintenance","BP",1
"4046","GO:0010564",0.00322547152593905,0.997760105913182,116,351,"regulation of cell cycle process","BP",1
"2087","GO:0005788",0.00330087959603733,0.998382370876031,34,86,"endoplasmic reticulum lumen","CC",1
"15617","GO:1901981",0.0038866398926299,0.998140008342057,32,76,"phosphatidylinositol phosphate binding","MF",1
"11156","GO:0050657",0.00389205877616995,0.998007855751046,37,94,"nucleic acid transport","BP",1
"11157","GO:0050658",0.00389205877616995,0.998007855751046,37,94,"RNA transport","BP",1
"12395","GO:0060716",0.00391303273957604,0.9995260619124,7,10,"labyrinthine layer blood vessel development","BP",1
"3029","GO:0007355",0.00393497300562104,1,4,4,"anterior region determination","BP",1
"8894","GO:0042463",0.00393497300562104,1,4,4,"ocellus photoreceptor cell development","BP",1
"9005","GO:0042705",0.00393497300562104,1,4,4,"ocellus photoreceptor cell differentiation","BP",1
"10157","GO:0045871",0.00393497300562104,1,4,4,NA,NA,1
"11044","GO:0048816",0.00393497300562104,1,4,4,"ocellus morphogenesis","BP",1
"12717","GO:0061541",0.00393497300562104,1,4,4,"rhabdomere morphogenesis","BP",1
"10053","GO:0045664",0.0041051252875803,0.997145745274324,111,336,"regulation of neuron differentiation","BP",1
"2433","GO:0006405",0.00420641382371444,0.998045414495484,29,70,"RNA export from nucleus","BP",1
"11825","GO:0051960",0.00425763868899499,0.996867051040852,153,481,"regulation of nervous system development","BP",1
"11370","GO:0051028",0.00428620108641911,0.998145156447935,25,58,"mRNA transport","BP",1
"2572","GO:0006611",0.00436109297213609,0.997877258293958,32,79,"protein export from nucleus","BP",1
"4134","GO:0010720",0.00441196666238342,0.99702816242171,93,278,"positive regulation of cell development","BP",1
"480","GO:0001672",0.00442760252920196,0.999206640837662,9,14,NA,NA,1
"6898","GO:0032266",0.00448166472354174,0.998764435222983,13,24,"phosphatidylinositol-3-phosphate binding","MF",1
"8092","GO:0035283",0.00465712746291843,0.999754949850176,5,6,"central nervous system segmentation","BP",1
"8093","GO:0035284",0.00465712746291843,0.999754949850176,5,6,"brain segmentation","BP",1
"5571","GO:0019901",0.00483306427121726,0.996734880041077,93,275,"protein kinase binding","MF",1
"9440","GO:0043614",0.00496649514734296,1,4,4,"multi-eIF complex","CC",1
"14106","GO:0086064",0.00497760262542934,1,4,4,"cell communication by electrical coupling involved in cardiac conduction","BP",1
"10055","GO:0045666",0.00517832034888049,0.996704575362972,70,202,"positive regulation of neuron differentiation","BP",1
