"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"3003","K17341",0.0330543561074108,1,3,3,1
"3059","K17566",0.053137826727718,1,2,2,1
"3182","K18171",0.0611979317340672,1,2,2,1
"2231","K12896",0.0626519276120778,1,2,2,1
"2012","K11971",0.0647215810195017,1,2,2,1
"65","K00432",0.0659579141801718,1,2,2,1
"1613","K10349",0.0683253340849906,0.993992782552183,3,4,1
"1101","K06630",0.0768554594141332,0.992861996401915,3,4,1
"2347","K13348",0.078726940735695,1,2,2,1
"1454","K09322",0.0807713363150734,1,2,2,1
"2805","K15837",0.0812924924019147,1,2,2,1
"1295","K08493",0.0832526823072386,1,2,2,1
"2249","K13096",0.0842003787595287,1,2,2,1
"1681","K10577",0.0856801480678303,1,2,2,1
"40","K00274",0.0857578220363973,1,2,2,1
"3336","K19491",0.0869032795465922,1,2,2,1
"1408","K09048",0.0870233278540283,1,2,2,1
"347","K01904",0.0906408245599991,1,2,2,1
"2829","K16342",0.0918902525977358,1,2,2,1
"3967","K24348",0.0922364572545734,1,2,2,1
"1637","K10397",0.0922693547756279,1,2,2,1
"1240","K07984",0.0925240884043946,1,2,2,1
"2081","K12373",0.0929149223928114,0.990552712299754,3,4,1
"3917","K24032",0.0934907930189184,0.990465645844929,3,4,1
"172","K00972",0.0937113773213876,1,2,2,1
"1081","K06265",0.0941664986013829,1,2,2,1
"1364","K08824",0.0997881292956656,1,2,2,1
"2085","K12385",0.100450001753254,0.989390653122086,3,4,1
"3138","K17916",0.100459183508211,0.989389207127668,3,4,1
"228","K01273",0.101231441076229,1,2,2,1
"1753","K10798",0.101374467508586,1,2,2,1
"3939","K24135",0.101505801522055,1,2,2,1
"3725","K22804",0.101995836013899,1,2,2,1
"2930","K16766",0.102098378126149,1,2,2,1
"1561","K09657",0.102196550667682,1,2,2,1
"928","K05127",0.10263061505892,1,2,2,1
"3531","K20465",0.102866432087734,1,2,2,1
"1378","K08844",0.103024689941578,1,2,2,1
"3713","K22656",0.103051414683121,1,2,2,1
