"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"11465","GO:0051187",0.000107034917290041,0.999987799957411,8,19,NA,NA
"14098","GO:0086036",0.000498194935226662,0.999983427990564,4,6,"regulation of cardiac muscle cell membrane potential","BP"
"10198","GO:0045939",0.00138301780071274,0.999874120613232,5,11,"negative regulation of steroid metabolic process","BP"
"14353","GO:0090533",0.00185141937542532,0.999961254996552,3,4,"cation-transporting ATPase complex","CC"
"3652","GO:0009151",0.00189190607103078,0.99996009638836,3,4,"purine deoxyribonucleotide metabolic process","BP"
"3703","GO:0009215",0.00189190607103078,0.99996009638836,3,4,"purine deoxyribonucleoside triphosphate metabolic process","BP"
"7264","GO:0032963",0.00190577686515445,0.999876448273725,4,8,"collagen metabolic process","BP"
"12991","GO:0070268",0.00195659289670612,0.999872207650947,4,8,"cornification","BP"
"2685","GO:0006787",0.00257435571293307,0.99993926173938,3,4,"porphyrin-containing compound catabolic process","BP"
"7293","GO:0033015",0.00257435571293307,0.99993926173938,3,4,"tetrapyrrole catabolic process","BP"
"8772","GO:0042167",0.00257435571293307,0.99993926173938,3,4,"heme catabolic process","BP"
"10292","GO:0046149",0.00257435571293307,0.99993926173938,3,4,"pigment catabolic process","BP"
"5864","GO:0022627",0.00261775960689683,0.999331460757099,10,34,"cytosolic small ribosomal subunit","CC"
"5863","GO:0022626",0.00295039550819325,0.998798614092846,19,89,"cytosolic ribosome","CC"
"10219","GO:0045988",0.00331727047962091,0.999874896388201,3,5,"negative regulation of striated muscle contraction","BP"
"10607","GO:0047134",0.00334868585221767,0.999770757487526,4,7,"protein-disulfide reductase (NAD(P)) activity","MF"
"13471","GO:0071361",0.00336553620402049,0.999743388720251,4,8,"cellular response to ethanol","BP"
"6573","GO:0031424",0.00370111783170307,0.999688824599079,4,9,"keratinization","BP"
"11985","GO:0055119",0.00412880680420328,0.999831305647122,3,5,"relaxation of cardiac muscle","BP"
"3959","GO:0010225",0.00440090481911067,0.999611010123365,4,9,"response to UV-C","BP"
"3689","GO:0009200",0.00462703924343249,0.999613045843753,4,8,"deoxyribonucleoside triphosphate metabolic process","BP"
"11815","GO:0051941",0.00511547855108191,1,2,2,"regulation of amino acid uptake involved in synaptic transmission","BP"
"11817","GO:0051946",0.00511547855108191,1,2,2,"regulation of glutamate uptake involved in transmission of nerve impulse","BP"
"14099","GO:0086037",0.00511547855108191,1,2,2,"P-type sodium:potassium-exchanging transporter activity involved in regulation of cardiac muscle cell membrane potential","MF"
"16045","GO:1903280",0.00511547855108191,1,2,2,"negative regulation of calcium:sodium antiporter activity","BP"
"16112","GO:1903416",0.00511547855108191,1,2,2,"response to glycoside","BP"
"17048","GO:1990239",0.00511547855108191,1,2,2,"steroid hormone binding","MF"
"3504","GO:0008554",0.00512992134634551,1,2,2,"P-type sodium transporter activity","MF"
"4482","GO:0015126",0.00512992134634551,1,2,2,"canalicular bile acid transmembrane transporter activity","MF"
"8337","GO:0035860",0.00516192449118984,1,2,2,"glial cell-derived neurotrophic factor receptor signaling pathway","BP"
"1416","GO:0004064",0.00521679190633421,1,2,2,"arylesterase activity","MF"
"4216","GO:0010838",0.00522226131014057,1,2,2,"positive regulation of keratinocyte proliferation","BP"
"9200","GO:0043163",0.00522226131014057,1,2,2,"cell envelope organization","BP"
"4683","GO:0015935",0.00536016679143596,0.998227333343081,12,49,"small ribosomal subunit","CC"
"3704","GO:0009216",0.00551668070286775,1,2,2,"purine deoxyribonucleoside triphosphate biosynthetic process","BP"
"17049","GO:1990244",0.00621196300785242,0.999651419122413,3,6,"histone H2AT120 kinase activity","MF"
"17050","GO:1990245",0.00621196300785242,0.999651419122413,3,6,NA,NA
"13555","GO:0071494",0.00627785314159582,1,2,2,"cellular response to UV-C","BP"
"767","GO:0002181",0.00649743440721415,0.997197653923633,18,90,"cytoplasmic translation","BP"
"5001","GO:0016668",0.00676125148555323,0.999029187142592,5,13,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","MF"
"13001","GO:0070286",0.0069989439043422,0.998629259337608,6,23,"axonemal dynein complex assembly","BP"
"14084","GO:0086004",0.00731342806667161,0.999563967558524,3,6,"regulation of cardiac muscle cell contraction","BP"
"15990","GO:1903115",0.00731342806667161,0.999563967558524,3,6,"regulation of actin filament-based movement","BP"
"14148","GO:0090075",0.00750115893230685,0.999548529936367,3,6,"relaxation of muscle","BP"
"6750","GO:0031943",0.00756740707674772,0.999612723105346,3,5,"regulation of glucocorticoid metabolic process","BP"
"6751","GO:0031944",0.00756740707674772,0.999612723105346,3,5,"negative regulation of glucocorticoid metabolic process","BP"
"6752","GO:0031946",0.00756740707674772,0.999612723105346,3,5,"regulation of glucocorticoid biosynthetic process","BP"
"6753","GO:0031947",0.00756740707674772,0.999612723105346,3,5,"negative regulation of glucocorticoid biosynthetic process","BP"
"14725","GO:0098533",0.00794740307737601,0.999511239074233,3,6,"ATPase dependent transmembrane transport complex","CC"
"4580","GO:0015662",0.00831059118673907,0.998641698803002,5,17,"P-type ion transporter activity","MF"
"797","GO:0002246",0.00853817457876929,1,2,2,"wound healing involved in inflammatory response","BP"
