"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"4879","GO:0016417",0.00157222499088675,0.999999469891452,1,7,"S-acyltransferase activity","MF"
"5503","GO:0019706",0.00157222499088675,0.999999469891452,1,7,"protein-cysteine S-palmitoyltransferase activity","MF"
"5504","GO:0019707",0.00157222499088675,0.999999469891452,1,7,"protein-cysteine S-acyltransferase activity","MF"
"5298","GO:0018345",0.00178558706598526,0.99999930193091,1,8,"protein palmitoylation","BP"
"4872","GO:0016409",0.00245165406712262,0.99999863227498,1,11,"palmitoyltransferase activity","MF"
"2492","GO:0006497",0.00601967072493077,0.999991250052098,1,27,"protein lipidation","BP"
"8767","GO:0042158",0.00601967072493077,0.999991250052098,1,27,"lipoprotein biosynthetic process","BP"
"8766","GO:0042157",0.00733248673931655,0.999986917962687,1,33,"lipoprotein metabolic process","BP"
"5034","GO:0016747",0.0139652524147277,0.999951678839612,1,63,"acyltransferase activity, transferring groups other than amino-acyl groups","MF"
"5033","GO:0016746",0.0157284542551096,0.999938540701989,1,71,"acyltransferase activity","MF"
"9404","GO:0043543",0.0185433680484821,0.999914262474478,1,84,"protein acylation","BP"
"15493","GO:1901566",0.124715240151088,0.99585552209313,1,577,"organonitrogen compound biosynthetic process","BP"
"2082","GO:0005783",0.125847931716123,0.995777158273732,1,585,"endoplasmic reticulum","CC"
"15142","GO:0140096",0.156287602826734,0.993372968944079,1,738,"catalytic activity, acting on a protein","MF"
"7795","GO:0034645",0.162267639412567,0.992831488694052,1,760,"cellular macromolecule biosynthetic process","BP"
"5028","GO:0016740",0.163646461821401,0.99270326266166,1,772,"transferase activity","MF"
"3587","GO:0009059",0.164299387927048,0.99264219524634,1,770,"macromolecule biosynthetic process","BP"
"2471","GO:0006464",0.217144479011805,0.98673970501684,1,1040,NA,NA
"8471","GO:0036211",0.217144479011805,0.98673970501684,1,1040,"protein modification process","BP"
"9335","GO:0043412",0.232646354671222,0.98463458193104,1,1119,"macromolecule modification","BP"
"9578","GO:0044249",0.23958902158519,0.98363420820884,1,1149,"cellular biosynthetic process","BP"
"15500","GO:1901576",0.243274186001149,0.983088444339951,1,1168,"organic substance biosynthetic process","BP"
"3586","GO:0009058",0.245003591237077,0.982828771443788,1,1177,"biosynthetic process","BP"
"9586","GO:0044267",0.277697805094613,0.977481733711559,1,1353,NA,NA
"4321","GO:0012505",0.280254017219837,0.977027692311152,1,1370,"endomembrane system","CC"
"5477","GO:0019538",0.303628666994394,0.972624360486431,1,1492,"protein metabolic process","BP"
"15491","GO:1901564",0.373193878290231,0.956638767196053,1,1876,"organonitrogen compound metabolic process","BP"
"9582","GO:0044260",0.379129480126158,0.955059758747003,1,1911,"cellular macromolecule metabolic process","BP"
"1322","GO:0003824",0.380657823372058,0.954647339785688,1,1924,"catalytic activity","MF"
"9204","GO:0043170",0.449586380973657,0.93341233910639,1,2326,"macromolecule metabolic process","BP"
"2695","GO:0006807",0.500523585999192,0.914029049710434,1,2641,"nitrogen compound metabolic process","BP"
"9572","GO:0044238",0.516848775606286,0.907064230887366,1,2746,"primary metabolic process","BP"
"9571","GO:0044237",0.52941808348959,0.901432412570845,1,2828,"cellular metabolic process","BP"
"13650","GO:0071704",0.53369047040018,0.899462876928187,1,2857,"organic substance metabolic process","BP"
"3297","GO:0008152",0.549180886146586,0.892078649600421,1,2960,"metabolic process","BP"
"9671","GO:0044444",0.566900495518125,0.883144332494398,1,3085,NA,NA
"9241","GO:0043231",0.59070782114971,0.870266740628007,1,3246,"intracellular membrane-bounded organelle","CC"
"9237","GO:0043227",0.614902771041468,0.856068930624513,1,3420,"membrane-bounded organelle","CC"
"2044","GO:0005737",0.620414291295581,0.852667422617087,1,3464,"cytoplasm","CC"
"9239","GO:0043229",0.651216896504411,0.832419555978734,1,3693,"intracellular organelle","CC"
"9236","GO:0043226",0.658039883830487,0.82763307033746,1,3746,"organelle","CC"
"1282","GO:0003674",0.676192428923121,0.814322082420216,1,3890,"molecular_function","MF"
"3910","GO:0009987",0.693412578772193,0.800868838258121,1,4026,"cellular process","BP"
"9657","GO:0044424",0.701704758737696,0.794083348956697,1,4094,NA,NA
"1986","GO:0005622",0.703262290075593,0.792785542115952,1,4107,"intracellular anatomical structure","CC"
"9688","GO:0044464",0.72023427658921,0.778144241540866,1,4250,NA,NA
"1987","GO:0005623",0.720472843329969,0.777931699724634,1,4252,NA,NA
"1975","GO:0005575",0.730184003738115,0.769113642122073,1,4336,"cellular_component","CC"
"3296","GO:0008150",0.734448287761085,0.765136273374874,1,4373,"biological_process","BP"
"19","GO:0000045",1,0.994683373152416,0,24,"autophagosome assembly","BP"
"31","GO:0000075",1,0.979743709989001,0,93,"cell cycle checkpoint signaling","BP"
"337","GO:0001011",1,0.999549247739061,0,2,NA,NA
"704","GO:0002054",1,0.999348512898567,0,3,"nucleobase binding","MF"
"1009","GO:0002759",1,0.995851738978237,0,19,"regulation of antimicrobial humoral response","BP"
"1613","GO:0004571",1,0.999330764245883,0,3,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","MF"
"1697","GO:0004723",1,0.999329735030411,0,3,"calcium-dependent protein serine/threonine phosphatase activity","MF"
"1790","GO:0004966",1,0.999775314529244,0,1,"galanin receptor activity","MF"
"3319","GO:0008191",1,0.999335055657558,0,3,"metalloendopeptidase inhibitor activity","MF"
"3564","GO:0008890",1,0.999775314529244,0,1,"glycine C-acetyltransferase activity","MF"
"3720","GO:0009249",1,0.998874611519555,0,5,"protein lipoylation","BP"
"3907","GO:0009975",1,0.998247473991247,0,8,"cyclase activity","MF"
"4211","GO:0010832",1,0.999115467396499,0,4,"negative regulation of myotube differentiation","BP"
"4234","GO:0010874",1,0.998479975975609,0,7,"regulation of cholesterol efflux","BP"
"4322","GO:0012506",1,0.953093049193383,0,215,"vesicle membrane","CC"
"4554","GO:0015399",1,0.989249925826019,0,49,"primary active transmembrane transporter activity","MF"
"4555","GO:0015405",1,0.989249925826019,0,49,NA,NA
"4674","GO:0015924",1,0.999330764245883,0,3,"mannosyl-oligosaccharide mannosidase activity","MF"
