"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"5229","GO:0017188",0.00118711106080807,1,1,1,"aspartate N-acetyltransferase activity","MF",1
"11660","GO:0051584",0.00118711106080807,1,1,1,"regulation of dopamine uptake involved in synaptic transmission","BP",1
"11661","GO:0051586",0.00118711106080807,1,1,1,"positive regulation of dopamine uptake involved in synaptic transmission","BP",1
"11814","GO:0051940",0.00118711106080807,1,1,1,"regulation of catecholamine uptake involved in synaptic transmission","BP",1
"11816","GO:0051944",0.00118711106080807,1,1,1,"positive regulation of catecholamine uptake involved in synaptic transmission","BP",1
"5453","GO:0019408",0.00126290828281321,1,1,1,"dolichol biosynthetic process","BP",1
"1375","GO:0003986",0.00131873712822669,1,1,1,"acetyl-CoA hydrolase activity","MF",1
"1726","GO:0004778",0.00131873712822669,1,1,1,"succinyl-CoA hydrolase activity","MF",1
"4686","GO:0015938",0.00131873712822669,1,1,1,"coenzyme A catabolic process","BP",1
"7542","GO:0033869",0.00131873712822669,1,1,1,"nucleoside bisphosphate catabolic process","BP",1
"7552","GO:0034031",0.00131873712822669,1,1,1,"ribonucleoside bisphosphate catabolic process","BP",1
"7555","GO:0034034",0.00131873712822669,1,1,1,"purine nucleoside bisphosphate catabolic process","BP",1
"10336","GO:0046356",0.00131873712822669,1,1,1,"acetyl-CoA catabolic process","BP",1
"10656","GO:0047994",0.00131873712822669,1,1,1,"hydroxymethylglutaryl-CoA hydrolase activity","MF",1
"9596","GO:0044283",0.00186798218180458,0.999912046624478,3,214,"small molecule biosynthetic process","BP",1
"6965","GO:0032377",0.00242538877919452,0.99999866144289,1,2,"regulation of intracellular lipid transport","BP",1
"6966","GO:0032380",0.00242538877919452,0.99999866144289,1,2,"regulation of intracellular sterol transport","BP",1
"6967","GO:0032383",0.00242538877919452,0.99999866144289,1,2,"regulation of intracellular cholesterol transport","BP",1
"4750","GO:0016094",0.00247703938992754,0.999998603785123,1,2,"polyprenol biosynthetic process","BP",1
"5431","GO:0019348",0.00256845432462737,0.999998498754125,1,2,"dolichol metabolic process","BP",1
"7742","GO:0034473",0.0036236993839688,0.999996014285203,1,3,"U1 snRNA 3'-end processing","BP",1
"7744","GO:0034475",0.0036236993839688,0.999996014285203,1,3,"U4 snRNA 3'-end processing","BP",1
"7745","GO:0034476",0.0036236993839688,0.999996014285203,1,3,"U5 snRNA 3'-end processing","BP",1
"13343","GO:0071038",0.0036236993839688,0.999996014285203,1,3,"nuclear polyadenylation-dependent tRNA catabolic process","BP",1
"13344","GO:0071042",0.0036236993839688,0.999996014285203,1,3,"nuclear polyadenylation-dependent mRNA catabolic process","BP",1
"13349","GO:0071047",0.0036236993839688,0.999996014285203,1,3,"polyadenylation-dependent mRNA catabolic process","BP",1
"3616","GO:0009109",0.00368469738914049,0.999995878849953,1,3,NA,NA,1
"11332","GO:0050957",0.00374533139569147,0.999995741976256,1,3,"equilibrioception","BP",1
"4749","GO:0016093",0.00378114243546933,0.999995660085102,1,3,"polyprenol metabolic process","BP",1
"11658","GO:0051582",0.00476231935751603,0.999992252365244,1,4,"positive regulation of neurotransmitter uptake","BP",1
"6883","GO:0032226",0.00476704173865333,0.999992236975583,1,4,"positive regulation of synaptic transmission, dopaminergic","BP",1
"7717","GO:0034427",0.00479840528498126,0.99999213437731,1,4,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'","BP",1
"13342","GO:0071035",0.00480381972403972,0.999992116596955,1,4,"nuclear polyadenylation-dependent rRNA catabolic process","BP",1
"79","GO:0000177",0.00482339531610153,0.999992052145255,1,4,"cytoplasmic exosome (RNase complex)","CC",1
"4744","GO:0016078",0.00487425584236243,0.999991883460168,1,4,"tRNA catabolic process","BP",1
"9456","GO:0043633",0.00597722535129349,0.999986975725664,1,5,"polyadenylation-dependent RNA catabolic process","BP",1
"9457","GO:0043634",0.00597722535129349,0.999986975725664,1,5,"polyadenylation-dependent ncRNA catabolic process","BP",1
"13338","GO:0071029",0.00597722535129349,0.999986975725664,1,5,"nuclear ncRNA surveillance","BP",1
"13348","GO:0071046",0.00597722535129349,0.999986975725664,1,5,"nuclear polyadenylation-dependent ncRNA catabolic process","BP",1
"2121","GO:0005851",0.00599677621901635,0.999986890271965,1,5,"eukaryotic translation initiation factor 2B complex","CC",1
"194","GO:0000459",0.00604980034314812,0.999986657101766,1,5,"exonucleolytic trimming involved in rRNA processing","BP",1
"200","GO:0000467",0.00604980034314812,0.999986657101766,1,5,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"11285","GO:0050873",0.00607237385360756,0.999986557210778,1,5,"brown fat cell differentiation","BP",1
"4823","GO:0016289",0.00607742428206549,0.999986534810783,1,5,"CoA hydrolase activity","MF",1
"6882","GO:0032225",0.00712807720059561,0.999980697688511,1,6,"regulation of synaptic transmission, dopaminergic","BP",1
"8616","GO:0038084",0.0071323407349881,0.999980674555793,1,6,"vascular endothelial growth factor signaling pathway","BP",1
"3386","GO:0008299",0.0072459150111385,0.99998005321875,1,6,"isoprenoid biosynthetic process","BP",1
"11657","GO:0051580",0.00828995779082977,0.999973134953637,1,7,"regulation of neurotransmitter uptake","BP",1
"78","GO:0000176",0.00848590619708654,0.999971847628378,1,7,"nuclear exosome (RNase complex)","CC",1
"4684","GO:0015936",0.00855765813350006,0.999971368676231,1,7,"coenzyme A metabolic process","BP",1
"6433","GO:0031125",0.00856055202750377,0.99997134927411,1,7,"rRNA 3'-end processing","BP",1
"11349","GO:0051000",0.0086399915401273,0.999970814096139,1,7,"positive regulation of nitric-oxide synthase activity","BP",1
"4743","GO:0016075",0.00949557540850665,0.999964002490159,1,8,"rRNA catabolic process","BP",1
"7167","GO:0032770",0.00985921924919341,0.999961186752186,1,8,"positive regulation of monooxygenase activity","BP",1
"1660","GO:0004659",0.00988069863367653,0.999961017105236,1,8,"prenyltransferase activity","MF",1
"13337","GO:0071028",0.0106818664928087,0.999953703054836,1,9,"nuclear mRNA surveillance","BP",1
"2310","GO:0006195",0.0108946695589503,0.999951835861615,1,9,"purine nucleotide catabolic process","BP",1
"3655","GO:0009154",0.0108946695589503,0.999951835861615,1,9,"purine ribonucleotide catabolic process","BP",1
"80","GO:0000178",0.0109239220519411,0.999951576293513,1,9,"exosome (RNase complex)","CC",1
"16814","GO:1905354",0.0109239220519411,0.999951576293513,1,9,"exoribonuclease complex","CC",1
"5179","GO:0017091",0.0110013894572638,0.999950885512017,1,9,NA,NA,1
"6148","GO:0030507",0.0117787668517784,0.999942980164425,1,10,"spectrin binding","MF",1
"2254","GO:0006084",0.0119577237973997,0.999941230134883,1,10,"acetyl-CoA metabolic process","BP",1
"3727","GO:0009261",0.012071047561175,0.999940108190554,1,10,"ribonucleotide catabolic process","BP",1
"8081","GO:0035268",0.0124103006520553,0.999936685736072,1,10,"protein mannosylation","BP",1
"7741","GO:0034472",0.012989161262613,0.999929927649133,1,11,"snRNA 3'-end processing","BP",1
