"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm"
"1","GO:0009151",0.00189189894154245,0.999960096593199,3,4,"purine deoxyribonucleotide metabolic process","BP",1,"purine deoxyribonucleotide metabolic process"
"2","GO:0009215",0.00189189894154245,0.999960096593199,3,4,"purine deoxyribonucleoside triphosphate metabolic process","BP",1,"purine deoxyribonucleotide metabolic process"
"3","GO:0032963",0.00190577224228892,0.999876448658029,4,8,"collagen metabolic process","BP",1,"collagen metabolic process"
"4","GO:0045988",0.003317305594594,0.999874894580977,3,5,"negative regulation of striated muscle contraction","BP",1,"negative regulation of striated muscle contraction"
"5","GO:0010225",0.00440090200198875,0.999611010444553,4,9,"response to UV-C","BP",1,"response to UV-C"
"6","GO:0009200",0.00462703153025733,0.999613046677369,4,8,"deoxyribonucleoside triphosphate metabolic process","BP",1,"purine deoxyribonucleotide metabolic process"
"7","GO:0002181",0.00649743315896187,0.997197654517659,18,90,"cytoplasmic translation","BP",1,"cytoplasmic translation"
"8","GO:0070286",0.00699883815921828,0.998629284500749,6,23,"axonemal dynein complex assembly","BP",1,"axonemal dynein complex assembly"
"9","GO:1903115",0.00731351599803855,0.999563960362939,3,6,"regulation of actin filament-based movement","BP",1,"regulation of actin filament-based movement"
"10","GO:0070131",0.00931414941339338,0.999484379800187,3,5,"positive regulation of mitochondrial translation","BP",1,"cytoplasmic translation"
"11","GO:0046033",0.00995941864109232,0.999333305358825,3,6,"AMP metabolic process","BP",1,"purine deoxyribonucleotide metabolic process"
"12","GO:0032070",0.0102143808410583,0.999309675797684,3,6,"regulation of deoxyribonuclease activity","BP",1,"regulation of deoxyribonuclease activity"
"13","GO:0071456",0.0117235464540036,0.995795677701929,11,57,"cellular response to hypoxia","BP",1,"response to UV-C"
"14","GO:0008202",0.0118150814034476,0.995292620016469,13,77,"steroid metabolic process","BP",1,"steroid metabolic process"
"15","GO:0051580",0.0129907495170114,0.998943067061117,3,7,"regulation of neurotransmitter uptake","BP",1,"regulation of neurotransmitter uptake"
