"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1","GO:0047134",0.00334868405807613,0.99977075764604,4,7,"protein-disulfide reductase (NAD(P)) activity","MF","protein-disulfide reductase (NAD(P)) activity"
"2","GO:1990239",0.00511555892170676,1,2,2,"steroid hormone binding","MF","steroid hormone binding"
"3","GO:0008554",0.0051299855268568,1,2,2,"P-type sodium transporter activity","MF","P-type sodium transporter activity"
"4","GO:0004064",0.00521678016943984,1,2,2,"arylesterase activity","MF","arylesterase activity"
"5","GO:0016668",0.00676124910218908,0.999029187570047,5,13,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","MF","protein-disulfide reductase (NAD(P)) activity"
"6","GO:0015662",0.00831063986912853,0.998641688867367,5,17,"P-type ion transporter activity","MF","P-type sodium transporter activity"
"7","GO:0000773",0.010187102071436,1,2,2,"phosphatidyl-N-methylethanolamine N-methyltransferase activity","MF","phosphatidyl-N-dimethylethanolamine N-methyltransferase activity"
"8","GO:0080101",0.010187102071436,1,2,2,"phosphatidyl-N-dimethylethanolamine N-methyltransferase activity","MF","phosphatidyl-N-dimethylethanolamine N-methyltransferase activity"
"9","GO:0043394",0.013199990183484,0.997575624068352,5,17,"proteoglycan binding","MF","proteoglycan binding"
"10","GO:0030955",0.0146080139006258,0.999635053632133,2,3,"potassium ion binding","MF","potassium ion binding"
"11","GO:0016829",0.0213960855977635,0.991554061251594,11,61,"lyase activity","MF","lyase activity"
"12","GO:0035184",0.0239054302148029,0.997271648819757,3,9,"histone threonine kinase activity","MF","histone threonine kinase activity"
"13","GO:0043395",0.0263881610471265,0.996999732467246,3,8,"heparan sulfate proteoglycan binding","MF","proteoglycan binding"
"14","GO:0005391",0.0334999759805099,0.998158131916379,2,4,"P-type sodium:potassium-exchanging transporter activity","MF","P-type sodium transporter activity"
"15","GO:0008556",0.0334999759805099,0.998158131916379,2,4,"P-type potassium transmembrane transporter activity","MF","P-type sodium transporter activity"
"16","GO:0003810",0.0339833640402871,0.998116652603867,2,4,"protein-glutamine gamma-glutamyltransferase activity","MF","protein-glutamine gamma-glutamyltransferase activity"
"17","GO:0031420",0.0342058049629096,0.998097450454718,2,4,"alkali metal ion binding","MF","potassium ion binding"
"18","GO:0005501",0.034963830853329,0.998031474305515,2,4,"retinoid binding","MF","steroid hormone binding"
"19","GO:0019840",0.034963830853329,0.998031474305515,2,4,"isoprenoid binding","MF","steroid hormone binding"
"20","GO:0019829",0.040441738914888,0.989401044552819,5,24,"ATPase-coupled monoatomic cation transmembrane transporter activity","MF","P-type sodium transporter activity"
"21","GO:0022853",0.040441738914888,0.989401044552819,5,24,"active monoatomic ion transmembrane transporter activity","MF","P-type sodium transporter activity"
"22","GO:0042625",0.040441738914888,0.989401044552819,5,24,"ATPase-coupled ion transmembrane transporter activity","MF","P-type sodium transporter activity"
"23","GO:0042626",0.0436146706910132,0.984839638429492,7,41,"ATPase-coupled transmembrane transporter activity","MF","P-type sodium transporter activity"
"24","GO:0031492",0.0451579338775738,0.997065825126848,2,4,"nucleosomal DNA binding","MF","nucleosomal DNA binding"
"25","GO:0004252",0.0484709939511988,0.984532817543978,6,32,"serine-type endopeptidase activity","MF","serine-type endopeptidase activity"
"26","GO:0015036",0.0487975382872303,0.984698626975432,6,27,"disulfide oxidoreductase activity","MF","protein-disulfide reductase (NAD(P)) activity"
