"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1","GO:0002181",0.00649743315896187,0.997197654517659,18,90,"cytoplasmic translation","BP","cytoplasmic translation"
"2","GO:0070286",0.00699883815921828,0.998629284500749,6,23,"axonemal dynein complex assembly","BP","axonemal dynein complex assembly"
"3","GO:0071456",0.0117235464540036,0.995795677701929,11,57,"cellular response to hypoxia","BP","cellular response to hypoxia"
"4","GO:0008202",0.0118150814034476,0.995292620016469,13,77,"steroid metabolic process","BP","steroid metabolic process"
"5","GO:0009650",0.0149710889821524,0.99786594399696,4,12,"UV protection","BP","cellular response to hypoxia"
"6","GO:0071482",0.0154620889032105,0.99388170055207,12,70,"cellular response to light stimulus","BP","cellular response to hypoxia"
"7","GO:0016125",0.0179130739198232,0.994953621603906,7,33,"sterol metabolic process","BP","steroid metabolic process"
"8","GO:0032350",0.0205775264589254,0.99566182905381,5,19,"regulation of hormone metabolic process","BP","regulation of hormone metabolic process"
"9","GO:0071453",0.0205949209555309,0.991527541643715,12,68,"cellular response to oxygen levels","BP","cellular response to hypoxia"
"10","GO:0008210",0.0213543258178823,0.996528108807824,4,13,"estrogen metabolic process","BP","steroid metabolic process"
"11","GO:0036294",0.0225670797604834,0.991007031287604,11,62,"cellular response to decreased oxygen levels","BP","cellular response to hypoxia"
"12","GO:0071385",0.0266892635271715,0.993867752447589,5,21,"cellular response to glucocorticoid stimulus","BP","cellular response to glucocorticoid stimulus"
"13","GO:0055072",0.0271924335487596,0.991645056507582,7,33,"iron ion homeostasis","BP","iron ion homeostasis"
"14","GO:0001678",0.0301088464813826,0.990484277393552,7,35,"intracellular glucose homeostasis","BP","iron ion homeostasis"
"15","GO:0009743",0.0316582257799238,0.985484294783738,13,84,"response to carbohydrate","BP","cellular response to glucocorticoid stimulus"
"16","GO:0034284",0.0343592530206556,0.985275386365564,11,68,"response to monosaccharide","BP","cellular response to glucocorticoid stimulus"
"17","GO:0034644",0.0374383466239208,0.985367489093449,9,53,"cellular response to UV","BP","cellular response to hypoxia"
"18","GO:0035094",0.0385178070554742,0.992103581756013,4,16,"response to nicotine","BP","cellular response to glucocorticoid stimulus"
"19","GO:0046031",0.0388591594878672,0.99201089613014,4,16,"ADP metabolic process","BP","ADP metabolic process"
"20","GO:0071384",0.0403098552591633,0.989504034034328,5,23,"cellular response to corticosteroid stimulus","BP","cellular response to glucocorticoid stimulus"
"21","GO:0045932",0.0411693595377491,0.993843062117687,3,11,"negative regulation of muscle contraction","BP","negative regulation of muscle contraction"
"22","GO:0071326",0.0445835651666994,0.986157379944796,6,30,"cellular response to monosaccharide stimulus","BP","cellular response to glucocorticoid stimulus"
"23","GO:0071331",0.0445835651666994,0.986157379944796,6,30,"cellular response to hexose stimulus","BP","cellular response to glucocorticoid stimulus"
"24","GO:0071333",0.0445835651666994,0.986157379944796,6,30,"cellular response to glucose stimulus","BP","cellular response to glucocorticoid stimulus"
"25","GO:0009749",0.0446149321288286,0.980926838251195,10,62,"response to glucose","BP","cellular response to glucocorticoid stimulus"
"26","GO:0098739",0.0481970033788787,0.986671959880456,5,25,"import across plasma membrane","BP","import across plasma membrane"
"27","GO:0018996",0.0490086323980522,0.989018597081218,4,17,"molting cycle, collagen and cuticulin-based cuticle","BP","molting cycle, collagen and cuticulin-based cuticle"
