"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"17049","GO:1990244",0.000131981458410254,0.999998101116423,3,6,"histone H2AT120 kinase activity","MF",0.495098277860579
"17050","GO:1990245",0.000131981458410254,0.999998101116423,3,6,NA,NA,0.495098277860579
"17033","GO:1990164",0.000359228039071348,0.999991401791055,3,8,NA,NA,0.495098277860579
"11815","GO:0051941",0.000362791130115579,1,2,2,"regulation of amino acid uptake involved in synaptic transmission","BP",0.495098277860579
"11817","GO:0051946",0.000362791130115579,1,2,2,"regulation of glutamate uptake involved in transmission of nerve impulse","BP",0.495098277860579
"14099","GO:0086037",0.000362791130115579,1,2,2,"P-type sodium:potassium-exchanging transporter activity involved in regulation of cardiac muscle cell membrane potential","MF",0.495098277860579
"16045","GO:1903280",0.000362791130115579,1,2,2,"negative regulation of calcium:sodium antiporter activity","BP",0.495098277860579
"16112","GO:1903416",0.000362791130115579,1,2,2,"response to glycoside","BP",0.495098277860579
"17048","GO:1990239",0.000362791130115579,1,2,2,"steroid hormone binding","MF",0.495098277860579
"3504","GO:0008554",0.000362791132208636,1,2,2,"P-type sodium transporter activity","MF",0.495098277860579
"4482","GO:0015126",0.000362791132208636,1,2,2,"canalicular bile acid transmembrane transporter activity","MF",0.495098277860579
"8337","GO:0035860",0.000362791135976362,1,2,2,"glial cell-derived neurotrophic factor receptor signaling pathway","BP",0.495098277860579
"1416","GO:0004064",0.000362791139856126,1,2,2,"arylesterase activity","MF",0.495098277860579
"8017","GO:0035184",0.000755547211352581,0.999975497849759,3,9,"histone threonine kinase activity","MF",0.893610871773743
"8158","GO:0035405",0.000755547211352581,0.999975497849759,3,9,NA,NA,0.893610871773743
"6340","GO:0030955",0.00107459973432793,0.999993111778686,2,3,"potassium ion binding","MF",1
"14090","GO:0086012",0.0010745997351848,0.999993111778678,2,3,"membrane depolarization during cardiac muscle cell action potential","BP",1
"17178","GO:1990794",0.00107459974786021,0.999993111778555,2,3,"basolateral part of cell","CC",1
"729","GO:0002087",0.00114373374397757,0.999992431803499,2,3,"regulation of respiratory gaseous exchange by nervous system process","BP",1
"7351","GO:0033151",0.00133295480347077,0.999942796594915,3,12,"V(D)J recombination","BP",1
"4580","GO:0015662",0.00157286429441246,0.999872751242164,4,17,"P-type ion transporter activity","MF",1
"6750","GO:0031943",0.00181467883295948,0.999945059618272,3,5,"regulation of glucocorticoid metabolic process","BP",1
"6751","GO:0031944",0.00181467883295948,0.999945059618272,3,5,"negative regulation of glucocorticoid metabolic process","BP",1
"6752","GO:0031946",0.00181467883295948,0.999945059618272,3,5,"regulation of glucocorticoid biosynthetic process","BP",1
"6753","GO:0031947",0.00181467883295948,0.999945059618272,3,5,"negative regulation of glucocorticoid biosynthetic process","BP",1
"13286","GO:0070914",0.00211635492661964,0.999901435715162,3,9,"UV-damage excision repair","BP",1
"14648","GO:0097574",0.00212204350103517,0.999972838531859,2,4,"lateral part of cell","CC",1
"9618","GO:0044326",0.00212204350712169,0.999972838531741,2,4,"dendritic spine neck","CC",1
"172","GO:0000405",0.00213505271973776,0.999972586329793,2,4,"bubble DNA binding","MF",1
"9530","GO:0044065",0.00222336874658555,0.99997085329781,2,4,"regulation of respiratory system process","BP",1
"8969","GO:0042626",0.00228687242894577,0.999618454003208,6,41,"ATPase-coupled transmembrane transporter activity","MF",1
"12188","GO:0060333",0.00243240056369121,0.999903156312488,3,6,"type II interferon-mediated signaling pathway","BP",1
"14129","GO:0090032",0.00248131900448888,0.999900499443245,3,6,"negative regulation of steroid hormone biosynthetic process","BP",1
"2161","GO:0005918",0.00275089705849355,0.999847532662918,3,12,"septate junction","CC",1
"5597","GO:0019991",0.00280280931231325,0.999846845425566,3,11,"septate junction assembly","BP",1
"9369","GO:0043492",0.00285052078916224,0.999499835321113,6,44,NA,NA,1
"7996","GO:0035158",0.00308306633807183,0.999825704884266,3,11,"regulation of tube diameter, open tracheal system","BP",1
"12932","GO:0070131",0.00328669957070024,0.999876667661428,3,5,"positive regulation of mitochondrial translation","BP",1
"13001","GO:0070286",0.00334476770229938,0.999650342221111,4,23,"axonemal dynein complex assembly","BP",1
"10219","GO:0045988",0.00349212150312088,0.999933060079272,2,5,"negative regulation of striated muscle contraction","BP",1
"3959","GO:0010225",0.00353920743678158,0.999801935975401,3,9,"response to UV-C","BP",1
"4947","GO:0016572",0.00357653315398993,0.99962358328906,4,21,NA,NA,1
"9324","GO:0043395",0.00383586774449996,0.999788711240257,3,8,"heparan sulfate proteoglycan binding","MF",1
"777","GO:0002200",0.00388780966283805,0.999576025280084,4,23,"somatic diversification of immune receptors","BP",1
"4251","GO:0010894",0.0039802463319604,0.999777811337791,3,8,"negative regulation of steroid biosynthetic process","BP",1
"10422","GO:0046581",0.00398902603909224,0.999929354613997,2,4,"intercellular canaliculus","CC",1
"2145","GO:0005890",0.00428484999671555,0.999944064825462,2,3,"sodium:potassium-exchanging ATPase complex","CC",1
"5906","GO:0030007",0.00428484999671555,0.999944064825462,2,3,"intracellular potassium ion homeostasis","BP",1
"8529","GO:0036376",0.00428484999671555,0.999944064825462,2,3,"sodium ion export across plasma membrane","BP",1
"16044","GO:1903279",0.00428484999671555,0.999944064825462,2,3,"regulation of calcium:sodium antiporter activity","BP",1
"8009","GO:0035173",0.0043329319145557,0.999708565210133,3,14,"histone kinase activity","MF",1
"6944","GO:0032351",0.00445269652282189,0.999741131442117,3,8,"negative regulation of hormone metabolic process","BP",1
"6946","GO:0032353",0.00445269652282189,0.999741131442117,3,8,"negative regulation of hormone biosynthetic process","BP",1
"6561","GO:0031402",0.00496930053839747,0.999929925317716,2,3,"sodium ion binding","MF",1
"4481","GO:0015125",0.00517220467350563,0.999868018534364,2,6,"bile acid transmembrane transporter activity","MF",1
"4559","GO:0015432",0.00517220467350563,0.999868018534364,2,6,"ABC-type bile acid transporter activity","MF",1
"4607","GO:0015722",0.00517220467350563,0.999868018534364,2,6,"canalicular bile acid transport","BP",1
"7413","GO:0033283",0.00517220467350563,0.999868018534364,2,6,"ATPase-coupled organic acid transmembrane transporter activity","MF",1
"7414","GO:0033284",0.00517220467350563,0.999868018534364,2,6,"ATPase-coupled carboxylic acid transmembrane transporter activity","MF",1
"7415","GO:0033285",0.00517220467350563,0.999868018534364,2,6,"ATPase-coupled monocarboxylic acid transmembrane transporter activity","MF",1
"10436","GO:0046618",0.00517220467350563,0.999868018534364,2,6,"xenobiotic export from cell","BP",1
"9619","GO:0044327",0.00517220471882226,0.999868018532609,2,6,"dendritic spine head","CC",1
"692","GO:0002036",0.00542403870765987,0.999869474096525,2,5,"regulation of L-glutamate import across plasma membrane","BP",1
"4286","GO:0010958",0.00542403870765987,0.999869474096525,2,5,"regulation of amino acid import across plasma membrane","BP",1
"13320","GO:0070995",0.00586720277845125,0.999873064687136,2,4,"NADPH oxidation","BP",1
"9760","GO:0044840",0.00592472328515443,0.999908409863042,2,3,"gut granule","CC",1
"9761","GO:0044841",0.00592472328515443,0.999908409863042,2,3,"gut granule membrane","CC",1
"5112","GO:0016887",0.00613606927821442,0.997480215988217,15,230,"ATP hydrolysis activity","MF",1
"1926","GO:0005391",0.00644093202163416,0.99985370728251,2,4,"P-type sodium:potassium-exchanging transporter activity","MF",1
"3506","GO:0008556",0.00644093202163416,0.99985370728251,2,4,"P-type potassium transmembrane transporter activity","MF",1
"14353","GO:0090533",0.00644093204881237,0.99985370728157,2,4,"cation-transporting ATPase complex","CC",1
"3944","GO:0010107",0.00644094212598533,0.999853706933244,2,4,NA,NA,1
"15151","GO:0140115",0.00644094212598533,0.999853706933244,2,4,"export across plasma membrane","BP",1
"17123","GO:1990573",0.00644094212598533,0.999853706933244,2,4,"potassium ion import across plasma membrane","BP",1
"8967","GO:0042623",0.00690552547860186,0.99733692263025,13,190,NA,NA,1
"7559","GO:0034040",0.00715002643035377,0.999772304423545,2,7,"ATPase-coupled lipid transmembrane transporter activity","MF",1
"6572","GO:0031420",0.00731326930339354,0.999822493537572,2,4,"alkali metal ion binding","MF",1
"16253","GO:1903789",0.00749618742918518,0.999768088469455,2,6,"regulation of amino acid transmembrane transport","BP",1
"3215","GO:0007630",0.0075311430339777,0.999867939596008,2,3,"jump response","BP",1
"4463","GO:0015081",0.00773472368553308,0.998941945998986,4,31,"sodium ion transmembrane transporter activity","MF",1
"8293","GO:0035725",0.00773472368553308,0.998941945998986,4,31,"sodium ion transmembrane transport","BP",1
"6147","GO:0030506",0.00801469800083403,0.999729148406833,2,7,"ankyrin binding","MF",1
"12046","GO:0060075",0.00810350377046228,0.999759662766349,2,5,"regulation of resting membrane potential","BP",1
"5536","GO:0019829",0.00843305127873134,0.998846738571046,4,24,"ATPase-coupled monoatomic cation transmembrane transporter activity","MF",1
"5882","GO:0022853",0.00843305127873134,0.998846738571046,4,24,"active monoatomic ion transmembrane transporter activity","MF",1
"8968","GO:0042625",0.00843305127873134,0.998846738571046,4,24,"ATPase-coupled ion transmembrane transporter activity","MF",1
"14797","GO:0098739",0.00850208447159489,0.998829199760307,4,25,"import across plasma membrane","BP",1
"14221","GO:0090193",0.00865716531338152,0.999770436228038,2,4,"positive regulation of glomerulus development","BP",1
"14127","GO:0090030",0.00873031164258906,0.999350171810399,3,8,"regulation of steroid hormone biosynthetic process","BP",1
"11985","GO:0055119",0.0088242405096946,0.999726349604482,2,5,"relaxation of cardiac muscle","BP",1
"14396","GO:0090662",0.00919331104682283,0.998704918025815,4,25,NA,NA,1
"14950","GO:0099131",0.00919331104682283,0.998704918025815,4,25,NA,NA,1
"14951","GO:0099132",0.00919331104682283,0.998704918025815,4,25,NA,NA,1
"8038","GO:0035212",0.00920418594782938,0.999197069142078,3,13,"cell competition in a multicellular organism","BP",1
"5166","GO:0017062",0.0092145163037849,0.999401924653011,3,6,"respiratory chain complex III assembly","BP",1
"7764","GO:0034551",0.0092145163037849,0.999401924653011,3,6,"mitochondrial respiratory chain complex III assembly","BP",1
"15517","GO:1901618",0.00941367334766619,0.999640843253048,2,8,"organic hydroxy compound transmembrane transporter activity","MF",1
"17510","GO:2000649",0.00946078620600612,0.999144770853494,3,15,"regulation of sodium ion transmembrane transporter activity","BP",1
"10198","GO:0045939",0.00950980372669544,0.999190727099912,3,11,"negative regulation of steroid metabolic process","BP",1
"14106","GO:0086064",0.00966889081243985,0.999728249256346,2,4,"cell communication by electrical coupling involved in cardiac conduction","BP",1
"11657","GO:0051580",0.00985494050200262,0.999629003219347,2,7,"regulation of neurotransmitter uptake","BP",1
"14084","GO:0086004",0.00987800830208345,0.999647004294369,2,6,"regulation of cardiac muscle cell contraction","BP",1
"15990","GO:1903115",0.00987800830208345,0.999647004294369,2,6,"regulation of actin filament-based movement","BP",1
"6711","GO:0031748",0.00989235556839821,0.999612670670353,2,8,"D1 dopamine receptor binding","MF",1
"710","GO:0002063",0.0101274877609496,0.999167581043245,3,9,"chondrocyte development","BP",1
"12254","GO:0060438",0.0105311750005551,0.998456381613747,4,25,"trachea development","BP",1
"12164","GO:0060300",0.0108921797029501,1,2,2,"regulation of cytokine activity","BP",1
"9486","GO:0043921",0.0108976954572874,0.998988080352972,3,13,"modulation by host of viral transcription","BP",1
"11856","GO:0052312",0.0108976954572874,0.998988080352972,3,13,NA,NA,1
"11863","GO:0052472",0.0108976954572874,0.998988080352972,3,13,"modulation by host of symbiont transcription","BP",1
"14148","GO:0090075",0.0114520186175277,0.999557705825588,2,6,"relaxation of muscle","BP",1
"2738","GO:0006883",0.0114520186913719,0.999557705821235,2,6,"intracellular sodium ion homeostasis","BP",1
"17222","GO:2000001",0.0118683868643524,0.998821677042002,3,16,"regulation of DNA damage checkpoint","BP",1
