"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"5863","GO:0022626",3.47912207910756e-08,0.999999994127623,19,89,"cytosolic ribosome","CC"
"767","GO:0002181",8.89696511484876e-07,0.999999829047836,17,90,"cytoplasmic translation","BP"
"9672","GO:0044445",1.57023111926801e-06,0.999999611395939,21,147,NA,NA
"5864","GO:0022627",3.1396151829947e-06,0.999999661795186,10,34,"cytosolic small ribosomal subunit","CC"
"2113","GO:0005840",6.79852648213367e-06,0.999998215444653,20,135,"ribosome","CC"
"9647","GO:0044391",8.28584882655267e-06,0.999997888184926,19,122,"ribosomal subunit","CC"
"4683","GO:0015935",1.73689893380521e-05,0.999997304096035,11,49,"small ribosomal subunit","CC"
"1310","GO:0003735",4.27346211112435e-05,0.999988617917387,17,113,"structural constituent of ribosome","MF"
"9438","GO:0043604",0.000184890432243371,0.999929554751937,24,268,"amide biosynthetic process","BP"
"312","GO:0000956",0.000304906626376007,0.999914816685545,14,119,"nuclear-transcribed mRNA catabolic process","BP"
"9587","GO:0044270",0.00035365532410372,0.999876014942999,19,202,"cellular nitrogen compound catabolic process","BP"
"10493","GO:0046700",0.000390867242664756,0.999861801274582,19,203,"heterocycle catabolic process","BP"
"2439","GO:0006413",0.000413267886322534,0.999895054775572,12,90,"translational initiation","BP"
"1867","GO:0005198",0.000466376271969175,0.999818608926041,22,237,"structural molecule activity","MF"
"13486","GO:0071385",0.000491723259799855,0.999956813183215,5,21,"cellular response to glucocorticoid stimulus","BP"
"2575","GO:0006614",0.000492871607991256,0.999892933747374,10,59,"SRP-dependent cotranslational protein targeting to membrane","BP"
"9135","GO:0043043",0.000589901857164864,0.999771776800674,21,231,"peptide biosynthetic process","BP"
"2430","GO:0006402",0.000630275589899493,0.99980961098925,14,128,"mRNA catabolic process","BP"
"2574","GO:0006613",0.000738036834648291,0.999829924634433,10,63,"cotranslational protein targeting to membrane","BP"
"5461","GO:0019439",0.00082462551782753,0.999688716875776,19,217,"aromatic compound catabolic process","BP"
"13485","GO:0071384",0.000849290535750542,0.999914360158178,5,23,"cellular response to corticosteroid stimulus","BP"
"2438","GO:0006412",0.000893081501191648,0.999651648516035,20,219,"translation","BP"
"5862","GO:0022625",0.000987779218026558,0.999786359289217,9,52,"cytosolic large ribosomal subunit","CC"
"83","GO:0000184",0.00105109588024024,0.999743689154479,10,71,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"13304","GO:0070972",0.00109308444042698,0.999709806749547,11,80,"protein localization to endoplasmic reticulum","BP"
"7264","GO:0032963",0.00127462329214464,0.999952653623052,3,8,"collagen metabolic process","BP"
"15447","GO:1901361",0.00136194979583369,0.9994621448515,19,227,"organic cyclic compound catabolic process","BP"
"7150","GO:0032731",0.001376831004166,0.99995532075911,3,6,"positive regulation of interleukin-1 beta production","BP"
"9790","GO:0045047",0.00142621330066841,0.99963869213228,10,68,"protein targeting to ER","BP"
"2429","GO:0006401",0.00148189554404541,0.999507800936328,14,141,"RNA catabolic process","BP"
"17208","GO:1990904",0.00149125942558341,0.999237448461774,34,508,"ribonucleoprotein complex","CC"
"7802","GO:0034655",0.0015147843187356,0.999431885084964,17,191,"nucleobase-containing compound catabolic process","BP"
"13997","GO:0072599",0.00166073042690142,0.999569513538146,10,70,"establishment of protein localization to endoplasmic reticulum","BP"
"243","GO:0000773",0.00189211193746454,1,2,2,"phosphatidyl-N-methylethanolamine N-methyltransferase activity","MF"
"14065","GO:0080101",0.00189211193746454,1,2,2,"phosphatidyl-N-dimethylethanolamine N-methyltransferase activity","MF"
"9437","GO:0043603",0.00193981991269529,0.999087087988344,26,359,"amide metabolic process","BP"
"2573","GO:0006612",0.00208463125977191,0.99943978584446,10,75,"protein targeting to membrane","BP"
"11644","GO:0051560",0.00210658643789316,0.999813658316016,4,18,"mitochondrial calcium ion homeostasis","BP"
"7151","GO:0032732",0.002110816781897,0.999912080034931,3,7,"positive regulation of interleukin-1 production","BP"
"13471","GO:0071361",0.00247530366427237,0.999883673909539,3,8,"cellular response to ethanol","BP"
"6952","GO:0032364",0.00277923596943001,0.999971040082106,2,3,"intracellular oxygen homeostasis","BP"
"7442","GO:0033483",0.00277923596943001,0.999971040082106,2,3,NA,NA
"2506","GO:0006518",0.00277945334088637,0.998746260722683,22,285,"peptide metabolic process","BP"
"11470","GO:0051194",0.00282445856279058,0.999734846690044,4,16,NA,NA
"2782","GO:0006953",0.00289739727890232,0.999844156000384,3,10,"acute-phase response","BP"
"3826","GO:0009651",0.00300253341566968,0.99969775378901,4,22,"response to salt stress","BP"
"4739","GO:0016071",0.0030386934175119,0.9985183468524,26,388,"mRNA metabolic process","BP"
"2641","GO:0006711",0.00321685292175695,0.999963850061406,2,3,"estrogen catabolic process","BP"
"2687","GO:0006789",0.00321685292175695,0.999963850061406,2,3,"bilirubin conjugation","BP"
"3829","GO:0009698",0.00321685292175695,0.999963850061406,2,3,"phenylpropanoid metabolic process","BP"
"3860","GO:0009804",0.00321685292175695,0.999963850061406,2,3,"coumarin metabolic process","BP"
"10307","GO:0046226",0.00321685292175695,0.999963850061406,2,3,"coumarin catabolic process","BP"
"10308","GO:0046271",0.00321685292175695,0.999963850061406,2,3,"phenylpropanoid catabolic process","BP"
"11643","GO:0051552",0.00321685292175695,0.999963850061406,2,3,"flavone metabolic process","BP"
"11882","GO:0052696",0.00321685292175695,0.999963850061406,2,3,"flavonoid glucuronidation","BP"
"11883","GO:0052697",0.00321685292175695,0.999963850061406,2,3,"xenobiotic glucuronidation","BP"
"13309","GO:0070980",0.00321685292175695,0.999963850061406,2,3,"biphenyl catabolic process","BP"
"16400","GO:1904223",0.00321685292175695,0.999963850061406,2,3,"regulation of glucuronosyltransferase activity","BP"
"16401","GO:1904224",0.00321685292175695,0.999963850061406,2,3,"negative regulation of glucuronosyltransferase activity","BP"
"17644","GO:2001030",0.00321685292175695,0.999963850061406,2,3,"negative regulation of cellular glucuronidation","BP"
"10249","GO:0046060",0.0032206119672876,0.999963785950899,2,3,"dATP metabolic process","BP"
"15493","GO:1901566",0.00341802227847483,0.998121616391556,36,577,"organonitrogen compound biosynthetic process","BP"
"9350","GO:0043457",0.0036688301748461,0.999629255659207,4,16,"regulation of cellular respiration","BP"
