"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"180","K01052",0.00274762828610505,0.999933609067451,3,4,1
"283","K01539",0.00511555892170676,1,2,2,1
"966","K05658",0.0051299855268568,1,2,2,1
"957","K05619",0.00522224565647959,1,2,2,1
"1967","K11789",0.00621208192645159,0.999651409979507,3,6,1
"250","K01363",0.00667807621633287,1,2,2,1
"2347","K13348",0.00979215038123177,1,2,2,1
"245","K01345",0.00991241950412927,1,2,2,1
"3979","K24436",0.0104311319886353,1,2,2,1
"3072","K17592",0.0117462898917984,0.998408368289137,4,13,1
"4151","K25493",0.0126508947764363,1,2,2,1
"3938","K24125",0.0153958269540865,0.999604323962843,2,3,1
"2184","K12825",0.0182746557615151,0.999484639590591,2,3,1
"1256","K08059",0.0192372324565846,1,2,2,1
"1020","K05929",0.0248476381322298,0.999170856751089,2,3,1
"3378","K19721",0.0289253587776546,0.998533466284528,2,4,1
"2491","K14480",0.0293480765588059,0.997008424966762,3,6,1
"712","K03671",0.0295429770838338,0.998914848132936,2,3,1
"1127","K06711",0.0324838804121665,0.995989535680293,3,8,1
"2354","K13443",0.0383747217379814,0.995636949940668,3,6,1
"3210","K18405",0.044492936006626,0.9966970737286,2,5,1
"113","K00714",0.0548192805276345,0.996022916515504,2,4,1
"3963","K24317",0.0709349233835198,1,1,1,1
"3155","K17964",0.0714023255453571,1,1,1,1
"2441","K14297",0.0715115726076306,1,1,1,1
"2621","K14856",0.0716361164328938,1,1,1,1
"2504","K14550",0.0716569087337495,1,1,1,1
"899","K04911",0.0717012547670181,1,1,1,1
"1135","K06816",0.0717018645203994,1,1,1,1
"1465","K09370",0.0717316010215034,1,1,1,1
"2853","K16476",0.071735225039939,1,1,1,1
"3664","K22182",0.0717460884584571,1,1,1,1
"2138","K12605",0.0717534793098264,1,1,1,1
"1836","K11267",0.0717656427039121,1,1,1,1
"663","K03255",0.0717809398981903,1,1,1,1
"1557","K09637",0.0718242323111409,1,1,1,1
"3384","K19754",0.0718493435279338,1,1,1,1
"2122","K12571",0.0718553019296908,1,1,1,1
"2818","K16196",0.0718637997211888,1,1,1,1
"3540","K20631",0.0718661863872803,1,1,1,1
"390","K02184",0.0718853180659228,1,1,1,1
"1639","K10399",0.0719017016596875,1,1,1,1
"3991","K24512",0.071915709438046,1,1,1,1
"359","K01969",0.0719287879936956,1,1,1,1
