"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"5229","GO:0017188",0.00269502073397398,1,1,1,"aspartate N-acetyltransferase activity","MF"
"11660","GO:0051584",0.00269502073397398,1,1,1,"regulation of dopamine uptake involved in synaptic transmission","BP"
"11661","GO:0051586",0.00269502073397398,1,1,1,"positive regulation of dopamine uptake involved in synaptic transmission","BP"
"11814","GO:0051940",0.00269502073397398,1,1,1,"regulation of catecholamine uptake involved in synaptic transmission","BP"
"11816","GO:0051944",0.00269502073397398,1,1,1,"positive regulation of catecholamine uptake involved in synaptic transmission","BP"
"8835","GO:0042356",0.00328244397522634,1,1,1,"GDP-4-dehydro-D-rhamnose reductase activity","MF"
"10654","GO:0047918",0.00328244397522634,1,1,1,"GDP-mannose 3,5-epimerase activity","MF"
"11147","GO:0050577",0.00328244397522634,1,1,1,"GDP-L-fucose synthase activity","MF"
"5453","GO:0019408",0.00389998508350269,1,1,1,"dolichol biosynthetic process","BP"
"1375","GO:0003986",0.00540626962636748,1,1,1,"acetyl-CoA hydrolase activity","MF"
"1726","GO:0004778",0.00540626962636748,1,1,1,"succinyl-CoA hydrolase activity","MF"
"4686","GO:0015938",0.00540626962636748,1,1,1,"coenzyme A catabolic process","BP"
"7542","GO:0033869",0.00540626962636748,1,1,1,"nucleoside bisphosphate catabolic process","BP"
"7552","GO:0034031",0.00540626962636748,1,1,1,"ribonucleoside bisphosphate catabolic process","BP"
"7555","GO:0034034",0.00540626962636748,1,1,1,"purine nucleoside bisphosphate catabolic process","BP"
"10336","GO:0046356",0.00540626962636748,1,1,1,"acetyl-CoA catabolic process","BP"
"10656","GO:0047994",0.00540626962636748,1,1,1,"hydroxymethylglutaryl-CoA hydrolase activity","MF"
"8831","GO:0042350",0.00590766238811329,0.999991540817807,1,2,"GDP-L-fucose biosynthetic process","BP"
"8832","GO:0042351",0.00590766238811329,0.999991540817807,1,2,"'de novo' GDP-L-fucose biosynthetic process","BP"
"6965","GO:0032377",0.00641338541904379,0.999990027920485,1,2,"regulation of intracellular lipid transport","BP"
"6966","GO:0032380",0.00641338541904379,0.999990027920485,1,2,"regulation of intracellular sterol transport","BP"
"6967","GO:0032383",0.00641338541904379,0.999990027920485,1,2,"regulation of intracellular cholesterol transport","BP"
"4750","GO:0016094",0.00696901458009275,0.999988221794967,1,2,"polyprenol biosynthetic process","BP"
"6956","GO:0032368",0.00794800723541913,0.999682605379491,2,45,"regulation of lipid transport","BP"
"5537","GO:0019835",0.00860424989673553,0.999982030686113,1,2,"cytolysis","BP"
"5431","GO:0019348",0.00894320404565465,0.99998058361797,1,2,"dolichol metabolic process","BP"
"7742","GO:0034473",0.00908103658507012,0.999973319414463,1,3,"U1 snRNA 3'-end processing","BP"
"7744","GO:0034475",0.00908103658507012,0.999973319414463,1,3,"U4 snRNA 3'-end processing","BP"
"7745","GO:0034476",0.00908103658507012,0.999973319414463,1,3,"U5 snRNA 3'-end processing","BP"
"13343","GO:0071038",0.00908103658507012,0.999973319414463,1,3,"nuclear polyadenylation-dependent tRNA catabolic process","BP"
"13344","GO:0071042",0.00908103658507012,0.999973319414463,1,3,"nuclear polyadenylation-dependent mRNA catabolic process","BP"
"13349","GO:0071047",0.00908103658507012,0.999973319414463,1,3,"polyadenylation-dependent mRNA catabolic process","BP"
"10342","GO:0046368",0.0094995976829109,0.999970797570391,1,3,"GDP-L-fucose metabolic process","BP"
"3616","GO:0009109",0.010705191319067,0.999962894381623,1,3,NA,NA
"11658","GO:0051582",0.0110240688131314,0.99995573982312,1,4,"positive regulation of neurotransmitter uptake","BP"
"6883","GO:0032226",0.011089106172669,0.999955214785776,1,4,"positive regulation of synaptic transmission, dopaminergic","BP"
"7717","GO:0034427",0.0116291917643439,0.999950734549838,1,4,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'","BP"
"11332","GO:0050957",0.0116313482911733,0.999956177497825,1,3,"equilibrioception","BP"
"13342","GO:0071035",0.0117107271601755,0.999950039532718,1,4,"nuclear polyadenylation-dependent rRNA catabolic process","BP"
"79","GO:0000177",0.0119738185950885,0.999947763540841,1,4,"cytoplasmic exosome (RNase complex)","CC"
"4749","GO:0016093",0.0119972108437238,0.999953369374631,1,3,"polyprenol metabolic process","BP"
"13333","GO:0071020",0.0122650829451861,0.999945184383681,1,4,"post-spliceosomal complex","CC"
"4744","GO:0016078",0.0127741813267738,0.999940526221324,1,4,"tRNA catabolic process","BP"
"5495","GO:0019673",0.012902729452931,0.999939319825475,1,4,"GDP-mannose metabolic process","BP"
"5092","GO:0016857",0.0129413386191605,0.999938955108233,1,4,"racemase and epimerase activity, acting on carbohydrates and derivatives","MF"
"5034","GO:0016747",0.0139916511674029,0.999242487333186,2,63,"acyltransferase activity, transferring groups other than amino-acyl groups","MF"
"9456","GO:0043633",0.0142519186264884,0.999921003744489,1,5,"polyadenylation-dependent RNA catabolic process","BP"
"9457","GO:0043634",0.0142519186264884,0.999921003744489,1,5,"polyadenylation-dependent ncRNA catabolic process","BP"
"13338","GO:0071029",0.0142519186264884,0.999921003744489,1,5,"nuclear ncRNA surveillance","BP"
"13348","GO:0071046",0.0142519186264884,0.999921003744489,1,5,"nuclear polyadenylation-dependent ncRNA catabolic process","BP"
"2121","GO:0005851",0.0144662830991623,0.999918602206365,1,5,"eukaryotic translation initiation factor 2B complex","CC"
